name,pop,lat,lon,count,percent
New York,8537673,40.6943,-73.9249,1095,7.14%
San Francisco,870887,37.756100000000004,-122.4429,979,6.38%
Washington,681170,38.9047,-77.0163,680,4.43%
Seattle,704352,47.6217,-122.3238,579,3.77%
Chicago,2704958,41.8373,-87.6861,568,3.70%
Boston,673184,42.3189,-71.0838,563,3.67%
Cambridge,110651,42.3758,-71.1184,441,2.87%
Ontario,173212,34.0393,-117.6064,354,2.31%
Melbourne,81185,28.1152,-80.653,353,2.30%
Los Angeles,3976322,34.114,-118.4068,342,2.23%
Austin,947890,30.3038,-97.7545,293,1.91%
Vancouver,174826,45.6352,-122.5972,253,1.65%
Philadelphia,1567872,40.0076,-75.134,245,1.60%
Columbia,134309,34.0366,-80.9043,234,1.53%
Brooklyn,2629150,40.6501,-73.9496,215,1.40%
Atlanta,472522,33.7627,-84.4231,211,1.38%
Houston,2303482,29.7871,-95.3936,201,1.31%
Portland,639863,45.5372,-122.65,197,1.28%
Dublin,59583,37.7161,-121.8962,192,1.25%
Victoria,67670,28.8284,-96.9848,183,1.19%
Pittsburgh,303625,40.4396,-79.9763,161,1.05%
Pittsburg,70679,38.019,-121.897,161,1.05%
San Diego,1406630,32.8312,-117.1225,150,0.98%
Berkeley,121240,37.8723,-122.276,150,0.98%
Minneapolis,413651,44.9635,-93.2679,149,0.97%
Edinburg,87650,26.3183,-98.1622,146,0.95%
Dallas,1317929,32.7938,-96.7659,140,0.91%
Baltimore,614664,39.3051,-76.6144,129,0.84%
Denver,693060,39.7621,-104.8759,125,0.81%
Durham,263016,35.9801,-78.9045,119,0.78%
Manchester,110506,42.9844,-71.4445,118,0.77%
Charlotte,842051,35.208,-80.8308,114,0.74%
Ann Arbor,120782,42.2757,-83.7312,111,0.72%
Madison,252551,43.0809,-89.3921,110,0.72%
Palo Alto,67024,37.3917,-122.1465,107,0.70%
Columbus,860090,39.9859,-82.9852,104,0.68%
Raleigh,458880,35.8323,-78.6441,92,0.60%
Gary,76424,41.5906,-87.3472,92,0.60%
Boulder,108090,40.0274,-105.2514,89,0.58%
Queens,2333054,40.7498,-73.7976,88,0.57%
Manhattan,1643734,40.7834,-73.9662,85,0.55%
Nashville,660388,36.1714,-86.7844,82,0.53%
Oakland,420005,37.7903,-122.2165,82,0.53%
San Jose,1025350,37.302,-121.8488,81,0.53%
Davis,68111,38.5552,-121.7365,74,0.48%
New Haven,129934,41.3112,-72.9245,68,0.44%
Mountain View,80447,37.4001,-122.0796,67,0.44%
Charlottesville,46912,38.0374,-78.4856,66,0.43%
Salt Lake City,193744,40.7774,-111.9301,62,0.40%
Hampton,135410,37.0551,-76.3629,61,0.40%
Athens,123371,33.9508,-83.3689,61,0.40%
Miami,453579,25.784,-80.2102,60,0.39%
Birmingham,212157,33.5276,-86.7986,59,0.38%
Rochester,208880,43.1681,-77.6162,59,0.38%
Cincinnati,298800,39.1412,-84.506,56,0.37%
Wellington,63900,26.6464,-80.2708,56,0.37%
Chapel Hill,59246,35.9271,-79.0387,54,0.35%
Bristol,60147,41.6812,-72.9407,51,0.33%
Lansing,116020,42.7142,-84.5598,50,0.33%
Milwaukee,595047,43.064,-87.9669,48,0.31%
Kansas City,481420,39.1239,-94.5541,48,0.31%
Richmond,223170,37.5294,-77.4755,48,0.31%
Phoenix,1615017,33.5722,-112.0891,47,0.31%
Detroit,672795,42.3834,-83.1024,47,0.31%
Gainesville,131591,29.6814,-82.3454,47,0.31%
Cleveland,385809,41.4766,-81.6805,46,0.30%
Arlington,392772,32.6998,-97.1251,42,0.27%
Tempe,182498,33.3881,-111.9318,41,0.27%
Lincoln,280364,40.8102,-96.6808,40,0.26%
Fort Collins,164207,40.5487,-105.0656,39,0.25%
Tampa,377165,27.9937,-82.4454,37,0.24%
Santa Barbara,91930,34.4285,-119.7202,36,0.23%
Indianapolis,855164,39.7771,-86.1458,35,0.23%
Orlando,277173,28.4801,-81.3448,35,0.23%
Waterloo,67934,42.492,-92.3522,35,0.23%
Ames,66191,42.0262,-93.6275,35,0.23%
Irvine,266122,33.6772,-117.7738,34,0.22%
East Lansing,48870,42.7483,-84.4834,34,0.22%
Kent,127514,47.3887,-122.2128,33,0.22%
Louisville,616261,38.1662,-85.6488,32,0.21%
State College,41992,40.791,-77.8568,31,0.20%
Brighton,38314,39.9719,-104.7958,31,0.20%
Sacramento,495234,38.5666,-121.4683,30,0.20%
Omaha,446970,41.2634,-96.0453,30,0.20%
New Orleans,391495,30.0687,-89.9288,29,0.19%
Eugene,166575,44.0562,-123.1172,29,0.19%
Burlington,52709,36.0761,-79.4692,28,0.18%
Milton,38411,34.1353,-84.3138,28,0.18%
San Antonio,1492510,29.4722,-98.5247,27,0.18%
Edmond,91191,35.6689,-97.4159,27,0.18%
Redmond,62458,47.6776,-122.1176,27,0.18%
Reading,87575,40.34,-75.9266,26,0.17%
Lombard,43815,41.8739,-88.0158,26,0.17%
Las Vegas,632912,36.2288,-115.2603,25,0.16%
Tucson,530706,32.1558,-110.8777,25,0.16%
Bloomington,85319,44.8306,-93.315,25,0.16%
Buffalo,256902,42.9016,-78.8487,24,0.16%
College Station,112141,30.5857,-96.296,24,0.16%
Bend,91122,44.0562,-121.3087,24,0.16%
Iowa City,74398,41.6558,-91.5304,24,0.16%
Pasadena,153351,29.6583,-95.1498,23,0.15%
Somerville,81322,42.3908,-71.1013,23,0.15%
Urbana,42014,40.1106,-88.1972,23,0.15%
Tallahassee,190894,30.4549,-84.2527,22,0.14%
Providence,179219,41.8229,-71.4186,22,0.14%
Cary,162320,35.7815,-78.8162,22,0.14%
Santa Monica,92478,34.0232,-118.4813,22,0.14%
Corvallis,57110,44.5697,-123.2781,22,0.14%
Albuquerque,559277,35.1055,-106.6476,21,0.14%
Salem,167419,44.9231,-123.0245,21,0.14%
Sunnyvale,152771,37.3846,-122.0261,21,0.14%
Champaign,86637,40.1148,-88.2731,21,0.14%
Reno,245255,39.5487,-119.8486,20,0.13%
Lancaster,160106,34.6934,-118.1753,20,0.13%
Alexandria,155810,38.8184,-77.0861,20,0.13%
Syracuse,143378,43.0409,-76.1438,20,0.13%
Lafayette,127626,30.2097,-92.0314,20,0.13%
Warwick,81579,41.7061,-71.4334,19,0.12%
Plymouth,77216,45.0225,-93.4617,19,0.12%
New Brunswick,56910,40.487,-74.445,19,0.12%
Norwich,39556,41.5495,-72.0882,19,0.12%
Hamilton,62127,39.3938,-84.5652,18,0.12%
Knoxville,186239,35.969,-83.9498,17,0.11%
Worcester,184508,42.2705,-71.8079,17,0.11%
Santa Cruz,64465,36.9788,-122.0346,17,0.11%
Saint Louis,311404,38.6358,-90.2451,16,0.10%
Jersey City,264152,40.7161,-74.0683,16,0.10%
Grand Rapids,196445,42.9615,-85.6557,16,0.10%
Jackson,169148,32.3163,-90.2124,16,0.10%
Bellevue,141400,47.5953,-122.155,16,0.10%
Santa Clara,125948,37.3646,-121.9679,16,0.10%
San Mateo,103959,37.5522,-122.3122,16,0.10%
Fort Worth,854113,32.7813,-97.3466,15,0.10%
Memphis,652717,35.1047,-89.9773,15,0.10%
Riverside,324722,33.9382,-117.3949,15,0.10%
Lexington,318449,38.0423,-84.4587,15,0.10%
Charleston,134385,32.8137,-79.9643,15,0.10%
Hartford,123243,41.7661,-72.6834,15,0.10%
Norman,122180,35.2335,-97.3471,15,0.10%
Evanston,74895,42.0463,-87.6942,15,0.10%
Newark,281764,40.7242,-74.1724,14,0.09%
Provo,116868,40.2458,-111.6457,14,0.09%
Albany,98111,42.6664,-73.7987,14,0.09%
Lawrence,95358,38.9603,-95.2643,14,0.09%
Florence,39959,34.83,-87.6658,14,0.09%
Roy,38201,41.1716,-112.0479,14,0.09%
West Lafayette,45872,40.4432,-86.9239,13,0.08%
Orange,140504,33.8038,-117.8219,12,0.08%
Boca Raton,96114,26.3749,-80.1078,12,0.08%
Frederick,70060,39.4334,-77.4154,12,0.08%
Logan,50676,41.7403,-111.8418,12,0.08%
Bozeman,45250,45.6828,-111.0545,12,0.08%
Blacksburg,45038,37.23,-80.4277,12,0.08%
Jacksonville,880619,30.3322,-81.6749,11,0.07%
Colorado Springs,465101,38.8673,-104.7605,11,0.07%
Saint Petersburg,260999,27.7931,-82.6652,11,0.07%
Fremont,233136,37.5256,-121.987,11,0.07%
Dayton,140489,39.7798,-84.1999,11,0.07%
Denton,133808,33.2165,-97.1411,11,0.07%
South Bend,101735,41.6771,-86.269,11,0.07%
Merced,82594,37.3057,-120.4779,11,0.07%
Saint Peters,57289,38.7825,-90.6061,11,0.07%
San Luis Obispo,47536,35.2671,-120.6689,11,0.07%
Oklahoma City,638367,35.4677,-97.5138,10,0.07%
Tulsa,403090,36.1284,-95.9037,10,0.07%
Saint Paul,302398,44.9477,-93.104,10,0.07%
Plano,286057,33.0502,-96.7487,10,0.07%
Baton Rouge,227715,30.4422,-91.1314,10,0.07%
Tacoma,211277,47.2431,-122.4531,10,0.07%
Asheville,89121,35.5703,-82.5536,10,0.07%
Rockville,66940,39.0834,-77.1553,10,0.07%
Cupertino,60643,37.3167,-122.0465,10,0.07%
Annapolis,39418,38.9705,-76.5047,10,0.07%
Long Beach,470130,33.8059,-118.161,9,0.06%
Anchorage,298192,61.1508,-149.1091,9,0.06%
Winston-Salem,242203,36.1029,-80.261,9,0.06%
Little Rock,198541,34.7255,-92.3584,9,0.06%
Springfield,167319,37.1943,-93.2916,9,0.06%
Wilmington,117525,34.21,-77.886,9,0.06%
Portsmouth,95252,36.8468,-76.354,9,0.06%
Redwood City,84950,37.5026,-122.2251,9,0.06%
Auburn,77472,47.3039,-122.2108,9,0.06%
Kalamazoo,75984,42.2749,-85.5882,9,0.06%
Hoboken,54379,40.7452,-74.0279,9,0.06%
