name,count,percent
New York,1095,7.13%
San Francisco,979,6.38%
Washington,680,4.43%
Seattle,579,3.77%
Chicago,568,3.70%
Boston,563,3.67%
Cambridge,441,2.87%
Ontario,354,2.31%
Melbourne,353,2.30%
Los Angeles,343,2.23%
Austin,293,1.91%
Vancouver,253,1.65%
Philadelphia,245,1.60%
Columbia,234,1.52%
Brooklyn,215,1.40%
Atlanta,211,1.37%
Houston,201,1.31%
Portland,197,1.28%
Dublin,193,1.26%
Victoria,183,1.19%
Pittsburgh,161,1.05%
Pittsburg,161,1.05%
San Diego,150,0.98%
Berkeley,150,0.98%
Minneapolis,149,0.97%
Edinburg,146,0.95%
Dallas,140,0.91%
Baltimore,129,0.84%
Denver,125,0.81%
Durham,119,0.77%
Manchester,118,0.77%
Charlotte,114,0.74%
Ann Arbor,111,0.72%
Madison,110,0.72%
Palo Alto,107,0.70%
Columbus,104,0.68%
Raleigh,92,0.60%
Gary,92,0.60%
San Jose,91,0.59%
Boulder,89,0.58%
Queens,88,0.57%
Manhattan,85,0.55%
Nashville,82,0.53%
Oakland,82,0.53%
Davis,74,0.48%
New Haven,68,0.44%
Mountain View,67,0.44%
Charlottesville,66,0.43%
Salt Lake City,62,0.40%
Hampton,61,0.40%
Athens,61,0.40%
Miami,60,0.39%
Birmingham,59,0.38%
Rochester,59,0.38%
Cincinnati,56,0.36%
Wellington,56,0.36%
Chapel Hill,54,0.35%
Bristol,51,0.33%
Lansing,50,0.33%
Milwaukee,48,0.31%
Kansas City,48,0.31%
Richmond,48,0.31%
Phoenix,47,0.31%
Detroit,47,0.31%
Gainesville,47,0.31%
Cleveland,46,0.30%
Arlington,42,0.27%
Tempe,41,0.27%
Lincoln,40,0.26%
Fort Collins,39,0.25%
Tampa,37,0.24%
Indianapolis,36,0.23%
Santa Barbara,36,0.23%
Orlando,35,0.23%
Waterloo,35,0.23%
Ames,35,0.23%
Irvine,34,0.22%
East Lansing,34,0.22%
Kent,33,0.21%
Louisville,32,0.21%
State College,31,0.20%
Brighton,31,0.20%
Sacramento,30,0.20%
Omaha,30,0.20%
New Orleans,29,0.19%
Eugene,29,0.19%
Burlington,28,0.18%
Milton,28,0.18%
San Antonio,27,0.18%
Edmond,27,0.18%
Redmond,27,0.18%
Reading,26,0.17%
Lombard,26,0.17%
Las Vegas,25,0.16%
Tucson,25,0.16%
Bloomington,25,0.16%
Buffalo,24,0.16%
College Station,24,0.16%
Bend,24,0.16%
Iowa City,24,0.16%
Pasadena,23,0.15%
Somerville,23,0.15%
Urbana,23,0.15%
Tallahassee,22,0.14%
Providence,22,0.14%
Cary,22,0.14%
Santa Monica,22,0.14%
Corvallis,22,0.14%
Albuquerque,21,0.14%
Salem,21,0.14%
Sunnyvale,21,0.14%
Champaign,21,0.14%
Reno,20,0.13%
Lancaster,20,0.13%
Alexandria,20,0.13%
Syracuse,20,0.13%
Lafayette,20,0.13%
Warwick,19,0.12%
Plymouth,19,0.12%
New Brunswick,19,0.12%
Norwich,19,0.12%
Hamilton,18,0.12%
Saint Petersburg,17,0.11%
Knoxville,17,0.11%
Worcester,17,0.11%
Santa Cruz,17,0.11%
Saint Peters,17,0.11%
Saint Louis,16,0.10%
Jersey City,16,0.10%
Grand Rapids,16,0.10%
Jackson,16,0.10%
Bellevue,16,0.10%
Santa Clara,16,0.10%
San Mateo,16,0.10%
Fort Worth,15,0.10%
Memphis,15,0.10%
Riverside,15,0.10%
Lexington,15,0.10%
Charleston,15,0.10%
Hartford,15,0.10%
Norman,15,0.10%
Evanston,15,0.10%
Roy,15,0.10%
Newark,14,0.09%
Provo,14,0.09%
Albany,14,0.09%
Lawrence,14,0.09%
Florence,14,0.09%
West Lafayette,13,0.08%
Orange,12,0.08%
