ids,next_cursor_str
14418272,0
634869731,0
878038796,0
797260410,0
773573846091825e3,0
4010041251,0
3065876356,0
950407533033935e3,0
836600064655122e3,0
413134503,0
849793688901476e3,0
898499580735762e3,0
779063627693199e3,0
2656289946,0
101201854521803e4,0
720649692577669e3,0
2910999702,0
1380929676,0
3029481950,0
354974684,0
78447335129718e4,0
2610820098,0
169184179,0
3133005544,0
15529195,0
429973980,0
2247206083,0
2626047054,0
958521113385959e3,0
122780011,0
25561406,0
1.0511788624937999e+18,0
1.0068061469744399e+18,0
105092763012239e4,0
2890783119,0
2300495568,0
973494603658777e3,0
1.0506617864819599e+18,0
104866292909941e4,0
3008713792,0
92804556976289e4,0
458441098,0
4179971069,0
3346038147,0
229564414,0
740551548967649e3,0
2951908043,0
303986401,0
3012024526,0
2350420334,0
295793931,0
40476869,0
930915612842447e3,0
71809382207343e4,0
203082290,0
313535389,0
14350106,0
2821568406,0
104912946740119e4,0
2458115778,0
36122280,0
760608425055093e3,0
318139041,0
486331388,0
723047418,0
2958991190,0
18100201,0
251786093,0
182938769,0
392711259,0
114041625,0
776431329437024e3,0
104749106436872e4,0
8.2926560307251994e+17,0
1118367558,0
460762051,0
885727429548925e3,0
545281232,0
2378019072,0
281360322,0
342411712,0
67967125,0
882294108882162e3,0
104786887471506e4,0
319392743,0
1.0318213346306801e+18,0
117357223,0
716457471737524e3,0
350453019,0
84825505,0
104807035948269e4,0
2562279086,0
16585174,0
727163763242209e3,0
858004774372876e3,0
42715473,0
1395579505,0
2347634144,0
72375188,0
2957683736,0
1942532082,0
431088467,0
101704365955503e4,0
298836457,0
345609141,0
937917734,0
2592559838,0
241807596,0
945383836979945e3,0
3354693549,0
611419149,0
1004962160,0
35132550,0
104074865644856e4,0
970476888,0
824909099007488e3,0
821044094990512e3,0
2235803052,0
104199052527499e4,0
933993004133732e3,0
992414980795458e3,0
9831589743703e5,0
2997101668,0
68051786,0
981957793904243e3,0
64821888,0
2291451770,0
4239337282,0
308091924,0
76212958,0
156520591,0
104519615730607e4,0
897892615,0
264376656,0
725685858775499e3,0
1935664448,0
1733724360,0
4706665425,0
52248335,0
22316320,0
788105434536215e3,0
33774346,0
255875635,0
29734050,0
17269423,0
13581882,0
719707506952577e3,0
1730244469,0
2593634844,0
2948716176,0
2164573802,0
3974632948,0
104588619059402e4,0
164026255,0
906860495696777e3,0
104571716502077e4,0
865170249410335e3,0
2876492027,0
82582747,0
834400285,0
20149686,0
62217160,0
912663271,0
781566057945391e3,0
389036156,0
877249735320621e3,0
104506750448008e4,0
103186504135034e4,0
257836940,0
160005137,0
30883467,0
930519496892097e3,0
291570093,0
897478702128275e3,0
104547484854854e4,0
783921780733936e3,0
17887541,0
101253839000311e4,0
103775280609728e4,0
50216466,0
984216972618551e3,0
10450133871624e5,0
844924820,0
936061093390242e3,0
134017888,0
2371338838,0
2510690641,0
66435928,0
948648704210186e3,0
1080894362,0
3233885189,0
733407223,0
473307285,0
230954247,0
52105104,0
21709050,0
93775185,0
606193743,0
386314985,0
78331327,0
345855648,0
1862137760,0
592013302,0
6740622,0
15678072,0
411215096,0
104317264101059e4,0
926961529521443e3,0
17930238,0
159828598,0
