dma_boundary UniqueID,Latitude,Longitude,point_order,sub_polygon_id,Media Market
205,33.2855,-89.6453,1,1,"Greenwood-Greenville, MS"
205,33.2143,-89.7479,2,1,"Greenwood-Greenville, MS"
205,33.3751,-90.3215,3,1,"Greenwood-Greenville, MS"
205,33.3127,-90.2864,4,1,"Greenwood-Greenville, MS"
205,33.2395,-90.3665,5,1,"Greenwood-Greenville, MS"
205,33.3295,-90.4532,6,1,"Greenwood-Greenville, MS"
205,33.2675,-90.7277,7,1,"Greenwood-Greenville, MS"
205,33.1016,-90.6804,8,1,"Greenwood-Greenville, MS"
205,33.0974,-90.9145,9,1,"Greenwood-Greenville, MS"
205,33.0077,-90.9143,10,1,"Greenwood-Greenville, MS"
205,33.0059,-91.4604,11,1,"Greenwood-Greenville, MS"
205,33.5637,-91.4535,12,1,"Greenwood-Greenville, MS"
205,33.5171,-91.2458,13,1,"Greenwood-Greenville, MS"
205,33.6036,-91.1306,14,1,"Greenwood-Greenville, MS"
205,33.6929,-91.2206,15,1,"Greenwood-Greenville, MS"
205,33.6741,-91.0336,16,1,"Greenwood-Greenville, MS"
205,33.7673,-91.1451,17,1,"Greenwood-Greenville, MS"
205,33.7768,-90.9912,18,1,"Greenwood-Greenville, MS"
205,33.8591,-91.073,19,1,"Greenwood-Greenville, MS"
205,33.9288,-91.0101,20,1,"Greenwood-Greenville, MS"
205,33.9697,-91.0898,21,1,"Greenwood-Greenville, MS"
205,34.0282,-90.8904,22,1,"Greenwood-Greenville, MS"
205,34.0876,-90.8728,23,1,"Greenwood-Greenville, MS"
205,34.1201,-90.956,24,1,"Greenwood-Greenville, MS"
205,34.1189,-90.6595,25,1,"Greenwood-Greenville, MS"
205,33.9876,-90.6604,26,1,"Greenwood-Greenville, MS"
205,33.9857,-90.4507,27,1,"Greenwood-Greenville, MS"
205,34.073,-90.4509,28,1,"Greenwood-Greenville, MS"
205,34.0729,-90.1357,29,1,"Greenwood-Greenville, MS"
205,34.16,-90.1355,30,1,"Greenwood-Greenville, MS"
205,34.1643,-89.9315,31,1,"Greenwood-Greenville, MS"
205,33.898,-89.9261,32,1,"Greenwood-Greenville, MS"
205,33.8675,-89.5074,33,1,"Greenwood-Greenville, MS"
205,33.6776,-89.5069,34,1,"Greenwood-Greenville, MS"
205,33.6767,-89.7869,35,1,"Greenwood-Greenville, MS"
205,33.4163,-89.7852,36,1,"Greenwood-Greenville, MS"
205,33.4025,-89.6463,37,1,"Greenwood-Greenville, MS"
205,33.2855,-89.6453,38,1,"Greenwood-Greenville, MS"
204,26.0474,-97.2003,1,4,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.0636,-97.2086,2,4,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.0713,-97.1895,3,4,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.067,-97.1984,4,4,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.0474,-97.2003,5,4,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.2043,-97.1832,1,3,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.5482,-97.2692,2,3,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.5243,-97.286,3,3,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.5612,-97.3314,4,3,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.5626,-97.2697,5,3,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.3097,-97.1956,6,3,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.0684,-97.156,7,3,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.2043,-97.1832,8,3,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.6004,-97.2879,1,2,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.5654,-97.2751,2,2,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.5656,-97.3095,3,2,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.57,-97.281,4,2,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.6004,-97.2879,5,2,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.0496,-98.1475,1,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.2246,-98.4452,2,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.2363,-98.6694,3,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.3694,-98.8073,4,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.3973,-99.0837,5,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.5717,-99.1694,6,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.7857,-98.9542,7,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.7809,-97.9855,8,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.6158,-97.9853,9,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.5996,-97.4402,10,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.4559,-97.4768,11,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.4158,-97.3914,12,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.3501,-97.4142,13,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.353,-97.3317,14,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.1184,-97.3108,15,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.076,-97.2,16,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.0617,-97.2157,17,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.0413,-97.2103,18,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.0351,-97.2221,19,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.07,-97.2305,20,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.0731,-97.2439,21,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.0622,-97.2672,22,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,25.996,-97.2577,23,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.0001,-97.153,24,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.0573,-97.1723,25,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.0605,-97.1551,26,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,25.9568,-97.146,27,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,25.9308,-97.3489,28,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,25.8503,-97.364,29,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,25.8382,-97.4057,30,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.0378,-97.663,31,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
204,26.0496,-98.1475,32,1,"Harlingen-Weslaco-Brownsville-McAllen, TX"
203,31.9902,-88.0735,1,1,"Meridian, MS"
203,31.9477,-88.1226,2,1,"Meridian, MS"
203,31.9235,-88.0552,3,1,"Meridian, MS"
203,31.8183,-88.1808,4,1,"Meridian, MS"
203,31.6993,-88.0883,5,1,"Meridian, MS"
203,31.6979,-88.4644,6,1,"Meridian, MS"
203,31.8939,-88.4732,7,1,"Meridian, MS"
203,31.8266,-88.9105,8,1,"Meridian, MS"
203,32.2242,-88.9138,9,1,"Meridian, MS"
203,32.2235,-89.3227,10,1,"Meridian, MS"
203,32.9317,-89.3192,11,1,"Meridian, MS"
203,32.9291,-88.3479,12,1,"Meridian, MS"
203,32.9912,-88.3404,13,1,"Meridian, MS"
203,32.9959,-88.1719,14,1,"Meridian, MS"
203,32.9227,-88.2072,15,1,"Meridian, MS"
203,32.8285,-88.1783,16,1,"Meridian, MS"
203,32.7907,-88.064,17,1,"Meridian, MS"
203,32.6985,-88.1168,18,1,"Meridian, MS"
203,32.691,-88.0414,19,1,"Meridian, MS"
203,32.5945,-88.0585,20,1,"Meridian, MS"
203,32.6323,-87.9287,21,1,"Meridian, MS"
203,32.6058,-87.8409,22,1,"Meridian, MS"
203,32.5988,-87.8986,23,1,"Meridian, MS"
203,32.519,-87.8434,24,1,"Meridian, MS"
203,32.425,-88.0384,25,1,"Meridian, MS"
203,32.3739,-88.0444,26,1,"Meridian, MS"
203,32.3443,-87.9709,27,1,"Meridian, MS"
203,32.3101,-87.9297,28,1,"Meridian, MS"
203,32.2878,-87.9283,29,1,"Meridian, MS"
203,32.2852,-88.0191,30,1,"Meridian, MS"
203,32.0841,-88.0437,31,1,"Meridian, MS"
203,32.0534,-88.1182,32,1,"Meridian, MS"
203,31.9902,-88.0735,33,1,"Meridian, MS"
202,32.9912,-88.3404,1,1,"Columbus-Tupelo-West Point, MS"
202,32.9291,-88.3479,2,1,"Columbus-Tupelo-West Point, MS"
202,32.9317,-89.3192,3,1,"Columbus-Tupelo-West Point, MS"
202,33.2856,-89.3164,4,1,"Columbus-Tupelo-West Point, MS"
202,33.2855,-89.6453,5,1,"Columbus-Tupelo-West Point, MS"
202,33.4025,-89.6463,6,1,"Columbus-Tupelo-West Point, MS"
202,33.4163,-89.7852,7,1,"Columbus-Tupelo-West Point, MS"
202,33.6767,-89.7869,8,1,"Columbus-Tupelo-West Point, MS"
202,33.6776,-89.5069,9,1,"Columbus-Tupelo-West Point, MS"
202,33.8675,-89.5074,10,1,"Columbus-Tupelo-West Point, MS"
202,33.898,-89.9261,11,1,"Columbus-Tupelo-West Point, MS"
202,34.1643,-89.9315,12,1,"Columbus-Tupelo-West Point, MS"
202,34.1612,-89.2455,13,1,"Columbus-Tupelo-West Point, MS"
202,34.5976,-89.2456,14,1,"Columbus-Tupelo-West Point, MS"
202,34.5965,-88.7178,15,1,"Columbus-Tupelo-West Point, MS"
202,34.7568,-88.7185,16,1,"Columbus-Tupelo-West Point, MS"
202,34.7556,-88.3659,17,1,"Columbus-Tupelo-West Point, MS"
202,34.9955,-88.3635,18,1,"Columbus-Tupelo-West Point, MS"
202,34.9956,-88.2001,19,1,"Columbus-Tupelo-West Point, MS"
202,34.8922,-88.0979,20,1,"Columbus-Tupelo-West Point, MS"
202,34.0583,-88.2072,21,1,"Columbus-Tupelo-West Point, MS"
202,34.0222,-87.9519,22,1,"Columbus-Tupelo-West Point, MS"
202,33.5241,-87.9465,23,1,"Columbus-Tupelo-West Point, MS"
202,33.534,-88.2746,24,1,"Columbus-Tupelo-West Point, MS"
202,32.9912,-88.3404,25,1,"Columbus-Tupelo-West Point, MS"
201,26.5717,-99.1694,1,1,"Laredo, TX"
201,26.8432,-99.2686,2,1,"Laredo, TX"
201,27.023,-99.4465,3,1,"Laredo, TX"
201,27.2509,-99.442,4,1,"Laredo, TX"
201,27.3171,-99.538,5,1,"Laredo, TX"
201,27.5681,-99.5122,6,1,"Laredo, TX"
201,27.7978,-99.8768,7,1,"Laredo, TX"
201,27.981,-99.9318,8,1,"Laredo, TX"
201,28.1968,-100.2122,9,1,"Laredo, TX"
201,28.2046,-99.3942,10,1,"Laredo, TX"
201,28.0304,-99.3889,11,1,"Laredo, TX"
201,28.0575,-98.8033,12,1,"Laredo, TX"
201,27.268,-98.7981,13,1,"Laredo, TX"
201,27.2694,-98.9546,14,1,"Laredo, TX"
201,26.7857,-98.9542,15,1,"Laredo, TX"
201,26.5717,-99.1694,16,1,"Laredo, TX"
200,31.2817,-92.0222,1,1,"Monroe, LA-El Dorado, AR"
200,31.6202,-92.3844,2,1,"Monroe, LA-El Dorado, AR"
200,31.7966,-92.3626,3,1,"Monroe, LA-El Dorado, AR"
200,31.7971,-92.6192,4,1,"Monroe, LA-El Dorado, AR"
200,31.7096,-92.62,5,1,"Monroe, LA-El Dorado, AR"
