lat,lon,cluster,enrollment
41.8831,-87.6867,1,82
41.7527,-87.7699,6,98
41.724,-87.7267,6,86
41.5109,-87.6633,1,137
41.5109,-87.6633,6,25
41.8719,-87.8457,1,80
41.8729,-87.8453,6,220
42.1292,-87.8268,4,88
42.101,-88.0445,4,182
42.0841,-87.9698,3,79
41.867,-87.6761,2,29
41.6881,-87.7788,6,69
42.0109,-87.8711,6,35
42.0957,-88.0356,6,31
41.8807,-87.9081,6,34
41.8547,-87.7594,1,53
42.0335,-87.6834,6,62
42.0394,-87.7707,6,110
41.6371,-87.6132,1,50
41.6335,-87.614,1,30
41.6161,-87.6262,6,298
41.6174,-87.7668,6,77
41.6174,-87.7668,6,28
41.6256,-87.8504,6,101
41.4835,-87.728,6,471
41.7766,-87.8044,5,1796
42.065,-88.0153,6,57
42.1404,-87.9837,4,1931
42.0109,-87.9974,4,1936
42.1039,-87.9594,4,2018
42.0786,-87.9488,4,2104
42.0652,-88.0158,4,1845
42.0457,-87.9738,6,69
42.1262,-87.9382,5,1764
42.0465,-87.9732,3,90
42.0457,-87.9735,6,18
41.5155,-87.6439,5,1660
41.4845,-87.5945,5,1510
41.5128,-87.6441,1,74
41.6555,-87.7765,5,1816
41.6613,-87.6964,5,1804
41.6988,-87.7583,5,1683
41.6427,-87.7171,1,195
41.6152,-87.7153,5,1378
41.5735,-87.7119,6,1088
41.6153,-87.7538,4,1411
41.5722,-87.767,4,1196
41.6877,-87.8189,5,2365
41.6491,-87.8553,4,3335
41.5784,-87.8392,4,2070
41.9752,-87.6801,1,1224
41.8397,-87.6187,1,1122
41.7486,-87.7208,1,1102
41.6568,-87.5894,1,527
41.9193,-87.7616,1,1508
41.8432,-87.6958,1,278
41.8783,-87.664,5,2197
41.8772,-87.6834,1,150
41.8024,-87.662,1,366
41.8528,-87.6644,1,1657
41.7448,-87.635,1,1451
41.8486,-87.7084,1,1097
41.6896,-87.6378,1,412
41.9395,-87.7538,1,1376
41.7909,-87.6894,1,589
41.7187,-87.6212,1,857
41.775,-87.6697,1,453
41.7545,-87.6022,1,245
41.78,-87.7185,1,1586
41.7821,-87.5873,1,936
