lat,lon,cluster,enrollment
40.839,-73.9001,1,651
40.7052,-74.0161,6,448
40.8228,-73.9216,1,1005
40.7499,-73.8851,6,537
40.7201,-73.986,1,480
40.7292,-73.9824,6,651
40.7201,-73.986,1,400
40.7224,-73.9906,1,212
40.7123,-73.9841,1,305
40.7193,-73.9796,5,1715
40.7132,-73.986,1,319
40.7183,-73.9761,3,563
40.7224,-73.9906,1,178
40.7678,-73.9888,6,1326
40.7434,-74.0026,6,392
40.7363,-73.9958,6,81
40.742,-73.9923,6,415
40.7655,-73.9597,6,466
40.7655,-73.9597,6,331
40.7465,-73.9811,6,255
40.7418,-74.0002,6,310
40.729,-74.0061,6,584
40.7475,-73.9906,6,256
40.7326,-73.9826,5,1713
40.709,-74.0125,6,693
40.7093,-74.0124,6,776
40.7655,-73.9597,6,533
40.7577,-73.9833,6,711
40.756100000000004,-73.9844,6,236
40.7326,-73.9826,4,463
40.7614,-73.9886,6,510
40.7654,-73.9818,6,1438
40.7244,-74.0048,6,450
40.7456,-73.9965,5,1740
40.7112,-74.0015,5,1475
40.7465,-73.9811,6,188
40.7443,-73.9913,6,440
40.7425,-74.0025,4,599
40.7391,-73.9854,4,715
40.7425,-74.0025,6,462
40.7178,-74.0138,4,3293
40.7356,-73.9874,6,310
40.7434,-74.0026,6,200
40.7655,-73.9597,6,145
40.7833,-73.9459,6,774
40.7383,-73.9814,6,181
40.7639,-73.9904,6,728
40.7054,-74.0129,6,596
40.7327,-73.9843,6,645
40.7703,-73.9533,4,533
40.7047,-74.0113,4,619
40.7174,-73.9894,1,444
40.7655,-73.9929,6,551
40.7298,-73.9924,6,64
40.7174,-73.9894,1,410
40.7017,-74.0118,6,448
40.768,-73.9889,6,273
40.7655,-73.9929,6,448
40.7174,-73.9894,1,351
40.7655,-73.9929,6,434
40.7164,-73.9934,1,421
40.7655,-73.9929,6,429
40.7054,-74.0129,6,424
40.7655,-73.9929,6,416
40.7174,-73.9894,1,327
40.7174,-73.9894,1,362
40.7434,-74.0026,6,233
40.7244,-74.0048,6,431
40.7355,-73.9876,6,555
40.7356,-73.9874,6,352
40.7434,-74.0026,6,428
40.7434,-74.0026,6,480
40.7639,-73.9904,6,414
40.7164,-73.9934,1,211
40.7465,-73.9811,6,309
40.7356,-73.9874,6,328
40.7434,-74.0026,6,464
40.7465,-73.9811,6,305
40.7639,-73.9904,6,363
40.7356,-73.9874,6,220
40.7364,-73.9957,6,229
40.7356,-73.9874,6,239
40.7726,-73.9884,4,1274
40.7972,-73.9668,6,451
40.8026,-73.9541,1,534
40.7742,-73.9859,4,2730
40.7749,-73.9856,6,533
40.7749,-73.9856,6,595
40.7749,-73.9856,6,462
40.8026,-73.9541,1,428
40.7749,-73.9856,6,383
40.7749,-73.9856,6,131
40.7749,-73.9856,6,432
40.7749,-73.9827,4,191
40.786,-73.9741,6,180
40.786,-73.9741,6,480
40.786,-73.9741,6,389
40.786,-73.9741,6,374
40.7992,-73.9337,1,316
40.7902,-73.9441,1,415
40.7937,-73.9487,1,483
40.7929,-73.9472,1,464
40.7852,-73.9423,1,20
40.792,-73.9468,1,349
40.7941,-73.9331,1,1594
40.7931,-73.9424,1,421
40.8214,-73.9411,1,693
40.807,-73.9385,1,183
40.824,-73.9358,1,1484
40.8173,-73.9473,1,274
40.8153,-73.9443,1,574
40.8215,-73.949,1,456
40.8173,-73.9473,1,426
40.8078,-73.94,1,183
40.8154,-73.9553,1,366
40.8107,-73.9561,1,664
40.8156,-73.9557,1,311
40.8108,-73.9561,1,841
40.838,-73.9384,1,483
40.8557,-73.9262,1,548
40.8557,-73.9262,1,536
40.8557,-73.9262,1,679
40.8557,-73.9262,1,631
40.8183,-73.9501,1,1374
40.861,-73.9301,1,595
40.8336,-73.9418,1,596
40.8492,-73.9311,1,653
40.8656,-73.9249,1,213
40.818,-73.9117,1,465
40.815,-73.9125,1,536
40.8111,-73.9095,1,179
40.8159,-73.9301,1,582
40.8187,-73.9199,1,393
40.8104,-73.9074,1,236
40.8159,-73.9301,1,337
40.818,-73.9115,1,340
40.8228,-73.9235,1,515
40.8137,-73.9259,1,581
40.8228,-73.9235,1,571
40.8228,-73.9235,1,461
40.8136,-73.9203,1,452
40.8136,-73.9203,1,645
40.817,-73.912,1,99
40.8136,-73.926,1,412
40.819,-73.9055,1,163
40.8187,-73.9199,1,152
40.8187,-73.9199,1,427
40.8104,-73.9074,1,201
40.8401,-73.8392,5,2079
40.8218,-73.9029,1,303
40.8177,-73.8979,1,349
40.822,-73.8558,1,320
40.822,-73.8558,1,35
40.8206,-73.8931,1,548
40.815,-73.8561,1,391
40.822,-73.8558,1,487
40.8401,-73.8393,1,451
40.822,-73.8558,1,170
40.822,-73.8558,1,331
40.8209,-73.8807,1,333
40.8177,-73.8979,1,254
40.822,-73.8558,1,164
40.822,-73.8558,1,463
40.8152,-73.8561,1,642
40.822,-73.8558,1,320
40.8209,-73.8807,1,189
40.8399,-73.8381,1,252
40.8217,-73.9029,1,162
40.822,-73.8558,1,188
40.8434,-73.9031,1,706
40.8276,-73.919,1,770
40.8272,-73.9041,1,397
40.8272,-73.904,1,394
40.8398,-73.9113,1,352
40.8399,-73.9113,1,468
40.8399,-73.9113,1,249
40.8272,-73.904,1,377
40.8424,-73.9162,1,546
40.8337,-73.904,1,414
40.8399,-73.9113,1,362
40.8453,-73.8972,1,647
40.8399,-73.9113,1,36
40.8396,-73.9019,1,606
40.8272,-73.9041,1,469
40.8339,-73.9027,1,422
40.8396,-73.9019,1,374
40.8339,-73.9027,1,458
40.8417,-73.8979,1,216
40.8396,-73.9019,1,369
40.8287,-73.9178,1,512
40.8398,-73.9113,1,347
40.8495,-73.9157,1,303
40.8393,-73.9114,1,164
40.8784,-73.8908,5,3037
40.8813,-73.8875,5,2723
40.8555,-73.8825,1,414
40.8772,-73.9128,1,143
40.8767,-73.8814,1,622
40.8881,-73.9144,5,1353
40.879,-73.9115,1,1041
40.8703,-73.8971,1,501
40.8597,-73.8884,1,407
40.8597,-73.8884,1,403
40.8597,-73.8884,1,460
40.8597,-73.8884,1,414
40.8772,-73.9127,1,444
40.8748,-73.8951,3,388
40.8772,-73.9127,1,439
40.8703,-73.897,1,437
40.8703,-73.897,1,534
40.8597,-73.8884,1,617
40.8772,-73.9128,1,416
40.8756,-73.9012,6,573
40.8772,-73.9127,1,433
40.8483,-73.8936,1,213
40.8544,-73.8972,1,582
40.8703,-73.897,1,406
40.8703,-73.897,1,545
40.8597,-73.8884,1,472
40.8772,-73.9127,1,279
40.8555,-73.8825,1,243
40.8555,-73.8825,1,213
40.8604,-73.8603,6,158
40.8742,-73.8327,5,1911
40.8516,-73.8645,1,500
40.8604,-73.8603,6,483
40.8754,-73.8615,1,514
40.8604,-73.8603,6,40
40.8754,-73.8615,1,400
40.8742,-73.8327,1,348
40.8754,-73.8616,1,402
