Officeholder name,Office title,Date assumed office,Party affiliation
Jack Reed,U.S. Senate Rhode Island,1997,Democratic Party
Lindsey Graham,U.S. Senate South Carolina,2003,Republican Party
Richard Burr,U.S. Senate North Carolina,2005-01-03,Republican Party
Pat Toomey,U.S. Senate Pennsylvania,2011,Republican Party
Lamar Alexander,U.S. Senate Tennessee,2003,Republican Party
Shelley Moore Capito,U.S. Senate West Virginia,2015-01-03,Republican Party
Bob Corker,U.S. Senate Tennessee,2007,Republican Party
Todd C. Young,U.S. Senate Indiana,2017-01-03,Republican Party
Pat Roberts,U.S. Senate Kansas,1997,Republican Party
Chris Coons,U.S. Senate Delaware,2010-11-15,Democratic Party
Ben Sasse,U.S. Senate Nebraska,2015-01-03,Republican Party
Bill Cassidy,U.S. Senate Louisiana,2015-01-03,Republican Party
Gary Peters,U.S. Senate Michigan,2015-01-03,Democratic Party
John Neely Kennedy,U.S. Senate Louisiana,2017-01-03,Republican Party
Maggie Hassan,U.S. Senate New Hampshire,2017-01-03,Democratic Party
Bob Menendez,U.S. Senate New Jersey,2006-01-18,Democratic Party
Tammy Duckworth,U.S. Senate Illinois,2017-01-03,Democratic Party
Thom Tillis,U.S. Senate North Carolina,2015-01-03,Republican Party
Dick Durbin,U.S. Senate Illinois,1997-01-03,Democratic Party
David Perdue,U.S. Senate Georgia,2015-01-03,Republican Party
Mark Warner,U.S. Senate Virginia,2009-01-03,Democratic Party
Orrin Hatch,U.S. Senate Utah,1977-01-03,Republican Party
Daniel S. Sullivan,U.S. Senate Alaska,2015-01-03,Republican Party
Doug Jones,U.S. Senate Alabama,2017-01-03,Democratic Party
Brian E. Schatz,U.S. Senate Hawaii,2012-12-27,Democratic Party
Chuck Schumer,U.S. Senate New York,1999-01-03,Democratic Party
Chuck Grassley,U.S. Senate Iowa,1981,Republican Party
Steve Daines,U.S. Senate Montana,2015-01-03,Republican Party
Chris Van Hollen,U.S. Senate Maryland,2017-01-03,Democratic Party
Michael Bennet,U.S. Senate Colorado,2009,Democratic Party
Jim Inhofe,U.S. Senate Oklahoma,1995,Republican Party
Jerry Moran,U.S. Senate Kansas,2011,Republican Party
Jeff Merkley,U.S. Senate Oregon,2009,Democratic Party
Jeanne Shaheen,U.S. Senate New Hampshire,2009-01-03,Democratic Party
Rob Portman,U.S. Senate Ohio,2011,Republican Party
"Ronald Harold ""Ron"" Johnson",U.S. Senate Wisconsin,2010,Republican Party
Ron Wyden,U.S. Senate Oregon,1996-01-30,Democratic Party
Jeff Flake,U.S. Senate Arizona,2013,Republican Party
Tina Smith,U.S. Senate Minnesota,2018-01-03,Democratic Party
Susan Collins,U.S. Senate Maine,1997-01-03,Republican Party
Cory Gardner,U.S. Senate Colorado,2015-01-03,Republican Party
Tom Cotton,U.S. Senate Arkansas,2015-01-03,Republican Party
Christopher S. Murphy,U.S. Senate Connecticut,2013-01-03,Democratic Party
Tom Carper,U.S. Senate Delaware,2001-01-03,Democratic Party
Bill Nelson,U.S. Senate Florida,2000-01-03,Democratic Party
Mazie K. Hirono,U.S. Senate Hawaii,2013-01-03,Democratic Party
Joe Donnelly,U.S. Senate Indiana,2013-01-03,Democratic Party
Angus King,U.S. Senate Maine,2013-01-03,Independent
Tom Udall,U.S. Senate New Mexico,2009-01-03,Democratic Party
Debbie Stabenow,U.S. Senate Michigan,2001-01-03,Democratic Party
Amy Klobuchar,U.S. Senate Minnesota,2007-01-03,Democratic Party
Claire McCaskill,U.S. Senate Missouri,2007-01-03,Democratic Party
Dean Heller,U.S. Senate Nevada,2011-05-09,Republican Party
Martin Heinrich,U.S. Senate New Mexico,2013-01-03,Democratic Party
Kirsten Gillibrand,U.S. Senate New York,2009-01-26,Democratic Party
Heidi Heitkamp,U.S. Senate North Dakota,2013-01-03,Democratic Party
Bob Casey Jr.,U.S. Senate Pennsylvania,2007,Democratic Party
Ted Cruz,U.S. Senate Texas,2013-01-03,Republican Party
Bernie Sanders,U.S. Senate Vermont,2007-01-03,Independent
Maria Cantwell,U.S. Senate Washington,2001,Democratic Party
Tammy Baldwin,U.S. Senate Wisconsin,2013-01-03,Democratic Party
John Barrasso,U.S. Senate Wyoming,2007,Republican Party
Mike Lee,U.S. Senate Utah,2011,Republican Party
Ben Cardin,U.S. Senate Maryland,2007-01-03,Democratic Party
John Cornyn,U.S. Senate Texas,2002-12-02,Republican Party
Deb Fischer,U.S. Senate Nebraska,2013-01-03,Republican Party
Dianne Feinstein,U.S. Senate California,1993,Democratic Party
Roy Blunt,U.S. Senate Missouri,2011-01-03,Republican Party
Jon Tester,U.S. Senate Montana,2007-01-03,Democratic Party
Mitch McConnell,U.S. Senate Kentucky,1985,Republican Party
John Boozman,U.S. Senate Arkansas,2011,Republican Party
Mike Enzi,U.S. Senate Wyoming,1997,Republican Party
Mike Crapo,U.S. Senate Idaho,1999-01-03,Republican Party
Roger Wicker,U.S. Senate Mississippi,2007-12-31,Republican Party
Joni Ernst,U.S. Senate Iowa,2015-01-03,Republican Party
Sherrod Brown,U.S. Senate Ohio,2007,Democratic Party
Cory Booker,U.S. Senate New Jersey,2013-10-31,Democratic Party
Kamala D. Harris,U.S. Senate California,2017-01-03,Democratic Party
Catherine Cortez Masto,U.S. Senate Nevada,2017-01-03,Democratic Party
John Thune,U.S. Senate South Dakota,2005,Republican Party
Elizabeth Warren,U.S. Senate Massachusetts,2013-01-03,Democratic Party
Jim Risch,U.S. Senate Idaho,2009-01-03,Republican Party
John Hoeven,U.S. Senate North Dakota,2011,Republican Party
"Timothy Michael ""Tim"" Kaine",U.S. Senate Virginia,2013-01-03,Democratic Party
Joe Manchin III,U.S. Senate West Virginia,2010-11-15,Democratic Party
Mike Rounds,U.S. Senate South Dakota,2015-01-03,Republican Party
Johnny Isakson,U.S. Senate Georgia,2005-01-03,Republican Party
Marco Rubio,U.S. Senate Florida,2011-01-03,Republican Party
Patrick Leahy,U.S. Senate Vermont,1975-01-03,Democratic Party
Richard Shelby,U.S. Senate Alabama,1987,Republican Party
Ed Markey,U.S. Senate Massachusetts,2013-07-16,Democratic Party
Lisa Murkowski,U.S. Senate Alaska,2002-12-20,Republican Party
Richard Blumenthal,U.S. Senate Connecticut,2011-01-03,Democratic Party
Rand Paul,U.S. Senate Kentucky,2011,Republican Party
Tim Scott,U.S. Senate South Carolina,2013,Republican Party
Sheldon Whitehouse,U.S. Senate Rhode Island,2007,Democratic Party
James Lankford,U.S. Senate Oklahoma,2015-01-03,Republican Party
Patty Murray,U.S. Senate Washington,1993,Democratic Party
Cindy Hyde-Smith,U.S. Senate Mississippi,2018,Republican Party
Jon Kyl,U.S. Senate Arizona,1995,Republican Party
