primary_city,state,county
Holtsville,NY,Suffolk County
Adjuntas,PR,Adjuntas Municipio
Aguada,PR,Aguada Municipio
Aguadilla,PR,Aguadilla Municipio
Maricao,PR,Maricao Municipio
Anasco,PR,Añasco Municipio
Arecibo,PR,Arecibo Municipio
Bajadero,PR,Arecibo Municipio
Barceloneta,PR,Barceloneta Municipio
Boqueron,PR,Cabo Rojo Municipio
Cabo Rojo,PR,Cabo Rojo Municipio
Penuelas,PR,Peñuelas Municipio
Camuy,PR,Camuy Municipio
Castaner,PR,Lares Municipio
Sabana Grande,PR,Sabana Grande Municipio
Ciales,PR,Ciales Municipio
Utuado,PR,Utuado Municipio
Dorado,PR,Dorado Municipio
Ensenada,PR,Guánica Municipio
Florida,PR,Florida Municipio
Garrochales,PR,Arecibo Municipio
Guanica,PR,Guánica Municipio
Guayanilla,PR,Guayanilla Municipio
Hatillo,PR,Hatillo Municipio
Hormigueros,PR,Hormigueros Municipio
Isabela,PR,Isabela Municipio
Jayuya,PR,Jayuya Municipio
Lajas,PR,Lajas Municipio
Lares,PR,Lares Municipio
Las Marias,PR,Las Marías Municipio
Manati,PR,Manatí Municipio
Moca,PR,Moca Municipio
Rincon,PR,Rincón Municipio
Quebradillas,PR,Quebradillas Municipio
Mayaguez,PR,Mayagüez Municipio
San German,PR,San Germán Municipio
San Sebastian,PR,San Sebastián Municipio
Morovis,PR,Morovis Municipio
Sabana Hoyos,PR,Arecibo Municipio
San Antonio,PR,Aguadilla Municipio
Vega Alta,PR,Vega Alta Municipio
Vega Baja,PR,Vega Baja Municipio
Yauco,PR,Yauco Municipio
Aguas Buenas,PR,Aguas Buenas Municipio
Aguirre,PR,Salinas Municipio
Aibonito,PR,Aibonito Municipio
Maunabo,PR,Maunabo Municipio
Arroyo,PR,Arroyo Municipio
Mercedita,PR,Ponce Municipio
Ponce,PR,Ponce Municipio
Naguabo,PR,Naguabo Municipio
Naranjito,PR,Naranjito Municipio
Orocovis,PR,Orocovis Municipio
Patillas,PR,Patillas Municipio
Caguas,PR,Caguas Municipio
Canovanas,PR,Canóvanas Municipio
Ceiba,PR,Ceiba Municipio
Cayey,PR,Cayey Municipio
Fajardo,PR,Fajardo Municipio
Cidra,PR,Cidra Municipio
Puerto Real,PR,Fajardo Municipio
Punta Santiago,PR,Humacao Municipio
Rio Grande,PR,Río Grande Municipio
Salinas,PR,Salinas Municipio
San Lorenzo,PR,San Lorenzo Municipio
Santa Isabel,PR,Santa Isabel Municipio
Vieques,PR,Vieques Municipio
Villalba,PR,Villalba Municipio
Yabucoa,PR,Yabucoa Municipio
Coamo,PR,Coamo Municipio
Las Piedras,PR,Las Piedras Municipio
