state,abbreviation
Connecticut,CT
Maine,ME
Massachusetts,MA
New Hampshire,NH
Rhode Island,RI
Vermont,VT
Delaware,DE
Maryland,MD
New Jersey,NJ
New York,NY
Pennsylvania,PA
Alabama,AL
Arkansas,AR
Florida,FL
Georgia,GA
Kentucky,KY
Louisiana,LA
Mississippi,MS
Missouri,MO
North Carolina,NC
South Carolina,SC
Tennessee,TN
Virginia,VA
West Virginia,WV
Arizona,AZ
New Mexico,NM
Oklahoma,OK
Texas,TX
Illinois,IL
Indiana,IN
Iowa,IA
Kansas,KS
Michigan,MI
Minnesota,MN
Nebraska,NE
North Dakota,ND
Ohio,OH
South Dakota,SD
Wisconsin,WI
Alaska,AK
California,CA
Colorado,CO
Hawaii,HI
Idaho,ID
Montana,MT
Nevada,NV
Oregon,OR
Utah,UT
Washington,WA
Wyoming,WY
District of Columbia,DC
