yearly_rank,region,state,loc_id,city,airport_name,airport_classification,hub_type,year,passengers
58,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,Primary,Medium,2013,2325030
121,AL,AK,FAI,Fairbanks,Fairbanks International,Primary,Small,2013,457372
138,AL,AK,JNU,Juneau,Juneau International,Primary,Nonhub,2013,359291
199,AL,AK,BET,Bethel,Bethel,Primary,Nonhub,2013,152084
222,AL,AK,KTN,Ketchikan,Ketchikan International,Primary,Nonhub,2013,109433
226,AL,AK,ENA,Kenai,Kenai Municipal,Primary,Nonhub,2013,99821
244,AL,AK,ADQ,Kodiak,Kodiak,Primary,Nonhub,2013,79930
249,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,Primary,Nonhub,2013,67989
258,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,Primary,Nonhub,2013,61274
264,AL,AK,OME,Nome,Nome,Primary,Nonhub,2013,58020
275,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,Primary,Nonhub,2013,51568
279,AL,AK,SCC,Deadhorse,Deadhorse,Primary,Nonhub,2013,48588
285,AL,AK,5KE,Ketchikan,Ketchikan Harbor,General Aviation,NA,2013,45477
295,AL,AK,HOM,Homer,Homer,Primary,Nonhub,2013,37705
299,AL,AK,AKN,King Salmon,King Salmon,Primary,Nonhub,2013,35450
316,AL,AK,DUT,Unalaska,Unalaska,Primary,Nonhub,2013,28556
319,AL,AK,DLG,Dillingham,Dillingham,Primary,Nonhub,2013,26632
326,AL,AK,LHD,Anchorage,Lake Hood,Primary,Nonhub,2013,24026
339,AL,AK,PSG,Petersburg,Petersburg James A Johnson,Primary,Nonhub,2013,20046
357,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,Primary,Nonhub,2013,15772
363,AL,AK,ANI,Aniak,Aniak,Primary,Nonhub,2013,14334
366,AL,AK,GAL,Galena,Edward G Pitka Sr,Primary,Nonhub,2013,14141
368,AL,AK,UNK,Unalakleet,Unalakleet,Primary,Nonhub,2013,14011
369,AL,AK,KSM,St Mary's,St Mary's,Primary,Nonhub,2013,13949
375,AL,AK,MRI,Anchorage,Merrill Field,Primary,Nonhub,2013,13440
377,AL,AK,VDZ,Valdez,Valdez Pioneer Field,Primary,Nonhub,2013,13318
388,AL,AK,MBA,Manokotak,Manokotak,Primary,Nonhub,2013,11903
389,AL,AK,WRG,Wrangell,Wrangell,Primary,Nonhub,2013,11807
405,AL,AK,DGG,Red Dog Mine,Red Dog,General Aviation,NA,2013,10473
406,AL,AK,HNH,Hoonah,Hoonah,Primary,Nonhub,2013,10468
412,AL,AK,YAK,Yakutat,Yakutat,Primary,Nonhub,2013,10135
413,AL,AK,HNS,Haines,Haines,Primary,Nonhub,2013,10106
415,AL,AK,GST,Gustavus,Gustavus,Primary,Nonhub,2013,10076
421,AL,AK,CDB,Cold Bay,Cold Bay,Commercial Service,NA,2013,8665
425,AL,AK,ENM,Emmonak,Emmonak,Commercial Service,NA,2013,8268
