year,icpsr_state_code,alphanumeric_state_code,state,votes,eligible_voters
2014,0,0,United States,83262122,227157964
2014,41,1,Alabama,1191274,3588783
2014,81,2,Alaska,285431,520562
2014,61,3,Arizona,1537671,4510186
2014,42,4,Arkansas,852642,2117881
2014,71,5,California,7513972,24440416
2014,62,6,Colorado,2080071,3800664
2014,1,7,Connecticut,1096556,2577311
2014,11,8,Delaware,238110,681526
2014,55,9,District of Columbia,177176,495899
2014,43,10,Florida,6026802,13914216
2014,44,11,Georgia,2596947,6725041
2014,82,12,Hawaii,369554,1012123
2014,63,13,Idaho,445307,1119882
2014,21,14,Illinois,3680417,9028752
2014,22,15,Indiana,1387622,4829510
2014,31,16,Iowa,1142284,2269179
2014,32,17,Kansas,887023,2048164
2014,51,18,Kentucky,1459409,3247300
2014,45,19,Louisiana,1503975,3349433
2014,2,20,Maine,616996,1051557
2014,52,21,Maryland,1745104,4154546
2014,3,22,Massachusetts,2186789,4896296
2014,23,23,Michigan,3188956,7383958
2014,33,24,Minnesota,1992613,3935121
2014,46,25,Mississippi,NA,2181131
2014,34,26,Missouri,1509025,4493722
2014,64,27,Montana,373831,787748
2014,35,28,Nebraska,552115,1334453
2014,65,29,Nevada,552546,1867644
2014,4,30,New Hampshire,495565,1025862
2014,12,31,New Jersey,1955042,6014127
2014,66,32,New Mexico,NA,1449503
2014,13,33,New York,3930310,13553426
2014,47,34,North Carolina,2939767,7143737
2014,36,35,North Dakota,255128,567221
2014,24,36,Ohio,3149876,8701243
2014,53,37,Oklahoma,825607,2755091
2014,72,38,Oregon,1541782,2887517
2014,14,39,Pennsylvania,3535576,9689491
2014,5,40,Rhode Island,329212,776286
2014,48,41,South Carolina,1261611,3584461
2014,37,42,South Dakota,282291,630989
2014,54,43,Tennessee,1430117,4799476
2014,49,44,Texas,NA,16675420
2014,67,45,Utah,577973,1905801
2014,6,46,Vermont,202445,495884
2014,40,47,Virginia,2194346,5962456
2014,73,48,Washington,2123901,4928407
2014,56,49,West Virginia,462864,1447652
2014,25,50,Wisconsin,2422248,4260427
2014,68,51,Wyoming,171153,431434
2012,0,0,United States,130292355,222474111
2012,41,1,Alabama,NA,3539217
2012,81,2,Alaska,301694,511792
2012,61,3,Arizona,2323579,4387900
2012,42,4,Arkansas,1078548,2109847
2012,71,5,California,13202158,23681837
2012,62,6,Colorado,2596173,3675871
2012,1,7,Connecticut,1560640,2543202
2012,11,8,Delaware,NA,663967
2012,55,9,District of Columbia,294254,477582
2012,43,10,Florida,8538264,13495057
2012,44,11,Georgia,3919355,6606607
2012,82,12,Hawaii,437159,982902
2012,63,13,Idaho,666290,1091410
2012,21,14,Illinois,5279752,8899143
2012,22,15,Indiana,2663368,4755291
2012,31,16,Iowa,1589951,2251748
2012,32,17,Kansas,1182771,2030686
2012,51,18,Kentucky,1815843,3229185
2012,45,19,Louisiana,2014548,3311626
2012,2,20,Maine,724758,1046008
2012,52,21,Maryland,2734062,4063582
2012,3,22,Massachusetts,3184196,4809675
2012,23,23,Michigan,4780701,7312725
2012,33,24,Minnesota,2950780,3861598
2012,46,25,Mississippi,NA,2166825
2012,34,26,Missouri,NA,4432957
2012,64,27,Montana,491966,774476
2012,35,28,Nebraska,804245,1316915
2012,65,29,Nevada,1016664,1800969
2012,4,30,New Hampshire,718700,1013420
2012,12,31,New Jersey,3683638,5918182
2012,66,32,New Mexico,786522,1436363
2012,13,33,New York,7128852,13324107
2012,47,34,North Carolina,4542488,6947954
2012,36,35,North Dakota,325564,539164
2012,24,36,Ohio,5632423,8649495
2012,53,37,Oklahoma,NA,2713268
2012,72,38,Oregon,1820507,2836101
2012,14,39,Pennsylvania,NA,9651432
2012,5,40,Rhode Island,NA,768918
2012,48,41,South Carolina,1981516,3486838
2012,37,42,South Dakota,368270,613190
2012,54,43,Tennessee,2478870,4736084
2012,49,44,Texas,NA,16119973
2012,67,45,Utah,1028786,1833339
2012,6,46,Vermont,301793,493355
2012,40,47,Virginia,3888186,5834676
2012,73,48,Washington,3172939,4822060
2012,56,49,West Virginia,NA,1447066
2012,25,50,Wisconsin,NA,4209370
2012,68,51,Wyoming,250701,425142
2010,0,0,United States,90912015,217551109
2010,41,1,Alabama,1503232,3472582
2010,81,2,Alaska,261128,493764
2010,61,3,Arizona,1750840,4209544
2010,42,4,Arkansas,789773,2081156
2010,71,5,California,10529134,22946053
2010,62,6,Colorado,1828323,3533054
2010,1,7,Connecticut,1153872,2512981
2010,11,8,Delaware,316754,646969
2010,55,9,District of Columbia,135846,458619
2010,43,10,Florida,5473787,12961184
2010,44,11,Georgia,2623035,6464845
2010,82,12,Hawaii,386302,959531
2010,63,13,Idaho,459079,1069446
2010,21,14,Illinois,3792770,8798829
2010,22,15,Indiana,1791832,4697111
2010,31,16,Iowa,1133429,2234516
