release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre
6/22/2007,Evan Almighty,175e6,100289690,174131329,Universal,PG,Comedy
7/28/1995,Waterworld,175e6,88246220,264246220,Universal,PG-13,Action
5/12/2017,King Arthur: Legend of the Sword,175e6,39175066,139950708,Warner Bros.,PG-13,Adventure
12/25/2013,47 Ronin,175e6,38362475,151716815,Universal,PG-13,Action
12/31/2020,Singularity,175e6,0,0,Vertical Entertainment,PG-13,Action
6/22/2018,Jurassic World: Fallen Kingdom,17e7,416769345,1304866322,Universal,PG-13,Action
8/1/2014,Guardians of the Galaxy,17e7,333172112,771051335,Walt Disney,PG-13,Action
5/7/2010,Iron Man 2,17e7,312433331,621156389,Paramount Pictures,PG-13,Action
4/4/2014,Captain America: The Winter Soldier,17e7,259746958,714401889,Walt Disney,PG-13,Action
7/11/2014,Dawn of the Planet of the Apes,17e7,208545589,710644566,20th Century Fox,PG-13,Adventure
11/10/2004,The Polar Express,17e7,186493587,310634169,Warner Bros.,G,Adventure
6/1/2012,Snow White and the Huntsman,17e7,155136755,401021746,Universal,PG-13,Adventure
7/1/2003,Terminator 3: Rise of the Machines,17e7,150358296,433058296,Warner Bros.,R,Action
5/7/2004,Van Helsing,17e7,120150546,300150546,Universal,PG-13,Action
5/22/2015,Tomorrowland,17e7,93436322,207283457,Walt Disney,PG,Adventure
5/27/2016,Alice Through the Looking Glass,17e7,77042381,276934087,Walt Disney,PG,Adventure
5/21/2010,Shrek Forever After,165e6,238736787,756244673,Paramount Pictures,PG,Adventure
11/4/2016,Doctor Strange,165e6,232641920,676486457,Walt Disney,PG-13,Action
11/7/2014,Big Hero 6,165e6,222527828,652127828,Walt Disney,PG,Adventure
3/26/2010,How to Train Your Dragon,165e6,217581232,494870992,Paramount Pictures,PG,Adventure
11/2/2012,Wreck-It Ralph,165e6,189412677,496511521,Walt Disney,PG,Adventure
11/5/2014,Interstellar,165e6,188017894,667752422,Paramount Pictures,PG-13,Adventure
6/24/2016,Independence Day: Resurgence,165e6,103144286,384413934,20th Century Fox,PG-13,Action
7/29/2011,Cowboys and Aliens,163e6,100368560,176038324,Universal,PG-13,Action
5/17/2007,Shrek the Third,16e7,322719944,807330936,Paramount Pictures,PG,Adventure
5/24/2013,Fast and Furious 6,16e7,238679850,789300444,Universal,PG-13,Action
5/16/2014,Godzilla,16e7,200676069,529076069,Sony Pictures,PG-13,Action
5/16/2014,Godzilla,16e7,200676069,529076069,Warner Bros.,PG-13,Action
6/3/2011,X-Men: First Class,16e7,146408305,355408305,20th Century Fox,PG-13,Action
12/25/2008,The Curious Case of Benjamin Button,16e7,127509326,329631958,Paramount Pictures,PG-13,Drama
7/14/2010,The Sorcerer's Apprentice,16e7,63150991,217986320,Walt Disney,PG,Adventure
5/12/2006,Poseidon,16e7,60674817,181674817,Warner Bros.,PG-13,Adventure
6/10/2016,Warcraft,16e7,47225655,425547111,Universal,PG-13,Action
12/21/2018,Aquaman,16e7,0,0,Warner Bros.,PG-13,Action
9/30/2016,Deepwater Horizon,156e6,61433527,122631306,Lionsgate,PG-13,Drama
7/1/2015,Terminator: Genisys,155e6,89760956,432150894,Paramount Pictures,PG-13,Action
3/23/2018,Pacific Rim: Uprising,155e6,59185715,290241338,Universal,PG-13,Action
11/24/2004,Alexander,155e6,34297191,167297191,Warner Bros.,R,Action
7/14/2017,War for the Planet of the Apes,152e6,146880162,489592267,20th Century Fox,PG-13,Action
5/25/2001,Pearl Harbor,1515e5,198539855,449239855,Walt Disney,PG-13,Action
7/2/2007,Transformers,151e6,319246193,708272592,Paramount Pictures,PG-13,Action
6/2/2017,Wonder Woman,15e7,412563408,821133378,Warner Bros.,PG-13,Action
11/22/2013,Frozen,15e7,400738009,1272469910,Anchor Bay Entertai…,R,Horror
3/4/2016,Zootopia,15e7,341268248,1019706594,Walt Disney,PG,Adventure
11/18/2005,Harry Potter and the Goblet of Fire,15e7,290013036,896911078,Warner Bros.,PG-13,Adventure
5/15/2003,The Matrix Reloaded,15e7,281553689,738576929,Warner Bros.,R,Action
12/14/2007,I am Legend,15e7,256393010,585532684,Warner Bros.,PG-13,Horror
7/1/2008,Hancock,15e7,227946274,624234272,Sony Pictures,PG-13,Action
7/15/2005,Charlie and the Chocolate Factory,15e7,206459076,475825484,Warner Bros.,PG,Adventure
6/29/2007,Ratatouille,15e7,206445654,626549695,Walt Disney,G,Adventure
11/8/2013,Thor: The Dark World,15e7,206362140,644602516,Walt Disney,PG-13,Action
6/15/2005,Batman Begins,15e7,205343774,359142722,Warner Bros.,PG-13,Action
7/31/2015,Mission: Impossible—Rogue Nation,15e7,195042377,689388363,Paramount Pictures,PG-13,Action
7/21/2017,Dunkirk,15e7,190068280,499900860,Warner Bros.,PG-13,Action
5/6/2011,Thor,15e7,181030624,449326618,Paramount Pictures,PG-13,Action
11/7/2008,Madagascar: Escape 2 Africa,15e7,180174880,599680774,Paramount Pictures,PG,Adventure
5/1/2009,X-Men Origins: Wolverine,15e7,179883157,374825760,20th Century Fox,PG-13,Action
5/26/2011,Kung Fu Panda 2,15e7,165249063,664837547,Paramount Pictures,PG,Adventure
5/15/2015,Mad Max: Fury Road,15e7,153636354,370651733,Warner Bros.,R,Action
8/10/2018,The Meg,15e7,142700791,527100791,Warner Bros.,PG-13,Action
11/5/2003,The Matrix Revolutions,15e7,139270910,427300260,Warner Bros.,R,Action
3/29/2018,Ready Player One,15e7,137018455,578621729,Warner Bros.,PG-13,Adventure
5/5/2006,Mission: Impossible III,15e7,133501348,397501348,Paramount Pictures,PG-13,Action
5/14/2004,Troy,15e7,133298577,484161265,Warner Bros.,R,Action
7/1/2010,The Last Airbender,15e7,131772187,319713881,Paramount Pictures,PG,Adventure
11/2/2007,Bee Movie,15e7,126631277,287594577,Paramount Pictures,PG,Adventure
