airline,avail_seat_km_per_week,year_range,type_of_event,n_events
Aer Lingus,320906734,85_99,incidents,2
Aeroflot*,1197672318,85_99,incidents,76
Aerolineas Argentinas,385803648,85_99,incidents,6
Aeromexico*,596871813,85_99,incidents,3
Air Canada,1865253802,85_99,incidents,2
Air France,3004002661,85_99,incidents,14
Air India*,869253552,85_99,incidents,2
Air New Zealand*,710174817,85_99,incidents,3
Alaska Airlines*,965346773,85_99,incidents,5
Alitalia,698012498,85_99,incidents,7
All Nippon Airways,1841234177,85_99,incidents,3
American*,5228357340,85_99,incidents,21
Austrian Airlines,358239823,85_99,incidents,1
Avianca,396922563,85_99,incidents,5
British Airways*,3179760952,85_99,incidents,4
Cathay Pacific*,2582459303,85_99,incidents,0
China Airlines,813216487,85_99,incidents,12
Condor,417982610,85_99,incidents,2
COPA,550491507,85_99,incidents,3
Delta / Northwest*,6525658894,85_99,incidents,24
Egyptair,557699891,85_99,incidents,8
El Al,335448023,85_99,incidents,1
Ethiopian Airlines,488560643,85_99,incidents,25
Finnair,506464950,85_99,incidents,1
Garuda Indonesia,613356665,85_99,incidents,10
Gulf Air,301379762,85_99,incidents,1
Hawaiian Airlines,493877795,85_99,incidents,0
Iberia,1173203126,85_99,incidents,4
Japan Airlines,1574217531,85_99,incidents,3
Kenya Airways,277414794,85_99,incidents,2
KLM*,1874561773,85_99,incidents,7
Korean Air,1734522605,85_99,incidents,12
LAN Airlines,1001965891,85_99,incidents,3
Lufthansa*,3426529504,85_99,incidents,6
Malaysia Airlines,1039171244,85_99,incidents,3
Pakistan International,348563137,85_99,incidents,8
Philippine Airlines,413007158,85_99,incidents,7
Qantas*,1917428984,85_99,incidents,1
Royal Air Maroc,295705339,85_99,incidents,5
SAS*,682971852,85_99,incidents,5
Saudi Arabian,859673901,85_99,incidents,7
Singapore Airlines,2376857805,85_99,incidents,2
South African,651502442,85_99,incidents,2
Southwest Airlines,3276525770,85_99,incidents,1
Sri Lankan / AirLanka,325582976,85_99,incidents,2
SWISS*,792601299,85_99,incidents,2
TACA,259373346,85_99,incidents,3
TAM,1509195646,85_99,incidents,8
TAP - Air Portugal,619130754,85_99,incidents,0
Thai Airways,1702802250,85_99,incidents,8
Turkish Airlines,1946098294,85_99,incidents,8
United / Continental*,7139291291,85_99,incidents,19
US Airways / America West*,2455687887,85_99,incidents,16
Vietnam Airlines,625084918,85_99,incidents,7
Virgin Atlantic,1005248585,85_99,incidents,1
Xiamen Airlines,430462962,85_99,incidents,9
Aer Lingus,320906734,85_99,fatal_accidents,0
Aeroflot*,1197672318,85_99,fatal_accidents,14
Aerolineas Argentinas,385803648,85_99,fatal_accidents,0
Aeromexico*,596871813,85_99,fatal_accidents,1
Air Canada,1865253802,85_99,fatal_accidents,0
Air France,3004002661,85_99,fatal_accidents,4
Air India*,869253552,85_99,fatal_accidents,1
Air New Zealand*,710174817,85_99,fatal_accidents,0
Alaska Airlines*,965346773,85_99,fatal_accidents,0
Alitalia,698012498,85_99,fatal_accidents,2
All Nippon Airways,1841234177,85_99,fatal_accidents,1
American*,5228357340,85_99,fatal_accidents,5
Austrian Airlines,358239823,85_99,fatal_accidents,0
Avianca,396922563,85_99,fatal_accidents,3
British Airways*,3179760952,85_99,fatal_accidents,0
Cathay Pacific*,2582459303,85_99,fatal_accidents,0
China Airlines,813216487,85_99,fatal_accidents,6
Condor,417982610,85_99,fatal_accidents,1
COPA,550491507,85_99,fatal_accidents,1
Delta / Northwest*,6525658894,85_99,fatal_accidents,12
Egyptair,557699891,85_99,fatal_accidents,3
El Al,335448023,85_99,fatal_accidents,1
Ethiopian Airlines,488560643,85_99,fatal_accidents,5
Finnair,506464950,85_99,fatal_accidents,0
Garuda Indonesia,613356665,85_99,fatal_accidents,3
Gulf Air,301379762,85_99,fatal_accidents,0
Hawaiian Airlines,493877795,85_99,fatal_accidents,0
Iberia,1173203126,85_99,fatal_accidents,1
Japan Airlines,1574217531,85_99,fatal_accidents,1
Kenya Airways,277414794,85_99,fatal_accidents,0
KLM*,1874561773,85_99,fatal_accidents,1
Korean Air,1734522605,85_99,fatal_accidents,5
LAN Airlines,1001965891,85_99,fatal_accidents,2
Lufthansa*,3426529504,85_99,fatal_accidents,1
Malaysia Airlines,1039171244,85_99,fatal_accidents,1
Pakistan International,348563137,85_99,fatal_accidents,3
Philippine Airlines,413007158,85_99,fatal_accidents,4
Qantas*,1917428984,85_99,fatal_accidents,0
Royal Air Maroc,295705339,85_99,fatal_accidents,3
SAS*,682971852,85_99,fatal_accidents,0
Saudi Arabian,859673901,85_99,fatal_accidents,2
Singapore Airlines,2376857805,85_99,fatal_accidents,2
South African,651502442,85_99,fatal_accidents,1
Southwest Airlines,3276525770,85_99,fatal_accidents,0
Sri Lankan / AirLanka,325582976,85_99,fatal_accidents,1
SWISS*,792601299,85_99,fatal_accidents,1
TACA,259373346,85_99,fatal_accidents,1
TAM,1509195646,85_99,fatal_accidents,3
TAP - Air Portugal,619130754,85_99,fatal_accidents,0
Thai Airways,1702802250,85_99,fatal_accidents,4
Turkish Airlines,1946098294,85_99,fatal_accidents,3
United / Continental*,7139291291,85_99,fatal_accidents,8
US Airways / America West*,2455687887,85_99,fatal_accidents,7
Vietnam Airlines,625084918,85_99,fatal_accidents,3
Virgin Atlantic,1005248585,85_99,fatal_accidents,0
Xiamen Airlines,430462962,85_99,fatal_accidents,1
Aer Lingus,320906734,85_99,fatalities,0
Aeroflot*,1197672318,85_99,fatalities,128
Aerolineas Argentinas,385803648,85_99,fatalities,0
Aeromexico*,596871813,85_99,fatalities,64
Air Canada,1865253802,85_99,fatalities,0
Air France,3004002661,85_99,fatalities,79
Air India*,869253552,85_99,fatalities,329
Air New Zealand*,710174817,85_99,fatalities,0
Alaska Airlines*,965346773,85_99,fatalities,0
Alitalia,698012498,85_99,fatalities,50
All Nippon Airways,1841234177,85_99,fatalities,1
American*,5228357340,85_99,fatalities,101
Austrian Airlines,358239823,85_99,fatalities,0
Avianca,396922563,85_99,fatalities,323
British Airways*,3179760952,85_99,fatalities,0
Cathay Pacific*,2582459303,85_99,fatalities,0
China Airlines,813216487,85_99,fatalities,535
Condor,417982610,85_99,fatalities,16
COPA,550491507,85_99,fatalities,47
Delta / Northwest*,6525658894,85_99,fatalities,407
Egyptair,557699891,85_99,fatalities,282
El Al,335448023,85_99,fatalities,4
Ethiopian Airlines,488560643,85_99,fatalities,167
Finnair,506464950,85_99,fatalities,0
Garuda Indonesia,613356665,85_99,fatalities,260
Gulf Air,301379762,85_99,fatalities,0
Hawaiian Airlines,493877795,85_99,fatalities,0
Iberia,1173203126,85_99,fatalities,148
Japan Airlines,1574217531,85_99,fatalities,520
Kenya Airways,277414794,85_99,fatalities,0
KLM*,1874561773,85_99,fatalities,3
Korean Air,1734522605,85_99,fatalities,425
LAN Airlines,1001965891,85_99,fatalities,21
Lufthansa*,3426529504,85_99,fatalities,2
Malaysia Airlines,1039171244,85_99,fatalities,34
Pakistan International,348563137,85_99,fatalities,234
Philippine Airlines,413007158,85_99,fatalities,74
Qantas*,1917428984,85_99,fatalities,0
Royal Air Maroc,295705339,85_99,fatalities,51
SAS*,682971852,85_99,fatalities,0
