name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
AB Albrectsen,1181573208711012354,2019-10-08T14:13:00Z,Plan International Jordan hosted the global leadership earlier this week as a sign of support to Jordan office and get a closer look on the challenges and opportunities to support girls causes in the Kingdom. @PlanGlobal @ABAlbrectsen//t.co/CbyW2QCYtp,FALSE,TRUE,NA,NA
AB Albrectsen,1181572924853149699,2019-10-08T14:11:52Z,"Many young women feel social media creates a crushing pressure to be perfect. Today, take a stand to break the cycle and #DisruptYourFeed with @the_female_lead. Follow someone you respect & empowers you. I nominate @PattyArquette @mrsfunnybones @kiranshaw @deespeak You?//t.co/MyPjbVBgcs",FALSE,TRUE,NA,NA
AB Albrectsen,1181564149236518913,2019-10-08T13:37:00Z,Only 16% of people in the stories about politics and government in the news are women. #IncreaseOurVisibility #RewriteHerStory,FALSE,FALSE,NA,IncreaseOurVisibility
AB Albrectsen,1181564149236518913,2019-10-08T13:37:00Z,Only 16% of people in the stories about politics and government in the news are women. #IncreaseOurVisibility #RewriteHerStory,FALSE,FALSE,NA,RewriteHerStory
AB Albrectsen,1181536070225281024,2019-10-08T11:45:25Z,"C'est par l'ducation que nous dfendrons les droits des filles & que nous atteindrons l'galit entre . TOUTES & TOUS ensemble, mobilis.e.s avec @PlanFrance @PlanGlobal, avec un signe = sur la joue ! #AgirPourlEducation #GirlsGetEqual //t.co/4LLkikYcIO",FALSE,TRUE,NA,NA
AB Albrectsen,1181518347487174656,2019-10-08T10:35:00Z,"In 2015, women made up only 24% of the persons heard, read about or seen in newspaper, television and radio news. Think about that #RewriteHerStory #GirlsGetEqual",FALSE,FALSE,NA,RewriteHerStory
AB Albrectsen,1181518347487174656,2019-10-08T10:35:00Z,"In 2015, women made up only 24% of the persons heard, read about or seen in newspaper, television and radio news. Think about that #RewriteHerStory #GirlsGetEqual",FALSE,FALSE,NA,GirlsGetEqual
AB Albrectsen,1181453516642177024,2019-10-08T06:17:23Z,"There are hardly any women leaders in the world's most popular films. And where women do lead, they're much more likely to be shown as sex objects. We MUST #RewriteHerStory//t.co/HH52rlNmka",FALSE,TRUE,NA,NA
AB Albrectsen,1181453354284830720,2019-10-08T06:16:44Z,Nominert til #jenteprisen 2019: @YrjaOftedahl bak podkasten Power Ladies://t.co/OOgjz6OS8z via @YouTube,FALSE,TRUE,NA,jenteprisen
AB Albrectsen,1181453261083234304,2019-10-08T06:16:22Z,"Why stand up for girls' rights this International Day of the Girl? We'll let our Youth Activist, Opemipo, explain. To celebrate #IDG2019, sign up to #GiveEqual at//t.co/P9jYWw9BAm support girls all around the world access their rights!#DayOfTheGirl #IDG2019 #GirlsRights//t.co/mQcMQuragJ",FALSE,TRUE,NA,NA
AB Albrectsen,1181441543808454656,2019-10-08T05:29:48Z,"@KateVorley ""We can use media to inspire girls. We must have a value-based system as a nation so that we get to have a change in the already existing narrative."" @ABAlbrectsen @PlanRESA @PlanRESA @AMWIK #mondayreport//t.co/0Ch08teSWS",FALSE,TRUE,NA,NA
AB Albrectsen,1181441203906236416,2019-10-08T05:28:27Z,"Bishop Kosgei 'We are the trustees of our future, we are the future generations rely on us to leave an honorable legacy and build a good future for them.' #RewriteHerStory #mondayreport @AMWIK @KFCB @Tim_skymedia @TrevorOmbija @WaihigaMwaura @MKapombe @PlanGlobal @ABAlbrectsen//t.co/xEOgbBdZSc",FALSE,TRUE,NA,NA
AB Albrectsen,1181440901006217216,2019-10-08T05:27:15Z,@JAndersonRoland @apoliticalco @WomenDeliver @Katja_Iversen @sapa999 @Equal2030 @alieholder @mfespinosaEC @HelenClarkNZ @UzraZeya @ABAlbrectsen @AllisonMerchant @TPaffenholz @sarahWPS #SDG5 #Act4SDGs//t.co/Yx3leZkN3s,FALSE,TRUE,NA,NA
AB Albrectsen,1181440745904979969,2019-10-08T05:26:38Z,@WithDaughters @PattyArquette @mayawiley @JeffBezos @RobertoValentUN @MarkRuffalo @BillowsOnAir @BarackObama @biz You are making footprints - what an inspiration of strengthen and joy is this strong girl @ABAlbrectsen @sachin_rt @KGeorgieva @Lagarde @kiranshaw @deespeak @DeepaAthlete @RachelintheOC @kapoors_s @mrjaymanuel @HelleBankJorgen @salonetitihawa @Alex_Verbeek @VincentCoyle1//t.co/u1MMtEjeqG,FALSE,TRUE,NA,NA
AB Albrectsen,1181329528200794115,2019-10-07T22:04:42Z,Join us tonight on @Citizentvkenya from 9pm as we discuss what needs to be done to change the stereotype of girls and young women in the media. How can we #ReWriteherStory?//t.co/nj9jmGtnyl,FALSE,TRUE,NA,NA
AB Albrectsen,1181329474706694144,2019-10-07T22:04:29Z,"Trigger warning. Finally, exposing what so many women experience every day. I remember a good friend went through this with a male professor of gender studies at UoN. Well Time's up. //t.co/OVqPDnVioK",FALSE,TRUE,NA,NA
AB Albrectsen,1181329445048786945,2019-10-07T22:04:22Z,"On-screen male leaders are MUCH more visible. 42% of male, compared to 27% of female characters are shown on screen as leaders. Let's #RewriteHerStory this #DayoftheGirl!//t.co/9aRRCAkrmq",FALSE,TRUE,NA,NA
AB Albrectsen,1181329419211808768,2019-10-07T22:04:16Z,kt satsning p #barneekteskap og srbare grupper i bistandsbudsjettet er veldig gode nyheter! Men vi savner tydeligere remerking av midler til satsningen mot skadelige praksiser @dagiulstein @bistandsaktuelt //t.co/3FAxJzqzG7,FALSE,TRUE,NA,barneekteskap
AB Albrectsen,1181329394985525249,2019-10-07T22:04:10Z,"Die Medien haben einen grossen Einfluss darauf, wie Mdchen in der Gesellschaft wahrgenommen werden aber auch darauf, wie sie sich selbst sehen. Brenda, 16-jhrig, aus Peru sagt, was Filmschaffende und Werber besser machen sollten.#rewriteherstory #girlsgetequal #weltmdchentag//t.co/HuUdq5MMq4",FALSE,TRUE,NA,NA
AB Albrectsen,1181329354032402433,2019-10-07T22:04:00Z,We are READY for the #GirlsTakeover in Tanzania! This is the team who will take over senior leadership positions to raise the issue of girls' rights and demand equality this #DayoftheGirl More takeovers from around the world //t.co/SvdK26koG1//t.co/I39l1Fb2OQ,FALSE,TRUE,NA,GirlsTakeover
AB Albrectsen,1181329208217391105,2019-10-07T22:03:25Z,Provide a platform where she can #RewriteHerStory . Show her how she can write confidently @hopethepoet is an example of a young girl who refused to be boxed on what other people think of girls #mondayreport CC @PlanKenya @PlanGlobal @AMWIK @InfoKfcb @KateVorley//t.co/CC7zUqZlaL,FALSE,TRUE,NA,RewriteHerStory
AB Albrectsen,1181321608415318022,2019-10-07T21:33:13Z,"How would you #RewriteHerStory? This is the question we are asking tonight on #mondayreport. Join us as we challenge gender inequality and outright sexism portrayed in mains stream media...TV shows, music videos, and movies//t.co/pjgGHcFU2R",FALSE,TRUE,NA,RewriteHerStory
