name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Aarti Takoordeen,1180281551021625344,2019-10-05T00:40:24Z,Market open dedicated to Financial literacy in sa #siyafundanjalo//t.co/1hZBW9fbdj,TRUE,FALSE,NA,siyafundanjalo
Aarti Takoordeen,1151831932570865664,2019-07-18T12:31:47Z,Yay//t.co/d1U2Uf7LAt,TRUE,FALSE,NA,NA
Aarti Takoordeen,1142307550949531648,2019-06-22T05:45:17Z,So Important to understand the current and new workforce and then build an environment in which they can thrive #LeadershipMatters//t.co/sEBseLZGkm,FALSE,FALSE,NA,LeadershipMatters
Aarti Takoordeen,1142298943440740352,2019-06-22T05:11:05Z,"India is projected to take over from China as the world's most populous country around 2027, while the U.S is expected to eventually drop to 4th place behind Nigeria//t.co/HIUpD20Aq4//t.co/wBtTphjrop",FALSE,TRUE,NA,NA
Aarti Takoordeen,1134901829165297665,2019-06-01T19:17:36Z,Naomi Campbell wants the world to know about Africa's fashion talent//t.co/JXaoSuJ6DO//t.co/WOuidH2Frc,FALSE,TRUE,NA,NA
Aarti Takoordeen,1133587933645201413,2019-05-29T04:16:39Z,Trending green//t.co/qXpgT388EB,TRUE,FALSE,NA,NA
Aarti Takoordeen,1056003524348252161,2018-10-27T02:03:54Z,India is building a high-tech sustainable city from scratch//t.co/fhHdYHJMPA//t.co/O6k5CgV15m,FALSE,TRUE,NA,NA
Aarti Takoordeen,1030698556758228992,2018-08-18T06:11:00Z,"""Turo is like Airbnb, but for real people's cars."" - USA Today",FALSE,TRUE,NA,NA
Aarti Takoordeen,1030698148954431489,2018-08-18T06:09:22Z,"Aretha helped define the American experience. In her voice, we could feel our history, all of it and in every shadeour power and our pain, our darkness and our light, our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace.//t.co/bfASqKlLc5",FALSE,TRUE,NA,NA
Aarti Takoordeen,1025095737057718272,2018-08-02T19:07:23Z,@AWCA_SA thank you for recognizing leaders for serving our passion ...makes it so much more fun//t.co/0kvKXfZqX5,FALSE,FALSE,343317547,NA
Aarti Takoordeen,971749943353454597,2018-03-08T14:10:15Z,Retweet if you are proud to be female and ready to take on the world of investing on the JSE! #FutureIsFemale #InvestInYourself//t.co/Twz6yjO2iQ,FALSE,TRUE,NA,FutureIsFemale
Aarti Takoordeen,969187227975733248,2018-03-01T12:26:56Z,Is your teen texting about the market? LOL: Lots of Listings POS: Potentially Overrated Stock FTW: Forex Trading Weekly NBD: Nice Bond Deal YOLO: You Only List Once BRB: Best Returns Bonds LMAO: Love Mergers & Acquisitions Oh yeah Please share with any parents of teens,FALSE,TRUE,NA,NA
Aarti Takoordeen,963878116933464065,2018-02-14T20:50:25Z,I love this vid...what am I missing//t.co/oLulkYkK9n,TRUE,FALSE,NA,NA
Aarti Takoordeen,963873714835247104,2018-02-14T20:32:56Z,Great session @EuvinNaidoo #wef18 debrief #WBSTALK @TR_AFRICA//t.co/XEENXZs21d,FALSE,TRUE,NA,wef18
Aarti Takoordeen,963873714835247104,2018-02-14T20:32:56Z,Great session @EuvinNaidoo #wef18 debrief #WBSTALK @TR_AFRICA//t.co/XEENXZs21d,FALSE,TRUE,NA,WBSTALK
Aarti Takoordeen,955786718246031362,2018-01-23T12:58:05Z,Prime minister Modi opening address at #Davos2018 Modi policy must promote inclusion'//t.co/XtObVrXLg0,FALSE,FALSE,NA,Davos2018
Aarti Takoordeen,931773007521112065,2017-11-18T06:36:11Z,And so it begins! //t.co/mVlRbGOFfk,FALSE,TRUE,NA,NA
Aarti Takoordeen,923672901408174080,2017-10-26T22:09:15Z,#ABSIPawards @sellorasethab marking ourselves present//t.co/7rmXSUlV5e,FALSE,FALSE,NA,ABSIPawards
Aarti Takoordeen,921330375158362112,2017-10-20T11:00:53Z,@SimonPB wisdom at #JSEChallenge2017...love it//t.co/uJsNoQlgCO,FALSE,FALSE,16093836,JSEChallenge2017
