name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Alan Gershenhorn,1014381788838293504,2018-07-04T05:33:59Z,"As part of the #PACDBIA delegation in Africa right now, @UPSPolicy's Laura Lane issues a timely reminder: The U.S. needs more #trade with Ethiopia, Kenya, Ghana and Cte d'Ivoire, among other fast-growing nations there.//t.co/tPjtWi0xk7",FALSE,TRUE,NA,PACDBIA
Alan Gershenhorn,774284918306119681,2016-09-09T16:34:44Z,UPS Named To Dow Jones Sustainability World Index For Fourth Consecutive Year//t.co/LvZsX01vmO,FALSE,FALSE,NA,NA
Alan Gershenhorn,771052471003127808,2016-08-31T18:30:09Z,The UPS Foundation Advances Global Forestry Initiative//t.co/2fAgvY7n8m,FALSE,FALSE,NA,NA
Alan Gershenhorn,771052141150556160,2016-08-31T18:28:50Z,Container.jpg//t.co/vepxbGYgk9,FALSE,FALSE,NA,NA
Alan Gershenhorn,767834807778672641,2016-08-22T21:24:18Z,mka7A.jpg//t.co/eZyqrb1Sbe,FALSE,FALSE,NA,NA
Alan Gershenhorn,766619126919946242,2016-08-19T12:53:37Z,View Image//t.co/hRyDBIx5od,FALSE,FALSE,NA,NA
Alan Gershenhorn,766003881029406720,2016-08-17T20:08:51Z,datalives.jpg//t.co/lcmO6dO29Q,FALSE,FALSE,NA,NA
Alan Gershenhorn,766003489889673218,2016-08-17T20:07:18Z,//t.co/NIfrVYRqX4,FALSE,FALSE,NA,NA
Alan Gershenhorn,765284202002587649,2016-08-15T20:29:06Z,//t.co/7bwOoNU1M4,FALSE,FALSE,NA,NA
Alan Gershenhorn,764026806227709952,2016-08-12T09:12:40Z,//t.co/wboE69bbLi,FALSE,FALSE,NA,NA
Alan Gershenhorn,763808321975390209,2016-08-11T18:44:29Z,UPS study: E-commerce without borders unlocks massive potential for retailers//t.co/pWj1HuMz2G,FALSE,FALSE,NA,NA
Alan Gershenhorn,761244233852260353,2016-08-04T16:55:43Z,Energy1.jpg//t.co/dav4wKb26H,FALSE,FALSE,NA,NA
Alan Gershenhorn,759086557101977600,2016-07-29T18:01:53Z,UPS Reports Strong 2Q Results//t.co/Okf4lOTKdG,FALSE,FALSE,NA,NA
Alan Gershenhorn,759048867446792194,2016-07-29T15:32:07Z,IMG_4688_Fullsize.jpg//t.co/kPGO6lItAR,FALSE,FALSE,NA,NA
Alan Gershenhorn,698932944371634176,2016-02-14T18:12:54Z,"2,203 Coyotes. So much #CoyoteLove. Here's to the people who make Coyote a special place to work. #ValentinesDay//t.co/28EbtKp3l8",FALSE,TRUE,NA,CoyoteLove
Alan Gershenhorn,698932944371634176,2016-02-14T18:12:54Z,"2,203 Coyotes. So much #CoyoteLove. Here's to the people who make Coyote a special place to work. #ValentinesDay//t.co/28EbtKp3l8",FALSE,TRUE,NA,ValentinesDay
Alan Gershenhorn,698932919457415169,2016-02-14T18:12:48Z,Our @UPS employees love to give back. That's why we've committed to volunteering 20 million hours by 2020.//t.co/a9oxdQf7ro,FALSE,TRUE,NA,NA
Alan Gershenhorn,698932898548883456,2016-02-14T18:12:43Z,"Myron Gray, UPS Pres. of U.S. Operations, discusses the meaning of modern #leadership://t.co/j2uorivisi//t.co/6uMevsgvWH",FALSE,TRUE,NA,leadership
Alan Gershenhorn,698932875496923136,2016-02-14T18:12:37Z,We're accelerating our progress toward 1 billion miles on alt. fuel & technology vehicles #sustainability//t.co/HYbBUX3T8f,FALSE,TRUE,NA,sustainability
