name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Anne Richards,1181509610643054592,2019-10-08T10:00:17Z,"Happy #AdaLovelaceDay! As part of our celebrations & to mark the completion of a major upgrade project in the James Clerk Maxwell Building data centre, we're naming the data centre after Scottish science writer & polymath Mary Somerville://t.co/K36PkqdQ9u #ALD19//t.co/rvxvgNGsTl",FALSE,TRUE,NA,AdaLovelaceDay
Anne Richards,1171554427146297344,2019-09-10T22:41:56Z,@fredmacaulay Sadly on sleeper south again tonight. Enjoy - I'm sure it's going to be a great sporting event.,FALSE,FALSE,19683864,NA
Anne Richards,1171554240831078406,2019-09-10T22:41:12Z,Such a fun event - thanks so much for inviting me to share it with you!//t.co/mVv9RKhC6o,TRUE,FALSE,NA,NA
Anne Richards,1166582375968641025,2019-08-28T05:24:47Z,Looking forward to the summit and meeting up with some former colleagues!//t.co/WuUUhEe4XK,TRUE,FALSE,NA,NA
Anne Richards,1165354318234554369,2019-08-24T20:04:55Z,@MissMoneyReady,FALSE,FALSE,909429911999451136,NA
Anne Richards,1165195230553026560,2019-08-24T09:32:45Z,@MissMoneyReady Thank you!,FALSE,FALSE,909429911999451136,NA
Anne Richards,1165195136680243201,2019-08-24T09:32:23Z,"Great fun talking to you and in such a wonderful, historic place!//t.co/rhI3LsDB7C",TRUE,FALSE,NA,NA
Anne Richards,1147609691905765382,2019-07-06T20:54:06Z,This was a very special day today. A beautiful gesture and a beautiful ceremony.//t.co/wDll0AhJSc,TRUE,FALSE,NA,NA
Anne Richards,1130727997709934592,2019-05-21T06:52:17Z,Well done - it's a stunning garden!//t.co/KGtaVo84zD,TRUE,FALSE,NA,NA
Anne Richards,1129143257227771904,2019-05-16T21:55:05Z,"Human-snail hybrid and rabbit-on-a-lion jousting, for some reason, at the bottom of a page of the Brviaire de Renaud de Bar.//t.co/0UCWnJCk6k",FALSE,TRUE,NA,NA
Anne Richards,1129115644027375622,2019-05-16T20:05:22Z,"Blackhall Library, Edinburgh, was my magic place as a child. I read the entire children's section. The only limitation was you just had three of those little tiny orange envelope things to put the book tickets in at one go. Libraries are awesome.//t.co/BWR2SACVa6",TRUE,FALSE,NA,NA
Anne Richards,1117896021365776384,2019-04-15T21:02:35Z,Heartbreaking.//t.co/RR3sz0T7Of,TRUE,FALSE,NA,NA
Anne Richards,1106816463204245506,2019-03-16T07:16:23Z,@jenniferscardin Congrats! X,FALSE,FALSE,352256155,NA
Anne Richards,1102262313892175877,2019-03-03T17:39:49Z,OH MY GOD THERE'S A GODDESS OF POTATOES//t.co/d2PwEdxlyt,FALSE,TRUE,NA,NA
Anne Richards,1091079995525607424,2019-01-31T21:05:16Z,@BTrenowden And on a beautiful sunny day! Well done. X,FALSE,FALSE,34614170,NA
Anne Richards,1081159363941801984,2019-01-04T12:04:13Z,"When you talk about science, are you sure the words you are using don't mean something different to others? Here are five examples of scientific lingo to use with caution//t.co/9gCj2uZEAb",FALSE,TRUE,NA,NA
Anne Richards,1080217346583740416,2019-01-01T21:40:59Z,This is an amazing thread in both senses...//t.co/gHynJw69ls,TRUE,FALSE,NA,NA
