name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
"Bernard J.Tyson, CEO",1181318327593050114,2019-10-07T21:20:11Z,Glad to see that more and more companies view the ability to collaborate as a key leadership quality. It's a trait that's crucial for success at @aboutKP.//t.co/SNRKCqM5LC,FALSE,FALSE,NA,NA
"Bernard J.Tyson, CEO",1181260993990664193,2019-10-07T17:32:22Z,"Thanks, @benioff for furthering this convo. These issues affect the health of our communities and the people who live within them. KP believes that #totalhealth is more than freedom from physical affliction it's about mind, body and spirit. People need total health to #Thrive.//t.co/LZKElrHECy",TRUE,FALSE,NA,totalhealth
"Bernard J.Tyson, CEO",1181260993990664193,2019-10-07T17:32:22Z,"Thanks, @benioff for furthering this convo. These issues affect the health of our communities and the people who live within them. KP believes that #totalhealth is more than freedom from physical affliction it's about mind, body and spirit. People need total health to #Thrive.//t.co/LZKElrHECy",TRUE,FALSE,NA,Thrive
"Bernard J.Tyson, CEO",1180226938406756352,2019-10-04T21:03:24Z,Had a great discussion with @modrnhealthcr editors to discuss @aboutKP's commitment to the prosperity of our workforce balanced against our affordability agenda and the tentative agreement reached with SEIU.//t.co/v7yK7CKg8v,FALSE,FALSE,NA,NA
"Bernard J.Tyson, CEO",1180180038378852352,2019-10-04T17:57:02Z,At our first Alliance of Health Care Unions of KP conference in LA listening to Alexis Goudeau discuss her work on helping the homeless. Amazing!//t.co/T0ew2w3hfI,FALSE,FALSE,NA,NA
"Bernard J.Tyson, CEO",1179800265052114945,2019-10-03T16:47:57Z,No one should be afraid to seek the care they need. We must help people from all communities feel supported on their journey to #totalhealth.//t.co/xA1FP7Sks9,FALSE,FALSE,NA,totalhealth
"Bernard J.Tyson, CEO",1179100840906375174,2019-10-01T18:28:41Z,"Thanks, David Abney for inviting me to @UPS for an honest conversation about ways we can continue to support communities we serve so people can #thrive.//t.co/ACpSS1RbQO",FALSE,FALSE,NA,thrive
"Bernard J.Tyson, CEO",1178711464800112640,2019-09-30T16:41:27Z,"We need to give people the best possible chance to succeed in our higher education institutions and society and that starts with building healthy, supportive communities.//t.co/Oz98uFZczX",FALSE,FALSE,NA,NA
"Bernard J.Tyson, CEO",1177643641772351488,2019-09-27T17:58:18Z,"We have a great way to help our wellness right in our backyards. Sometimes, the simple things are what we most need to #thrive.//t.co/eF8cBdFMV8",FALSE,FALSE,NA,thrive
"Bernard J.Tyson, CEO",1177255879089020928,2019-09-26T16:17:28Z,Everyone at @aboutKP from leaders to medical students knows the best way to improve #totalhealth is to walk alongside the people in communities we serve.//t.co/1pGqpgbM3R,FALSE,FALSE,NA,totalhealth
"Bernard J.Tyson, CEO",1176931611587305474,2019-09-25T18:48:57Z,We're on track to meet our commitment to become carbon neutral next year. Thanks to everyone at @aboutKP working to combat #climatechange.//t.co/NXqKxGwmIz,FALSE,FALSE,NA,climatechange
"Bernard J.Tyson, CEO",1176540715771469824,2019-09-24T16:55:40Z,Take advantage of one of our most important rights in this country and register to vote! #NationalVoterRegistrationDay #TimetoVote,FALSE,FALSE,NA,NationalVoterRegistrationDay
"Bernard J.Tyson, CEO",1176540715771469824,2019-09-24T16:55:40Z,Take advantage of one of our most important rights in this country and register to vote! #NationalVoterRegistrationDay #TimetoVote,FALSE,FALSE,NA,TimetoVote
"Bernard J.Tyson, CEO",1176176384525373446,2019-09-23T16:47:57Z,"We've always focused on how we can best improve #totalhealth in our communities. The work continues, and is as important today as ever.//t.co/G3F37pUNw4",TRUE,FALSE,NA,totalhealth
"Bernard J.Tyson, CEO",1175149876864258048,2019-09-20T20:48:58Z,We have received an incredible response to our @KPMedSchool helping to shape the future of medical education and we are still accepting applications for those who are ready to innovate and transform health care.//t.co/DekAdkswCq,FALSE,FALSE,NA,NA
"Bernard J.Tyson, CEO",1174692513770348546,2019-09-19T14:31:34Z,"Congratulations to Vanessa Benavides, @aboutKP chief compliance officer for being elected to @CDCFound board of directors. She is a respected leader in the health care industry and Kaiser Permanente.//t.co/I8KVnsG5TU//t.co/3iivDbzhIx",FALSE,FALSE,NA,NA
"Bernard J.Tyson, CEO",1174393375845433344,2019-09-18T18:42:54Z,We're working every day at @aboutKP to create a diverse and inclusive environment. We must reflect the diversity of the communities we serve to ensure families of all backgrounds feel welcome.,FALSE,FALSE,NA,NA
"Bernard J.Tyson, CEO",1174016545284079617,2019-09-17T17:45:31Z,"This is a setback for millions of Americans. When 27.5 million people fall through the cracks, it shows us just how much work we have to do. Let's recommit to bringing the number of uninsured Americans down to zero.//t.co/D4N0JwZL3s",FALSE,FALSE,NA,NA
"Bernard J.Tyson, CEO",1173689914837426176,2019-09-16T20:07:36Z,Too many people in our communities suffer from lack of #affordablehousing and barriers to #mentalhealth care. We must broaden our definition of health to include other factors that can impact our #totalhealth.//t.co/MzFA9JBwb8,FALSE,FALSE,NA,affordablehousing
"Bernard J.Tyson, CEO",1173689914837426176,2019-09-16T20:07:36Z,Too many people in our communities suffer from lack of #affordablehousing and barriers to #mentalhealth care. We must broaden our definition of health to include other factors that can impact our #totalhealth.//t.co/MzFA9JBwb8,FALSE,FALSE,NA,mentalhealth
"Bernard J.Tyson, CEO",1173689914837426176,2019-09-16T20:07:36Z,Too many people in our communities suffer from lack of #affordablehousing and barriers to #mentalhealth care. We must broaden our definition of health to include other factors that can impact our #totalhealth.//t.co/MzFA9JBwb8,FALSE,FALSE,NA,totalhealth
"Bernard J.Tyson, CEO",1173634839230238722,2019-09-16T16:28:45Z,//t.co/Dc2nxUo120,FALSE,FALSE,NA,NA
"Bernard J.Tyson, CEO",1172563435910918144,2019-09-13T17:31:22Z,//t.co/bgJYC5eIZb,FALSE,FALSE,NA,NA
"Bernard J.Tyson, CEO",1172204099443576832,2019-09-12T17:43:30Z,Proud to have @BernardJTyson join our fantastic speakers at #AfroTech. He is the Chairman & CEO of Kaiser Permanente. Bernard is passionate about more healthy life years and #healthcare. Come hear his wisdom. Get your tickets today!//t.co/CNLEIb2tNs//t.co/dNZ5RFLPst,FALSE,TRUE,NA,AfroTech
"Bernard J.Tyson, CEO",1171822971012440065,2019-09-11T16:29:02Z,Today we honor the memory of those we lost on 9/11 and the first responders who bravely answered the call to help others. #NeverForget,FALSE,FALSE,NA,NeverForget
"Bernard J.Tyson, CEO",1171473981498515457,2019-09-10T17:22:16Z,"We need to continue to break the stigma that keeps people from seeking help. If you are in crisis, please call the National Suicide Prevention Lifeline at 1-800-273-TALK (8255). #WorldSuicidePreventionDay//t.co/iK07vFti3C",FALSE,FALSE,NA,WorldSuicidePreventionDay
