name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Bodour Al Qasimi,1181587775746912256,2019-10-08T15:10:53Z,"A fantastic atmosphere at the PublisHer dinner in #Amman last week, the first in the MENA region. Some of that magic is caught in these lovely pics://t.co/xzlZgmCJNd//t.co/y3LQhJy0xs",FALSE,TRUE,NA,Amman
Bodour Al Qasimi,1181535878910533632,2019-10-08T11:44:40Z,"Tbilisi, Georgia is UNESCO World Book Capital2021.//t.co/nxqU2GSj27//t.co/tCc5DK2TrA",FALSE,TRUE,NA,NA
Bodour Al Qasimi,1181535848145268736,2019-10-08T11:44:32Z,Looking forward to welcome publishers from all around the world to Lillehammer in May next year.//t.co/8xURBSmkkn,FALSE,TRUE,NA,NA
Bodour Al Qasimi,1181523086283284481,2019-10-08T10:53:50Z,DID KEYNOTES GO TOO FAR AT #IPAAmman2019? Where do we stand from the long and noble tradition of Arab poetry that has certainly exercised the imagination across the centuries?//t.co/FXxjnQTzN4 @JHaddadOfficial @MouridBarghouti//t.co/gTa1YbMlD1,FALSE,TRUE,NA,IPAAmman2019
Bodour Al Qasimi,1181512965197041664,2019-10-08T10:13:37Z,Tbilisi Named UNESCO's World Book Capital for 2021 @IntPublishers @IFLA @UNESCO //t.co/SD8jHL4i07,FALSE,FALSE,NA,NA
Bodour Al Qasimi,1181504286380953601,2019-10-08T09:39:07Z,... 30% 20% !! //t.co/khCu75pWHO,FALSE,TRUE,NA,NA
Bodour Al Qasimi,1181504231607619585,2019-10-08T09:38:54Z,. .. 9 11 . #___ # #__//t.co/xbrIJkb7m3,FALSE,TRUE,NA,NA
Bodour Al Qasimi,1181504215010676737,2019-10-08T09:38:50Z,. The children are delighted with the characters they made during a workshop we organized in our visit to Al Zaatari Refugee Camp in Jordan.//t.co/0xJc5fQXj3,FALSE,TRUE,NA,NA
Bodour Al Qasimi,1181504200624234496,2019-10-08T09:38:47Z,We aspire to inspire other cultures with our rich heritage and intriguing history. From October 9 until 11 #SharjahWBC will be spreading knowledge as Guest of Honour at the LIBER International Book Fair_MADRID 2019. See you there! #Shj #UAE #Sharjah_In_Madrid//t.co/qHqairYaei,FALSE,TRUE,NA,SharjahWBC
Bodour Al Qasimi,1181460355224084480,2019-10-08T06:44:33Z,Sheikha Hoor Al Qasimi is Now the Creative Director of Brother Khalid Al Qasimi's London Fashion Label @AlqasimiHoor//t.co/7haomxbrkV,FALSE,FALSE,NA,NA
