name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Brian Ballard,1149297883520409601,2019-07-11T12:42:23Z,@tiltfive @PaulBorisAR4I Pinkie,FALSE,FALSE,922648591486787584,NA
Brian Ballard,1149297224494604288,2019-07-11T12:39:45Z,#Skylight brings the hands-on worker to the center of the digital transformation with #AugmentedReality see more://t.co/xMMz6oSdIv//t.co/ZNOcmj2yCC,FALSE,TRUE,NA,Skylight
Brian Ballard,1149297224494604288,2019-07-11T12:39:45Z,#Skylight brings the hands-on worker to the center of the digital transformation with #AugmentedReality see more://t.co/xMMz6oSdIv//t.co/ZNOcmj2yCC,FALSE,TRUE,NA,AugmentedReality
Brian Ballard,1148661361280520201,2019-07-09T18:33:04Z,I can't stop smiling at this//t.co/6K081oMnJJ,TRUE,FALSE,NA,NA
Brian Ballard,1144599245951045632,2019-06-28T13:31:40Z,Great interview... Touches on some of the fun consumer experiences that I've not tried yet. //t.co/kcuuFENLYI,FALSE,FALSE,NA,NA
Brian Ballard,1130541055206674432,2019-05-20T18:29:26Z,"Excited that Glass Enterprise Edition 2 is now available. From all of us at @upskillio, congrats to the Glass team @Google for bringing it to market! //t.co/0FwVvilaF9//t.co/IR32ppfkl7",FALSE,FALSE,NA,NA
Brian Ballard,1045407076363767809,2018-09-27T20:17:24Z,Congrats to the @Boeing team!//t.co/ArOpMyrGNy,TRUE,FALSE,NA,NA
Brian Ballard,1019965517254209536,2018-07-19T15:21:44Z,@CharlieFink @yulioVR @kopin @EthanRasiel @tomemrich @johnkwerner I totally agree @CharlieFink,FALSE,FALSE,15210087,NA
Brian Ballard,1019792973112868865,2018-07-19T03:56:06Z,This was a blast. Met so many great people. Thanks for hosting us!//t.co/mIVyHXdvNz,TRUE,FALSE,NA,NA
Brian Ballard,1019791123919745028,2018-07-19T03:48:45Z,@cenowbe I had a different conversation with the treadmill this morning. Mine must have been less evolved than your treadmill. We just exchanged 4 letter words.,FALSE,FALSE,5377672,NA
Brian Ballard,1019790507927515137,2018-07-19T03:46:18Z,@bethcomstock OoooOooohhhh. I'm excited to read this!,FALSE,FALSE,17446359,NA
Brian Ballard,1019789779993444353,2018-07-19T03:43:24Z,I love the #ESPYS . The accomplishments are so raw and amazing and inspiring.,FALSE,FALSE,NA,ESPYS
Brian Ballard,1018907562014662656,2018-07-16T17:17:47Z,@tomemrich That's eye-grabbing graphic! Looking forward to hearing more tomorrow at the AWE Night @tomemrich!,FALSE,FALSE,26382995,NA
Brian Ballard,1018858552226656258,2018-07-16T14:03:02Z,@PaulBorisAR4I @JustJoe4Now @upskillio @neverest5 That's hysterical photo skills you have there @PaulBorisAR4I !! We're lucky to have him. I need to investigate this ice cream claim though...,FALSE,FALSE,2815509988,NA
Brian Ballard,1015332699500736512,2018-07-06T20:32:34Z,"What I like about this is that it doesn't lose sight that you need to solve a problem. Smart glasses momentum is fierce, but it's in industry first //t.co/IxcRGSd4F8",FALSE,FALSE,NA,NA
Brian Ballard,1015329597460656128,2018-07-06T20:20:14Z,As a guy who either needs to taco my shoulders or annoy my airborne neighbors... Thank you @Delta. //t.co/d8FlhkB6CB,FALSE,FALSE,NA,NA
Brian Ballard,1012850408069435393,2018-06-30T00:08:49Z,Love this!//t.co/KHzm9mjX9m,FALSE,FALSE,NA,NA
Brian Ballard,1003835505715314688,2018-06-05T03:06:49Z,JOY!//t.co/M2vvzIEBAY,TRUE,FALSE,NA,NA
Brian Ballard,1003835095751512064,2018-06-05T03:05:11Z,WIN!!!!!!!! #AllCaps @neverest5 #StanleyCup//t.co/gbnyBpl8r9,FALSE,FALSE,NA,AllCaps
Brian Ballard,1003835095751512064,2018-06-05T03:05:11Z,WIN!!!!!!!! #AllCaps @neverest5 #StanleyCup//t.co/gbnyBpl8r9,FALSE,FALSE,NA,StanleyCup
Brian Ballard,1003781941500502021,2018-06-04T23:33:58Z,LET'S GO CAPS!!! #ALLCAPS,FALSE,FALSE,NA,ALLCAPS
Brian Ballard,1002376611725959168,2018-06-01T02:29:42Z,"As a #ALLCAPS fan who was at Game 1, I got to meet a wonderful and welcoming set of fans. For those who cheer #VegasStrong, you guys are great. Can't wait to keep playing more seasons with you (but Go Caps! Of course). //t.co/hcA2dNG0wS",FALSE,FALSE,NA,ALLCAPS
Brian Ballard,1002376611725959168,2018-06-01T02:29:42Z,"As a #ALLCAPS fan who was at Game 1, I got to meet a wonderful and welcoming set of fans. For those who cheer #VegasStrong, you guys are great. Can't wait to keep playing more seasons with you (but Go Caps! Of course). //t.co/hcA2dNG0wS",FALSE,FALSE,NA,VegasStrong
Brian Ballard,1001895124605923328,2018-05-30T18:36:26Z,Fireside chat - AR transformation from the experts @neverest5 @blumbr01 @upskillio @Accenture #AWE2018 #Industry40//t.co/Dml7o7ppNI,FALSE,FALSE,NA,AWE2018
Brian Ballard,1001895124605923328,2018-05-30T18:36:26Z,Fireside chat - AR transformation from the experts @neverest5 @blumbr01 @upskillio @Accenture #AWE2018 #Industry40//t.co/Dml7o7ppNI,FALSE,FALSE,NA,Industry40
Brian Ballard,1001606497590132736,2018-05-29T23:29:32Z,@maxwellelliot Thanks buddy!,FALSE,FALSE,16853179,NA
Brian Ballard,1001290430120583168,2018-05-29T02:33:36Z,GOAL 4//t.co/BjcDUGwYvF,FALSE,FALSE,NA,NA
Brian Ballard,1001286247527038981,2018-05-29T02:16:59Z,Overall a really good show. Felt a bit like a Medieval Times show during the knight part. But the venue is pretty awesome and fun (welcoming) fans.//t.co/JbCyeUIoVo,TRUE,FALSE,NA,NA
Brian Ballard,1001274630030553088,2018-05-29T01:30:49Z,WIN ONE FOR DC! #ALLCAPS//t.co/8IMqy6N4pp,FALSE,FALSE,NA,ALLCAPS
Brian Ballard,996758102593687552,2018-05-16T14:23:45Z,"Into Enterprise Augmented Reality that matters? Let us know, vote for Skylight for best AR Application for Enterprise in this year's, Augmented World Expo #AWE2018 #AR #VR//t.co/xDpCpRCaF4",FALSE,FALSE,NA,AWE2018
Brian Ballard,996758102593687552,2018-05-16T14:23:45Z,"Into Enterprise Augmented Reality that matters? Let us know, vote for Skylight for best AR Application for Enterprise in this year's, Augmented World Expo #AWE2018 #AR #VR//t.co/xDpCpRCaF4",FALSE,FALSE,NA,AR
Brian Ballard,996758102593687552,2018-05-16T14:23:45Z,"Into Enterprise Augmented Reality that matters? Let us know, vote for Skylight for best AR Application for Enterprise in this year's, Augmented World Expo #AWE2018 #AR #VR//t.co/xDpCpRCaF4",FALSE,FALSE,NA,VR
Brian Ballard,996209087456178176,2018-05-15T02:02:09Z,"@Plantandwatch Fair enough. When I'm quiet on twitter(always), I'm probably busy on work(almost always). What do u want to know?",FALSE,FALSE,791948898944245760,NA
Brian Ballard,996201242350190592,2018-05-15T01:30:59Z,I think ARGrandpa would be a great new Twitter handle for you! ;)//t.co/lDLCNivalh,TRUE,FALSE,NA,NA
Brian Ballard,996200694796472320,2018-05-15T01:28:48Z,Time to VOTE! Choose Skylight for Best Enterprise Solution for this year's Auggie Awards ----&gt;//t.co/hKsYxCJyLv//t.co/jAIpktw11K,FALSE,TRUE,NA,NA
Brian Ballard,996197822193074176,2018-05-15T01:17:23Z,@SteveCase I can believe that! It certainly created a challenge in my home.... Daughter is 'Lexi'. I ask her a question and sometimes a digitized hockey puck responds. She's growing up in a fun world though and had tried to talk to 'Alexa' since she was 2. I wouldn't trade it.,FALSE,FALSE,6708952,NA
Brian Ballard,988407975038672899,2018-04-23T13:23:19Z,Excited for tonight's Opening Ceremony at @hannover_messe! We've been nominated as one of five finalists for the Hermes Award - find out tonight if we are the winner. Fingers crossed.//t.co/fPL8koQFTS,FALSE,TRUE,NA,NA
Brian Ballard,988407827973791744,2018-04-23T13:22:44Z,So proud of the team for this accomplishment.//t.co/pnxGs1iWPW,TRUE,FALSE,NA,NA
Brian Ballard,988407649426386944,2018-04-23T13:22:02Z,About to go on stage with Eric Schaeffer lex @Accenture #IndustryX0 panel on artificial intelligence!//t.co/4mj8AY6ZkS,FALSE,TRUE,NA,IndustryX0
Brian Ballard,988189103991808000,2018-04-22T22:53:36Z,#HM18 opening ceremony representing @upskillio in the VIP area with @christinebohle - two very powerful women in close proximity . Need more of you in tech!//t.co/XTdCF0xz6S,FALSE,TRUE,NA,HM18
Brian Ballard,988189016171470849,2018-04-22T22:53:15Z,So amazing to be here and be part of it! Thank you @hannover_messe for recognizing our hard work and technology!//t.co/CJJ06I5oFa,FALSE,TRUE,NA,NA
Brian Ballard,986996456375705600,2018-04-19T15:54:27Z,"As we get ready for #HannoverMesse I thought I'd share this blast from the past. Look @upskillio up this year in Hall 6, Stand F46/4 in the USA Digital Factory Joint Pavilion and come see the future. #Industry40 #smartglasses//t.co/LbetAaZJG5",FALSE,FALSE,NA,HannoverMesse
Brian Ballard,986996456375705600,2018-04-19T15:54:27Z,"As we get ready for #HannoverMesse I thought I'd share this blast from the past. Look @upskillio up this year in Hall 6, Stand F46/4 in the USA Digital Factory Joint Pavilion and come see the future. #Industry40 #smartglasses//t.co/LbetAaZJG5",FALSE,FALSE,NA,Industry40
Brian Ballard,986996456375705600,2018-04-19T15:54:27Z,"As we get ready for #HannoverMesse I thought I'd share this blast from the past. Look @upskillio up this year in Hall 6, Stand F46/4 in the USA Digital Factory Joint Pavilion and come see the future. #Industry40 #smartglasses//t.co/LbetAaZJG5",FALSE,FALSE,NA,smartglasses
Brian Ballard,978620707100938241,2018-03-27T13:12:13Z,This is truly heartwarming. Cisco commits $50 million to help fix Silicon Valley's homelessness crisis//t.co/iMOqZc4hL6 via @businessinsider,FALSE,FALSE,NA,NA
Brian Ballard,961314964765118464,2018-02-07T19:05:22Z,We're looking forward to the first day of our Augmented Reality Workshop with @theAREAorg! Thank you to our sponsors @Boeing & @upskillio for helping to make this event possible!//t.co/lRqEFYENNa,FALSE,TRUE,NA,NA
Brian Ballard,951479831400624129,2018-01-11T15:44:04Z,@Vuzix color me impressed on the #VuzixBlade! I've seen the fundamental tech working with you for a while & this product exceeded my expectations! Go kill it! #CES2018 #AR//t.co/jMxIW6kovW,FALSE,TRUE,NA,VuzixBlade
Brian Ballard,929456821609422848,2017-11-11T21:12:29Z,@ddebow Verified by a 3yr old too,FALSE,FALSE,13520882,NA
Brian Ballard,922861575018393600,2017-10-24T16:25:20Z,Once the helmet goes on though... @alexkelly617 needs to try out @rideNUVIZ!//t.co/LAULBaO5fk,TRUE,FALSE,NA,NA
Brian Ballard,921550923167600640,2017-10-21T01:37:16Z,Chris Delvizis demos #Skylight Application Builder to a packed house. Learn how you can build #AR apps without code.//t.co/TYSkyydODh//t.co/90ECfoq4Th,FALSE,TRUE,NA,Skylight
Brian Ballard,921550923167600640,2017-10-21T01:37:16Z,Chris Delvizis demos #Skylight Application Builder to a packed house. Learn how you can build #AR apps without code.//t.co/TYSkyydODh//t.co/90ECfoq4Th,FALSE,TRUE,NA,AR
Brian Ballard,921147733838319616,2017-10-19T22:55:08Z,What an honor! NUVIZ has been awarded @popsci's 2017 Best of What's New award in the Automotive category! #BOWN2017//t.co/5ft54XcjtX,FALSE,TRUE,NA,BOWN2017
Brian Ballard,921147003211583489,2017-10-19T22:52:14Z,Peggy Gulick of industry leader .@AGCOcorp - ...wearables are just one more tool in our #Lean Toolbox. @BrainXchange1 #EWTSFall17//t.co/76oAGJ5qwt,FALSE,TRUE,NA,Lean
Brian Ballard,921146813322850304,2017-10-19T22:51:29Z,Bryan Shackelford .@EastmanChemCo ...we team with hardware partners to drive adoption in harsh environments @BrainXchange1 #EWTSFall17//t.co/kQxwZleYpg,FALSE,TRUE,NA,NA
Brian Ballard,921146532807741441,2017-10-19T22:50:22Z,"Coca Cola shares examples of #AugmentedReality use cases on stage @ #AWE2017: remote maintenance, lead time reduction & enhanced efficiency//t.co/I7prlDs6QF",FALSE,TRUE,NA,AugmentedReality
Brian Ballard,921146532807741441,2017-10-19T22:50:22Z,"Coca Cola shares examples of #AugmentedReality use cases on stage @ #AWE2017: remote maintenance, lead time reduction & enhanced efficiency//t.co/I7prlDs6QF",FALSE,TRUE,NA,AWE2017
Brian Ballard,921146158050922496,2017-10-19T22:48:52Z,"This tech is ""fundamentally changing how we work"" - Jay Kim @neverest5 @comogard @upskillio @jaykothari #googleglass #AWE2017//t.co/ZP3rwNUpf8",FALSE,TRUE,NA,googleglass
Brian Ballard,921145961585545216,2017-10-19T22:48:05Z,Thanks for inviting @upskillio to open #AWE2017 Europe! What an honor to kick it off!//t.co/SMyDZyiR4z,FALSE,TRUE,NA,AWE2017
Brian Ballard,921145650078797824,2017-10-19T22:46:51Z,The expo at AWE Europe is open #AWE2017//t.co/weYpXR2PJe,FALSE,TRUE,NA,AWE2017
Brian Ballard,914559963728621568,2017-10-01T18:37:41Z,Just announced! Our keynote talk from @CocaCola @upskillio & Glass from Google's @Theteamatx at AWE Europe 2017//t.co/krZDQL9B8k #AR//t.co/aDuFO7QKTM,FALSE,TRUE,NA,NA
Brian Ballard,914559787978956802,2017-10-01T18:36:59Z,Great lineup of #logistics topics at @poweredbymhi #MHIES17 including @TheAtlantic 's @alexismadrigal Honored to represent @upskillio here!//t.co/nz6BguGIE7,FALSE,TRUE,NA,logistics
Brian Ballard,914559787978956802,2017-10-01T18:36:59Z,Great lineup of #logistics topics at @poweredbymhi #MHIES17 including @TheAtlantic 's @alexismadrigal Honored to represent @upskillio here!//t.co/nz6BguGIE7,FALSE,TRUE,NA,MHIES17
Brian Ballard,913871431464873986,2017-09-29T21:01:42Z,Woot woot! @upskillio announced runner up as the Best Tech Startup in DC. Congrats to our hard working team #TimmyAwards//t.co/nNLAm8oUGG,FALSE,TRUE,NA,TimmyAwards
Brian Ballard,913871352960028672,2017-09-29T21:01:24Z,Looking forward to kicking the event off right!//t.co/KmRSQ7huaH,FALSE,TRUE,NA,NA
Brian Ballard,912087250590224384,2017-09-24T22:52:00Z,"According to @Dell, 1 in 5 workers are looking forward to #AR for skills acquisition. Learn about the smart office.//t.co/cJ1vFXeiYq//t.co/VtHm3lBaIk",FALSE,TRUE,NA,AR
Brian Ballard,910162852568354819,2017-09-19T15:25:08Z,Love our partnership with @GE_Ventures and @generalelectric. Augmented Reality is going to change the work gets done in enterprise.//t.co/ymSoMJOReC,FALSE,TRUE,NA,NA
Brian Ballard,890986996235108352,2017-07-28T17:27:08Z,Head-worn with a purpose!//t.co/3aPgoPLKD4,TRUE,FALSE,NA,NA
Brian Ballard,890985687788474368,2017-07-28T17:21:56Z,Love this. Hope it can make a dent on our output.//t.co/Bxu5ONjdW5,TRUE,FALSE,NA,NA
Brian Ballard,888548732756787205,2017-07-21T23:58:20Z,"Smart Specs: OK Glass, Fix This Jet Engine//t.co/3t7NcMc7xx @Google @GEAviation #avgeek",FALSE,TRUE,NA,avgeek
Brian Ballard,887643774708580353,2017-07-19T12:02:22Z,Ready for the future in productivity? Check out @upskillio's successful smart glasses pilot at @GEAviation://t.co/JJCZVV5Vip,FALSE,TRUE,NA,NA
Brian Ballard,887504261415829504,2017-07-19T02:47:59Z,@RynFnk @upskillio Thank you @RynFnk !!,FALSE,FALSE,1226286108,NA
Brian Ballard,887464920748630019,2017-07-19T00:11:40Z,@danprimack And mine was running around in her 'Elsa Dress' today. Must be a subconscious thing happening! Good luck.,FALSE,FALSE,16246929,NA
Brian Ballard,887438527947997186,2017-07-18T22:26:47Z,This is a huge milestone for #GlassEE and @upskillio having worked together for many yrs - excited for the future!//t.co/k3GRBvvJQp,FALSE,TRUE,NA,GlassEE
Brian Ballard,887274540920918017,2017-07-18T11:35:09Z,"Google Glass is back! This time, for work. I visit a factory in Midwest for exclusive story. //t.co/U9ck2oykb5",FALSE,TRUE,NA,NA
Brian Ballard,887273678844694528,2017-07-18T11:31:44Z,@StevenLevy I miss that device so much. It's the best device I've ever used despite being a beta product.,FALSE,TRUE,NA,NA
Brian Ballard,883154718628990978,2017-07-07T02:44:27Z,"Exploring stenciling and portals in WebAR, using 6DOF tracking/camera rendering #XR #AR #VR//t.co/ifgnEUVMFK",FALSE,TRUE,NA,XR
Brian Ballard,883154718628990978,2017-07-07T02:44:27Z,"Exploring stenciling and portals in WebAR, using 6DOF tracking/camera rendering #XR #AR #VR//t.co/ifgnEUVMFK",FALSE,TRUE,NA,AR
Brian Ballard,883154718628990978,2017-07-07T02:44:27Z,"Exploring stenciling and portals in WebAR, using 6DOF tracking/camera rendering #XR #AR #VR//t.co/ifgnEUVMFK",FALSE,TRUE,NA,VR
Brian Ballard,876203943763771392,2017-06-17T22:24:33Z,@GaneshBell @alexkelly617 Have you guys watched Faster?,FALSE,FALSE,500155741,NA
Brian Ballard,874762090946465792,2017-06-13T22:55:09Z,"@theAREAorg @upskillio A little more than a month later, the @PristineIO team (now the @upskillio Austin team) has had an amazing impact so far!",FALSE,TRUE,NA,NA
Brian Ballard,869991540633903108,2017-05-31T18:58:41Z,Interesting comparison by @Boeing's Paul Davies on Technology Readiness Level vs Cultural Readiness Level. Great insights at #AWE2017//t.co/5Ti24wMdAn,FALSE,FALSE,NA,AWE2017
