name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Roland Busch,1179107490908250112,2019-10-01T18:55:07Z,Congratulations @Gerhard_Kress and team! Well deserved! @SiemensMobility//t.co/iFKQQMNBH7,TRUE,FALSE,NA,NA
Roland Busch,1176578962824290305,2019-09-24T19:27:39Z,"@UN @SiemensGamesa @MichaelSen The science is clear about #ClimateChange. It needs commitment of government, business and civil society alike. Here's ours, working towards #CarbonNeutrality and helping our customers around the world reduce their footprint://t.co/s6w0uZn3lU #SDG13 #ClimateAction @BuschRo//t.co/CSixdf0LtA",FALSE,TRUE,NA,ClimateChange
Roland Busch,1174795123424710665,2019-09-19T21:19:18Z,@jhsnabe @siemens_press @MichaelSen @lisadavis @JoeKaeser @Siemens Thanks Jim!,FALSE,FALSE,508549818,NA
Roland Busch,1174793172888764416,2019-09-19T21:11:33Z,@HelmuthLudwig @Siemens @MichaelSen Thanks Helmuth!,FALSE,FALSE,303927715,NA
Roland Busch,1174360663369637888,2019-09-18T16:32:55Z,Congratulations @MichaelSen and @BuschRo on your new and needless to say very important roles. Another crucial milestone has been set. I do thank you @lisadavis for your outstanding leadership and remarkable achievements since joining our @siemens family.//t.co/i9FKPCf8U8,FALSE,TRUE,NA,NA
Roland Busch,1174360141996679168,2019-09-18T16:30:51Z,@JoeKaeser @MichaelSen @lisadavis @Siemens Thanks Joe. Looking forward to it and wish all the best to @MichaelSen and @LisaDavis. #TeamSiemens,FALSE,FALSE,874647878060445696,TeamSiemens
Roland Busch,1173543730923618304,2019-09-16T10:26:43Z,"Deploying #IoT technologies in #industrialsystems has the potential to optimize productivity beyond normal levels & create entirely new business models. To capture the potential, companies should consider leveraging ecosystems and co-creating with partners. #IIoT, #AI, #IoTClan//t.co/wzShB9gWGz",FALSE,FALSE,NA,IoT
Roland Busch,1173543730923618304,2019-09-16T10:26:43Z,"Deploying #IoT technologies in #industrialsystems has the potential to optimize productivity beyond normal levels & create entirely new business models. To capture the potential, companies should consider leveraging ecosystems and co-creating with partners. #IIoT, #AI, #IoTClan//t.co/wzShB9gWGz",FALSE,FALSE,NA,industrialsystems
Roland Busch,1173543730923618304,2019-09-16T10:26:43Z,"Deploying #IoT technologies in #industrialsystems has the potential to optimize productivity beyond normal levels & create entirely new business models. To capture the potential, companies should consider leveraging ecosystems and co-creating with partners. #IIoT, #AI, #IoTClan//t.co/wzShB9gWGz",FALSE,FALSE,NA,IIoT
Roland Busch,1173543730923618304,2019-09-16T10:26:43Z,"Deploying #IoT technologies in #industrialsystems has the potential to optimize productivity beyond normal levels & create entirely new business models. To capture the potential, companies should consider leveraging ecosystems and co-creating with partners. #IIoT, #AI, #IoTClan//t.co/wzShB9gWGz",FALSE,FALSE,NA,AI
