name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
CP Gurnani,1181451190896230401,2019-10-08T06:08:08Z,#HappyDussehra #AirForceDay My salute on this special day to the Indian Air Force @IAF_MCC heroes who vanquish the visible enemies from our lives.. Thank you for protecting our skies with grit and glory //t.co/rlJMk10mrA,FALSE,FALSE,NA,HappyDussehra
CP Gurnani,1181451190896230401,2019-10-08T06:08:08Z,#HappyDussehra #AirForceDay My salute on this special day to the Indian Air Force @IAF_MCC heroes who vanquish the visible enemies from our lives.. Thank you for protecting our skies with grit and glory //t.co/rlJMk10mrA,FALSE,FALSE,NA,AirForceDay
CP Gurnani,1181413084880990209,2019-10-08T03:36:43Z,"On this auspicious day, let's resolve to tackle the intangible & tangible demons of our lives Wishing my family @tech_mahindra and the twitter world a very #HappyDussehra//t.co/8MepCBTGb1",FALSE,FALSE,NA,HappyDussehra
CP Gurnani,1181166350904881153,2019-10-07T11:16:17Z,"Bangladesh has demonstrated great commitment towards digital by developing skills, new technologies and nurturing entrepreneurship..Love the country's focus in making digital a reality @tech_mahindra is a proud partner! @zapalak//t.co/Y6Eea2LyeC",TRUE,FALSE,NA,NA
CP Gurnani,1180710688588619777,2019-10-06T05:05:39Z,Proud to see @tech_mahindra associates taking the message of #DONTBEPLASTIC to such great heights Congrats @joglekarsachin on your 100th jump.. Sachin and centuries do go hand in hand :) @sachin_rt//t.co/QaZdsmJKTd,TRUE,FALSE,NA,DONTBEPLASTIC
CP Gurnani,1180452413347516416,2019-10-05T11:59:21Z,Now this is a recognition that calls for a 'bloody' loud applause! Take a bow @tech_mahindra Chennai team for organising the highest number of #BloodDonation camps. Thank you @IndianRedCross for recognizing their efforts!//t.co/xtcD4KEQu5,TRUE,FALSE,NA,BloodDonation
CP Gurnani,1180089053812682752,2019-10-04T11:55:30Z,Thank you @pranjalsharma for moderating a panel of mavericks ! It was a great discussion and as always fun meeting @ShashiTharoor @sanjivrbajaj @kunalb11 @KavitaGupta19 !//t.co/lJWpn5WqFl,TRUE,FALSE,NA,NA
CP Gurnani,1179998328945176577,2019-10-04T05:54:59Z,"After a series of setbacks, a system for catching plastic floating in the Pacific between California and Hawaii is now working, its inventor said//t.co/UjdSAicom0",FALSE,TRUE,NA,NA
CP Gurnani,1179966564130381825,2019-10-04T03:48:46Z,It will be a rich meeting of minds...addressing the fundamentals.. Looking forward to meeting you... @ShashiTharoor @sanjivrbajaj @kunalb11 @wef #IES2019//t.co/3dEc40B7Ti,TRUE,FALSE,NA,IES2019
CP Gurnani,1179947482064670721,2019-10-04T02:32:56Z,"A moving experience watching @sonrisethefilm @tech_mahindra yesterday. A brilliant film of courage, conviction & incredible strength @vibhabakshi - you are a powerful catalyst and the film WILL stir conversations and change the narrative on gender inequality #HeForShe//t.co/uVqWPDaaz9",FALSE,FALSE,NA,HeForShe
CP Gurnani,1179816719067443201,2019-10-03T17:53:20Z,"Always a pleasure to host family and yes, you guys rocked the look! @TheHCIGroup//t.co/VAqjgvEPIZ",TRUE,FALSE,NA,NA
CP Gurnani,1179744062108123136,2019-10-03T13:04:37Z,Here is a quick poll as I get ready to share my perspectives @wef #IES2019 Who do you think will play a major role in making India the most cashless country for payments ?,FALSE,FALSE,NA,IES2019
CP Gurnani,1179694112800264192,2019-10-03T09:46:08Z,"A gender-equal world starts with all of us coming together to respect, accept and celebrate all genders under one roof. Delighted to partner with @NASSCOM & my other industry colleagues to change the narrative on gender inequality Looking fwd to @SonRiseTheFilm @VibhaBakshi//t.co/ucXquz7Kfl",TRUE,FALSE,NA,NA
