name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Cathy Bessant,1179115893709819905,2019-10-01T19:28:30Z,"Shout-out to our @BofA_News Disability Action Network, helping make BofA a place where teammates of all abilities have the power to be successful #NDEAM #RIghtTalentRightNow//t.co/SW3MoE1NQ8",FALSE,FALSE,NA,NDEAM
Cathy Bessant,1179115893709819905,2019-10-01T19:28:30Z,"Shout-out to our @BofA_News Disability Action Network, helping make BofA a place where teammates of all abilities have the power to be successful #NDEAM #RIghtTalentRightNow//t.co/SW3MoE1NQ8",FALSE,FALSE,NA,RIghtTalentRightNow
Cathy Bessant,1177565122740412416,2019-09-27T12:46:18Z,The track at @CLTMotorSpdwy is heating up. Can't wait for the @BankofAmerica #BofAROVAL with the great @MarioAndretti here in #Charlotte as the honorary pace car driver! @MarcusSMI//t.co/qMetwbbX2X,FALSE,FALSE,NA,BofAROVAL
Cathy Bessant,1177565122740412416,2019-09-27T12:46:18Z,The track at @CLTMotorSpdwy is heating up. Can't wait for the @BankofAmerica #BofAROVAL with the great @MarioAndretti here in #Charlotte as the honorary pace car driver! @MarcusSMI//t.co/qMetwbbX2X,FALSE,FALSE,NA,Charlotte
Cathy Bessant,1177563217184350214,2019-09-27T12:38:43Z,"We were recognized by @IPO for the 7th year in a row as a patent leader. Our team is continually working to pioneer advancements in #AI, #cybersecurity and #mobilebanking.//t.co/qUrAUpYSZc//t.co/0hiZDWIeqB",FALSE,TRUE,NA,NA
Cathy Bessant,1175087678670303232,2019-09-20T16:41:49Z,More than 45% of our global management team are women; more than 35% of our board of directors are women; and more than 50% of our global workforce are women. Thank you @FortuneMagazine & @GPTW_US for including us on the 2019 #BestWorkplaces for Women list//t.co/hzH1kY9N3I//t.co/eJ3ZJKCHFB,FALSE,TRUE,NA,NA
Cathy Bessant,1175073229968498688,2019-09-20T15:44:24Z,Congratulations to all the Charlotte #Orbie winners! And thanks to @QueensUniv's @BrianBaute for leading our keynote conversation. More proof that a liberal arts curriculum CAN lead to a CIO role. @InspireCIO//t.co/atG1RlZEQJ,FALSE,FALSE,NA,Orbie
Cathy Bessant,1174464471504494593,2019-09-18T23:25:25Z,"I have been a @CokieRoberts listener, reader & admirer for decades, a pioneer whose intellect and wit were unmatched. Her book We Are Our Mothers' Daughters is one of my all-time favorites. That breast cancer was the villain is beyond sad. We miss you already! #npr #curecancer//t.co/PE80HG6RId",FALSE,FALSE,NA,npr
Cathy Bessant,1174464471504494593,2019-09-18T23:25:25Z,"I have been a @CokieRoberts listener, reader & admirer for decades, a pioneer whose intellect and wit were unmatched. Her book We Are Our Mothers' Daughters is one of my all-time favorites. That breast cancer was the villain is beyond sad. We miss you already! #npr #curecancer//t.co/PE80HG6RId",FALSE,FALSE,NA,curecancer
Cathy Bessant,1172981991207292928,2019-09-14T21:14:34Z,The perfect way to celebrate #NFHDay2019 ? Watching field hockey of course. And I am doing exactly that! #Tarheels Club Field Hockey wins over ##ECU ! @Stop_the_hay10//t.co/bLlCnuqUJC,TRUE,FALSE,NA,NFHDay2019
Cathy Bessant,1172981991207292928,2019-09-14T21:14:34Z,The perfect way to celebrate #NFHDay2019 ? Watching field hockey of course. And I am doing exactly that! #Tarheels Club Field Hockey wins over ##ECU ! @Stop_the_hay10//t.co/bLlCnuqUJC,TRUE,FALSE,NA,Tarheels
