name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Cathy Engelbert,1181392458179059715,2019-10-08T02:14:45Z,Panda!!!!!!!//t.co/JINfpG4fvX,FALSE,TRUE,NA,NA
Cathy Engelbert,1181375095371161602,2019-10-08T01:05:46Z,Game 4 Tuesday night at 8 pm ET on #ESPN2 @WashMystics vs @ConnecticutSun Best of 5 series 2-1 Mystics Great crowd yesterday for Game 3 at #MoheganSunArena!//t.co/jyokoVGL96//t.co/EuIOrwTJ5x,TRUE,FALSE,NA,ESPN2
Cathy Engelbert,1181375095371161602,2019-10-08T01:05:46Z,Game 4 Tuesday night at 8 pm ET on #ESPN2 @WashMystics vs @ConnecticutSun Best of 5 series 2-1 Mystics Great crowd yesterday for Game 3 at #MoheganSunArena!//t.co/jyokoVGL96//t.co/EuIOrwTJ5x,TRUE,FALSE,NA,MoheganSunArena
Cathy Engelbert,1181226249361985538,2019-10-07T15:14:18Z,//t.co/s1aYfppVLa,TRUE,FALSE,NA,NA
Cathy Engelbert,1180970400953618433,2019-10-06T22:17:39Z,Impressive.//t.co/0XHly1ez5K,FALSE,TRUE,NA,NA
Cathy Engelbert,1180874169568972801,2019-10-06T15:55:16Z,Inspiring piece - #lowkeycraftiness It's masks on. It's time to be great. #WNBAFinals //t.co/0TIq1sL5yn,TRUE,FALSE,NA,lowkeycraftiness
Cathy Engelbert,1180874169568972801,2019-10-06T15:55:16Z,Inspiring piece - #lowkeycraftiness It's masks on. It's time to be great. #WNBAFinals //t.co/0TIq1sL5yn,TRUE,FALSE,NA,WNBAFinals
Cathy Engelbert,1180872474218631168,2019-10-06T15:48:32Z,"Also, Stay tuned to @ABCNetwork today at halftime of Game 3 of the #WNBAFinals for the unveiling of the 2019 All-WNBA Teams! #WNBA//t.co/yG0sIdnobO",TRUE,FALSE,NA,WNBAFinals
Cathy Engelbert,1180872474218631168,2019-10-06T15:48:32Z,"Also, Stay tuned to @ABCNetwork today at halftime of Game 3 of the #WNBAFinals for the unveiling of the 2019 All-WNBA Teams! #WNBA//t.co/yG0sIdnobO",TRUE,FALSE,NA,WNBA
Cathy Engelbert,1180662188123533312,2019-10-06T01:52:55Z,"Tune in Sunday, 3:30 ET ABC; Game 3 of the #WNBA Finals - @WashMystics hosted by @ConnecticutSun Series all tied up 1-1. Click over from & , you won't be disappointed! //t.co/yepkHaE7a1",TRUE,FALSE,NA,WNBA
