name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Dan Schulman,1086243128993030144,2019-01-18T12:45:18Z,"PayPal is committing to fund $25 million of interest-free cash advances to help U.S. federal government employees. I feel this is neither a red or blue issue; it's a red, white & blue issue. Please help us spread the word & thank you for sharing.//t.co/HB4yvvZfq9",FALSE,FALSE,NA,NA
Dan Schulman,671761064254504960,2015-12-01T18:41:33Z,"Thanks @USTreasury for hosting #FIF2015. Great to see businesses & gov't working together to make financial services affordable, accessible",FALSE,FALSE,NA,FIF2015
Dan Schulman,664838506171072512,2015-11-12T16:13:46Z,PayPal Officially Welcomes Xoom to PayPal Family! //t.co/h21v3rRmlu #paypalit,FALSE,TRUE,NA,paypalit
Dan Schulman,651065379805007873,2015-10-05T16:04:17Z,PayPal Earns Spot on Interbrand's Top 100 Global Brands List//t.co/qPr4OgM39i #PayPalIt,FALSE,TRUE,NA,PayPalIt
Dan Schulman,633980182139768832,2015-08-19T12:33:48Z,We welcome the team at @Modest who are joining @PayPal & @Braintree today. Here's to an exciting future//t.co/wtdI6FFBJN #paypalit,FALSE,TRUE,NA,NA
Dan Schulman,628607730828193792,2015-08-04T16:45:36Z,Welcome John Rainey as PayPal's new CFO//t.co/xgXvKajDrI #pypl #paypal,FALSE,FALSE,NA,pypl
Dan Schulman,628607730828193792,2015-08-04T16:45:36Z,Welcome John Rainey as PayPal's new CFO//t.co/xgXvKajDrI #pypl #paypal,FALSE,FALSE,NA,paypal
Dan Schulman,623560774477332480,2015-07-21T18:30:48Z,Why I believe it's time for financial democracy//t.co/7zJiQSprSl #CNBC #PYPL,FALSE,FALSE,NA,CNBC
Dan Schulman,623560774477332480,2015-07-21T18:30:48Z,Why I believe it's time for financial democracy//t.co/7zJiQSprSl #CNBC #PYPL,FALSE,FALSE,NA,PYPL
Dan Schulman,623205253488381952,2015-07-20T18:58:05Z,"We're excited about the future of $PYPL rewiring the future of commerce, a $25T market://t.co/JGsnS4QW4B",FALSE,FALSE,NA,NA
Dan Schulman,623178952929099776,2015-07-20T17:13:35Z,"As @PayPal celebrates a new beginning as #PYPL, our customers continue to be at the center of everything we do://t.co/pOrKh8Do1B",FALSE,FALSE,NA,PYPL
Dan Schulman,623158340089171969,2015-07-20T15:51:40Z,A good looking group on a great day for @paypal #PYPL//t.co/6kzuZvYzLf,FALSE,FALSE,NA,PYPL
Dan Schulman,623145938987687937,2015-07-20T15:02:24Z,"Thank you, @devinwenig! We're excited for our continued partnership and look forward to this new chapter. #PYPL",FALSE,FALSE,234859616,PYPL
Dan Schulman,623135093054377984,2015-07-20T14:19:18Z,"Thrilled to be joined by @PayPal leaders, employees & merchants at @Nasdaq as we begin an exciting chapter at #PYPL.//t.co/NBxQU3QKEu",FALSE,FALSE,NA,PYPL
Dan Schulman,621672237578371072,2015-07-16T13:26:26Z,PayPal's Q2 2015 Results//t.co/QfLvPXfRzS #PYPL,FALSE,TRUE,NA,PYPL
Dan Schulman,617419633948098560,2015-07-04T19:48:06Z,"Wherever you are, however you're spending it, Happy #4thofJuly.//t.co/BxgrsgBSfj",FALSE,TRUE,NA,4thofJuly
Dan Schulman,616361546118082560,2015-07-01T21:43:38Z,Excited to share that @PayPal has agreed to acquire @Xoom//t.co/DJHrqBCib7,FALSE,FALSE,NA,NA
Dan Schulman,607911488179691520,2015-06-08T14:06:07Z,"""Money Isn't Free, but Moving It Is Now Cheaper"" by @mims for @WSJ featuring Venmo://t.co/MmWu9PXZoI",FALSE,TRUE,NA,NA
Dan Schulman,601384363759013888,2015-05-21T13:49:40Z,Support Red Nose Day through @PayPal Giving Fund and we'll add 1% to your contribution //t.co/4NM7vyWZLo,FALSE,FALSE,NA,NA
Dan Schulman,594143069949165568,2015-05-01T14:15:21Z,How @Venmo's Helping Me Avoid Getting Sucker-Punched w/ the Pay Per View Bill for #MayPac://t.co/G7pKCcpsYA,FALSE,TRUE,NA,MayPac
Dan Schulman,593044369348788224,2015-04-28T13:29:30Z,One Touch Buying is Now Available Across Platform... -//t.co/ttsUzlK6Kk,FALSE,FALSE,NA,NA
Dan Schulman,592117539250929665,2015-04-26T00:06:37Z,Helping the Victims of the Nepal Earthquake//t.co/eWv06JcWrm,FALSE,TRUE,NA,NA
Dan Schulman,591416534678933505,2015-04-24T01:41:04Z,Our First Quarter Results//t.co/C6fPXpbU5x,FALSE,FALSE,NA,NA
Dan Schulman,585915390120763392,2015-04-08T21:21:29Z,"Honored to host @PayPal President @dan_schulman, Global Brand & Comms Officer @smedleyus & PayPal leaders in Chennai.//t.co/9v4RGrYdE2",FALSE,TRUE,NA,NA
Dan Schulman,575301158966665217,2015-03-10T14:24:19Z,Reason number a million that shows we care about security://t.co/p30ZNOZxfr,FALSE,TRUE,NA,NA
Dan Schulman,572441467425169408,2015-03-02T17:00:55Z,PayPal Agrees to Acquire Paydiant://t.co/jFe1q77E9j,FALSE,TRUE,NA,NA
Dan Schulman,516906928769736704,2014-09-30T11:06:30Z,Honored to lead the legendary @PayPal during this exciting time! Can't wait to get started.//t.co/DWdvWtgboc,FALSE,FALSE,NA,NA
Dan Schulman,474343514667757568,2014-06-05T00:14:41Z,We hope #Spent & our work to find solutions that help reimagine financial services will inspire you to take action//t.co/5tjvhnhMlR,FALSE,FALSE,NA,Spent
