name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Deepak Krishnamurthy,1157482053878898690,2019-08-03T02:43:21Z,@YahooFinanceUK highlights incredible impact of Our #FoundryBerlin program. Hardskills founder says joining SAPiO is one of the best decisions we made and @SAP CSO @deekmurthy elaborates on why supporting underrepresented entrepreneurs is a win-win//t.co/3TxaZoVm67,FALSE,TRUE,NA,FoundryBerlin
Deepak Krishnamurthy,1146189414747557888,2019-07-02T22:50:26Z,Trade talks cast a long shadow over WEF Dalian. Great conversation with @CNBC 's @GeoffCutmore and @ArjunKharpal on @SAP strategy in China//t.co/IBU12ciF11,FALSE,FALSE,NA,NA
Deepak Krishnamurthy,1105506807261339648,2019-03-12T16:32:16Z,Super excited to engage even more closely with the Israeli startup ecosystem! Thank you @OrnaKl and @SAP_Labs_Israel for the partnership//t.co/OKRGNHPZBP,TRUE,FALSE,NA,NA
Deepak Krishnamurthy,1093734100974874624,2019-02-08T04:51:44Z,"Change is coming!So proud, 2 out of 10 women are @SAP_iO #startups receiving award @facebook. Congrats to @gongt2 co-founder @AmberDataio and @Charu1603 founder and CEO @NextPlayinc! We can't wait so see what's next!//t.co/GfxjJBPdy0 #womeninTech #DiversityandInclusion",FALSE,TRUE,NA,startups
Deepak Krishnamurthy,1087618033437138944,2019-01-22T07:48:40Z,The startup ecosystem is not a level playing field.//t.co/MTuEdh0akG is one of the first steps in what is hopefully a relatively short journey to make inclusive entrepreneurship a reality//t.co/r79q4Jj4xj,TRUE,FALSE,NA,NA
Deepak Krishnamurthy,1083884402210471936,2019-01-12T00:32:33Z,A stellar launch week at #SAPiONY Foundry! We couldn't be more excited about our @sap_iO inclusive entrepreneurship Winter Cohort on Enterprise Social Impact! @GetAtipica @JoinCariClub @COIoptimizer @DaivergentHQ @eon_connect @TheGoodrCo @RexAnimalHealth @StellarEmploy @SAP//t.co/qqTfPTPkgU,FALSE,TRUE,NA,SAPiONY
Deepak Krishnamurthy,1082849115871023104,2019-01-09T03:58:42Z,Wonderful hosting @Ritu_Bhasin at//t.co/z64C6PHtqZ SF. A great talk on #inclusion #selflove and how to interrupt the negative narratives.//t.co/pcvKF70UKM,FALSE,TRUE,NA,inclusion
Deepak Krishnamurthy,1082849115871023104,2019-01-09T03:58:42Z,Wonderful hosting @Ritu_Bhasin at//t.co/z64C6PHtqZ SF. A great talk on #inclusion #selflove and how to interrupt the negative narratives.//t.co/pcvKF70UKM,FALSE,TRUE,NA,selflove
Deepak Krishnamurthy,1070814497017872389,2018-12-06T22:57:25Z,Thank you @AdaireFoxMartin for being part of a fantastic @sap_iO Paris Foundry demo day and reinforcing @SAP commitment to the French startup ecosystem! And big thanks to @mazaic and @BlaBlaCar for hosting the demo day!//t.co/JRiwd5ZjxS,TRUE,FALSE,NA,NA
Deepak Krishnamurthy,1070384362196254720,2018-12-05T18:28:13Z,.@SAP Chief Strategy Officer & @sap_iO Executive sponsor @DeeKMurthy talking about inclusive entrepreneurship at the #BerlinDemoDay cc: @techstars//t.co/0plrstqMaX,FALSE,TRUE,NA,NA
Deepak Krishnamurthy,1060720092500123648,2018-11-09T02:25:51Z,Diversity is a fact. And Inclusion is a choice today. How can we make Inclusion a fact? Looking for women and diverse entrepreneurs to be part of our Berlin//t.co/KEkcuZ6PHB Foundry cohort next spring//t.co/pBBm9fdamH,TRUE,FALSE,NA,NA
Deepak Krishnamurthy,1060319218946605056,2018-11-07T23:52:56Z,We're bringing inclusive entrepreneurship to #Berlin! Watch @DeeKMurthy s full speech #WebSummit and @alexaKGorman make the exciting announcement @WebSummit of a dedicated accelerator program for women and diverse-led Enterprises in #BERLIN @SAP_iO.//t.co/8WoTR72Hmc,FALSE,TRUE,NA,Berlin
Deepak Krishnamurthy,1060319218946605056,2018-11-07T23:52:56Z,We're bringing inclusive entrepreneurship to #Berlin! Watch @DeeKMurthy s full speech #WebSummit and @alexaKGorman make the exciting announcement @WebSummit of a dedicated accelerator program for women and diverse-led Enterprises in #BERLIN @SAP_iO.//t.co/8WoTR72Hmc,FALSE,TRUE,NA,WebSummit
Deepak Krishnamurthy,1060268373697814528,2018-11-07T20:30:53Z,"Wow that's a statement: ""Diversity is a fact + inclusion is a choice! We at//t.co/gdQ26xY591 have a 80% diverse core team and look at diversity in our startups: because diversity matters!"" @DeeKMurthy @WebSummit//t.co/TF3xLoj8Kk",FALSE,TRUE,NA,NA
Deepak Krishnamurthy,1060268257788264454,2018-11-07T20:30:26Z,"@DeeKMurthy at #WebSummit: ""If you are a startup we would love to hear your dreams"". Know more about the @SAP program for startups,//t.co/vGe98IYrM3: //t.co/2CfxgDUxgJ//t.co/C2AD8byPum",FALSE,TRUE,NA,WebSummit
Deepak Krishnamurthy,1060268090364256256,2018-11-07T20:29:46Z,Fantastic to be at @WebSummit and showcase our commitment to diversity and inclusion in the startup ecosystem! Looking forward to working with women and diverse entrepreneurs building next gen B2B software in Berlin! Applications open at//t.co/QxwcwOex4s #Tech4Good//t.co/vtdg0zRYnr,TRUE,FALSE,NA,Tech4Good
