name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Dov Seidman,1181290472230264832,2019-10-07T19:29:30Z,"Better advice. That said, the advice is somewhat paradoxical: knowing your limits, involves pushing your limits. And pushing your limits, in turn, makes you less limited. A fine line, best walked with a balance of humility and boldness.//t.co/UmS8oxdksv",TRUE,FALSE,NA,NA
Dov Seidman,1181183040208420866,2019-10-07T12:22:36Z,Once more confirms the need to move away from quarterly rat race. Goes beyond guidance to quarterly calls by CEO's which encourage same short term behaviour. That's why I abolished @Unilever. 300% return in ten years by focusing on long term.//t.co/AF9knJF0Yu via @McKinsey,FALSE,TRUE,NA,NA
Dov Seidman,1179483820799737857,2019-10-02T19:50:31Z,.@LRN E&C Pulse | October 2nd - The latest edition of LRN's #Ethics & #Compliance Pulse Newsletter features a Q&A w/ our newly appointed CEO Matt Blumberg (@mattblumberg). Get to know Matt and be sure to subscribe!//t.co/sFpIiqZK2y,FALSE,TRUE,NA,Ethics
Dov Seidman,1179483820799737857,2019-10-02T19:50:31Z,.@LRN E&C Pulse | October 2nd - The latest edition of LRN's #Ethics & #Compliance Pulse Newsletter features a Q&A w/ our newly appointed CEO Matt Blumberg (@mattblumberg). Get to know Matt and be sure to subscribe!//t.co/sFpIiqZK2y,FALSE,TRUE,NA,Compliance
Dov Seidman,1179418452043452416,2019-10-02T15:30:46Z,I suppose leadership at one time meant muscles; but today it means getting along with people. Mohandas (Mahatma) Gandhi was born 150 ago today @mahatma150 #Gandhi150,FALSE,FALSE,NA,Gandhi150
Dov Seidman,1177597709127163909,2019-09-27T14:55:47Z,"@mattblumberg @LRN @DovSeidman Many congratulations from @mattblumberg. What an incredible company you be leading, at such a critical time.",FALSE,TRUE,NA,NA
Dov Seidman,1177367034633641984,2019-09-26T23:39:10Z,It was special to introduce you @mattblumberg to your new @LRN colleagues. You already inspired us all today about the impact we can generate together! So excited to work closely with you on the path ahead. Your words in your blog are both heartening and meaningful.//t.co/KJ6BMnP0NZ,TRUE,FALSE,NA,NA
Dov Seidman,1177324085258391556,2019-09-26T20:48:30Z,Exciting times @LRN as we welcome @mattblumberg as our new CEO. Our world needs principled performance more than ever. //t.co/TEuTFlYASZ,FALSE,TRUE,NA,NA
Dov Seidman,1177279282147733504,2019-09-26T17:50:28Z,Excited to share this announcement://t.co/4Bjqzq309W,TRUE,FALSE,NA,NA
Dov Seidman,1175520333396422657,2019-09-21T21:21:02Z,"Rugby volunteers in Japan demonstrating the spirit of no-side by respecting each other without distinguishing between friends and foes reminds me the Latin root of competition' is competere,' which means to strive together. //t.co/yckFEvXfBY",FALSE,FALSE,NA,NA
Dov Seidman,1174301749676560384,2019-09-18T12:38:49Z,"Humility can be the best and most enduring value in which to root, reset and reimagine the journey and create lasting value. Some instructive parallels to Netflix as I wrote about in 2014 //t.co/LvgDjYzTnx//t.co/0U5aRe1dEA //t.co/xqFulFbXz2",FALSE,FALSE,NA,NA
