name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Ellen Agler,1180881182130671616,2019-10-06T16:23:08Z,"Today 1st monthly #CarFreeDay in @CityofKigali. Very early in the morning citizens of all ages from all directions are practicing #sportsforall towards the 4 sites of the 3 Districts of the City, walking, jogging, biking... At the sites, they are gathered for #PhysicalActivity.//t.co/0bYNHukGIE",FALSE,TRUE,NA,CarFreeDay
Ellen Agler,1180881095690276864,2019-10-06T16:22:47Z,Stigma around periods can keep girls and women around the world from participating equally in school and work. @EmmaBarnett's #Period is an information-packed and hilarious book that aims to change the conversation about periods.//t.co/QS0Sv6F4gT,FALSE,TRUE,NA,NA
Ellen Agler,1180233663625273344,2019-10-04T21:30:07Z,Humility: A Global Health Professional's Most Important Attribute//t.co/kfbs4htwY3,FALSE,FALSE,NA,NA
Ellen Agler,1179566410189725698,2019-10-03T01:18:42Z,"I had the honor to meet with the founder of @miraclefeet today. I'm so inspired by their work to end childhood disability caused by club feet. Club feet shouldn't hold anyone back from a full life, no matter where they are born or what resources they have.//t.co/6mKcrjx0N6",TRUE,FALSE,NA,NA
Ellen Agler,1179475770391093254,2019-10-02T19:18:31Z,"I want to see more women making decisions, controlling resources, & shaping policies. That's why I'm committing $1B over the next 10 years to expanding women's power & influence in the U.S. #EqualityCantWait, & no one in a position to act should either.//t.co/Rh6SkRH0ma",FALSE,TRUE,NA,NA
Ellen Agler,1179020191314927617,2019-10-01T13:08:13Z,Thanks for including us in this report! #sustainability//t.co/68py8Sg55Z,FALSE,TRUE,NA,sustainability
Ellen Agler,1179019214969016321,2019-10-01T13:04:20Z,WEF Africa Co-Chair and CEO of END Fund Ellen Agler chats to Africa Outlook's Tom Wadlow on how END Fund is leading the debate on ending neglected tropical diseases (NTDs) to enable Africa's prosperity. See the link below://t.co/oDs74hzdqe//t.co/KJ8Jg7kWl2,FALSE,TRUE,NA,NA
Ellen Agler,1178113548842610688,2019-09-29T01:05:32Z,History shows health is the foundation of African prosperity//t.co/bE3Ru3ZiA4,FALSE,FALSE,NA,NA
Ellen Agler,1177345786176294912,2019-09-26T22:14:44Z,Neglected tropical diseases (NTDs) like worms affect more than 1.5 billion of the world's most impoverished people. Over the next 6 years @TheENDFund has an ambitious plan to bring deworming treatment to almost 100 million people.//t.co/WowqbKbniL #HealthForAll. #UNGA74,FALSE,TRUE,NA,NA
Ellen Agler,1177343548129185793,2019-09-26T22:05:50Z,It is their most ambitious campaign yet! See what @GlblCtzn will focus on in 2020! #beatNTDs//t.co/zMmbhVWM3x,FALSE,TRUE,NA,beatNTDs
