name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Fadi Chehadé,785957417347522560,2016-10-11T21:37:05Z,#ICANN's model independence and the future of transnational governance//t.co/RbVb0syEgz Thanks to @Joe_Nye #NgaireWoods,FALSE,FALSE,NA,ICANN
Fadi Chehadé,785957417347522560,2016-10-11T21:37:05Z,#ICANN's model independence and the future of transnational governance//t.co/RbVb0syEgz Thanks to @Joe_Nye #NgaireWoods,FALSE,FALSE,NA,NgaireWoods
Fadi Chehadé,782231242477441027,2016-10-01T14:50:36Z,"With independence wings, a community must soar to new heights of responsibility. And ICANN will. Congratulations!//t.co/vjLQh7GuNH",FALSE,FALSE,NA,NA
Fadi Chehadé,779799999492206592,2016-09-24T21:49:42Z,A lucid argument for ICANN independence.//t.co/8f2hcmrq6L,TRUE,FALSE,NA,NA
Fadi Chehadé,760975894336774144,2016-08-03T23:09:26Z,Let the geeks rule over the Internet//t.co/TnZvWhdr5P,FALSE,TRUE,NA,NA
Fadi Chehadé,740919152714612736,2016-06-09T14:51:06Z,"#ICANN team, oh what an amazing team. Independence in sight thanks to your unmatched dedication & professionalism!//t.co/nGMryH8i2K",FALSE,FALSE,NA,ICANN
Fadi Chehadé,740917549169315840,2016-06-09T14:44:43Z,Successful transition to genuine multistakeholder governance impossible without volunteer tireless efforts. We salute each one of you today!,FALSE,FALSE,NA,NA
Fadi Chehadé,740913769971384320,2016-06-09T14:29:42Z,Historic milestone for Digital World: U.S. Gov approves transition of ICANN/IANA to global transnational governance by all stakeholders. Wow,FALSE,FALSE,NA,NA
Fadi Chehadé,735809000764112896,2016-05-26T12:25:11Z,Thanks @ICANN @sallycosterton Tarek & Pierre for putting roots in Africa- a base to connect the beautiful continent//t.co/nyiaExGFjt,TRUE,FALSE,NA,NA
Fadi Chehadé,735655144772112384,2016-05-26T02:13:48Z,It is increasingly difficult to manage boundaries btwn transnational Internet and national/regional digital policy//t.co/ffQ3GvAijk,FALSE,FALSE,NA,NA
Fadi Chehadé,733694958570491904,2016-05-20T16:24:44Z,Looking forward to speaking tomorrow at @libe's forum in Angers FR.//t.co/HtNHkguK6y//t.co/D7I3xKX7pS,FALSE,FALSE,NA,NA
Fadi Chehadé,733258244060254208,2016-05-19T11:29:23Z,Trust Incompetence Powerlessness among challenges of government discussed at #COGC2016. How much of this enabled by digital transformation?,FALSE,FALSE,NA,COGC2016
Fadi Chehadé,732197151233740800,2016-05-16T13:12:59Z,@PennyPritzker launching Digital Economy Board of Advisors expanding focus from Internet & @ICANN to digital economy//t.co/LLzxJN0fM2,FALSE,FALSE,308573576,NA
Fadi Chehadé,727665932156309505,2016-05-04T01:07:32Z,Enjoyed @paragkhanna's insightful @MilkenInstitute conversation today. His book is a must read.//t.co/STvuEd8NEs,FALSE,FALSE,NA,NA
Fadi Chehadé,725041569229856770,2016-04-26T19:19:15Z,"Maintaining Trust in the Digital World, our important challenge ahead.//t.co/20HVOjkf6f//t.co/9qudBgFybL",FALSE,FALSE,NA,NA
Fadi Chehadé,722875114144948224,2016-04-20T19:50:32Z,@CondoleezzaRice statement @asugsvsummit: Technology in education is neutral. The real #changeagent is how we make it available to all.,FALSE,FALSE,388555493,changeagent
Fadi Chehadé,721074054971588609,2016-04-15T20:33:46Z,"Welcome to Advisory Board Lana Nusseibeh, UAE Ambassador at UN. Superb WSIS+10 facilitator!//t.co/kENrBvTdSH//t.co/RZKmlQ0Zut",FALSE,FALSE,NA,NA
Fadi Chehadé,717338663139540992,2016-04-05T13:10:39Z,Prof Schwab explaining to strategic partners how @WEF is transforming into global platform to enable networks of public-private partnerships,FALSE,FALSE,NA,NA
Fadi Chehadé,717017978735312896,2016-04-04T15:56:22Z,"@mneylon First true break in 3 years, 9 months, and 8 days",FALSE,FALSE,13162762,NA
Fadi Chehadé,717016317732208640,2016-04-04T15:49:46Z,Back from post @ICANN break. Fully re-energized for new adventure. In New York on my first day at @wef,FALSE,FALSE,NA,NA
Fadi Chehadé,710243923231309824,2016-03-16T23:18:41Z,"First assignment post @ICANN: get off the mountain, for 'mountain clearer from plain' (Gibran). Back on 4 April",FALSE,FALSE,NA,NA
Fadi Chehadé,709510241226887168,2016-03-14T22:43:18Z,Will ICANN model work for digital governance of economic and societal issues? Read my latest blog//t.co/dkp7ijZj1j,FALSE,FALSE,NA,NA
Fadi Chehadé,709508021018165248,2016-03-14T22:34:28Z,"With wind in our sail, onto the next digital governance layer. Launching today from//t.co/liHOmosi3A",FALSE,FALSE,NA,NA
