name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Helle Thorning S,1175433265940959232,2019-09-21T15:35:03Z,Love this picture. Symbol of peace in Europe thanks to our Union. 35 years today.//t.co/uiwaWCSAts,FALSE,FALSE,NA,NA
Helle Thorning S,1175196479507640320,2019-09-20T23:54:09Z,Fridays for future. The school strike continues! #climatestrike #klimatstrejk #FridaysForFuture//t.co/5jej011Qtp,FALSE,TRUE,NA,climatestrike
Helle Thorning S,1175196479507640320,2019-09-20T23:54:09Z,Fridays for future. The school strike continues! #climatestrike #klimatstrejk #FridaysForFuture//t.co/5jej011Qtp,FALSE,TRUE,NA,klimatstrejk
Helle Thorning S,1175196479507640320,2019-09-20T23:54:09Z,Fridays for future. The school strike continues! #climatestrike #klimatstrejk #FridaysForFuture//t.co/5jej011Qtp,FALSE,TRUE,NA,FridaysForFuture
Helle Thorning S,1174570591871012864,2019-09-19T06:27:06Z,"Lib Dems' polarising behaviour mirrors no-deal extremists & illustrates why our politics is stuck in deadlock. We need compromise, not bunker mentality. They shld instead back #MPs4aDeal call for govt to table x-party Withdrawal Agreement Bill. My piece://t.co/HS9UhoM9VT",FALSE,TRUE,NA,NA
Helle Thorning S,1171474042919931905,2019-09-10T17:22:31Z,Today we launched 'MPs for a Deal.' It's critical we find a path out of the Brexit quagmire. All of us stood on manifestos promising a deal. The Withdrawal Agreement Bill was a cross-party compromise but was never voted on. Let's use it as a basis to break deadlock. #MPs4aDeal//t.co/7ivsXMb4H9,FALSE,TRUE,NA,NA
Helle Thorning S,1170267625982693376,2019-09-07T09:28:39Z,"""OK, but think back: where did you last have the Master-Plan?"".//t.co/zqlb7sHGqf",FALSE,TRUE,NA,NA
Helle Thorning S,1170267538988654592,2019-09-07T09:28:18Z,Hahaha this is the funniest so far. Love it//t.co/8BmLE8X7Oe,FALSE,TRUE,NA,NA
Helle Thorning S,1169323705815584769,2019-09-04T18:57:51Z,Labour MP Stephen Kinnock's amendment approved after no tellers for the noes put forward //t.co/EhLRbMssc6,FALSE,TRUE,NA,NA
Helle Thorning S,1167550264871727104,2019-08-30T21:30:49Z,Government promise multi billion pound boost for schools. Sounds like a general election is moving closer in the UK.,FALSE,FALSE,NA,NA
Helle Thorning S,1167548115819347968,2019-08-30T21:22:17Z,"Efter flere rs politiske reformer af @DBUfodbold m fokus p benhed og good governance skd vi i dag arbejdet i de nye komiteer og udvalg igang. Fokus p bredde, prof, landshold, governance, udvikling og diversitet mm Ser frem til samarb m @HelleThorning_S & Co #ForDanmark//t.co/kYGEhf0Evx",FALSE,TRUE,NA,NA
Helle Thorning S,1167375571451555841,2019-08-30T09:56:39Z,"Options to avoid a catastrophic No Deal are running out. Here I set out Plans A, B, C and D - each are beset with difficulty, but all are far preferable to crashing out. I'll be doing all I can in Parliament to protect our security and economy.//t.co/c0LxdUhwJq",FALSE,TRUE,NA,NA
Helle Thorning S,1164044340202811392,2019-08-21T05:19:32Z,So the POTUS has cancelled his visit to Denmark because there was no interest in discussing selling Greenland @BBCRadio4 Is this some sort of joke? Deeply insulting to the people of Greenland and Denmark.,FALSE,FALSE,NA,NA
Helle Thorning S,1163073879440535552,2019-08-18T13:03:16Z,//t.co/3G3lRMphLh,FALSE,FALSE,NA,NA
Helle Thorning S,1162411534259302400,2019-08-16T17:11:20Z,Buy Greenland!! Is this a joke!l? In any case: what an insult to the population of Greenland and our shared citizenship//t.co/m54nueT8Dk,TRUE,FALSE,NA,NA
Helle Thorning S,1154379209885868032,2019-07-25T13:13:45Z,"Today I reminded the PM that the 2017 Tory manifesto says: ""We need to deliver a smooth & orderly departure from the EU"" & that it repeats the phrase (or similar) *8 times!*. There's absolutely no democratic mandate for a catastrophic no-deal crash out.//t.co/gcXuJrks1T",FALSE,TRUE,NA,NA
Helle Thorning S,1153638961698488321,2019-07-23T12:12:16Z,"You have a Tory Party that's able to behave with an almost surreal sense of irresponsibility at the moment, because of the weakness of the Labour Party. Former PM Tony Blair says tells @maitlis the weakness of the Labour Party facilitates the right wing. #newsnight//t.co/fYp2j8HqAL",FALSE,TRUE,NA,NA
Helle Thorning S,1153638902147760128,2019-07-23T12:12:02Z,Finally the brexiteers have to take some real responsibility. This amazing country is headed for a no-deal Brexit. So sad...,FALSE,FALSE,NA,NA
Helle Thorning S,1153636859316252672,2019-07-23T12:03:55Z,There will be people here who question what they've done @BorisJohnson tells those who have just elected him their leader & our next PM,FALSE,TRUE,NA,NA
Helle Thorning S,1153636523537051648,2019-07-23T12:02:35Z,Last year @BorisJohnson said that fighting global sexism in education was fundamental. Share this video to remind him how important it is to use #UKaid to focus on issues likes these with the ultimate goal of ending extreme poverty #NextPrimeMinister//t.co/gYZGgHw9ZE,FALSE,TRUE,NA,NA
Helle Thorning S,1151796045657063425,2019-07-18T10:09:11Z,"@AdamPosen @Bruegel_org In Foreign Affairs, the win goes to the @ecfr . Many congratulations to them. #TTA19//t.co/WcAarrPzYq",FALSE,TRUE,NA,TTA19
Helle Thorning S,1151203547100450818,2019-07-16T18:54:48Z,Finally!! the first woman as Commission President. Congratulations @vonderleyen,FALSE,FALSE,NA,NA
Helle Thorning S,1151202938259484673,2019-07-16T18:52:23Z,Congratulations @vonderleyen! Today you have won a democratic mandate from the @Europarl_EN to deliver the green and social programme which you presented this morning. I'm looking forward to working together with you in the new @EU_Commission for a fair and free Europe.,FALSE,TRUE,NA,NA
Helle Thorning S,1151039733763645441,2019-07-16T08:03:52Z,"A big day for Europe. EU is at a crossroad. Will we solve the real issues: climate change, security, new growth, digital regulation and immigration or grow apart and descend into nationalism? And what is Greece new role?#EconRoundtableGR//t.co/KwYX6dtBZr",FALSE,FALSE,NA,EconRoundtableGR
Helle Thorning S,1148235591420719106,2019-07-08T14:21:12Z,"Nu har jag lyssnat p alla partiledartal frn #Almedalen . Inte hos ett enda parti finns ens en brjan p insikt. Klimatkrisen existerar inte i deras vrld. Ett mer och mer medvetet val frsts, samtidigt som klockan tickar. Det r skrmmande.",FALSE,TRUE,NA,Almedalen
