name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Hendrik du Toit,1177152649277399041,2019-09-26T09:27:16Z,"Impressive pitch from Prime Minister Modi. He talks about 4 D's favouring India, the final one being Decisive leadership. That truly makes a difference to investor perceptions.//t.co/bf0mx14Maz",TRUE,FALSE,NA,NA
Hendrik du Toit,1176885048643112960,2019-09-25T15:43:55Z,"Climate change will impact the price of every available financial asset, according to Mark Carney. There is work to do, both on mitigation and measurement.",FALSE,FALSE,NA,NA
Hendrik du Toit,1176855983743782912,2019-09-25T13:48:26Z,"Mark Carney leading a fascinating panel at Bloomberg Global Business Forum with Chairman of Axa, Chairman and CEO of Goldman Sachs and CIO of Japan Govt Pension Fund. The market is moving on Climate! Finally!",FALSE,FALSE,NA,NA
Hendrik du Toit,1173650875837026304,2019-09-16T17:32:28Z,On #DemocracyDay we are reminded of the importance of good governance to ensure citizens' democratic rights of participating in their countries' political processes are respected. How can #participation be improved in your country?//t.co/jFUIvIwHnX,FALSE,TRUE,NA,DemocracyDay
Hendrik du Toit,1167549653925150721,2019-08-30T21:28:24Z,I took this picture of this extraordinary group of elephants two days ago in Amboseli. I am hugely privileged - the front row is a colossal front row and is led by two of the world's biggest elephants - Tim and Craig. //t.co/CiXyL8NUbS,FALSE,TRUE,NA,NA
Hendrik du Toit,1162099031696388104,2019-08-15T20:29:34Z,"The cannabis industry consists of growers, biotechs and supply providers. Download the IG Trading app now to get trading exposure to the entire legal marijuana market. 74% of retail investor accounts lose money.",FALSE,TRUE,NA,NA
Hendrik du Toit,1151238746588819457,2019-07-16T21:14:40Z,@MasekoThembaJ May the white Zulu rest in peace! There goes a great South African.,FALSE,FALSE,102391944,NA
Hendrik du Toit,1149251189873266688,2019-07-11T09:36:50Z,Kevin Rudd's speech at Chatham House seminar on China's Economic Future was simply excellent. China watchers should read.,FALSE,FALSE,NA,NA
Hendrik du Toit,1144260255729295362,2019-06-27T15:04:38Z,Well said Lumkile. Thank you Deputy Governor Mminele. You have served with distinction. South Africa needs more public servants of your calibre.//t.co/n448psIFBL,TRUE,FALSE,NA,NA
Hendrik du Toit,1144259210538115078,2019-06-27T15:00:29Z,Let's hope someone in the US administration takes note! James Gorman is right.//t.co/Xd0ZdsKckd,TRUE,FALSE,NA,NA
Hendrik du Toit,1141403731180826624,2019-06-19T17:53:50Z,We simply have to protect these spectacular creatures//t.co/tOU2ohopX1,TRUE,FALSE,NA,NA
Hendrik du Toit,1141402860808224768,2019-06-19T17:50:22Z,Political posturing trumps orthodox economics!//t.co/v2Yo5RrYxj,TRUE,FALSE,NA,NA
Hendrik du Toit,1141225750659420160,2019-06-19T06:06:36Z,IA comment on fund suspension & use of illiquid assets in open ended funds | Press Releases | The Investment Association. Excellent comment from Chris Cummings. This industry is for long-term savers and not day traders! //t.co/5Q49sbizDr,FALSE,FALSE,NA,NA
Hendrik du Toit,1137484616665899016,2019-06-08T22:20:40Z,@Telegraph Is this a Conservative proposal?,FALSE,FALSE,16343974,NA
Hendrik du Toit,1137376161816895488,2019-06-08T15:09:43Z,@BigDaddyLiberty Crime is crime. We have become far too tolerant of this cancer. All crime should be fought by society.,FALSE,FALSE,183594399,NA
Hendrik du Toit,1137375052557672448,2019-06-08T15:05:18Z,Well done SDG centre and thank Mr President for recognising the good work!//t.co/9MyhCtGe6G,TRUE,FALSE,NA,NA
Hendrik du Toit,1137048808351813633,2019-06-07T17:28:55Z,"Big news - Home Secretary accepts my new clause in Immigration Bill lifting post study restrictions on foreign students! Real win for UK soft power. Many thanks to Conservative colleagues and the x-party MPs who backed it, esp @PaulBlomfieldMP //t.co/hCAbYY1hnV",FALSE,TRUE,NA,NA
