name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Howard Lutnick,742159955088834560,2016-06-13T01:01:36Z,@chiumeister @CNBC bgc partners symbol bgcp,FALSE,FALSE,47718238,NA
Howard Lutnick,728990862206701573,2016-05-07T16:52:20Z,"@Stunnell2 there is a movie. It off the clear blue sky, it's on Netflix.",FALSE,FALSE,25342817,NA
Howard Lutnick,728990450011541504,2016-05-07T16:50:41Z,@PatrickLads14 absolutely,FALSE,FALSE,710537700764467200,NA
Howard Lutnick,634786723134894080,2015-08-21T17:58:43Z,100% of ticket sales are donated to #CantorRelief! Purchase your tickets here://t.co/Gmzib2uxSC//t.co/1VzPuM109T,FALSE,TRUE,NA,CantorRelief
Howard Lutnick,632296041216393216,2015-08-14T21:01:38Z,Open APIs are the key to creating a new collaborative marketplace. Read my take://t.co/zaAiSHjNVk,FALSE,TRUE,NA,NA
Howard Lutnick,626504019767361536,2015-07-29T21:26:12Z,#HowardLutnick spoke on @CNBC this afternoon regarding #BGCPartners' strong earnings. Watch the video here://t.co/YY1kWIKaG7,FALSE,FALSE,NA,HowardLutnick
Howard Lutnick,626504019767361536,2015-07-29T21:26:12Z,#HowardLutnick spoke on @CNBC this afternoon regarding #BGCPartners' strong earnings. Watch the video here://t.co/YY1kWIKaG7,FALSE,FALSE,NA,BGCPartners
Howard Lutnick,606858316304785409,2015-06-05T16:21:12Z,@edielutnick emceed the @MJHnews's Heritage Dinner on 5/26 honoring @howardlutnick. Read more about the event here://t.co/kUliLMlwj0,FALSE,TRUE,NA,NA
Howard Lutnick,606200392335167488,2015-06-03T20:46:50Z,@CNBC interviewed #HowardLutnick about the global bond markets and @BGCPartners. Click here to watch the video clip://t.co/Ji0IoWmMCS,FALSE,FALSE,20402945,HowardLutnick
Howard Lutnick,606149064988729344,2015-06-03T17:22:53Z,"#HowardLutnick presented at Sandler O'Neill's ""Global Exchange & Brokerage Conference"" in NYC today.//t.co/iydb8qiKbB",FALSE,FALSE,NA,HowardLutnick
Howard Lutnick,603334874867564544,2015-05-26T23:00:18Z,The spectacular view from the Museum of Jewish Heritage at their annual dinner honoring my brother @HowardLutnick//t.co/yv5nWiexYT,FALSE,TRUE,NA,NA
Howard Lutnick,597859317920980992,2015-05-11T20:22:23Z,#HowardLutnick was honored by @NECO_org with the Ellis Island Medal of Honor! View photos from the event here://t.co/hdNuR9XdIo,FALSE,FALSE,NA,HowardLutnick
Howard Lutnick,593526024786169858,2015-04-29T21:23:26Z,ICYMI - check out my interview on @PowerLunch discussing BGC's earnings announcement--//t.co/6cum14xYCw,FALSE,FALSE,NA,NA
Howard Lutnick,593433869015248897,2015-04-29T15:17:14Z,"Catch @HowardLutnick 1:30pm discussing @bgcpartners Q1 earnings, energy biz and more $BGCP",FALSE,TRUE,NA,NA
Howard Lutnick,593431568867323905,2015-04-29T15:08:06Z,I'll be a guest on @CNBC @PowerLunch today at approx. 1:30pm discussing @bgcpartners first quarter financial results. Tune in!,FALSE,FALSE,NA,NA
Howard Lutnick,593402779235921920,2015-04-29T13:13:42Z,BGC Partners Reports Record First Quarter 2015 Financial Results--//t.co/SuwsDOe287,FALSE,TRUE,NA,NA
Howard Lutnick,592402843119804416,2015-04-26T19:00:18Z,"Congrats to @HowardLutnick, his kids and all others who walked the 5k in support of the @Sept11Memorial.",FALSE,TRUE,NA,NA
Howard Lutnick,590904462031646720,2015-04-22T15:46:16Z,Today is @EarthDayNewYork! #CantorFitzgerald is the official partner of the #EarthDay5K Walk & Green Tour! We hope to see you there!,FALSE,TRUE,NA,CantorFitzgerald
Howard Lutnick,590904462031646720,2015-04-22T15:46:16Z,Today is @EarthDayNewYork! #CantorFitzgerald is the official partner of the #EarthDay5K Walk & Green Tour! We hope to see you there!,FALSE,TRUE,NA,EarthDay5K
Howard Lutnick,590904221261762561,2015-04-22T15:45:19Z,I'll be speaking tomorrow at the @NGKF Top Producers Meeting in California. I'm so proud of the company's rapid growth in #realestate,FALSE,FALSE,NA,realestate
Howard Lutnick,590861058044211200,2015-04-22T12:53:48Z,Happy #EarthDay! Cantor employees are enjoying the @EarthDayNewYork #EarthDay5K,FALSE,FALSE,NA,EarthDay
Howard Lutnick,590861058044211200,2015-04-22T12:53:48Z,Happy #EarthDay! Cantor employees are enjoying the @EarthDayNewYork #EarthDay5K,FALSE,FALSE,NA,EarthDay5K
Howard Lutnick,587617844231282688,2015-04-13T14:06:26Z,#EarthDay is April 22! Cantor Fitzgerald is the official partner of Earth Day 5K Walk and Green Tour. Email to sign up!,FALSE,FALSE,NA,EarthDay
Howard Lutnick,583299116559667201,2015-04-01T16:05:21Z,Cantor Fitzgerald CEO bullish on investments//t.co/GNSD1t5t47 @HowardLutnick @bgcpartners @OpeningBellFBN @FoxBusiness,FALSE,TRUE,NA,NA
Howard Lutnick,583260420913393664,2015-04-01T13:31:35Z,I will be on @OpeningBellFBN today at approx. 10:20am. Tune in to catch me discussing @bgcpartners and areas of growth for the firm.,FALSE,FALSE,NA,NA
Howard Lutnick,572434832439033856,2015-03-02T16:34:34Z,Tomorrow is the last day for you to meet me for a coffee meeting! All proceeds will benefit @WIZONY Bid here!//t.co/yriFh1VUMc,FALSE,FALSE,NA,NA
Howard Lutnick,571356146436591616,2015-02-27T17:08:15Z,Thanks to @charitybuzz you and a guest can meet me for a coffee meeting! All proceeds will benefit @WIZONY Bid here!//t.co/yriFh1VUMc,FALSE,FALSE,NA,NA
Howard Lutnick,570701510004346880,2015-02-25T21:46:57Z,I had a great interview with @trdny today. It's sure to be a great piece!,FALSE,FALSE,NA,NA
Howard Lutnick,569868104584572928,2015-02-23T14:35:18Z,ICYMI: Here is my interview with @LizClaman about @bgcpartners latest deal!//t.co/ztRr6tdkXe,FALSE,FALSE,NA,NA
Howard Lutnick,568878552151666688,2015-02-20T21:03:10Z,"FOX BUSINESS EXCLSV: Cantor Fitzgerald $BGCP Chair/CEO @HowardLutnick: ""The US Dollar will hit parity w/ Euro, then Euro will go even lower""",FALSE,TRUE,NA,NA
Howard Lutnick,568875322722152448,2015-02-20T20:50:20Z,Catch me talking all about our GFI acquisition to @LizClaman on @FoxBusiness NOW!//t.co/kmd1PfGPdl,FALSE,FALSE,NA,NA
Howard Lutnick,568874439632400384,2015-02-20T20:46:50Z,About to go on @FoxBusiness to talk @bgcpartners GFI acquisition with @LizClaman. Tune in!,FALSE,FALSE,NA,NA
Howard Lutnick,568834462177464320,2015-02-20T18:07:58Z,Anatomy of a hostile bid from one of the lone cowboys on Wall Street: w/its 5.1% yield @HowardLutnick's $BGCP just got bigger 3pET w/me LIVE,FALSE,TRUE,NA,NA
Howard Lutnick,568811932783935488,2015-02-20T16:38:27Z,"Now $BGCP #2 biggest Soon 2B #1? ""@HowardLutnick: I'll be speaking2 @LizClaman 2day at 3:45pmET about @bgcpartners acquisition of GFI Group""",FALSE,TRUE,NA,NA
Howard Lutnick,568798467629424640,2015-02-20T15:44:57Z,I'll be speaking to @LizClaman today at 3:45pm ET about @bgcpartners latest business developments and its acquisition of GFI Group,FALSE,FALSE,NA,NA
