name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Husayn Kassai,1179797767805456390,2019-10-03T16:38:02Z,"I am neither Democrat nor Republican, but Sanders is in my opinion the most fundamentally decent man in politics. His life-long struggle for a more equitable society is a reminder of how far we have comeand a challenge to complete the journey. #GetWellBernie",FALSE,TRUE,NA,NA
Husayn Kassai,1179479526285426688,2019-10-02T19:33:27Z,"America's dad will be back and stronger than ever shortly. Clinton has stents, Biden had a brain hemorrhage. If Bernie was doing 42 rallies a day with a clogged artery imagine what he'll do without it. We love & support you @BernieSanders!",FALSE,TRUE,NA,NA
Husayn Kassai,1178689526719488000,2019-09-30T15:14:16Z,"""Whatever the future of digital identity looks like, it has to be convenient and secure."" Listen to The New Arms Race -The Future of Digital Identity with @HusaynKassai & @delingpole at @LendIt #fintech #LendItFintech //t.co/8f6Zq4HfJM//t.co/POU9ZDwglj",FALSE,TRUE,NA,NA
Husayn Kassai,1178643172571922433,2019-09-30T12:10:05Z,Supporting Refugees affected by war through short term aid and also helping them set up micro businesses to rebuild their lives - donate if you can: //t.co/nFLsaoGAMw,FALSE,FALSE,NA,NA
Husayn Kassai,1177172942746193920,2019-09-26T10:47:55Z,"""Whatever the future of digital identity looks like it has to be convenient and secure"". @HusaynKassai, CEO of @Onfido at #lenditfintech//t.co/1Hk1MPyNmD",FALSE,TRUE,NA,NA
Husayn Kassai,1174996754061844481,2019-09-20T10:40:31Z,"There are big opportunities in #Japan for #fintech companies and @Onfido is just one company we've helped to break into the Japanese market. With DIT support, Onfido co-founder @HusaynKassai secured an investor, signed up customers and began hiring staff. #ReadytoTrade//t.co/Z89FvONUau",FALSE,TRUE,NA,Japan
Husayn Kassai,1174996754061844481,2019-09-20T10:40:31Z,"There are big opportunities in #Japan for #fintech companies and @Onfido is just one company we've helped to break into the Japanese market. With DIT support, Onfido co-founder @HusaynKassai secured an investor, signed up customers and began hiring staff. #ReadytoTrade//t.co/Z89FvONUau",FALSE,TRUE,NA,fintech
Husayn Kassai,1174722853461221376,2019-09-19T16:32:08Z,"Proud to top this year's #fintech50 judging tech innovation from over 2,000 European #fintechs. Congrats to our customers @monzo and @RevolutApp for ranking in top 3. #Identityverification//t.co/Hn2FVIOnkg",FALSE,TRUE,NA,fintech50
Husayn Kassai,1174722853461221376,2019-09-19T16:32:08Z,"Proud to top this year's #fintech50 judging tech innovation from over 2,000 European #fintechs. Congrats to our customers @monzo and @RevolutApp for ranking in top 3. #Identityverification//t.co/Hn2FVIOnkg",FALSE,TRUE,NA,fintechs
Husayn Kassai,1174420010149830659,2019-09-18T20:28:44Z,"This year's #Fintech50 list, revealed by @JamesLiamCook in @Telegraph! @HusaynKassai @Onfido @monzo @RevolutApp//t.co/sd4fM7KniH",FALSE,TRUE,NA,Fintech50
Husayn Kassai,1174246518003515394,2019-09-18T08:59:20Z,@marcventresca @BioEscalator @oxfoundry @OxfordECentre @enterprisingox @if_oxford @OBA_Network @OSI_Updates @PhilClare @OEoftheBay @walkerjk @kimpolese @peteflint @allenmorgan @reidhoffman @CamTurner @brendanbaker Looks good!,FALSE,FALSE,10502292,NA
