name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Julio A. Portalatin,1181540336063176707,2019-10-08T12:02:22Z,"Once again, I will be joining thousands in sleeping out on the streets of New York so a homeless kid won't have to. A gift of $100 allows @CovenantHouse to provide a full day and night of care for one young person in crisis. Will you support my Sleep Out?//t.co/dOJcqsl66F",FALSE,FALSE,NA,NA
Julio A. Portalatin,1181171251626303488,2019-10-07T11:35:46Z,"The Latino community accounts for nearly 12% of the US GDP, but only 4.4% of Fortune 500 #leadership. Join @JAPortalatin, @CidWilson and Sol Trujillo on Oct 14 for celebration of #diversity in the #FutureofWork.//t.co/1XWVzUdCG1//t.co/kjjPWXHROO",FALSE,TRUE,NA,leadership
Julio A. Portalatin,1181171225336385536,2019-10-07T11:35:39Z,"Looking forward to addressing @mercer and @MMC_Global #HispanicHeritageMonth forum on Oct. 14 in NYC with @JAPortalatin, Vice Chairman of Marsh & McLennan and Sol Trujillo, Chairman of @LDCLatino. It promises to be an empowering event. Thanks for including @HACRORG. @lifeatmercer//t.co/5UnxmvUQIv",FALSE,TRUE,NA,HispanicHeritageMonth
Julio A. Portalatin,1180975209349820416,2019-10-06T22:36:46Z,Looking forward to adding to the message of empowering everyone to contribute in their own unique ways & make the world a better place....for everyone! #inclusion #LeadershipMatters #makeadifference//t.co/kesti26Ydz,TRUE,FALSE,NA,inclusion
Julio A. Portalatin,1180975209349820416,2019-10-06T22:36:46Z,Looking forward to adding to the message of empowering everyone to contribute in their own unique ways & make the world a better place....for everyone! #inclusion #LeadershipMatters #makeadifference//t.co/kesti26Ydz,TRUE,FALSE,NA,LeadershipMatters
Julio A. Portalatin,1180975209349820416,2019-10-06T22:36:46Z,Looking forward to adding to the message of empowering everyone to contribute in their own unique ways & make the world a better place....for everyone! #inclusion #LeadershipMatters #makeadifference//t.co/kesti26Ydz,TRUE,FALSE,NA,makeadifference
Julio A. Portalatin,1179002957037219840,2019-10-01T11:59:44Z,Your daily habits determine your attitude and progress in life. @Forbes lists 10 powerful habits that can improve your life and #career.//t.co/vcIpmKdRWV #FutureOfWork #wellness//t.co/DDaohlR8IL,FALSE,TRUE,NA,NA
Julio A. Portalatin,1176726438797438977,2019-09-25T05:13:40Z,"@realDonaldTrump So what?You are a master of trying to deflect & change the narrative. i understand why...its uglyU invited a foreign leader to interfere w/ our elections & investigate a political rival, u held back aide,u pressured AG not to report it...all sounds familiar.will you ever learn...",FALSE,FALSE,25073877,NA
Julio A. Portalatin,1176625810201108485,2019-09-24T22:33:48Z,@Happy4AllTime @realDonaldTrump @FoxNews @HARRISFAULKNER Its telling when people run to someone else's record when they can't defend something and especially when its assume that your liberal and voted for Obama.Wrong//t.co/Wunh1hym3K's country before party.I have voted Republican and Democrat.blind allegiance is not democracy..,FALSE,FALSE,4194434937,NA
Julio A. Portalatin,1176613434911350801,2019-09-24T21:44:37Z,"@realDonaldTrump I bet your followers are proud of their leader who mocks a child who's showing more courageous and mature leadership then you will ever//t.co/DEyT2mnsRz a young child, insecure leaders always whine & go after the perceived weak....feel good Mr. President?...",FALSE,FALSE,25073877,NA
Julio A. Portalatin,1176537566818045954,2019-09-24T16:43:09Z,"@Happy4AllTime @realDonaldTrump @FoxNews @HARRISFAULKNER Last time checked,Trump is the president.What does Trump's lying and lawlessness have to do with Obama?Your defense seems to be that because someone else may have done some things that its ok for Trump to do it.Lame defense but good try at deflection..wonder where that came from",FALSE,FALSE,4194434937,NA
Julio A. Portalatin,1176499253503565829,2019-09-24T14:10:54Z,"This is the time of year when I ask that you help kids facing homelessness. By donating to @CovenantHouse and my #CHSleepOut, you offer kids a chance to move from despair to a better life. Every bit helps! More than the money, it's a symbol we care//t.co/dOJcqsl66F//t.co/kahWDAlWCo",FALSE,FALSE,NA,CHSleepOut
Julio A. Portalatin,1176446092394860544,2019-09-24T10:39:40Z,@realDonaldTrump @FoxNews @HARRISFAULKNER U do have a talent to distract from the facts:U had a phone call with a foreign leader.U pressured him to investigate a political rival.several days prior you gave instructions to hold back aide.U along with the AG covered it up.Those r the facts.stop distracting!Ur time is up!,FALSE,FALSE,25073877,NA
Julio A. Portalatin,1175864263866535937,2019-09-22T20:07:41Z,@MittRomney DO SOMETHING!!!!!ENOUGH IS ENOUGH!!!COUNTRY BEFORE PARYTY!!!,FALSE,FALSE,50055701,NA
Julio A. Portalatin,1175864021351849989,2019-09-22T20:06:43Z,@MittRomney Trump has admitted that he asked Ukraine President to investigate his political opponent thus inviting foreign gov't to interfere with the 20 election..isn't that what we just went through with Russia interference?He's daring congress to do something cause he knows they wopn't!,FALSE,FALSE,50055701,NA
Julio A. Portalatin,1174729728827088896,2019-09-19T16:59:27Z,"@realDonaldTrump Stop//t.co/qbkVloYDZs have committed crimes against our country for your own self interest.slowly base,including republican law makers,will abandon you.Because,unlike you,they love their country,yes more than you.being exposed for who you are...",FALSE,FALSE,25073877,NA
Julio A. Portalatin,1174354330717216769,2019-09-18T16:07:45Z,"@realDonaldTrump However can impeach for being corrupt,obstructing justice and enabling enemies against your own country.Taking the word of a ruthless dictator over your own intelligence leaders is unforgivable.Not to mention non impeachable acts like promoting hatred and enabling racism/bigotry",FALSE,FALSE,25073877,NA
Julio A. Portalatin,1173244044383793153,2019-09-15T14:35:52Z,Check out this awesome subscription box!//t.co/6mRNUX41Gg,FALSE,FALSE,NA,NA
Julio A. Portalatin,1173204285993230336,2019-09-15T11:57:53Z,@realDonaldTrump impressive diversity....,FALSE,FALSE,25073877,NA
Julio A. Portalatin,1171312121944129536,2019-09-10T06:39:06Z,Love this...makes you want to do a happy dance....such warm innocence for all of us to learn from....//t.co/8ptz2OC4iQ,TRUE,FALSE,NA,NA
Julio A. Portalatin,1170095211688660994,2019-09-06T22:03:32Z,@NikkiHaley I seriously would consider voting for you.wish it was now as we could sure use an alternative.However I just listened to what Bernie said and he supported birth control for practically managing family size.His abortion comment was related to a woman's right to choose. Thx.,FALSE,FALSE,1079776144524754944,NA
Julio A. Portalatin,1169935207694327808,2019-09-06T11:27:44Z,@ChristinaDove7 @mercer @lifeatmercer You make a difference! Congratulations and thank you...,FALSE,FALSE,706819172983050240,NA
Julio A. Portalatin,1168495050998910976,2019-09-02T12:05:04Z,"With malice toward none, with charity for all,' Mattis(former US sec. of defense) said. Lincoln said that in the middle of a war. In the middle of a war! He could see beyond the hatred of the moment. #LeadershipMatters #leadership #InspiringStory",FALSE,FALSE,NA,LeadershipMatters
Julio A. Portalatin,1168495050998910976,2019-09-02T12:05:04Z,"With malice toward none, with charity for all,' Mattis(former US sec. of defense) said. Lincoln said that in the middle of a war. In the middle of a war! He could see beyond the hatred of the moment. #LeadershipMatters #leadership #InspiringStory",FALSE,FALSE,NA,leadership
Julio A. Portalatin,1168495050998910976,2019-09-02T12:05:04Z,"With malice toward none, with charity for all,' Mattis(former US sec. of defense) said. Lincoln said that in the middle of a war. In the middle of a war! He could see beyond the hatred of the moment. #LeadershipMatters #leadership #InspiringStory",FALSE,FALSE,NA,InspiringStory
Julio A. Portalatin,1167807355175800832,2019-08-31T14:32:24Z,@PreetBharara Mexico will pay for the wall...100% guaranteed,FALSE,FALSE,834081571493785600,NA
Julio A. Portalatin,1167807197566423040,2019-08-31T14:31:47Z,@PreetBharara China called last night and said Lets get back to the table...never happened...made it up to boost the market...you just can't make this stuff up!,FALSE,FALSE,834081571493785600,NA
Julio A. Portalatin,1167805054377582599,2019-08-31T14:23:16Z,@PreetBharara Russia did not meddle in our elections....it could have been any country....,FALSE,FALSE,834081571493785600,NA
Julio A. Portalatin,1167536574583791616,2019-08-30T20:36:25Z,"Great read on leadership....EVERYONE should read it and more importantly....be guided by it.... Former Defense Secretary Jim Mattis writes, We all know that we're better than our current politics.//t.co/IAleSVVuBy via @WSJ",FALSE,FALSE,NA,NA
Julio A. Portalatin,1163081124119240704,2019-08-18T13:32:03Z,Health care services are oftenbought without any idea of how much they cost? Imagine how much we could save if we had a simple way to shop and compare prices before buying? Great minds need to solve for this....it's time....@TracyFWatts @SCunninghis @jeanmoore,FALSE,FALSE,NA,NA
Julio A. Portalatin,1158737202874068992,2019-08-06T13:50:52Z,@gedquinn @RenMcGowan Well done Renee!,FALSE,FALSE,63438691,NA
Julio A. Portalatin,1158736122748555264,2019-08-06T13:46:34Z,@PBeshar Hate has no place in America lets hold our leaders to converting speak into action.....it's time!!,FALSE,FALSE,572213062,NA
Julio A. Portalatin,1158722515671408641,2019-08-06T12:52:30Z,"Hate has no place in America Couldn't agree more.... now lets lead the country with this as a mantra for unity, respect and tough laws that mitigate if not eliminate these mass shootings and slaughtering of our children and innocent people...actions speak louder!!",FALSE,FALSE,NA,NA
Julio A. Portalatin,1158710164704387072,2019-08-06T12:03:25Z,Leaders unify not divimake America great by stopping these mass killings,FALSE,FALSE,NA,NA
Julio A. Portalatin,1155754038497034240,2019-07-29T08:16:50Z,Great leaders lead EVRYONE..,FALSE,FALSE,NA,NA
Julio A. Portalatin,1155467537402028033,2019-07-28T13:18:23Z,"Leaders look to be part of the solution,not engage in shameful name calling and hate..A leader who hates most other leaders,hates the free press,hates the law,hates freedoms,hates those who disagree,but loves leaders who dictate,murder and attack our democracy...that is no leader",FALSE,FALSE,NA,NA
Julio A. Portalatin,1153127663059554306,2019-07-22T02:20:33Z,Happy belated birthday Nelson Madiba Mandela....may the light of your courageous leadership influence all forever....,FALSE,FALSE,NA,NA
Julio A. Portalatin,1152096178374418433,2019-07-19T06:01:48Z,It's so painful to watch our country being torn apart....leaders must unite not divide....,FALSE,FALSE,NA,NA
Julio A. Portalatin,1151924274321641472,2019-07-18T18:38:43Z,"I read the words send her back with disgust.Very Ugly politics fanning the flames of hatred...our founding fathers shaking their heads as our country and its democracy,founded on dignity,honor and respect,is put to the test....will we pass and once again & show our resiliency?",FALSE,FALSE,NA,NA
Julio A. Portalatin,1151902897229193216,2019-07-18T17:13:46Z,"History will not be kind to those who chose to look the other way as a nation was divided by hateful language and actions....destroying the meaning of Emma Lazarus sonnet on Lady Liberty...Give me your tired, your poor, your huddled masses yearning to breathe free...",FALSE,FALSE,NA,NA
Julio A. Portalatin,1150796574529859585,2019-07-15T15:57:38Z,All parties need to turn down the rhetoric and LEAD by uniting America and not dividing. Mr. President...rise above the fray and lead with dignity and respect. Unite not divide. Congress stand up for American values...it's time to lead inclusively. No more hate!!!,FALSE,FALSE,NA,NA
Julio A. Portalatin,1150502151740956672,2019-07-14T20:27:42Z,"A leader leads ALL people...none advantaged...none disadvantaged...unifies not divides, lifts up but not at expense of others...is self aware of biases and owns them while working to overcome....is a servant vs being served...BE THAT LEADER...",FALSE,FALSE,NA,NA
Julio A. Portalatin,1142166105240363009,2019-06-21T20:23:14Z,Well said!//t.co/D7rJCFwAOK,TRUE,FALSE,NA,NA
Julio A. Portalatin,1133890145030148097,2019-05-30T00:17:31Z,@EEFFL @BrandonSteiner BABE RUTH SIGNED BASEBALL....DREAM,FALSE,FALSE,345029602,NA
Julio A. Portalatin,1133027586051846145,2019-05-27T15:10:01Z,"To all the families that have suffered the ultimate sacrifice to a loved one serving their country, we salute you and are forever grateful.....",FALSE,FALSE,NA,NA
Julio A. Portalatin,1133023551370534912,2019-05-27T14:53:59Z,Today Thank you for your service takes on an enhanced meaning. Thank you for our freedom.,FALSE,FALSE,NA,NA
Julio A. Portalatin,1119940758386171904,2019-04-21T12:27:38Z,"On this Easter and Passover weekend of renewal and rebirth, lets find peace and strength to forge ahead. Thoughts are with Sri Lanka today and all affected by senseless violence....",FALSE,FALSE,NA,NA
Julio A. Portalatin,1119596241552326657,2019-04-20T13:38:39Z,"Celebrating @MMC_Global's commitment and contribution to the LGBTQ community, at the annual Center Dinner #mmcpride//t.co/1lniqByDil",FALSE,TRUE,NA,mmcpride
Julio A. Portalatin,1118476070133686272,2019-04-17T11:27:30Z,"In 2009,my Mom's eyes opened wide as she gazed at the special house of worship known as Notre Dame.She's watching now I'm sure with a slight tear running down her cheek.rebuild we will for all the fond memories and spirit of unity and peace that Notre Dame represents to us all...",FALSE,FALSE,NA,NA
Julio A. Portalatin,1117577409333743616,2019-04-14T23:56:32Z,TIGER! EPIC MOMENT! LOTS OF UPS AND DOWNS ALONG THE WAY BUT WHAT A COMEBACK STORY THAT IS STILL BEING WRITTEN!//t.co/Pb3VKoPT3x,FALSE,FALSE,NA,NA
Julio A. Portalatin,1117371467161899008,2019-04-14T10:18:12Z,@Tess_invests @lifeatmercer @FionaDunsire It warms my heart that the photo means this much Tess. Note to leaders...embrace the moments that make people smile...thanks a Fiona @FionaDunsire,FALSE,FALSE,514085357,NA
