name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Jeff Huber,1180210764453416960,2019-10-04T19:59:08Z,I've been reflecting on my time at #FTDementia & am continuing to be reminded that it is moments like these that make a difference where experts from across the spectrum break down silos & put their heads together to address critical aging issues. Talk + action = results.//t.co/ckBNZCg3rH,FALSE,FALSE,NA,FTDementia
Jeff Huber,1179831742334668801,2019-10-03T18:53:02Z,"Did you know that 86% of seniors reported they'd feel lonelier without their pet? I highly encourage seniors (and others) to volunteer at a pet shelter or get to know their neighbors' pets. Thanks for sharing, @Forbes.//t.co/j9sTKolEyc",FALSE,FALSE,NA,NA
Jeff Huber,1178745783862136832,2019-09-30T18:57:49Z,"As we near the end of #WorldAlzMonth, I encourage you to combat the stereotypes that come with dementia and Alzheimer's. Get educated//t.co/QdnZLyEcCk #endalz//t.co/HvTW2YXenU",FALSE,FALSE,NA,WorldAlzMonth
Jeff Huber,1178745783862136832,2019-09-30T18:57:49Z,"As we near the end of #WorldAlzMonth, I encourage you to combat the stereotypes that come with dementia and Alzheimer's. Get educated//t.co/QdnZLyEcCk #endalz//t.co/HvTW2YXenU",FALSE,FALSE,NA,endalz
Jeff Huber,1177252105163137030,2019-09-26T16:02:28Z,"The purpose of my Life After 50 series was to be more intentional about living, but according to @ShoshUMD, discussing how we'd like to die is equally important & can help us develop deeper connections with our friends & family. More on this topic here://t.co/J4cD6fXwHf",FALSE,FALSE,NA,NA
Jeff Huber,1176547256679456768,2019-09-24T17:21:39Z,"September is #HealthyAgingMonth. I encourage you to recognize your aging fears and combat them with a few of these tips, like strengthening relationships and eating well.//t.co/qkfxl1FoaC",TRUE,FALSE,NA,HealthyAgingMonth
Jeff Huber,1174771578464346113,2019-09-19T19:45:45Z,"At the heart of our innovative and person centered approach is empowering our professional Carers to understand our client at a deeply, humanistic and personal level. @JHuberHISC speaks at #FTDementia panel @FTLiveHealth//t.co/bhqDK2vyut",FALSE,TRUE,NA,NA
Jeff Huber,1174393565725757441,2019-09-18T18:43:39Z,"It was an honor to speak at #FTDementia today. Stemming from these conversations are new ideas and approaches that I'm confident will raise the standards for dementia care, creating a better world for aging.//t.co/HAsdwtRusQ",FALSE,FALSE,NA,FTDementia
Jeff Huber,1174121445258981376,2019-09-18T00:42:21Z,I look forward to being a part of the conversation on dementia care standards tomorrow at #FTDementia. Let's change the face of aging.//t.co/ypZTLZwKxv,TRUE,FALSE,NA,FTDementia
Jeff Huber,1172572685022507009,2019-09-13T18:08:08Z,"More than 25 million Americans aged 60+ are economically insecure. #Seniors are living longer, and it's up to us to help them live better. Check out this article by our very own Paul Hogan with @thrive.//t.co/r9nhksFlu5",TRUE,FALSE,NA,Seniors
Jeff Huber,1172193601339711488,2019-09-12T17:01:47Z,"For 25 years, our mission to enhance the lives of #aging adults has been guided by our commitment to our core values. As we look to the future, I know that @homeinstead will stay grounded in our values to meet the future demands of the aging population.//t.co/vEk0b79qHs",FALSE,FALSE,NA,aging
Jeff Huber,1170012296371986433,2019-09-06T16:34:03Z,Let's all embrace the glass-half-full lifestyle. Our longevity and quality of life depend on it. Recent research shows optimism = longer lifespan.//t.co/FMhZBXM0yy,FALSE,FALSE,NA,NA
Jeff Huber,1169362496811130883,2019-09-04T21:31:59Z,"Last week, I had the chance to meet with some of our owners in the Phoenix area to talk about the next Home Instead. Together, we're creating a brighter future for #caregiving.//t.co/diuBwu0kLA",FALSE,FALSE,NA,caregiving
Jeff Huber,1168939674607468544,2019-09-03T17:31:50Z,"What some are calling the silver tsunami is actually an opportunity for the workplace and #economy. In fact, the American economy would expand by over $815 billion if the U.S. increased its employment of 55-64+ year-olds.//t.co/uNria9yqp3",FALSE,FALSE,NA,economy
Jeff Huber,1167115370605531137,2019-08-29T16:42:42Z,"I'm incredibly proud that @homeinstead's Jisella Dolan has been selected to serve on the RAISE Family Caregiving Advisory Council. Some 40 million U.S. family caregivers will benefit greatly from her knowledge, compassion and personal experiences.//t.co/et7pxQwa4q//t.co/nueGwkmK4F",FALSE,FALSE,NA,NA
Jeff Huber,1166450351979081734,2019-08-27T20:40:10Z,".@bjmillermd and @shoshanaberger share the importance of end of life planning in their book. As 1 in 4 family caregivers are millennials, we need more resources like these for the sandwich generation. Here's what Dr. Miller shared with @HuffPost://t.co/nUvBrHN36H",FALSE,FALSE,NA,NA
Jeff Huber,1166046503720427522,2019-08-26T17:55:25Z,"Our recent research shows that pets reduce feelings of isolation for seniors and give them a sense of purpose. My dogs, Bandit and Scout, have brought lots of happiness to my family over the years. Check out more info and resources://t.co/IvXe493qaY #NationalDogDay//t.co/XTM51FuYCj",FALSE,FALSE,NA,NationalDogDay
Jeff Huber,1164543698077491200,2019-08-22T14:23:48Z,This week we celebrated 25 years of @HomeInstead. Thanks to @RepDonBacon who shared his proclamation honoring our team for our commitment to change the face of #aging. Proud that 25 years later we're still guided by our core values & drive to make the world a better place.//t.co/y6rVekJZZh,FALSE,FALSE,NA,aging
Jeff Huber,1162427930447765504,2019-08-16T18:16:30Z,"As #tech advances all industries, it's promising to see big companies look for ways to integrate health monitoring for #aging-related diseases into their products. Advancements like these allow more consumers to take their #health into their own hands.//t.co/Q1sYFQdAEo",FALSE,FALSE,NA,tech
Jeff Huber,1162427930447765504,2019-08-16T18:16:30Z,"As #tech advances all industries, it's promising to see big companies look for ways to integrate health monitoring for #aging-related diseases into their products. Advancements like these allow more consumers to take their #health into their own hands.//t.co/Q1sYFQdAEo",FALSE,FALSE,NA,aging
Jeff Huber,1162427930447765504,2019-08-16T18:16:30Z,"As #tech advances all industries, it's promising to see big companies look for ways to integrate health monitoring for #aging-related diseases into their products. Advancements like these allow more consumers to take their #health into their own hands.//t.co/Q1sYFQdAEo",FALSE,FALSE,NA,health
Jeff Huber,1161730768659308544,2019-08-14T20:06:13Z,I'm not surprised that this recent study found evidence showing exercise affects biological factors regarding #Alzheimers. This is more proof that exercise is crucial. What's your exercise of choice? Mine is CrossFit.//t.co/qBU96i1clc,TRUE,FALSE,NA,Alzheimers
Jeff Huber,1160973677975859203,2019-08-12T17:57:49Z,I encourage everyone to check in on their older loved ones and use these 10 signs for early #Alzheimers detection. #EndALZ//t.co/5mUjReyutk,TRUE,FALSE,NA,Alzheimers
Jeff Huber,1160973677975859203,2019-08-12T17:57:49Z,I encourage everyone to check in on their older loved ones and use these 10 signs for early #Alzheimers detection. #EndALZ//t.co/5mUjReyutk,TRUE,FALSE,NA,EndALZ
Jeff Huber,1159133028943220738,2019-08-07T16:03:44Z,"We plan out our weeks and years, but shy away from planning when it comes to helping our parents think through end-of-life decisions. Here's how to start the difficult conversation (I just started mine this year. When will you start yours?).//t.co/vLECQINOUR",FALSE,FALSE,NA,NA
Jeff Huber,1158407605091368961,2019-08-05T16:01:09Z,Did you know that people with a sense of purpose live 7.5 years longer? Or that women 55+ are the fastest growing age/gender workforce category? More surprising #aging insights from @NextAvenue here://t.co/CPHExmGJln,FALSE,FALSE,NA,aging
Jeff Huber,1156730775712124929,2019-08-01T00:58:02Z,"Performance can't be sustained without renewal. Being deliberate about taking vacation and actually disconnecting is what allows me to feel renewed. What have you done to renew your mind, body and spirit today?//t.co/NofO3liXo4",FALSE,FALSE,NA,NA
Jeff Huber,1156310457826680832,2019-07-30T21:07:51Z,Thanks to @RepDonBacon for the recognition of our team's tireless work over the past 25 years. Our mission to change the face of #aging is an important one.//t.co/O3cBySPepS,TRUE,FALSE,NA,aging
Jeff Huber,1154826472617664513,2019-07-26T18:51:01Z,"The @WHO found that the 10 million new cases of #dementia per year may triple by 2050, sharing that a Mediterranean diet and exercise could delay onset. Preventative measures are key.//t.co/x9hTv3gqSm",FALSE,FALSE,NA,dementia
Jeff Huber,1153728178784833536,2019-07-23T18:06:47Z,Congratulations to @HISC offices across the UK. Our #CAREGivers are truly changing the face of #ageing through outstanding care.//t.co/vmrTUVWg2c,TRUE,FALSE,NA,CAREGivers
Jeff Huber,1153728178784833536,2019-07-23T18:06:47Z,Congratulations to @HISC offices across the UK. Our #CAREGivers are truly changing the face of #ageing through outstanding care.//t.co/vmrTUVWg2c,TRUE,FALSE,NA,ageing
Jeff Huber,1153330169257422848,2019-07-22T15:45:14Z,Feeling very appreciative for all of the insightful conversations on #aging I had at the #SilverEconomy2019. Already looking forward to next year!//t.co/cEzyHnjs09//t.co/TkXCrFzZ2F,FALSE,FALSE,NA,aging
