name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Jonathan Reckford,1181349728119902208,2019-10-07T23:24:58Z,From sharing books to belly laughs - day 1 of #HabitatCWP was filled with great progress on 21 houses & great fun!//t.co/DPY0tOHENq,FALSE,FALSE,NA,HabitatCWP
Jonathan Reckford,1181284787262111744,2019-10-07T19:06:55Z,"That first day, first wall up feeling! #HabitatCWP//t.co/oyQN345M6U",FALSE,FALSE,NA,HabitatCWP
Jonathan Reckford,1181229015471988737,2019-10-07T15:25:18Z,@StanfordGSB Thanks! #GSBapproved,FALSE,FALSE,17813899,GSBapproved
Jonathan Reckford,1181197105374912512,2019-10-07T13:18:30Z,Good morning! #HabitatCWP starts with a big breakfast & fellowship.//t.co/Hd5uFYmI8P,FALSE,FALSE,NA,HabitatCWP
Jonathan Reckford,1181039318506364928,2019-10-07T02:51:30Z,A fantastic night filled with love for @Habitat_org families & volunteers! #HabitatCWP//t.co/gmOWlmR3qE,FALSE,FALSE,NA,HabitatCWP
Jonathan Reckford,1180978250195058688,2019-10-06T22:48:51Z,So grateful for our partners & the many ways they continue to support @Habitat_org & #HabitatCWP.//t.co/EYo9ZcqFM9,FALSE,FALSE,NA,HabitatCWP
Jonathan Reckford,1180966377349406725,2019-10-06T22:01:40Z,We're close - the beginning of this transformational week is upon us. Thrilled to be launching our 36th annual #HabitatCWP with @dannyherron CEO of @habitatnash from the beautiful & historic @theryman! #behindthescenes//t.co/4ZHBfeNNwx,FALSE,FALSE,NA,HabitatCWP
Jonathan Reckford,1180966377349406725,2019-10-06T22:01:40Z,We're close - the beginning of this transformational week is upon us. Thrilled to be launching our 36th annual #HabitatCWP with @dannyherron CEO of @habitatnash from the beautiful & historic @theryman! #behindthescenes//t.co/4ZHBfeNNwx,FALSE,FALSE,NA,behindthescenes
Jonathan Reckford,1180846524974145536,2019-10-06T14:05:25Z,"Thrilled to be kicking off the 36th annual Carter Work project in Nashville this week! Follow along for a steady stream of inspiration & up close look at the virtues I explore in Our Better Angels - kindness, community, empowerment, joy, respect, generosity & service. #HabitatCWP",FALSE,FALSE,NA,HabitatCWP
Jonathan Reckford,1180466657233379328,2019-10-05T12:55:57Z,"Big week ahead - looking forward to spending the week with @HabitatNash, volunteers and soon-to-be homeowners at the 2019 Carter Work Project & the release of Our Better Angels on Tuesday, 10/8! There's still time to pre-order://t.co/q4zvyBvFhw//t.co/ZAi89QnlYb",FALSE,FALSE,NA,NA
Jonathan Reckford,1180172674045284357,2019-10-04T17:27:46Z,Congratulations to @AustinHabitat CEO @phylprez on this terrific and well-deserved honor! //t.co/bIxqEomXX1,FALSE,FALSE,NA,NA
Jonathan Reckford,1180116730678579201,2019-10-04T13:45:28Z,"growing social enterprises & leading not-for-profits boldly, with a keen eye toward innovation & transformation. Proud of all the ways in which this group is shaping the world.",FALSE,FALSE,594917351,NA
Jonathan Reckford,1180116727553777665,2019-10-04T13:45:28Z,"Delighted to be back at @StanfordGSB w/ the MBA class of 1989. 30 years later, it's inspiring to see how we're realizing the dreams we spent late nights discussing - leveraging business solutions & concepts like impact at scale to address the world's most pressing challenges,//t.co/B6yLSG4wXL",FALSE,FALSE,NA,NA
Jonathan Reckford,1179871447776419840,2019-10-03T21:30:48Z,"Thrilled to be working with you as well, @MacSpeakers!//t.co/FQcU4tjrUu",TRUE,FALSE,NA,NA
Jonathan Reckford,1179751133633548288,2019-10-03T13:32:43Z,"Our Better Angels will be in stores soon - hope folks in the Atlanta area will join @waberosescott & me for a book discussion Tuesday 10/15 at 7:00 p.m. at the @CarterLibrary. In the meantime, enjoy a preview of President Carter's foreword.//t.co/yKckRMtj3x",FALSE,FALSE,NA,NA
Jonathan Reckford,1179579853944889347,2019-10-03T02:12:07Z,@jtarr1 @Habitat_org Thanks so much Jeff! Hoping to see you at reunion,FALSE,FALSE,46706929,NA
Jonathan Reckford,1179370549660852227,2019-10-02T12:20:25Z,FYI - 100% of author proceeds go directly to @Habitat_org.,FALSE,FALSE,594917351,NA
Jonathan Reckford,1179370546032709641,2019-10-02T12:20:24Z,"Big smiles all around less than one week until Our Better Angels, a book I wrote to lift up seven simple virtues that will change your life & the world, hits stores! If you can't wait to pick up a copy in stores on Oct. 8, you can pre-order here://t.co/q4zvyBvFhw.//t.co/QWpDMFnSKu",FALSE,FALSE,NA,NA
Jonathan Reckford,1179004929043763200,2019-10-01T12:07:34Z,"Happy 95th birthday to President Carter, one of the world's wisest and warmest leaders and one of @Habitat_org's dearest friends. Thank you for your tremendous example of faithful service and for continually inspiring our better angels to rise.//t.co/Opc8ef1brH",FALSE,FALSE,NA,NA
Jonathan Reckford,1178649576288456704,2019-09-30T12:35:31Z,Congratulations to my friend @garthbrooks -- recipient of the Inaugural George H.W. Bush @PointsofLight Award for Caring and Compassion! So grateful for your partnership and leadership as a @Habitat_org Humanitarian.//t.co/dcrcdz3rHm,FALSE,FALSE,NA,NA
Jonathan Reckford,1178456194001899520,2019-09-29T23:47:05Z,"L'Shana Tovah! Wishing all who observe #RoshHashanah a sweet, blessed and happy new year!",FALSE,FALSE,NA,RoshHashanah
Jonathan Reckford,1177942781869903873,2019-09-28T13:46:58Z,"At @Habitat_org we believe every day is #GoodNeighborDay! This weekend take some time to celebrate National Good Neighbor Day with small acts of kindness -- they don't take long, but go a long way.//t.co/WIVACL3rZJ",FALSE,FALSE,NA,GoodNeighborDay
Jonathan Reckford,1177585637442166784,2019-09-27T14:07:49Z,I've taken the plunge -- looking forward to sharing with and learning from the @instagram community -- head on over to glimpse my love of #dadhats.//t.co/g9PYWWu1DB,FALSE,FALSE,NA,dadhats
Jonathan Reckford,1177323812397944835,2019-09-26T20:47:25Z,"Advocacy is a vital part of @Habitat_org's work to ensure everyone has a decent place to live, and we can't do it alone. Very grateful for the support of these members, and others, who are working to make the #CostOfHome something we can all afford.//t.co/4sNTZdSzD4",TRUE,FALSE,NA,CostOfHome
Jonathan Reckford,1176908086818279424,2019-09-25T17:15:28Z,"Like Toyea, the next generation of strong women motivates me to keep pushing. I also find hope & give thanks for the role models they have in Toyea & all the remarkable women homeowners & volunteers that partner w/@Habitat_org to build up one another & entire communities.//t.co/eZSVdhgIem",TRUE,FALSE,NA,NA
Jonathan Reckford,1176612591273205761,2019-09-24T21:41:16Z,"A great piece by @BrooksRainwater -- housing ensures a strong foundation for families, yet the ever-growing costs make shelter and stability unaffordable -- we must work together to address the crisis. #CostOfHome//t.co/MLPT6KTEkZ",TRUE,FALSE,NA,CostOfHome
Jonathan Reckford,1174902246447841281,2019-09-20T04:24:58Z,"Loved meeting three youth delegates from Fiji, Tonga and Samoa at #APHF7 . These young leaders give me faith in our future #Youth4Housing #BuildingHope//t.co/JFe5oVW3WO",FALSE,FALSE,NA,APHF7
Jonathan Reckford,1174902246447841281,2019-09-20T04:24:58Z,"Loved meeting three youth delegates from Fiji, Tonga and Samoa at #APHF7 . These young leaders give me faith in our future #Youth4Housing #BuildingHope//t.co/JFe5oVW3WO",FALSE,FALSE,NA,Youth4Housing
Jonathan Reckford,1174902246447841281,2019-09-20T04:24:58Z,"Loved meeting three youth delegates from Fiji, Tonga and Samoa at #APHF7 . These young leaders give me faith in our future #Youth4Housing #BuildingHope//t.co/JFe5oVW3WO",FALSE,FALSE,NA,BuildingHope
Jonathan Reckford,1174538899873501184,2019-09-19T04:21:10Z,Innovation is vital to our daily work and mission - I am energized by the inspiring group of change makers and thought leaders gathered at the #APHousingForum and look forward to moving their ideas forward together.//t.co/t8e1rRnDrp,FALSE,FALSE,NA,APHousingForum
Jonathan Reckford,1174460920480882688,2019-09-18T23:11:18Z,"Tremendously grateful for the support of our partners at the @HiltiFoundation, and especially for the leadership of Egbert Appel. #APHousingForum//t.co/TYq0ArXgZd",FALSE,FALSE,NA,APHousingForum
Jonathan Reckford,1174298588945506305,2019-09-18T12:26:15Z,Always great to catch up with partners and friends. @hfhthailand @Habitat_AP//t.co/rGzbjq0aVW,FALSE,FALSE,NA,NA
Jonathan Reckford,1174198401875042305,2019-09-18T05:48:09Z,Glad to be having important conversations around scale and sustainability in affordable housing - looking forward to continuing the discussion over the coming days!//t.co/meu3xQWQq5,TRUE,FALSE,NA,NA
Jonathan Reckford,1174120354798813184,2019-09-18T00:38:01Z,"Congratulations to the winner Rommel of @GreenAntzph & to all the presenters - Simar of @_ecostp_, Tim Tan of AffordAble Abodes, & Vidyashankar of @Tvasta_3DP. We're so grateful for your vision and leadership! Hope you'll check out their work.//t.co/HKiAVeKrCb",FALSE,FALSE,594917351,NA
Jonathan Reckford,1174120340693442560,2019-09-18T00:37:57Z,Delighted to be in Bangkok at the #APHousingForum. Last night's #InnovationAwards were terrific - it was great to hear from change makers addressing our most pressing problems & leading the way in #shelterinnovation! Thanks to @AspenANDE for co-hosting with @Habitat_org.,FALSE,FALSE,NA,APHousingForum
Jonathan Reckford,1174120340693442560,2019-09-18T00:37:57Z,Delighted to be in Bangkok at the #APHousingForum. Last night's #InnovationAwards were terrific - it was great to hear from change makers addressing our most pressing problems & leading the way in #shelterinnovation! Thanks to @AspenANDE for co-hosting with @Habitat_org.,FALSE,FALSE,NA,InnovationAwards
Jonathan Reckford,1174120340693442560,2019-09-18T00:37:57Z,Delighted to be in Bangkok at the #APHousingForum. Last night's #InnovationAwards were terrific - it was great to hear from change makers addressing our most pressing problems & leading the way in #shelterinnovation! Thanks to @AspenANDE for co-hosting with @Habitat_org.,FALSE,FALSE,NA,shelterinnovation
