name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
James P. Scriven,1181375418772922368,2019-10-08T01:07:03Z,"Our infrastructure and energy ppl investment officer, Elizabeth Robberechts, shares a general overview of the Villanueva-Don Jos #solar project in #Mexico, winner of the Renewable Energy Financing of the Year Award chosen by @LatinFinance. cc @enelgreenpower//t.co/tYATmWuK8I",FALSE,TRUE,NA,NA
James P. Scriven,1181375392822824960,2019-10-08T01:06:57Z,"Buscamos #estudiantes creativos dispuestos a trabajar en soluciones financieras innovadoras para AmLat y Caribe. Si quieres contribuir al desarrollo de nuestra regin, lee los requisitos y postula a nuestro programa de #pasantas antes del 18 de octubre.//t.co/04UMbeX227//t.co/5DFjApGIgq",FALSE,TRUE,NA,estudiantes
James P. Scriven,1180319596311658498,2019-10-05T03:11:35Z,We support #ElSalvador's banking industry to strengthen their #sustainability policies and to develop products with a positive social and environmental impact.//t.co/0uLnyIIoBM//t.co/JGXJmSpc5p,FALSE,TRUE,NA,ElSalvador
James P. Scriven,1180319596311658498,2019-10-05T03:11:35Z,We support #ElSalvador's banking industry to strengthen their #sustainability policies and to develop products with a positive social and environmental impact.//t.co/0uLnyIIoBM//t.co/JGXJmSpc5p,FALSE,TRUE,NA,sustainability
James P. Scriven,1180213750240104448,2019-10-04T20:11:00Z,Nuestros cinco proyectos ganadores de los 2019 Project & #Infrastructure Finance Awards otorgados por LatinFinance. Liderando con dos premios se encuentra el proyecto Autopista al Mar 1 de #Colombia.//t.co/TjQ0hPVMbM,FALSE,TRUE,NA,Infrastructure
James P. Scriven,1180184949284114433,2019-10-04T18:16:33Z,You don't change #culture through emails and memos. You change it through relationships... one conversation at a time.//t.co/HeiT13PDnp,FALSE,FALSE,NA,culture
James P. Scriven,1179944659780538368,2019-10-04T02:21:43Z,Conoce cmo los operadores de #redesmviles en cinco pases estn invirtiendo para cerrar la #brechadigital. Descarga nuestro informe aqu://t.co/DLKp6JpApL//t.co/bnWOQ4REfR,FALSE,TRUE,NA,redesmóviles
James P. Scriven,1179944659780538368,2019-10-04T02:21:43Z,Conoce cmo los operadores de #redesmviles en cinco pases estn invirtiendo para cerrar la #brechadigital. Descarga nuestro informe aqu://t.co/DLKp6JpApL//t.co/bnWOQ4REfR,FALSE,TRUE,NA,brechadigital
James P. Scriven,1179944623235567616,2019-10-04T02:21:35Z,"We issued our first capital market #bond in the amount of 500 million Dominican pesos, which will allow us to provide more flexible and innovative products in local currency. #DominicanRepublic//t.co/S4x62uGMv3//t.co/vgD88zYKBq",FALSE,TRUE,NA,bond
James P. Scriven,1179505367602073600,2019-10-02T21:16:08Z,Hoy @BIDInvest emitimos nuestro primer bono en #RepblicaDominicana por un monto de 500 millones de pesos dominicanos. Esta emisin en moneda local ayuda a fortalecer los mercados de capitales del pas y atraer a nuevos inversionistas://t.co/wUfXFq3MoU,FALSE,FALSE,NA,RepúblicaDominicana
James P. Scriven,1179482517671464961,2019-10-02T19:45:20Z,Quieres ser parte de un equipo que brinda soluciones de financiamiento personalizado y asesoramiento experto en #AmLat y #Caribe? Revisa nuestros requisitos y postula a nuestras #pasantas. Tienes hasta el 18 de octubre!//t.co/WrhAHi5y42//t.co/TCNkvFx2yG,FALSE,TRUE,NA,AmLat
James P. Scriven,1178843445911281665,2019-10-01T01:25:54Z,Entenda os desafios e oportunidades em #infraestrutura no #Brasil de uma perspectiva pblico-privada. Baixe publicao! #PPPs @bidbr//t.co/T9YMbGgMAA,FALSE,TRUE,NA,infraestrutura
James P. Scriven,1178843445911281665,2019-10-01T01:25:54Z,Entenda os desafios e oportunidades em #infraestrutura no #Brasil de uma perspectiva pblico-privada. Baixe publicao! #PPPs @bidbr//t.co/T9YMbGgMAA,FALSE,TRUE,NA,Brasil
James P. Scriven,1178843362356543488,2019-10-01T01:25:34Z,We are pleased to announce a new partnership between IDB Group and @SoftBank to support #startups and technology-enabled businesses in #LatAm and #Caribbean. Learn more. @marceloclaure //t.co/GUhTeL8e2U//t.co/R1nIpvolCh,FALSE,TRUE,NA,startups
James P. Scriven,1178115057126907909,2019-09-29T01:11:32Z,"Congrats on 60 years of impact, @the_IDB! We were proud to join the celebration and announce that we're partnering with @BIDInvest to catalyze up to $10 billion for development needs across #LatinAmerica & the #Caribbean. Read about our collaboration://t.co/XKnAPUh1gO//t.co/7f524g3NZl",FALSE,TRUE,NA,NA
James P. Scriven,1177372368668413957,2019-09-27T00:00:21Z,"Durante la celebracin del 60 aniversario del @el_BID, junto con @opicgov nos comprometimos a movilizar hasta US$10 mil millones con el #sectorprivado.//t.co/NHmIMQ2aEK//t.co/w7hJaDvI2C",FALSE,TRUE,NA,NA
James P. Scriven,1177372239148265474,2019-09-26T23:59:50Z,Tienes ideas para reducir o eliminar los residuos de plstico en tu pas? Manda tu solucin al concurso que anunciamos hoy con @SolveMIT. Detalles://t.co/2Ap5b9Uyb0//t.co/yVXTnuXsNZ,FALSE,TRUE,NA,NA
James P. Scriven,1177371983362887690,2019-09-26T23:58:50Z,"Nuestro equipo apoyando la creacin y expansin de #fondosdeinversin en sectores estratgicos para el desarrollo de #AmLat y el #Caribe, durante #LAVCAWeek.@lavca_org//t.co/oDHYqEl7xd",FALSE,TRUE,NA,fondosdeinversión
