name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Jim Fitterling,1181588900860583937,2019-10-08T15:15:21Z,"In September, I joined some of our partners to open a new @EQUATEofficial plant in Oyster Creek, Texas the first major U.S. petrochemical manufacturing facility owned by a Kuwait-based company. Welcome to Texas!//t.co/hOAoriDjnV",FALSE,FALSE,NA,NA
Jim Fitterling,1181195109804728321,2019-10-07T13:10:34Z,"From Latin America to Asia, we're working to improve waste infrastructure and stop plastic waste from ending up in our environment. Read more via @NatalieParletta from @Forbes. #endplasticwaste//t.co/0RZFTN6K32",FALSE,FALSE,NA,endplasticwaste
Jim Fitterling,1180244690769235973,2019-10-04T22:13:56Z,Launch at @K_tradefair: A new adhesive from @DowPackaging which is to open new opportunities beyond traditional metal-to-film lamination -//t.co/J31QYiaBfg,FALSE,TRUE,NA,NA
Jim Fitterling,1180244507419402241,2019-10-04T22:13:13Z,"Project MASARO initiative turns waste into valuable resources in Indonesia, diverting more than 8,800 lbs of waste to date. Hear more on the project from APAC sustainability director @zhanghants in @plastechmag //t.co/cEYqTIydzA",FALSE,TRUE,NA,NA
Jim Fitterling,1180224074825506817,2019-10-04T20:52:01Z,"Manufacturers are opening their doors to students, parents, teachers and community leaders on #MFGDay19, showing off what a career in modern manufacturing can offer.//t.co/Zbp0PJlw87",FALSE,TRUE,NA,MFGDay19
Jim Fitterling,1180205809130754052,2019-10-04T19:39:26Z,"Celebrating #MFGDay19, I met w/ @Bucks_edu industrial maintenance students to talk the future of manufacturing. ~60% of @DowNewsroom's workforce is tied to manufacturing. We need more great students like @ #BucksCCC to lead the next generation of modern manufacturers.//t.co/DluCKA7Ak9",FALSE,FALSE,NA,MFGDay19
Jim Fitterling,1180205809130754052,2019-10-04T19:39:26Z,"Celebrating #MFGDay19, I met w/ @Bucks_edu industrial maintenance students to talk the future of manufacturing. ~60% of @DowNewsroom's workforce is tied to manufacturing. We need more great students like @ #BucksCCC to lead the next generation of modern manufacturers.//t.co/DluCKA7Ak9",FALSE,FALSE,NA,BucksCCC
Jim Fitterling,1180163760381681665,2019-10-04T16:52:21Z,"Can today's manufacturing careers contribute to tomorrow's innovations? On #MfgDay19, we celebrate modern manufacturing and its role in developing the materials of the future. Learn more about our U.S. Apprenticeship Program, which provides pathways to careers in manufacturing.",FALSE,TRUE,NA,MfgDay19
Jim Fitterling,1179853767711363073,2019-10-03T20:20:33Z,Reverse vending machines which provide payment in exchange for plastic bottles are a smart incentive that encourage recycling and reduce waste. Read more via @rtenews //t.co/eqEPyiskWW,FALSE,TRUE,NA,NA
Jim Fitterling,1179853194802946049,2019-10-03T20:18:16Z,Congrats @JonPyper ! Well done!//t.co/9ELvezHZmG,TRUE,FALSE,NA,NA
Jim Fitterling,1179852780162502656,2019-10-03T20:16:38Z,Proud of the scalable solutions @DowNewsroom is developing around the globe to convert waste into valuable resources. Read more on our recent efforts to support local communities in Latin America via @NatalieParletta from @Forbes://t.co/FApZDSI89E,FALSE,TRUE,NA,NA
Jim Fitterling,1179852745718804480,2019-10-03T20:16:29Z,Our new AGILITY CE resin is made with 70 percent recycled plastic. We take used plastic to create a new resin which can be used in the same high quality application. #recycle #circulareconomy Read more about this new product://t.co/tvHufTB2aT//t.co/eBYap8V17N,FALSE,TRUE,NA,NA
Jim Fitterling,1179811478469259264,2019-10-03T17:32:30Z,A collection of insights by @FutureOfPlastic demonstrates the importance of initiatives at all levels (big and small) to help #EndPlasticWaste.//t.co/BfqZs30OhZ,FALSE,TRUE,NA,NA
Jim Fitterling,1179810846752591873,2019-10-03T17:30:00Z,"Vietnam's first asphalt road using recycled plastics was built in Haiphong. Dow & DEEP C constructed the 200 meter pilot road with another 1.2 km to be completed in November which will divert 6.5 metric tons of plastic waste, or 1.7MM food wrappers//t.co/4OjovbRMku//t.co/PZnqGbogXK",FALSE,TRUE,NA,NA
Jim Fitterling,1179809617544716290,2019-10-03T17:25:07Z,"Congratulations to my friend and our @DowNewsroom partner, @JayTimmonsNAM, on being named @ceoupdate's Trade Association CEO of the Year. Your great work to advance manufacturing in the U.S. helps strengthen our industry and ensure America's success. @ShopFloorNAM//t.co/A8GyfePy3C",FALSE,FALSE,NA,NA
Jim Fitterling,1179389357754667010,2019-10-02T13:35:09Z,"Always great to engage with and answer questions from fellow equality and inclusion advocates. Last week, I visited @jimcramer's @MadMoneyOnCNBC set to talk w/ @RayAParisi & @OUTNBCUniversal, @NBCUniversal's LGBTQ+ & ally employee group.//t.co/g3T6HzolH2",FALSE,FALSE,NA,NA
Jim Fitterling,1179208458375184384,2019-10-02T01:36:19Z,"With enough durability to withstand force twice as strong as a category 5 hurricane, these wall panels are made from recycled plastic bottles an innovative solution to create value from waste. //t.co/dF44MuYgW6",FALSE,TRUE,NA,NA
Jim Fitterling,1179208307409588224,2019-10-02T01:35:43Z,"The electric vehicle industry is growing fast, but what does its future hold? Find out about EV innovations at Inter Battery 2019 in SeoulOctober 16-18. Visit us at booth M500 in 1F Hall B, Coex. We look forward to discussing the future of EVs with you!//t.co/Tx5MxaFxta//t.co/ECTG4gceHk",FALSE,TRUE,NA,NA
Jim Fitterling,1179137884235939846,2019-10-01T20:55:53Z,"Visited @UMich today to talk with students about how @Downewsroom is working to be the #LeadersAndBest in sustainability & inclusion. Based on the impressive discussions we had, I know we'll need some Victors to tackle the world's toughest challenges. #GoBlue //t.co/7Fy5pcQbb6",FALSE,FALSE,NA,LeadersAndBest
Jim Fitterling,1179137884235939846,2019-10-01T20:55:53Z,"Visited @UMich today to talk with students about how @Downewsroom is working to be the #LeadersAndBest in sustainability & inclusion. Based on the impressive discussions we had, I know we'll need some Victors to tackle the world's toughest challenges. #GoBlue //t.co/7Fy5pcQbb6",FALSE,FALSE,NA,GoBlue
Jim Fitterling,1179019029001973760,2019-10-01T13:03:36Z,How can we bring sustainable solutions to market quickly? By collaborating in our #PackStudios. In just one year Drukpol.Flexo & @discoverRB brought to market a recyclable stand-up pouch using Dow products. #CircularEconomy #DowK2019//t.co/nv7gHrCUWF//t.co/lnZLl6Y54f,FALSE,TRUE,NA,PackStudios
Jim Fitterling,1179018999012712449,2019-10-01T13:03:29Z,Is #recyclable artificial turf a myth? We're proving it's not with our HYPOD Polyolefin Dispersions backing technology. Join us at #K2019 to learn how you can benefit from this odorless surface. #DowK2019//t.co/ONg3HqYl14//t.co/vquNH4ZuEU,FALSE,TRUE,NA,recyclable
Jim Fitterling,1179018292566151168,2019-10-01T13:00:40Z,"To scale the #circulareconomy, we need to start by engaging local communities, helping develop waste collection infrastructure. It's exciting @EndPlasticWaste has already started this much-needed work via Project STOP in Indonesia.//t.co/KNy4auG7OQ//t.co/SdEO5YNfJj",FALSE,FALSE,NA,circulareconomy
Jim Fitterling,1178652224127488000,2019-09-30T12:46:03Z,It's been 2+ weeks since #DowEMERGE wrapped up. But I'm still hearing stories & seeing posts about its impact on accelerating @DowNewsroom's inclusive culture. Let's continue to share our passion for inclusion & #BeTheMovement in our daily lives & roles. @KarenS_Carter @DrAlveda//t.co/QIh59gWF2N,TRUE,FALSE,NA,DowEMERGE
Jim Fitterling,1178652224127488000,2019-09-30T12:46:03Z,It's been 2+ weeks since #DowEMERGE wrapped up. But I'm still hearing stories & seeing posts about its impact on accelerating @DowNewsroom's inclusive culture. Let's continue to share our passion for inclusion & #BeTheMovement in our daily lives & roles. @KarenS_Carter @DrAlveda//t.co/QIh59gWF2N,TRUE,FALSE,NA,BeTheMovement
Jim Fitterling,1177574148731785221,2019-09-27T13:22:09Z,Interested in learning more about @endoceanplastic and our work in Jembrana? Get project updates and discover ways you can get involved to help #EndPlasticWaste from leaking into the ocean. //t.co/DlpuA4TYXp//t.co/TsncyT1Chx,FALSE,TRUE,NA,NA
Jim Fitterling,1177556753862529024,2019-09-27T12:13:02Z,This U.S. town is the first to pilot widespread flexible packaging recycling in North America - enabled by more sophisticated sorting technology. //t.co/Mm1DxQgMsG,FALSE,TRUE,NA,NA
Jim Fitterling,1177192455726346240,2019-09-26T12:05:27Z,We crashed @jimcramer's #madmoney set today with @jimfitterling the CEO of Dow. He's one of only 3 Out CEOs of a Fortune 500 company. He shared his personal coming out story and talked about the positive impact inclusion & diversity can have on a company's bottom line. //t.co/qy5C439YKW,FALSE,TRUE,NA,madmoney
Jim Fitterling,1176642221602496512,2019-09-24T23:39:01Z,We're very excited to announce our increased partnership with @UPM_Biofuels to supply bio-based feedstock to make #plastics. What does this mean for you and some of the things you use every day like food #packaging? Learn more://t.co/KvU752yyyL,FALSE,TRUE,NA,NA
Jim Fitterling,1176495244642267136,2019-09-24T13:54:59Z,#NEWS: We are partnering with @UPM_Biofuels to produce plastics for the packaging industry made from a bio-based renewable feedstock. Read the announcement://t.co/QWFJJ7tcjV,FALSE,TRUE,NA,NEWS
Jim Fitterling,1176458232946188288,2019-09-24T11:27:54Z,"Congratulations to @EndPlasticWaste on another milestone. The collaboration with Project STOP @endoceanplastic will help #EndPlasticWaste in Jembrana, Bali.//t.co/xBUOzAwpUi @DowNewsroom @JeffWoosterRS @MikeWitt15 @JimFitterling",FALSE,TRUE,NA,NA
Jim Fitterling,1176101809343082499,2019-09-23T11:51:36Z,"We're excited to team up with Project STOP @endoceanplastic to help prevent plastic waste from entering the ocean in Jembrana, Bali. Working with local communities, we're building waste management and recycling programs to help #EndPlasticWaste. //t.co/xSUPm2sXdJ//t.co/OSNLh7dbac",FALSE,TRUE,NA,NA
Jim Fitterling,1175949548428103686,2019-09-23T01:46:35Z,@GovWhitmer Like the Dow red! @DowNewsroom @CityOfSaginawMi @naacp//t.co/VEc90Gye3B,TRUE,FALSE,102071743,NA
Jim Fitterling,1175178963318185990,2019-09-20T22:44:33Z,The U.S. has reduced more emissions over the last decade than any other country on Earth thanks to cleaner natural gas. Not only has it altered the economic landscape; it makes progress possible in renewable energy as well.//t.co/Eptw3GpoDF//t.co/wTAdFXY94e,FALSE,TRUE,NA,NA
Jim Fitterling,1175178729636671489,2019-09-20T22:43:37Z,Recycled plastics can become bricks. And bricks can become classrooms. See how @Conceptosplast found a way to turn hard-to-recycle plastics into bricks for innovative schools. #circulareconomy,FALSE,TRUE,NA,NA
Jim Fitterling,1175041397805727745,2019-09-20T13:37:55Z,Retweet if you are ready to see @JackDaniels_US back on the track. //t.co/fD7JuOwZ3W,FALSE,TRUE,NA,NA
Jim Fitterling,1173931555179421697,2019-09-17T12:07:48Z,"On and off the course, we're all supporters and fans of you, @suzannpettersen. You played incredibly in Scotland during the @2019solheimcup. And we look forward to all you will accomplish in retirement. Congrats on an outstanding career from #TeamDow! @DowNewsroom @DowGLBI//t.co/QQg8UbnwJO",FALSE,FALSE,NA,TeamDow
Jim Fitterling,1173276422649069568,2019-09-15T16:44:32Z,#SuperMom !!!//t.co/fZIixA9I3F,TRUE,FALSE,NA,SuperMom
Jim Fitterling,1173272544654299136,2019-09-15T16:29:07Z,She made the putt on 18!//t.co/NfPhGcUR7g,TRUE,FALSE,NA,NA
Jim Fitterling,1172963766998327296,2019-09-14T20:02:09Z,"Whilst all this is going on, we must not forget to ask one fundamental question: Do we actually need to replace plastic in the first place? Or do we actually need to create a circular economy and close the plastics loop?//t.co/R5wNpFLThO",FALSE,FALSE,NA,NA
Jim Fitterling,1172195437626974208,2019-09-12T17:09:05Z,".@Downewsroom just kicked off our 2nd #DowEMERGE conference, where 500+ employees from 34 countries & all levels of Dow are driving us towards a workforce where everyone can feel connected, engaged & empowered. Let's PUNCH IT this week, accelerating our inclusive culture!//t.co/tcQoVVIFPC",FALSE,FALSE,NA,DowEMERGE
Jim Fitterling,1170443413172498432,2019-09-07T21:07:10Z,The Highlights #Mizzou downs WVU in the 2019 home opener. #MIZ #ShowMe //t.co/V8M4oGnr8J,FALSE,TRUE,NA,Mizzou
Jim Fitterling,1170443413172498432,2019-09-07T21:07:10Z,The Highlights #Mizzou downs WVU in the 2019 home opener. #MIZ #ShowMe //t.co/V8M4oGnr8J,FALSE,TRUE,NA,MIZ
Jim Fitterling,1170443413172498432,2019-09-07T21:07:10Z,The Highlights #Mizzou downs WVU in the 2019 home opener. #MIZ #ShowMe //t.co/V8M4oGnr8J,FALSE,TRUE,NA,ShowMe
Jim Fitterling,1170155486626213894,2019-09-07T02:03:03Z,Game 3 First Round #NestLevelFun//t.co/7nDORsBr0C,FALSE,TRUE,NA,NestLevelFun
Jim Fitterling,1170152573224935424,2019-09-07T01:51:28Z,5-0 shutout! Way to go Loons! That's how to win a series! Win to play another day. New goal!!!//t.co/gKa9LVPIBu,TRUE,FALSE,NA,NA
Jim Fitterling,1170005084949729280,2019-09-06T16:05:24Z,Let's Go Loons! You got this. @greatlakesloons #NestLevelFun//t.co/FxQPjRIT22,TRUE,FALSE,NA,NestLevelFun
Jim Fitterling,1169960985010085888,2019-09-06T13:10:10Z,"Earlier today, I joined our partners in Thailand to sign two MOUs to help #endplasticwaste, forming a strategic partnership which will advance and demonstrate the validity of the #circulareconomy in Asia.//t.co/PXSlwoNKsd//t.co/dshdYrw2fq",FALSE,FALSE,NA,endplasticwaste
Jim Fitterling,1169960985010085888,2019-09-06T13:10:10Z,"Earlier today, I joined our partners in Thailand to sign two MOUs to help #endplasticwaste, forming a strategic partnership which will advance and demonstrate the validity of the #circulareconomy in Asia.//t.co/PXSlwoNKsd//t.co/dshdYrw2fq",FALSE,FALSE,NA,circulareconomy
Jim Fitterling,1169603759594455041,2019-09-05T13:30:41Z,"An industry already changing & improving our world, 3D printing & rapid prototyping is finding opportunities to advance a more #circulareconomy. Some great sustainability-minded leadership shown here.//t.co/NkUTJmhFGg",FALSE,FALSE,NA,circulareconomy
Jim Fitterling,1169466533028007936,2019-09-05T04:25:23Z,"Plastic isn't single use if we collect it, recycle it and use it again, says @LFrancourt, our Director of Chemicals Management Policy and #CircularEconomy. Hear more in this podcast interview with @Ethical_Corp://t.co/5GarCXOin8",FALSE,TRUE,NA,NA
