name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
John Haley,971896770618974216,2018-03-08T23:53:41Z,"Proud to #PressforProgress with 40,000+ #WTW colleagues from around the world. #IWD2018//t.co/6LHFliUS8A",TRUE,FALSE,NA,PressforProgress
John Haley,971896770618974216,2018-03-08T23:53:41Z,"Proud to #PressforProgress with 40,000+ #WTW colleagues from around the world. #IWD2018//t.co/6LHFliUS8A",TRUE,FALSE,NA,WTW
John Haley,971896770618974216,2018-03-08T23:53:41Z,"Proud to #PressforProgress with 40,000+ #WTW colleagues from around the world. #IWD2018//t.co/6LHFliUS8A",TRUE,FALSE,NA,IWD2018
John Haley,955788116308234240,2018-01-23T13:03:39Z,"Employees can be the strongest asset in an org's #cyber security strategy, but it takes more than tech solutions to turn them into your 1st line of defence against cyber threats.//t.co/cFwRKqQFcX @WTWrisk #risk",FALSE,FALSE,NA,cyber
John Haley,955788116308234240,2018-01-23T13:03:39Z,"Employees can be the strongest asset in an org's #cyber security strategy, but it takes more than tech solutions to turn them into your 1st line of defence against cyber threats.//t.co/cFwRKqQFcX @WTWrisk #risk",FALSE,FALSE,NA,risk
John Haley,955462296490381312,2018-01-22T15:28:57Z,New report: 5 #cyber insurance trends to watch for in 2018.//t.co/4YhxmNVAQ5 @WTWrisk,FALSE,FALSE,NA,cyber
John Haley,873239548293152768,2017-06-09T18:05:06Z,Survey says: 46% of employees believe opening any email on their work computer is safe. #cyber #risk//t.co/9VMgX3doAb @WTWrisk,FALSE,FALSE,NA,cyber
John Haley,873239548293152768,2017-06-09T18:05:06Z,Survey says: 46% of employees believe opening any email on their work computer is safe. #cyber #risk//t.co/9VMgX3doAb @WTWrisk,FALSE,FALSE,NA,risk
John Haley,869559675196502017,2017-05-30T14:22:36Z,My money's on WTW in the Stanley Cup.//t.co/DMy8ZVvQ4G,FALSE,FALSE,NA,NA
John Haley,861602966008197120,2017-05-08T15:25:29Z,What are the vulnerabilities around #employee behaviors of using technology? #cyber #risk//t.co/2FvHOzvAGa @WTWhr @WTWrisk//t.co/k9QKrsiHuN,FALSE,FALSE,NA,employee
John Haley,861602966008197120,2017-05-08T15:25:29Z,What are the vulnerabilities around #employee behaviors of using technology? #cyber #risk//t.co/2FvHOzvAGa @WTWhr @WTWrisk//t.co/k9QKrsiHuN,FALSE,FALSE,NA,cyber
John Haley,861602966008197120,2017-05-08T15:25:29Z,What are the vulnerabilities around #employee behaviors of using technology? #cyber #risk//t.co/2FvHOzvAGa @WTWhr @WTWrisk//t.co/k9QKrsiHuN,FALSE,FALSE,NA,risk
John Haley,860177318584750080,2017-05-04T17:00:28Z,#WillisTowersWatson's 2017 Ideas Exchange Conference off to a great start!//t.co/VPqm2oQUZs,FALSE,FALSE,NA,WillisTowersWatson
John Haley,857714037433536513,2017-04-27T21:52:16Z,Team Willis Towers Watson will see you on the course! #JPMCC//t.co/OXaQhhn16A,FALSE,FALSE,NA,JPMCC
John Haley,854488734581964804,2017-04-19T00:16:04Z,Congrats to the award winners @foxschool's Awards for Excellence dinner! Thrilled to be here.//t.co/9CNstUBFpE,FALSE,FALSE,NA,NA
John Haley,848889136903852032,2017-04-03T13:25:16Z,"Great meeting last week, @PaulGMorris8! Really enjoyed the discussions - keep up the momentum!//t.co/EWggGr6w4Y",FALSE,FALSE,NA,NA
John Haley,839534555736522767,2017-03-08T17:53:30Z,Celebrating International Women's Day with the South Florida offices!//t.co/HVxh6tCql1,FALSE,FALSE,NA,NA
John Haley,822359071294529536,2017-01-20T08:24:15Z,"Insurance for Humanity panel: Rowan Douglas, Dr. Ngozi Okonjo-Iweala, Dr. Christian Mumenthaler, Dr. Angus Friday. #wef17 #WTWwef//t.co/Msp2VhE694",FALSE,FALSE,NA,wef17
John Haley,822359071294529536,2017-01-20T08:24:15Z,"Insurance for Humanity panel: Rowan Douglas, Dr. Ngozi Okonjo-Iweala, Dr. Christian Mumenthaler, Dr. Angus Friday. #wef17 #WTWwef//t.co/Msp2VhE694",FALSE,FALSE,NA,WTWwef
John Haley,822351614149177344,2017-01-20T07:54:38Z,"Rowan Douglas, kicking off 'Building Resilience: Insurance for Humanity' breakfast at #wef17 #WTWwef//t.co/naNQX8ZBeu",FALSE,FALSE,NA,wef17
John Haley,822351614149177344,2017-01-20T07:54:38Z,"Rowan Douglas, kicking off 'Building Resilience: Insurance for Humanity' breakfast at #wef17 #WTWwef//t.co/naNQX8ZBeu",FALSE,FALSE,NA,WTWwef
John Haley,822059748342124544,2017-01-19T12:34:51Z,"And to think I almost skipped lunch! Along with amazing sessions and fantastic client meetings, this was a real highlight. #WTWwef #wef17//t.co/nG7Dj2JVsc",FALSE,FALSE,NA,WTWwef
John Haley,822059748342124544,2017-01-19T12:34:51Z,"And to think I almost skipped lunch! Along with amazing sessions and fantastic client meetings, this was a real highlight. #WTWwef #wef17//t.co/nG7Dj2JVsc",FALSE,FALSE,NA,wef17
John Haley,821991885606678528,2017-01-19T08:05:12Z,Fantastic discussion and insights this morning - thanks to our panelists from @KPmemberservice @vitalityusa @nestle//t.co/kjaZYTw6PR,FALSE,FALSE,NA,NA
John Haley,821987472141860864,2017-01-19T07:47:39Z,Overheard at the Human Centric #health breakfast: Health is not the absence of disease - it's the presence of wellness. @WTWcorporate,FALSE,FALSE,NA,health
John Haley,821985225987256320,2017-01-19T07:38:44Z,"#WTWwef panel: Jeff Levin-Scherz: poor #health decs'ns because we're wired for loss aversion, optimism bias, statusquo bias. @WTWcorporate",FALSE,TRUE,NA,WTWwef
John Haley,821985225987256320,2017-01-19T07:38:44Z,"#WTWwef panel: Jeff Levin-Scherz: poor #health decs'ns because we're wired for loss aversion, optimism bias, statusquo bias. @WTWcorporate",FALSE,TRUE,NA,health
John Haley,821983862477701120,2017-01-19T07:33:19Z,"#WTWwef panel. To nudge people to better #health, make it easy to make good decis'n, use social ntwrk, make best info avail @WTWCorporare//t.co/PvGvdGXPYF",FALSE,TRUE,NA,WTWwef
John Haley,821983862477701120,2017-01-19T07:33:19Z,"#WTWwef panel. To nudge people to better #health, make it easy to make good decis'n, use social ntwrk, make best info avail @WTWCorporare//t.co/PvGvdGXPYF",FALSE,TRUE,NA,health
John Haley,821971696844468224,2017-01-19T06:44:58Z,Breakfast starting soon: 'Can behavioral economics improve health?' #wef17 #WTWwef @WTWcorporate//t.co/2O8HoDcP7g,FALSE,FALSE,NA,wef17
John Haley,821971696844468224,2017-01-19T06:44:58Z,Breakfast starting soon: 'Can behavioral economics improve health?' #wef17 #WTWwef @WTWcorporate//t.co/2O8HoDcP7g,FALSE,FALSE,NA,WTWwef
John Haley,821849913982119936,2017-01-18T22:41:03Z,"Mary Barra, GenMotors CEO, says those who recognise their own biases first make better business & community leaders. @WTWcorporate #wef17//t.co/tM0U4F6Y2L",FALSE,TRUE,NA,NA
John Haley,821704308890759169,2017-01-18T13:02:28Z,Required footwear at #Davos.//t.co/sqT1iXMJbU,FALSE,FALSE,NA,Davos
John Haley,821675527371112448,2017-01-18T11:08:06Z,Shakira - are you going to the Willis Towers Watson breakfast tomorrow? Hope you can join us: RSVP://t.co/9qOjcdzWJS #wef17 #WTWwef//t.co/7C7MGtGykt,FALSE,FALSE,NA,wef17
John Haley,821675527371112448,2017-01-18T11:08:06Z,Shakira - are you going to the Willis Towers Watson breakfast tomorrow? Hope you can join us: RSVP://t.co/9qOjcdzWJS #wef17 #WTWwef//t.co/7C7MGtGykt,FALSE,FALSE,NA,WTWwef
John Haley,821271707994488833,2017-01-17T08:23:28Z,The hills are alive...with Willis Towers Watson. #wef17 #davos #WTWwef//t.co/xxQbL6rAjz,FALSE,TRUE,NA,wef17
John Haley,821271707994488833,2017-01-17T08:23:28Z,The hills are alive...with Willis Towers Watson. #wef17 #davos #WTWwef//t.co/xxQbL6rAjz,FALSE,TRUE,NA,davos
John Haley,821271707994488833,2017-01-17T08:23:28Z,The hills are alive...with Willis Towers Watson. #wef17 #davos #WTWwef//t.co/xxQbL6rAjz,FALSE,TRUE,NA,WTWwef
John Haley,821271539060539392,2017-01-17T08:22:48Z,#wef17 future of #health & #healthcare: only 10% of health status due to healthcare; more than 40% due to indiv choice/behavior. @wtwhr,FALSE,TRUE,NA,wef17
John Haley,821271539060539392,2017-01-17T08:22:48Z,#wef17 future of #health & #healthcare: only 10% of health status due to healthcare; more than 40% due to indiv choice/behavior. @wtwhr,FALSE,TRUE,NA,health
John Haley,821271539060539392,2017-01-17T08:22:48Z,#wef17 future of #health & #healthcare: only 10% of health status due to healthcare; more than 40% due to indiv choice/behavior. @wtwhr,FALSE,TRUE,NA,healthcare
John Haley,821259054911778816,2017-01-17T07:33:11Z,My uber is here! #wef #davos #WTWwef//t.co/ZJwfAVs5zu,FALSE,FALSE,NA,wef
John Haley,821259054911778816,2017-01-17T07:33:11Z,My uber is here! #wef #davos #WTWwef//t.co/ZJwfAVs5zu,FALSE,FALSE,NA,davos
John Haley,821259054911778816,2017-01-17T07:33:11Z,My uber is here! #wef #davos #WTWwef//t.co/ZJwfAVs5zu,FALSE,FALSE,NA,WTWwef
John Haley,819274852670603265,2017-01-11T20:08:40Z,Overheard @AveqiaLondon: 'I hope our guinea fowl isn't overcooked.' Roger Millay to @PaulGMorris8//t.co/JiRmOIoj61,FALSE,FALSE,NA,NA
John Haley,809027249320198144,2016-12-14T13:28:21Z,Loved meeting some of the WTW carolers last week. Have a wonderful concert!//t.co/fkRpCPd1Et,FALSE,FALSE,NA,NA
John Haley,806526973132623872,2016-12-07T15:53:09Z,Nearly 2500 people are gathered to hear #willistowerswatson experts discuss US #HR and #benefit outlook post-election @WTWhr @WTWcorporate//t.co/KXoDqpFvZn,FALSE,TRUE,NA,willistowerswatson
John Haley,806526973132623872,2016-12-07T15:53:09Z,Nearly 2500 people are gathered to hear #willistowerswatson experts discuss US #HR and #benefit outlook post-election @WTWhr @WTWcorporate//t.co/KXoDqpFvZn,FALSE,TRUE,NA,HR
John Haley,806526973132623872,2016-12-07T15:53:09Z,Nearly 2500 people are gathered to hear #willistowerswatson experts discuss US #HR and #benefit outlook post-election @WTWhr @WTWcorporate//t.co/KXoDqpFvZn,FALSE,TRUE,NA,benefit
John Haley,805702067696369664,2016-12-05T09:15:16Z,"#techies 10% more engaged than 2 years ago; challenging work is no2 driver of attraction, behind #salary.//t.co/go2vu142xk",FALSE,FALSE,NA,techies
John Haley,805702067696369664,2016-12-05T09:15:16Z,"#techies 10% more engaged than 2 years ago; challenging work is no2 driver of attraction, behind #salary.//t.co/go2vu142xk",FALSE,FALSE,NA,salary
John Haley,804707979345928192,2016-12-02T15:25:07Z,"#HR portals: if you build one, will they come? The answer probably won't surprise you.//t.co/FbQenkt2d9 #ROI #totalrewards",FALSE,FALSE,NA,HR
John Haley,804707979345928192,2016-12-02T15:25:07Z,"#HR portals: if you build one, will they come? The answer probably won't surprise you.//t.co/FbQenkt2d9 #ROI #totalrewards",FALSE,FALSE,NA,ROI
John Haley,804707979345928192,2016-12-02T15:25:07Z,"#HR portals: if you build one, will they come? The answer probably won't surprise you.//t.co/FbQenkt2d9 #ROI #totalrewards",FALSE,FALSE,NA,totalrewards
John Haley,796787057490280448,2016-11-10T18:50:12Z,"#Salary is no1 one reason #employees leave (59%) , next is #careergrowth (55%) @gulf_news #wtwfortalent @WTWhr//t.co/IhbtPC3M5D",FALSE,FALSE,NA,Salary
John Haley,796787057490280448,2016-11-10T18:50:12Z,"#Salary is no1 one reason #employees leave (59%) , next is #careergrowth (55%) @gulf_news #wtwfortalent @WTWhr//t.co/IhbtPC3M5D",FALSE,FALSE,NA,employees
John Haley,796787057490280448,2016-11-10T18:50:12Z,"#Salary is no1 one reason #employees leave (59%) , next is #careergrowth (55%) @gulf_news #wtwfortalent @WTWhr//t.co/IhbtPC3M5D",FALSE,FALSE,NA,careergrowth
John Haley,796787057490280448,2016-11-10T18:50:12Z,"#Salary is no1 one reason #employees leave (59%) , next is #careergrowth (55%) @gulf_news #wtwfortalent @WTWhr//t.co/IhbtPC3M5D",FALSE,FALSE,NA,wtwfortalent
John Haley,793889106782724096,2016-11-02T18:54:47Z,"""Digital is not just the new product...it is the means through which we get work done"" @HBRexchange//t.co/GOtnEIBEII #leadership",FALSE,FALSE,NA,leadership
John Haley,791307725305180160,2016-10-26T15:57:18Z,"Congratulations to the FY16 Client Ready class! Looking forward to watching your growth, progress and success. #willistowerswatson//t.co/CcZs3TzDgI",FALSE,FALSE,NA,willistowerswatson
John Haley,787982674312826880,2016-10-17T11:44:44Z,Wonderful meeting colleagues in Madrid today!//t.co/zBHwv8b8Tx,FALSE,FALSE,NA,NA
John Haley,778351298760544256,2016-09-20T21:53:05Z,Overheard at #tcbehc: [health benefits] education is a year round effort.,FALSE,FALSE,NA,tcbehc
John Haley,778228469557825536,2016-09-20T13:45:00Z,Overheard at #tcbehc: Private Exchanges are a welcome disruption,FALSE,FALSE,NA,tcbehc
John Haley,767410854593699840,2016-08-21T17:19:40Z,"At Charlotte Pride with my grand dog, Gretzky.//t.co/8dHMlX06cQ",FALSE,FALSE,NA,NA
John Haley,766090781417496576,2016-08-18T01:54:10Z,Many thanks @WTWrisk CEO @JohnJamesHaley for inspiring WEF @YGLvoices @OxfordSBS Transformational Leadership//t.co/LGsHHUNSY4,FALSE,TRUE,NA,NA
John Haley,762923936325795840,2016-08-09T08:10:15Z,"Fantastic profile + great advice, @AhmadWaarie: know your dream, do your homework & never give up//t.co/R6xcBOxAq2 @WTWcorporate",FALSE,FALSE,NA,NA
John Haley,761489478850600960,2016-08-05T09:10:14Z,Hey Patrick: I'm competitive too arm wrestle sometime? Keep up the good work!//t.co/hg8Tsq37n1 @WTWcorporate,FALSE,FALSE,NA,NA
John Haley,752869271622021121,2016-07-12T14:16:36Z,A warm welcome to HRH The Prince of Wales from our CEO @JohnJamesHaley in #London #mwmatters @princesa4s #SDGs//t.co/YUcnNf3ZfH,FALSE,TRUE,NA,London
John Haley,752869271622021121,2016-07-12T14:16:36Z,A warm welcome to HRH The Prince of Wales from our CEO @JohnJamesHaley in #London #mwmatters @princesa4s #SDGs//t.co/YUcnNf3ZfH,FALSE,TRUE,NA,mwmatters
John Haley,752869271622021121,2016-07-12T14:16:36Z,A warm welcome to HRH The Prince of Wales from our CEO @JohnJamesHaley in #London #mwmatters @princesa4s #SDGs//t.co/YUcnNf3ZfH,FALSE,TRUE,NA,SDGs
John Haley,751220560923942912,2016-07-08T01:05:13Z,"Among #Asean countries, #Thailand provides #HR cost advantages compared to Asian peers//t.co/eimMS6Et5j @BangkokPostNews",FALSE,FALSE,NA,Asean
John Haley,751220560923942912,2016-07-08T01:05:13Z,"Among #Asean countries, #Thailand provides #HR cost advantages compared to Asian peers//t.co/eimMS6Et5j @BangkokPostNews",FALSE,FALSE,NA,Thailand
John Haley,751220560923942912,2016-07-08T01:05:13Z,"Among #Asean countries, #Thailand provides #HR cost advantages compared to Asian peers//t.co/eimMS6Et5j @BangkokPostNews",FALSE,FALSE,NA,HR
John Haley,750537297939103744,2016-07-06T03:50:10Z,"Asian #MNCs manage pace of change by ""leapfrogging...and making radical moves""//t.co/yKQnvi4ztW #AsiaPacific #HR @nationnews",FALSE,FALSE,NA,MNCs
