name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
John Ridding,701459856029519872,2016-02-21T17:33:56Z,@acecallwood @darcyday Glad you like the boots. They are R.M. Williams - last forever.,FALSE,FALSE,302179035,NA
John Ridding,648779889823367168,2015-09-29T08:42:34Z,"""How do you recreate habit of the old print world in the digital world?' FT CEO John Ridding speaks to The New Yorker//t.co/41vXUTLMX0",FALSE,TRUE,NA,NA
John Ridding,571241477323542529,2015-02-27T09:32:36Z,FT's digital subscribers are up 21% year-on-year to almost 504K. Read the highlights from our 2014 results//t.co/i3o4IssXks,FALSE,FALSE,NA,NA
John Ridding,563402870557794305,2015-02-05T18:24:46Z,@pearson I enjoyed meeting global colleagues and hearing from guest experts. Inspiring stuff.,FALSE,FALSE,15146163,NA
John Ridding,563093410169749504,2015-02-04T21:55:05Z,One of the reasons I love @FT is because it distills the information down to what's essential - @JPerelman #pearsonsummit,FALSE,FALSE,NA,pearsonsummit
John Ridding,563030498679992321,2015-02-04T17:45:06Z,"Greg Forbes on efficacy 'Tell me and I forget, teach me and I remember, involve me and I learn' #PearsonSummit//t.co/dADMeLEYyR",FALSE,TRUE,NA,PearsonSummit
John Ridding,563021996548976640,2015-02-04T17:11:19Z,. @robertrichman on culture: it already exists and will move on without you. Be open and create space for culture to happen #pearsonsummit,FALSE,FALSE,NA,pearsonsummit
John Ridding,563019058850066432,2015-02-04T16:59:38Z,"You can't create culture. It's like energy - already there. So the question is, how to shift it? - @robertrichman #pearsonsummit",FALSE,FALSE,NA,pearsonsummit
John Ridding,562678791643103233,2015-02-03T18:27:32Z,"Zuriel Oduwole discusses how home schooling has helped her engage in travel, sports and film #pearsonsummit//t.co/nN2wttcTOO",FALSE,FALSE,NA,pearsonsummit
John Ridding,562676792931385344,2015-02-03T18:19:36Z,".@lionelbarber shares his 5 trends to watch in 2015 at #pearsonsummit Winners: US, Modi / Losers: Putin, Iran//t.co/qz8iOMlBtw",FALSE,TRUE,NA,pearsonsummit
John Ridding,562674470708846595,2015-02-03T18:10:22Z,MT @KateSJames 45% of US jobs may be automated in next 2 decades -how do we prepare learners with skills for 2nd machine age? #pearsonsummit,FALSE,FALSE,NA,pearsonsummit
John Ridding,562673052857933826,2015-02-03T18:04:44Z,The Second Machine Age: a good review of a very good book as cited by @johnfallon at #PearsonSummit//t.co/pnebPUlJyS,FALSE,FALSE,NA,PearsonSummit
John Ridding,562273979453681664,2015-02-02T15:38:57Z,What's the future of education? Join us live tomorrow to have your say. #PearsonSummit//t.co/dBWSRPdunF,FALSE,TRUE,NA,PearsonSummit
John Ridding,542622573725372416,2014-12-10T10:11:17Z,Read what @LionelBarber had to say about this year's FT Seasonal Appeal charity - the International Rescue Committee//t.co/ehsm6fe6Gb,FALSE,FALSE,NA,NA
John Ridding,535404083386257408,2014-11-20T12:07:35Z,#FTInnovate: How can publishers tackle mounting concerns about data privacy?//t.co/SeVtHTCpr0,FALSE,FALSE,NA,FTInnovate
John Ridding,532864681221050369,2014-11-13T11:56:54Z,How to Spend It @htsi editor Gillian de Bono Talks 20 Years of Luxury and the upcoming charity auction//t.co/6r4AW9A524,FALSE,FALSE,NA,NA
John Ridding,530690390937333760,2014-11-07T11:57:03Z,The Economist launches daily bite-size digital briefing//t.co/QQDvH7591w following #FirstFT which also brings in non-FT sources,FALSE,FALSE,NA,FirstFT
John Ridding,527826727121485825,2014-10-30T14:17:52Z,The @FinancialTimes is one of the 10 most influential brands on LinkedIn: //t.co/b2te1pdgwA,FALSE,FALSE,NA,NA
John Ridding,527433344183570432,2014-10-29T12:14:43Z,The FT doubles down on its newsletter -- and aggregation//t.co/UjPRjOAmcC via @digiday,FALSE,FALSE,NA,NA
John Ridding,526706074897113088,2014-10-27T12:04:48Z,Our new daily email briefing #FirstFT launches today. It features must-reads from the FT and other sources//t.co/kvggd10kea,FALSE,FALSE,NA,FirstFT
John Ridding,524152142559735808,2014-10-20T10:56:23Z,Free to read: By 2050 those aged over 65 will outnumber children aged five//t.co/G6mhnh6pnR//t.co/UoVzjAZ8uH,FALSE,TRUE,NA,NA
John Ridding,522674528691175424,2014-10-16T09:04:53Z,Are you heading to #websummit? @FT is media partner & our speakers include @jodbod @carolinefdaniel @simonkuper @MattGarrahan @John_Ridding,FALSE,TRUE,NA,websummit
John Ridding,521960180590731264,2014-10-14T09:46:19Z,How do you overcome newsroom culture blockers? Answers at the International Newsroom Summit //t.co/QTmClU38ur,FALSE,FALSE,NA,NA
John Ridding,520131215417167872,2014-10-09T08:38:39Z,. @mediabrief on the news opportunity for wearables and the Financial Times' experiment with @fastFT using Spritz//t.co/ETq0GRL3hU,FALSE,FALSE,NA,NA
John Ridding,519845620660862976,2014-10-08T13:43:48Z,Here's the @flipboard version of the @FT's Silk Road Redux series on Chinese investment & immigration in Europe//t.co/HanJeBpNlY,FALSE,TRUE,NA,NA
John Ridding,519797992409534464,2014-10-08T10:34:33Z,"""we have made a Faustian bargain with private sector-driven credit booms"" - @martinwolf_ //t.co/2fe0ZFS8v1//t.co/R9JCxvEjKM",FALSE,TRUE,NA,NA
John Ridding,516535838831017984,2014-09-29T10:31:55Z,The redesign of the @FT newspaper underscores our confidence in the unique and lasting value of print://t.co/hnd8IjT3wl,FALSE,FALSE,NA,NA
