name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Kent J. Thiry,1122898459114266625,2019-04-29T16:20:29Z,I am confident Javier Rodriguez will continue to build on our foundation and take us to the next level in achieving our mission and living the #DaVitaWay.//t.co/QqOQRiDB64,FALSE,FALSE,862128018,DaVitaWay
Kent J. Thiry,1122898457625333761,2019-04-29T16:20:29Z,"We have done so many wonderful things for patients and their families over the last 20 years. I am full of emotions over this decision, from joy to sadness, to pride and gratitude. Serving as the Mayor of the @DaVita Village has been immensely fulfilling for me.",FALSE,FALSE,NA,NA
Kent J. Thiry,1121889279448428544,2019-04-26T21:30:22Z,"For over 20 years @DaVita has been transforming care across the entire kidney care continuum, keeping our efforts patient-centered and working toward a common goal of healthier lives for all. Read more here://t.co/A1S8qkF8SV//t.co/JDgkEH3DkW",FALSE,FALSE,NA,NA
Kent J. Thiry,1121402425733050368,2019-04-25T13:15:47Z,"This #kidneytransplant patient's life motto is one we should all get behind: My life's motto has always been determined by my blood typeB positive. WOW. Thank you, Sally Hernandez, for sharing your story from kidney failure to transplant. #DonateLife//t.co/IjFDXoFhNN//t.co/MowicZARSx",FALSE,FALSE,NA,kidneytransplant
Kent J. Thiry,1121402425733050368,2019-04-25T13:15:47Z,"This #kidneytransplant patient's life motto is one we should all get behind: My life's motto has always been determined by my blood typeB positive. WOW. Thank you, Sally Hernandez, for sharing your story from kidney failure to transplant. #DonateLife//t.co/IjFDXoFhNN//t.co/MowicZARSx",FALSE,FALSE,NA,DonateLife
Kent J. Thiry,1115343861629575169,2019-04-08T20:01:13Z,"#MondayMotivation At 50 years young, @DaVita teammate Starr Davis is living her most active life, completing marathons around the world. All thanks to encouragement from the Village Vitality program. Congrats, Starr!//t.co/WwUIxoCW3k #DaVitaWay//t.co/GJ7FjYguS7",FALSE,FALSE,NA,MondayMotivation
Kent J. Thiry,1115343861629575169,2019-04-08T20:01:13Z,"#MondayMotivation At 50 years young, @DaVita teammate Starr Davis is living her most active life, completing marathons around the world. All thanks to encouragement from the Village Vitality program. Congrats, Starr!//t.co/WwUIxoCW3k #DaVitaWay//t.co/GJ7FjYguS7",FALSE,FALSE,NA,DaVitaWay
Kent J. Thiry,1114916441759703041,2019-04-07T15:42:48Z,"As a national leader in health equity, the kidney community remains committed to advancing policies that address other chronic conditions that impair the lives of those who are socioeconomically challenged. #WorldHealthDay #HealthEquality",FALSE,FALSE,NA,WorldHealthDay
Kent J. Thiry,1114916441759703041,2019-04-07T15:42:48Z,"As a national leader in health equity, the kidney community remains committed to advancing policies that address other chronic conditions that impair the lives of those who are socioeconomically challenged. #WorldHealthDay #HealthEquality",FALSE,FALSE,NA,HealthEquality
Kent J. Thiry,1102589989748199424,2019-03-04T15:21:53Z,.@DaVita has led the way in delivering innovation in kidney care and we continue to focus on improving clinical outcomes. Regardless of socio-economic status our patients not only have access to care but access to quality care.//t.co/wSJKPR0hgo,FALSE,FALSE,NA,NA
Kent J. Thiry,1101619270302220289,2019-03-01T23:04:35Z,"With Birmingham Mayor @randallwoodfin at @FaithNPolitics retreat. Next stop Montgomery as we re-trace critical moments in the civil rights movement. Political leaders discussing mutual respect, increased understanding and honest conversation and collaboration. Refreshing.//t.co/0642vJXXKZ",FALSE,FALSE,NA,NA
Kent J. Thiry,1101600336228290561,2019-03-01T21:49:21Z,"Dialysis care has improved significantly over the past century through implementation science, providing patients with broader access to care, improved outcomes, and a better overall experience://t.co/uMpHNfudYS via @DoctorKrishnan @KentThiry @DaVita @DaVitaDoc//t.co/XQeGuK24Sh",FALSE,TRUE,NA,NA
Kent J. Thiry,1099078919267979264,2019-02-22T22:50:08Z,"You have a generous spirit Sachin, and I also remember that day 13 years ago. Doing good is contagious.//t.co/u41KpxCtSw",TRUE,FALSE,NA,NA
Kent J. Thiry,1098961345662267393,2019-02-22T15:02:57Z,Honored that our efforts to innovate and improve how we serve our patients is again recognized by such a prestigious list. Twelfth consecutive year and @DaVita is ranked 2nd in innovation in the medical facilities category this year!//t.co/gr7qGK19RM//t.co/k4EcTAq3OR,FALSE,FALSE,NA,NA
Kent J. Thiry,1098040922426662912,2019-02-20T02:05:31Z,"Can you imagine a 50-year work anniversary? Muriel, you are an inspiration to all of us in the DaVita Village. Thank you for embodying the #DaVitaWay//t.co/lwtTd6Rwmb",FALSE,FALSE,NA,DaVitaWay
Kent J. Thiry,1096545162921046016,2019-02-15T23:01:54Z,Great time at #VITALS @uclaanderson Healthcare Conference today!,FALSE,FALSE,862128018,VITALS
Kent J. Thiry,1096545158747774976,2019-02-15T23:01:53Z,"Thanks for having me today, @uclaanderson. Exciting talk about transforming health care and appreciated the chance to show how @DaVita is helping shape that future.//t.co/ncXXZjmXwm",FALSE,FALSE,NA,NA
Kent J. Thiry,1095433536746737675,2019-02-12T21:24:41Z,You can advocate for yourself and for others consider getting involved and making the difference you want to see happen.//t.co/5e2IzjlKw9,TRUE,FALSE,NA,NA
Kent J. Thiry,1092453666110357504,2019-02-04T16:03:45Z,"Patient care tech Brian Reyes and administrative assistant Donna Maningding live our Core Value of Team in the dialysis center, and on the race course.//t.co/DZt4OJ5s8Y #DaVitaWay",FALSE,FALSE,NA,DaVitaWay
Kent J. Thiry,1090970967956848640,2019-01-31T13:52:02Z,"It will be the people, not politicians, who defeat gerrymandering! Gov @Schwarzenegger, @KTeaFayGala & I issue a national call to action for voters of every state to fight for fair, competitive voting districts.//t.co/CPHS1D2w0k @thehill @FairMapsColo #copolitics #fairmaps",FALSE,FALSE,NA,copolitics
Kent J. Thiry,1090970967956848640,2019-01-31T13:52:02Z,"It will be the people, not politicians, who defeat gerrymandering! Gov @Schwarzenegger, @KTeaFayGala & I issue a national call to action for voters of every state to fight for fair, competitive voting districts.//t.co/CPHS1D2w0k @thehill @FairMapsColo #copolitics #fairmaps",FALSE,FALSE,NA,fairmaps
Kent J. Thiry,1090631949037826049,2019-01-30T15:24:54Z,"Congrats to Beth Perez, with our Hospital Services group @DaVita, on being named one of the Top 25 Most Powerful Women in Business by @cowomenschamber!//t.co/LE41pLVg8t #WomenInBusiness #CWCCTop25",FALSE,FALSE,NA,WomenInBusiness
Kent J. Thiry,1090631949037826049,2019-01-30T15:24:54Z,"Congrats to Beth Perez, with our Hospital Services group @DaVita, on being named one of the Top 25 Most Powerful Women in Business by @cowomenschamber!//t.co/LE41pLVg8t #WomenInBusiness #CWCCTop25",FALSE,FALSE,NA,CWCCTop25
Kent J. Thiry,1089644545040572416,2019-01-27T22:01:18Z,"BeliefsBehaviorsResults: Engaging Teams in Defining Values-Based Behaviors Thank you, @StrategySage for sharing your experience going through DaVita Academy!//t.co/LczFkdO246",FALSE,FALSE,NA,NA
Kent J. Thiry,1088928885729824770,2019-01-25T22:37:32Z,Feeling energized from our recent international leadership meeting. Many intentional leaders working to bring the DaVita Village to life around the world.//t.co/IJfrk8Iiet,FALSE,FALSE,NA,NA
Kent J. Thiry,1085670298878394368,2019-01-16T22:49:04Z,"For the second year in a row, DaVita is on the @Bloomberg Gender-Equality Index! We're one of 230 companies in the index leading the way toward more equal, inclusive workplaces. #BloombergGEI//t.co/9p1avKeaHH",FALSE,FALSE,NA,BloombergGEI
Kent J. Thiry,1083845059697623041,2019-01-11T21:56:13Z,The @NationalWestern is back for the #best16daysinJanuaryone of my favorite Colorado traditions! See you at the rodeo. #NWSS//t.co/RShdNifxjm,FALSE,FALSE,NA,best16daysinJanuary
Kent J. Thiry,1083845059697623041,2019-01-11T21:56:13Z,The @NationalWestern is back for the #best16daysinJanuaryone of my favorite Colorado traditions! See you at the rodeo. #NWSS//t.co/RShdNifxjm,FALSE,FALSE,NA,NWSS
Kent J. Thiry,1083518738903617536,2019-01-11T00:19:32Z,Gerrymandering is a cancer that threatens the health of our democracy. Honored to be working with Governor @Schwarzenegger to share Colorado's cure and terminate gerrymandering across our great nation. @GovArnoldUSC @FairMapsColo #copolitics//t.co/4r9Ah9GfHy,FALSE,FALSE,NA,copolitics
Kent J. Thiry,1082760763629060096,2019-01-08T22:07:37Z,"Welcome @GovofCO, Jared Polis as our new Colorado governor! Here's to moving forward together to continue making Colorado a better place today and for our grandchildren.",FALSE,FALSE,NA,NA
Kent J. Thiry,1082405451902451717,2019-01-07T22:35:44Z,DaVita's Chief People Officer @ericseversonhr shares what it's like to lead an evidence-based HR strategy in @hrps.//t.co/pmuNe94hAL,FALSE,FALSE,NA,NA
Kent J. Thiry,1080615894915534848,2019-01-03T00:04:40Z,One thing I'm looking forward to in 2019 is continuing to support the Denver Public School system to make sure every child has a strong educational foundation.//t.co/nG2PDiU4AQ,FALSE,FALSE,NA,NA
Kent J. Thiry,1079795151193735169,2018-12-31T17:43:20Z,We activated emergency response plans in California and continue to support teammates and patients impacted by the California wildfires as efforts turn to long-term recovery.,FALSE,FALSE,862128018,NA
Kent J. Thiry,1079795150417739778,2018-12-31T17:43:20Z,"DaVita is piloting Bridge to Your Dreams, an innovative program that supports qualified and high-performing patient care technicians in becoming Registered Nurses through fully funded tuition, scheduling assistance, coaching and role placement.",FALSE,FALSE,862128018,NA
Kent J. Thiry,1079795149687934980,2018-12-31T17:43:19Z,"DaVita collaborated with Methodist Specialty and Transplant Hospital and University of Chicago Medicine to launch its Transplant Waitlist Support Program, which aims to help waitlisted patients stay transplant-ready.",FALSE,FALSE,862128018,NA
Kent J. Thiry,1079795149037809664,2018-12-31T17:43:19Z,"For the second time, DaVita has been recognized by the Dow Jones Sustainability Indices (DJSI) and is one of only seven U.S.- based companies in the Health Care Providers and Services category on this year's DJSI World Index.",FALSE,FALSE,862128018,NA
Kent J. Thiry,1079795148261867522,2018-12-31T17:43:19Z,"570+ riders participated in the 12th @TourDaVita, DaVita's annual charity bike ride, which raised over $1.1 million to support Bridge of Life, a nonprofit organization founded by DaVita that supports medical missions in the U.S. and abroad.",FALSE,FALSE,862128018,NA
Kent J. Thiry,1079795147636989952,2018-12-31T17:43:19Z,"For the 11th straight year, DaVita was ranked among the world's most freedom-centered workplaces by @WorldBlu.",FALSE,FALSE,862128018,NA
Kent J. Thiry,1079795146718396418,2018-12-31T17:43:19Z,"DaVita received its highest score yet on the 2018 Corporate Equality Index, a national benchmarking survey and report on corporate policies and practices related to LGBTQ workplace equality administered by the Human Rights Campaign.",FALSE,FALSE,862128018,NA
Kent J. Thiry,1079795145963433985,2018-12-31T17:43:19Z,"DaVita was named a member of the 2018 Bloomberg Gender-Equality Index (GEI), a metric that provides companies across the globe an opportunity to disclose and showcase their efforts in gender equality.",FALSE,FALSE,862128018,NA
