name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Lloyd H. Dean,1179929134484598785,2019-10-04T01:20:02Z,"Last week, our very own Rachelle Wenger spoke @Facebook NY with global influencers about the link between our health and the health of our planet. We are committed to finding climate solutions that will make a difference for our communities. //t.co/bunk7gsNTp//t.co/9vRqINj5eq",FALSE,FALSE,NA,NA
Lloyd H. Dean,1179445697269116929,2019-10-02T17:19:01Z,Congratulations to Dr. Javier Cardenas for being selected for the NFL's Hispanic Leadership Award @AZCardinals. His work to prevent concussions is truly revolutionary and changing the way we think about head injuries. @theconcussiondr //t.co/8GifFrGUMo//t.co/4EMAXw6DIm,FALSE,FALSE,NA,NA
Lloyd H. Dean,1179162247769124865,2019-10-01T22:32:42Z,"We remember Jessye Norman for her performances at Presidential inaugurations and venues around the globe that demanded the majesty of her voice. Her talent broke through barriers with grace and soul, paving the way for artists beyond the stage . - L//t.co/YdpbAHaeFB",TRUE,FALSE,NA,NA
Lloyd H. Dean,1175094973693169664,2019-09-20T17:10:48Z,"Looking forward to joining health leaders and innovators at #HLTH2019. As @commonspirit, we are as committed today as our founding hospitals were 150+ years ago to open up access to and innovate the delivery of health care - now and for future generations. - L//t.co/A9z5qmhRcK",TRUE,FALSE,NA,HLTH2019
Lloyd H. Dean,1174724762213507073,2019-09-19T16:39:43Z,@commonspirit is innovating and personalizing health care across the communities we serve. Our @rich_roth: We discover the best novel technologies from within and outside of health care that will drive the future delivery of health care. - L @beckershr//t.co/WrbRYKsSlP,FALSE,FALSE,1062841494627708928,NA
Lloyd H. Dean,1174373118212595712,2019-09-18T17:22:24Z,"Thank you, .@JulieSuCA. As technology augments ways of working, we have a unique opportunity to support our health care workforce with lifelong skills development and learning. Excited to be a part of the solution on @CAgovernor's California Future of Work Commission. - L//t.co/qYhgnHlsZK",TRUE,FALSE,NA,NA
Lloyd H. Dean,1174029191177801731,2019-09-17T18:35:46Z,"To meet our future health needs, we must open new pathways for students to pursue health care careers. Providing scholarships and mentorship to students, especially in underserved communities, will help us build our workforce from within. - L @sacbee_news//t.co/WOBas2wbnH",FALSE,FALSE,NA,NA
Lloyd H. Dean,1173634206410387456,2019-09-16T16:26:14Z,"As our new CIDO, @sujachandra, brings together our employees and physicians with forward-looking technologies, we will be able to explore new ways to interact with and build healthier communities. - L @peterahigh @Forbes//t.co/F4dBcUsXjp",FALSE,FALSE,NA,NA
Lloyd H. Dean,1172573658365267970,2019-09-13T18:12:00Z,"At @commonspirit, we are helping our patients focus on their healing - not on complicated medical bills. Great to have our Steve Scharmann named a ""patient payment innovator"" in @HealthLeaders for our work with @oodahealth. - L//t.co/MPvWYT8EXL",FALSE,FALSE,NA,NA
Lloyd H. Dean,1171896052644864000,2019-09-11T21:19:26Z,"We will #neverforget911, the lives lost and emotional toll, nor the incredible acts of bravery and courage that were forged from the tragedy. May this day remind us that after our darkest hours, resilience follows. - L",FALSE,FALSE,NA,neverforget911
