name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Mark Suzman,1180182151746056193,2019-10-04T18:05:26Z,"""Husband clubs"" in Burkina Faso teach men about the importance of family planning and of distributing household chores more equally. Such innovative initiatives hold the key to human-capital formation in the Sahel, argue @ADixon_WB & @HafezGhanem_WB//t.co/GTu5ZgJJ2x",FALSE,TRUE,NA,NA
Mark Suzman,1180182057521053696,2019-10-04T18:05:03Z,"Empowering the African woman would strengthen family units, not break it'//t.co/jNGOcrL9lg",FALSE,FALSE,NA,NA
Mark Suzman,1179803187890421760,2019-10-03T16:59:34Z,"I want to see more women making decisions, controlling resources, & shaping policies. That's why I'm committing $1B over the next 10 years to expanding women's power & influence in the U.S. #EqualityCantWait, & no one in a position to act should either.//t.co/Rh6SkRH0ma",FALSE,TRUE,NA,NA
Mark Suzman,1177018137423728640,2019-09-26T00:32:46Z,"Sanitation is key for the health & well-being of millions of people, especially women & children. Prime Minister @narendramodi received the Goalkeepers Global Goals Award for the significant progress India is making in improving sanitation #SwachhBharat @gssjodhpur @PMOIndia//t.co/EFPFc0SDxG",TRUE,FALSE,NA,SwachhBharat
Mark Suzman,1176910795965456384,2019-09-25T17:26:14Z,Thrilled that the critical issue of mental health was a #Goalkeepers19 accelerator - thanks to @UnitedGMH & partners for amazing leadership helping challenge stigma and shine a spotlight on practical solutions to an unjustly neglected issue in global health//t.co/QbQK5vYTXE,FALSE,FALSE,NA,Goalkeepers19
Mark Suzman,1176896152156987392,2019-09-25T16:28:03Z,Happy to see @washingtonpost validate the #goalkeepers19 report that the @gatesfoundation is hosting a roomful of change makers to talk about today//t.co/ppD3d46uIU,FALSE,FALSE,NA,goalkeepers19
Mark Suzman,1176840824929361920,2019-09-25T12:48:11Z,#Goalkeepers19 kicking off - @BillGates & @melindagates backstage with inspiring leaders PM Adern of New Zealand and PM Snchez of Spain - leadership on the #SDGs in practice! @gatesfoundation proud to host them//t.co/7LlKu57vzf,FALSE,FALSE,NA,Goalkeepers19
Mark Suzman,1176840824929361920,2019-09-25T12:48:11Z,#Goalkeepers19 kicking off - @BillGates & @melindagates backstage with inspiring leaders PM Adern of New Zealand and PM Snchez of Spain - leadership on the #SDGs in practice! @gatesfoundation proud to host them//t.co/7LlKu57vzf,FALSE,FALSE,NA,SDGs
Mark Suzman,1176246849835098112,2019-09-23T21:27:57Z,"Inspiring to see Africa Center in NY being launched w/ @BillGates, Mo Ibrahim & @AlikoDangote - an iconic new venue to drive dialogue around Africa's many opportunities & challenges from art to development @gatesfoundation proud to be a partner//t.co/0SC3Efb3EB",FALSE,FALSE,NA,NA
Mark Suzman,1175994804498513921,2019-09-23T04:46:24Z,"Excited for my 20th consecutive UN General Assembly meetings #UNGA2019 - in my first I helped launch what became the #MDGs that led to unprecedented health & development progress. Now we need to tackle inequality, gender & climate to meet the @TheGlobalGoals @gatesfoundation",FALSE,FALSE,NA,UNGA2019
Mark Suzman,1175994804498513921,2019-09-23T04:46:24Z,"Excited for my 20th consecutive UN General Assembly meetings #UNGA2019 - in my first I helped launch what became the #MDGs that led to unprecedented health & development progress. Now we need to tackle inequality, gender & climate to meet the @TheGlobalGoals @gatesfoundation",FALSE,FALSE,NA,MDGs
Mark Suzman,1175067233988464643,2019-09-20T15:20:34Z,Thanks @raj_devex for the great conversation!//t.co/eDRTA9ps2Q,TRUE,FALSE,NA,NA
Mark Suzman,1174124428373835776,2019-09-18T00:54:12Z,"@BillGates & @melindagates show how 99% of the world has achieve amazing progress over the past 20 years in child mortality & education but that the UN's #SDG goals at risk due to global, regional and gender inequality #Goalkeepers19 //t.co/MR9L0kHBJy",FALSE,FALSE,NA,SDG
Mark Suzman,1174124428373835776,2019-09-18T00:54:12Z,"@BillGates & @melindagates show how 99% of the world has achieve amazing progress over the past 20 years in child mortality & education but that the UN's #SDG goals at risk due to global, regional and gender inequality #Goalkeepers19 //t.co/MR9L0kHBJy",FALSE,FALSE,NA,Goalkeepers19
Mark Suzman,1174063149743427584,2019-09-17T20:50:42Z,"""Examining Inequality: How geography and gender stack the deck for (or against) you.""//t.co/S5QQ2oJJLw",TRUE,FALSE,NA,NA
Mark Suzman,1171961684270800896,2019-09-12T01:40:14Z,"Always a pleasure to exchange with @gatesfoundation @msuzman. This time we spoke about things @Oxfam & things @UNAIDS! Stepping up for women & girls by rallying govts, business & citizens around #ICPD25 & #Beijing25 to commit. Exciting collaboration ahead! #WEFAfrica19//t.co/zUszNsOgL7",FALSE,TRUE,NA,NA
Mark Suzman,1171567133106434049,2019-09-10T23:32:25Z,Congratulations @gavi! #VaccinesSaveLives//t.co/Yt9cEVhL9l,TRUE,FALSE,NA,VaccinesSaveLives
Mark Suzman,1171440224594882563,2019-09-10T15:08:08Z,Most private-sector companies want to do good in their communities & they're looking for opportunities where they can partner - by giving them those opportunities we could close the development financing gap and achieve @TheGlobalGoals//t.co/ZmpmbUHH85 via @BusinessLiveSA,FALSE,FALSE,NA,NA
Mark Suzman,1171210367831162880,2019-09-09T23:54:46Z,"The internet provides huge benefits to our communities, but too many people (nearly 4 billion!) don't have easy access. This great report from @p4pcommission looks at ways we can bridge the #digitaldivide//t.co/7wSTW1zONc",FALSE,FALSE,NA,digitaldivide
Mark Suzman,1169901491059953664,2019-09-06T09:13:45Z,Today I'm continuing to talk about how critical partnerships are to achieve success across key development indicators. The #privatesector plays an important role in the fight against poverty and poor health #af19 #SDGs @eNCA//t.co/UBUHIbxE1B,FALSE,FALSE,NA,privatesector
Mark Suzman,1169901491059953664,2019-09-06T09:13:45Z,Today I'm continuing to talk about how critical partnerships are to achieve success across key development indicators. The #privatesector plays an important role in the fight against poverty and poor health #af19 #SDGs @eNCA//t.co/UBUHIbxE1B,FALSE,FALSE,NA,af19
Mark Suzman,1169901491059953664,2019-09-06T09:13:45Z,Today I'm continuing to talk about how critical partnerships are to achieve success across key development indicators. The #privatesector plays an important role in the fight against poverty and poor health #af19 #SDGs @eNCA//t.co/UBUHIbxE1B,FALSE,FALSE,NA,SDGs
Mark Suzman,1169646078746091521,2019-09-05T16:18:50Z,"Celebrating the impact of partnerships - private sector, government, philanthropies - to fight against AIDS, TB and Malaria @GoodbyeMalariaZ @GlobalFund #SDGs #af19//t.co/soSvTQ2slo",FALSE,FALSE,NA,SDGs
Mark Suzman,1169646078746091521,2019-09-05T16:18:50Z,"Celebrating the impact of partnerships - private sector, government, philanthropies - to fight against AIDS, TB and Malaria @GoodbyeMalariaZ @GlobalFund #SDGs #af19//t.co/soSvTQ2slo",FALSE,FALSE,NA,af19
Mark Suzman,1167107778470502400,2019-08-29T16:12:32Z,Getting to know my boss @BillGates has been a highlight of my career @gatesfoundation. I'm excited to learn more about him and what drives him to tackle the biggest health and development issues in the world in this upcoming docuseries from @netflix.//t.co/S6gDLpwGZK,FALSE,FALSE,NA,NA
Mark Suzman,1166417938095718402,2019-08-27T18:31:22Z,Inspiring story from #SDG goalkeeper @KennedyOdede about how real change happens - development driven by people on the ground//t.co/d6fNGnd5xL,FALSE,FALSE,NA,SDG
Mark Suzman,1166351912041500677,2019-08-27T14:09:00Z,By harnessing the potential of digital technologies we can ensure a bright future for everyone - check out the digital economy kit from Pathways for Prosperity to learn how.//t.co/V0VTzGMOjW,TRUE,FALSE,NA,NA
Mark Suzman,1166145804060569604,2019-08-27T00:30:00Z,"Every G7 country should have a feminist foreign policy | Emma Watson, Phumzile Mlambo-Ngcuka, Katja Iversen and Michael Kaufman//t.co/co3vnfXWvZ",FALSE,FALSE,NA,NA
