name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Marc Harrison MD,1181053982564868097,2019-10-07T03:49:47Z,"In states across the country, rural hospitals are closing at an alarming rate. #Utah isn't one of them, thanks largely to @Intermountain's commitment to accessible & affordable care for all residents. @sltrib//t.co/DiUrXzvjRC",FALSE,TRUE,NA,Utah
Marc Harrison MD,1176229412850851840,2019-09-23T20:18:39Z,We now shift from a message of awareness to a message of action. @mikellemoore speaking in the new suicide prevention awareness campaign. #SuicidePrevention @Intermountain//t.co/eMKbPMPgIQ,FALSE,TRUE,NA,NA
Marc Harrison MD,1175126562519175169,2019-09-20T19:16:19Z,I'm proud of our caregivers and inspired by their commitment to excellence.//t.co/bkh6cDTLpf,TRUE,FALSE,NA,NA
Marc Harrison MD,1172306132456501249,2019-09-13T00:28:57Z,Lori Weston and I had an excellent meeting with Park City Mayor Andy Beerman. He's a thoughtful and enthusiastic advocate for his community. And we're committed to delivering affordable and quality care for the city's residents.//t.co/Z3fW5r5lJA,FALSE,FALSE,NA,NA
Marc Harrison MD,1172169670046011392,2019-09-12T15:26:41Z,Utah state is leading the country (tied w Virginia) reporting to @CDCgov NHSN #antibioticUse #AntibioticStewardship @E_Stenehjem @scphillipsmd @Intermountain Now those lessons need to be adopted in the ambulatory /outpatient setting. @pewresearch @AntibioticResis @saveantibiotics//t.co/iUBerPhBFf,FALSE,TRUE,NA,antibioticUse
Marc Harrison MD,1172169670046011392,2019-09-12T15:26:41Z,Utah state is leading the country (tied w Virginia) reporting to @CDCgov NHSN #antibioticUse #AntibioticStewardship @E_Stenehjem @scphillipsmd @Intermountain Now those lessons need to be adopted in the ambulatory /outpatient setting. @pewresearch @AntibioticResis @saveantibiotics//t.co/iUBerPhBFf,FALSE,TRUE,NA,AntibioticStewardship
Marc Harrison MD,1171074541629497344,2019-09-09T14:55:02Z,Really excited to celebrate the opening of our new Kidney Services Clinic. Coordinated kidney care delivered by a terrific team that's ready to serve our community.//t.co/WDTyDP4AZG,FALSE,FALSE,NA,NA
Marc Harrison MD,1169730354514550784,2019-09-05T21:53:43Z,I will see you out there!//t.co/r0246SLYSH,TRUE,FALSE,NA,NA
Marc Harrison MD,1169599956761505792,2019-09-05T13:15:34Z,Antibiotic stewardship is critical for personal and public health. Here's another way @Intermountain is improving the quality of care and antibiotic stewardship through telemedicine.//t.co/9gQ9NwTGf7,FALSE,FALSE,NA,NA
Marc Harrison MD,1168672272581681152,2019-09-02T23:49:17Z,Civica Vancomycin! Reducing cost and improving value for our patients by bold thinking & smart execution. @intermountain #changinghealthcare//t.co/Ui6wKeicvU,FALSE,TRUE,NA,NA
Marc Harrison MD,1168548637888012288,2019-09-02T15:38:00Z,2019 Soldier Hollow Sheepdog Classic! Amazing partnership between shepherds and dogs. Feeling grateful to #LiveWell in beautiful @HeberValley. @Intermountain//t.co/1ZYaDLiC2F,FALSE,FALSE,NA,LiveWell
Marc Harrison MD,1167476002907467776,2019-08-30T16:35:44Z,Implementing a #nurse professional practice model will empower caregivers with shared governance@suerobelrn creating ownership and true accountability moving towards true #OneIntermountain care @scphillipsmd @MarcHarrisonMD,FALSE,TRUE,NA,nurse
Marc Harrison MD,1166280816197951489,2019-08-27T09:26:29Z,"Healthcare is already so expensive that probably the best thing we could do to improve health for our customers is bringing cost down, improve quality- if people can't afford healthcare then it's really of no use. @mikellemoore @UN #UNCivilSocietyConference #intermountainUN",FALSE,TRUE,NA,NA
Marc Harrison MD,1164295413865877505,2019-08-21T21:57:12Z,Huddling over bacon at the physician lounge while on service. Physician leaders at the frontline. @ShaneLewisMD @scphillipsmd//t.co/iySvnL5jlJ,FALSE,TRUE,NA,NA
Marc Harrison MD,1163885293419683841,2019-08-20T18:47:32Z,"Congratulations to Dien Nguyen, Fernando Calderoni, Li Dong who won first place in the Corporate Games Table Tennis Cup competition last night! Thanks to you and the dozens of other caregivers representing @Intermountain at the 2019 Corporate Games.//t.co/GiGsca9Upb",FALSE,FALSE,NA,NA
Marc Harrison MD,1163544590432923653,2019-08-19T20:13:42Z,"Congratulations to Intermountain's Dr. Lincoln Nadauld for being named to @modrnhealthcr's inaugural ""Top 25 Innovators"" list. Highlighting the most pioneering minds in healthcare consumerism, quality and safety, and cost reduction. Learn more://t.co/VNtQ9Y3oGa//t.co/cyhyTGFIXi",FALSE,TRUE,NA,NA
Marc Harrison MD,1163536688750026752,2019-08-19T19:42:18Z,Congratulations David Flood for receiving the 2019 Association for Healthcare Philanthropy AHP Harold J. (Si) Seymour award. Well done David and all those in the @Intermountain Healthcare Foundation! //t.co/zTwQEZFFUM,FALSE,FALSE,NA,NA
Marc Harrison MD,1163289686007095296,2019-08-19T03:20:48Z,"@Intermountain is proud to have played a role in founding @CivicaRx To the doubters, first drug (vancomycin) ships on Friday. @DanForUtah @MgVantrieste #affordable #drugshortages #notforprofit//t.co/25yNXCL0PV",FALSE,FALSE,17363477,affordable
Marc Harrison MD,1163289686007095296,2019-08-19T03:20:48Z,"@Intermountain is proud to have played a role in founding @CivicaRx To the doubters, first drug (vancomycin) ships on Friday. @DanForUtah @MgVantrieste #affordable #drugshortages #notforprofit//t.co/25yNXCL0PV",FALSE,FALSE,17363477,drugshortages
Marc Harrison MD,1163289686007095296,2019-08-19T03:20:48Z,"@Intermountain is proud to have played a role in founding @CivicaRx To the doubters, first drug (vancomycin) ships on Friday. @DanForUtah @MgVantrieste #affordable #drugshortages #notforprofit//t.co/25yNXCL0PV",FALSE,FALSE,17363477,notforprofit
Marc Harrison MD,1162048063621328897,2019-08-15T17:07:02Z,"Joining us as keynote speakers this year: @@john_evans3, @MarcHarrisonMD, @vivianleemd, @SeemaCMS and many more.//t.co/dJ5vy1CaJD",FALSE,TRUE,NA,NA
Marc Harrison MD,1162023569854881797,2019-08-15T15:29:43Z,A great night at the Utah State Capitol. Thanks to @StateofSport and @NitroGames //t.co/laLUMpGv15,FALSE,FALSE,NA,NA
Marc Harrison MD,1161632469969276934,2019-08-14T13:35:37Z,"From American @ninjawarrior to ICU nurse, Mady is an example of @Intermountain's amazing caregivers.//t.co/EjmviiEpQb",FALSE,FALSE,NA,NA
