name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Mark A. Knickrehm,1181312076284862464,2019-10-07T20:55:21Z,J Neely of Accenture Strategy discusses opportunities and risks for software #MandA with The Wall Street Journal CIO Journal #CompetitiveAgility//t.co/5SSU9UV6YU,FALSE,FALSE,NA,MandA
Mark A. Knickrehm,1181312076284862464,2019-10-07T20:55:21Z,J Neely of Accenture Strategy discusses opportunities and risks for software #MandA with The Wall Street Journal CIO Journal #CompetitiveAgility//t.co/5SSU9UV6YU,FALSE,FALSE,NA,CompetitiveAgility
Mark A. Knickrehm,1181266784802017286,2019-10-07T17:55:23Z,Realizing that today's #Retail operating model won't deliver #CompetitiveAgility? So start shopping for a new one. Read more.//t.co/b1IRj90a7Z,FALSE,FALSE,NA,Retail
Mark A. Knickrehm,1181266784802017286,2019-10-07T17:55:23Z,Realizing that today's #Retail operating model won't deliver #CompetitiveAgility? So start shopping for a new one. Read more.//t.co/b1IRj90a7Z,FALSE,FALSE,NA,CompetitiveAgility
Mark A. Knickrehm,1181221475661037569,2019-10-07T14:55:20Z,"Lots of good work is going on, and companies are making more commitments. But current activity and statements without action just won't get us to 2030, says @JessicaLongdev, discussing #GlobalGoals research via @HarvardBiz//t.co/FBe9dnT2KY",FALSE,FALSE,NA,GlobalGoals
Mark A. Knickrehm,1180241190467321856,2019-10-04T22:00:02Z,Here's why Infusing whole-brain #leadership with intellectual humility is so important.//t.co/QJSCziH09m,FALSE,FALSE,NA,leadership
Mark A. Knickrehm,1180195890193211394,2019-10-04T19:00:01Z,@AccentureStrat's @peterlacy talks to @businessinsider about how CEOs are not content with current business contribution to the #GlobalGoals and the change that's needed to drive progress @globalcompact//t.co/2OVK00xwWp,FALSE,FALSE,2273413484,GlobalGoals
Mark A. Knickrehm,1180150595824603137,2019-10-04T16:00:02Z,.@AccentureStrat's @peterlacy highlights that it's time for leaders to ensure the #GlobalGoals are firmly embedded in corporate #strategy and company purpose via @Forbes//t.co/6JkOA8MsHx,FALSE,FALSE,NA,GlobalGoals
Mark A. Knickrehm,1180150595824603137,2019-10-04T16:00:02Z,.@AccentureStrat's @peterlacy highlights that it's time for leaders to ensure the #GlobalGoals are firmly embedded in corporate #strategy and company purpose via @Forbes//t.co/6JkOA8MsHx,FALSE,FALSE,NA,strategy
Mark A. Knickrehm,1180105294979969025,2019-10-04T13:00:02Z,Chapter 10 in #TheBigZero is where #ZBx theory springs into actionthe execute initiatives phase. Find out how in our latest article by author Chris Roark.//t.co/4GQh6Eyuuj,FALSE,FALSE,NA,TheBigZero
Mark A. Knickrehm,1180105294979969025,2019-10-04T13:00:02Z,Chapter 10 in #TheBigZero is where #ZBx theory springs into actionthe execute initiatives phase. Find out how in our latest article by author Chris Roark.//t.co/4GQh6Eyuuj,FALSE,FALSE,NA,ZBx
Mark A. Knickrehm,1179913653912514560,2019-10-04T00:18:31Z,Just what the #CircularEconomy needed: #Blockchain puts recycling logistics in motion.//t.co/yV7X3VmoP9,FALSE,FALSE,NA,CircularEconomy
Mark A. Knickrehm,1179913653912514560,2019-10-04T00:18:31Z,Just what the #CircularEconomy needed: #Blockchain puts recycling logistics in motion.//t.co/yV7X3VmoP9,FALSE,FALSE,NA,Blockchain
Mark A. Knickrehm,1179097856365486082,2019-10-01T18:16:50Z,"Here's how CEOs can break through the status quo to raise corporate ambition, collaborate in new ways and elevate the responsibility of leaders to advance the #GlobalGoals.//t.co/vksflmsykJ",FALSE,FALSE,NA,GlobalGoals
Mark A. Knickrehm,1179083140578471937,2019-10-01T17:18:21Z,"Our @Mark_Knickrehm shares how CEOs can break through the status quo to raise corporate ambition, collaborate in new ways and elevate the responsibility of leaders to advance the #GlobalGoals.//t.co/pNezapbc6o//t.co/aJ5oYRLziv",FALSE,TRUE,NA,NA
Mark A. Knickrehm,1177294824669499392,2019-09-26T18:52:13Z,"CEOs say business contribution to the 2030 Agenda for Sustainable Development is not on track, according to a new study from the United United Nations Global Compact and Accenture Strategy #GlobalGoals//t.co/V60dknJMnQ",FALSE,FALSE,NA,GlobalGoals
