name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Mike Gregoire,1027524083246878721,2018-08-09T11:56:46Z,Make Your Daughter Practice Math. She'll Thank You Later.//t.co/rQsL6jQ3fA,FALSE,FALSE,NA,NA
Mike Gregoire,1019672473338634240,2018-07-18T19:57:16Z,Workers need education and training to excel today and tomorrow. We enthusiastically support and promote @bizroundtable's Workforce Partnership Initiative because they are driving opportunities. Learn more://t.co/baW2GXshl5,FALSE,FALSE,NA,NA
Mike Gregoire,1016716600987340800,2018-07-10T16:11:42Z,"We care about our #customers and #communities, #people and the #planet - all crucial for business and the world. See our #Sustainability report for more info.//t.co/mAe8yh5EsM",FALSE,FALSE,NA,customers
Mike Gregoire,1016716600987340800,2018-07-10T16:11:42Z,"We care about our #customers and #communities, #people and the #planet - all crucial for business and the world. See our #Sustainability report for more info.//t.co/mAe8yh5EsM",FALSE,FALSE,NA,communities
Mike Gregoire,1016716600987340800,2018-07-10T16:11:42Z,"We care about our #customers and #communities, #people and the #planet - all crucial for business and the world. See our #Sustainability report for more info.//t.co/mAe8yh5EsM",FALSE,FALSE,NA,people
Mike Gregoire,1016716600987340800,2018-07-10T16:11:42Z,"We care about our #customers and #communities, #people and the #planet - all crucial for business and the world. See our #Sustainability report for more info.//t.co/mAe8yh5EsM",FALSE,FALSE,NA,planet
Mike Gregoire,1016716600987340800,2018-07-10T16:11:42Z,"We care about our #customers and #communities, #people and the #planet - all crucial for business and the world. See our #Sustainability report for more info.//t.co/mAe8yh5EsM",FALSE,FALSE,NA,Sustainability
Mike Gregoire,1011637854886195201,2018-06-26T15:50:34Z,We need better private public partnerships and real determination to solve the global problem of filling today's jobs. Technology can help bridge the gap. @FortuneMagazine #CEOInitiative,FALSE,FALSE,NA,CEOInitiative
Mike Gregoire,1011414043377057792,2018-06-26T01:01:13Z,Gearing up for the kickoff of the @FortuneMagazine #CEOInitiative.,FALSE,FALSE,NA,CEOInitiative
Mike Gregoire,1010260356948733952,2018-06-22T20:36:53Z,"@MikeGregoireCA had the opportunity to sit with Robert Reiss, Founder and CEO from The CEO Forum Group to talk about the growth of the application economy. Have a listen here://t.co/uBNgfuLdX0",FALSE,TRUE,NA,NA
Mike Gregoire,1010214690595713024,2018-06-22T17:35:25Z,Looking forward to participating at the @FortuneMagazine #CEOInitiative next week to talk about how CEOs can address one of the greatest challenges of our time: Training the workforce for the 21st Century.//t.co/fU2hYMlDl4,FALSE,FALSE,NA,CEOInitiative
Mike Gregoire,1010193595373154305,2018-06-22T16:11:36Z,My perspective is everybody should own their own data andhave an explicit understanding of what that data is being used for. -@MikeGregoireCA 10 Top CEOs Share Quotes About Our Digital Future://t.co/VxOHXRJWAw @Forbes,FALSE,TRUE,NA,NA
Mike Gregoire,1009092633988403201,2018-06-19T15:16:46Z,I am a father and I think @CAinc is a fantastic place to work!//t.co/lA6CaO9KvQ,TRUE,FALSE,NA,NA
Mike Gregoire,1009076761643151361,2018-06-19T14:13:42Z,#AIR2018 starts this Wednesday! Take a closer look at our line-up and see who's back! (1/2)//t.co/KUGosh8TLk,FALSE,TRUE,NA,AIR2018
Mike Gregoire,1009076637143588867,2018-06-19T14:13:12Z,#Agile is the way forward in a digital future. Take our Agile Maturity Assessment to see how your team measures up://t.co/ZJQjHyvgLI//t.co/xaZtCb2uve,FALSE,TRUE,NA,Agile
Mike Gregoire,1007644981564248066,2018-06-15T15:24:19Z,Thanks for having me on this morning @MariaBartiromo to talk about reskilling. #wef//t.co/OvQju6eLCN,TRUE,FALSE,NA,wef
Mike Gregoire,1007329114720821248,2018-06-14T18:29:10Z,AI-powered DevOps is how CA wants to reinvent software development and itself via @ZDNet,FALSE,FALSE,NA,NA
Mike Gregoire,1006949457643098115,2018-06-13T17:20:33Z,Congrats to Steve Jobs' amazing wife @laurenepowell who is redefining what impact philanthropy is. Her work with @collegetrack has changed the lives of thousands of kids and brought them to a world class education. //t.co/GSH1lYx1sw,FALSE,TRUE,NA,NA
Mike Gregoire,1006935192299294720,2018-06-13T16:23:52Z,"Great news! ""CA Technologies Named a Leader in Gartner Magic Quadrant for Project Portfolio Management, Worldwide"" //t.co/BewlQqS2I8 via @CAPPM",FALSE,TRUE,NA,NA
Mike Gregoire,1006596421179596800,2018-06-12T17:57:43Z,"Well stated, @danielnewmanUV. This will be an incredibly informative event on the critical topic of #automation. Don't miss it.//t.co/L7qvAGiq3j",TRUE,FALSE,NA,automation
Mike Gregoire,1006589095211143168,2018-06-12T17:28:36Z,We stressed the importance of businesses taking a more holistic approach to sourcing innovation to support modern software development at our #BuiltToChange Summit last week. Thank you @ctsmithiii from @DZone for this great piece!//t.co/VecpLMd3g0,FALSE,TRUE,NA,NA
Mike Gregoire,1006553389986140160,2018-06-12T15:06:43Z,"Being on the ground, talking to customers and doing the work. Good job, @jeremyrossbach and all of team @CAinc. Come see us at booth #2030. #CLUS.//t.co/20ouQzwiSu",TRUE,FALSE,NA,CLUS
Mike Gregoire,1005150939731329024,2018-06-08T18:13:53Z,Can DevOps Really Shift Everything 'To The Left'? via @forbes//t.co/kPUkZv6G66,FALSE,FALSE,NA,NA
Mike Gregoire,1004431844304011264,2018-06-06T18:36:27Z,"CA Technologies, IBM forge mainframe DevOps, cloud pact//t.co/Gs77k33b86 via @ZDNet & @ldignan",FALSE,FALSE,NA,NA
Mike Gregoire,1004365448639463424,2018-06-06T14:12:37Z,"Are you #BuiltToChange in the shifting technology landscape? We showcased the disruptive technology every enterprise needs for the future in an exclusive event yesterday in Santa Clara, CA. //t.co/8mAjHGUrQV",FALSE,TRUE,NA,BuiltToChange
