name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Mike Federle,1179765716779712512,2019-10-03T14:30:40Z,.@forbes expanded its partnership with @NuveenInv to highlight impact investors. We believe that we have a responsibility to use our powerful platforms to spark discussions that ensure more people have an equal opportunity for success.//t.co/jUjarW8oya,FALSE,FALSE,NA,NA
Mike Federle,1174782638588137473,2019-09-19T20:29:42Z,"Animals are the x-factor, says @JeffSimmons2050 of @Elanco to @Mike_Federle, @Forbes. We believe farmers and veterinarians can solve society's biggest issues. #ForbesAgTech",FALSE,TRUE,NA,NA
Mike Federle,1174686815820947459,2019-09-19T14:08:56Z,"Really enjoyed my conversation with @LandOLakesInc CTO @TeddyBekele at the #ForbesAgTech Summit in Indianapolis. We talked about innovation, connectivity, sustainability and how farmers are the ultimate entrepreneurs.//t.co/aJOXXEAWnz",TRUE,FALSE,NA,ForbesAgTech
Mike Federle,1174388561581416448,2019-09-18T18:23:46Z,Forbes is committed more than ever to using our powerful platforms to champion change and ensure that everyone has an equal chance to achieve success. w/@RandallLane //t.co/7SqNFaw8rq,FALSE,TRUE,NA,NA
Mike Federle,1174388529390071808,2019-09-18T18:23:39Z,"Listening, learning and the path forward for Inclusive Capitalism. w/ @moiraforbes //t.co/MdBhMJ53jJ",FALSE,TRUE,NA,NA
Mike Federle,1170735573948141575,2019-09-08T16:28:06Z,Opportunity Missed: Reflecting On The Lack Of Women On Our Most Innovative Leaders List via @forbes//t.co/VB1Xqk208f,FALSE,FALSE,NA,NA
Mike Federle,1170315304909643777,2019-09-07T12:38:06Z,"Exclusive: Feds Demand Apple And Google Hand Over Names Of 10,000+ Users Of A Gun Scope App via @forbes//t.co/caS2Drhh9P",FALSE,FALSE,NA,NA
Mike Federle,1159506002229768194,2019-08-08T16:45:48Z,The Chainsmokers And 21 Savage With Special Guest Normani To Kick Off Forbes Under 30 Summit Presente... via @forbes//t.co/GBb6OrjkH0,FALSE,FALSE,NA,NA
Mike Federle,1154463615627472896,2019-07-25T18:49:09Z,"Where The Unicorns RoamAgTech, FoodTech And The $9 Trillion Global Business//t.co/ssg5yrHXWH",FALSE,FALSE,NA,NA
Mike Federle,1152637067505152000,2019-07-20T17:51:06Z,"Watch how we gave back to four local organizations including @girlswritenow and @ProjectFIND_NYC, plus Camp Liberty and Joseph H. Brensiger School &lt;@JHB_ps17&gt; with @JerseyCares as part of @Forbes third-annual Day of Impact://t.co/T1ggzvw27U",FALSE,TRUE,NA,NA
Mike Federle,1135682446408736768,2019-06-03T22:59:29Z,"Storytelling is at the heart of what we do, and that mission is deeply rooted in one concept to celebrate those who have made it & champion those who aspire to. Congrats to all the honorees on our #SelfMadeWomen list including @LizElting who spoke at our #ForbesUncovered event",FALSE,FALSE,340304235,SelfMadeWomen
