name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Monique Villa,1153317566015791104,2019-07-22T14:55:09Z,Nazanin is now back in jail and totally desperate. The new government has to show more determination to free her than #TheresaMay who failed to do the right thing. #BorisJohnson must do what he knows he has to do to free her. #FreeNazanin,FALSE,FALSE,NA,TheresaMay
Monique Villa,1153317566015791104,2019-07-22T14:55:09Z,Nazanin is now back in jail and totally desperate. The new government has to show more determination to free her than #TheresaMay who failed to do the right thing. #BorisJohnson must do what he knows he has to do to free her. #FreeNazanin,FALSE,FALSE,NA,BorisJohnson
Monique Villa,1153317566015791104,2019-07-22T14:55:09Z,Nazanin is now back in jail and totally desperate. The new government has to show more determination to free her than #TheresaMay who failed to do the right thing. #BorisJohnson must do what he knows he has to do to free her. #FreeNazanin,FALSE,FALSE,NA,FreeNazanin
Monique Villa,1153316657370206208,2019-07-22T14:51:33Z,"We were right to be so worried for #FreeNazanin after she was taken to hospital last week under heavy pasdaran guard. She was handcuffed tightly, chained to her bed 24/7 and watched by a guard inside her small room the whole time. this is #torture",FALSE,FALSE,NA,FreeNazanin
Monique Villa,1153316657370206208,2019-07-22T14:51:33Z,"We were right to be so worried for #FreeNazanin after she was taken to hospital last week under heavy pasdaran guard. She was handcuffed tightly, chained to her bed 24/7 and watched by a guard inside her small room the whole time. this is #torture",FALSE,FALSE,NA,torture
Monique Villa,1151921945547608064,2019-07-18T18:29:28Z,Thank u Mr Soeaker//t.co/lOf98xrD7l,TRUE,FALSE,NA,NA
Monique Villa,1151916505099067392,2019-07-18T18:07:51Z,I am more and more worried for #FreeNazanin who gas been transferred to a psychiatric hospital in Tehran three days ago. Her damily came each day but were forbidden to see her by the revolutionary guards. What arevthey doing to her??? She must be freed and sent back to UK,FALSE,FALSE,NA,FreeNazanin
Monique Villa,1151914838869905409,2019-07-18T18:01:13Z,"Imagine a rape victim (male or female)found unconscious on street, but while the ambulance crew's checking vitals, the government is checking immigration status - insane? Yes. Happening now? Yes. Survivors of slavery are crime victims, they need help not incarceration. Go Vernon!//t.co/TlOnpPstsd",FALSE,TRUE,NA,NA
Monique Villa,1151914292498841605,2019-07-18T17:59:03Z,Three women in power looking happy to duscuss and work together//t.co/dEp2oa5Ezb,TRUE,FALSE,NA,NA
Monique Villa,1151913933252567040,2019-07-18T17:57:37Z,The reality of human trafficking in the UK; serious abuse & a vile trade in human exploitation. BBC News - Bedford sex trafficking inquiry: Teenagers rescued from property//t.co/udCxRAlbqn @waronslaveryorg @CasinaPioIV @MECPATHS @bindelj,FALSE,TRUE,NA,NA
Monique Villa,1151453905471062016,2019-07-17T11:29:38Z,"Reagan's last presidential speech paid tribute to immigrants: ""We lead the world because, unique among nations, we draw our people-our strength-from every country and every corner of the world. And by doing so we continuously renew and enrich our nation.""//t.co/trk9WZ2ko2",FALSE,TRUE,NA,NA
Monique Villa,1151077761924116480,2019-07-16T10:34:59Z,#FreeNazanin,FALSE,FALSE,851144778,FreeNazanin
Monique Villa,1151077760238063616,2019-07-16T10:34:58Z,The franco-iranian Fariba Afelkhah has been arrested in Iran exactly as Nazanin Zaghari Ratcliffe was taken hostage by the revolutionary guards three years and three months ago. European governments must act together and force Iran to free all their hostages #FreeNazanin//t.co/zzZlei5wH3,FALSE,FALSE,NA,FreeNazanin
Monique Villa,1150438509141999617,2019-07-14T16:14:49Z,"A wonderful guy indeed and a master player. I think we all love Federer, his resilience, his class and elegance//t.co/aPa7xb2Vew",TRUE,FALSE,NA,NA
Monique Villa,1149811248999129093,2019-07-12T22:42:18Z,"J'adore cette histoire. Anton Stolper est le digne fils de Sonia, qui crit brillamment pour Libration! Sa carrire est trace s'il ne juge oas le journalisme trop pass.//t.co/MTPIDTGuG4",TRUE,FALSE,NA,NA
Monique Villa,1149805548650618880,2019-07-12T22:19:39Z,How young people do ? and it's getting worse every year!//t.co/sxPzyGhYBM,TRUE,FALSE,NA,NA
Monique Villa,1148946625148182528,2019-07-10T13:26:36Z,"The thinner the Pakistani army's skin, the more compromised the country's democracy: three TV news channels are suddenly taken off the air after broadcasting an opposition leader's news conference.//t.co/zdEKSML4f6//t.co/5YuFAe4Ofd",FALSE,TRUE,NA,NA
Monique Villa,1146906908743409664,2019-07-04T22:21:30Z,This is a milestone in France journalism #MediapartLive #mediapart//t.co/kqlU6w7ELO,TRUE,FALSE,NA,MediapartLive
Monique Villa,1146906908743409664,2019-07-04T22:21:30Z,This is a milestone in France journalism #MediapartLive #mediapart//t.co/kqlU6w7ELO,TRUE,FALSE,NA,mediapart
Monique Villa,1146904869611159552,2019-07-04T22:13:24Z,That is really potentially game changing. Well done TRF!//t.co/CVtF5LVxm0,TRUE,FALSE,NA,NA
Monique Villa,1146822375486496769,2019-07-04T16:45:35Z,Live this one//t.co/L4Deniy4TW,TRUE,FALSE,NA,NA
Monique Villa,1146820481057734656,2019-07-04T16:38:04Z,"Oh, to Be Ivanka!//t.co/C4Gb4gLMkS The best article to read on this 4th July #unwantedivanka",FALSE,FALSE,NA,unwantedivanka
Monique Villa,1146819994786906113,2019-07-04T16:36:08Z,"Oh, to Be Ivanka!//t.co/C4Gb4gLMkS",FALSE,FALSE,NA,NA
Monique Villa,1146395450964156417,2019-07-03T12:29:09Z,Stunning!//t.co/UlzOCXbxsZ,TRUE,FALSE,NA,NA
Monique Villa,1146394615148404736,2019-07-03T12:25:49Z,Agree: where have British civility gone? So gross!//t.co/tq6YUsJkhY,TRUE,FALSE,NA,NA
Monique Villa,1145733758110380034,2019-07-01T16:39:49Z,Such a clever way to help the homeless! A must read//t.co/Bg0HN1ej8U,TRUE,FALSE,NA,NA
