name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Naser Haghamed,1181302953824653312,2019-10-07T20:19:06Z,"#Mirpur, AJ&K #earthquake response.//t.co/OqezNGyvmr",FALSE,TRUE,NA,Mirpur
Naser Haghamed,1181302953824653312,2019-10-07T20:19:06Z,"#Mirpur, AJ&K #earthquake response.//t.co/OqezNGyvmr",FALSE,TRUE,NA,earthquake
Naser Haghamed,1180946664485527557,2019-10-06T20:43:20Z,"Here are @IRWorldwide @IslamicReliefUK @IslamicReliefPK at their best, responding to a quake that is too small, it seems, to register much on Richter scale of international news - but huge for the victims. Great to see @englandcricket star Adil Rashid lending a hand too @TufailH//t.co/tNblHJjEXd",FALSE,TRUE,NA,NA
Naser Haghamed,1180896024715501568,2019-10-06T17:22:06Z,Huge credit to @Mamun24 for transforming the #volunteering experience at @IslamicReliefUK and working with @globalhad to develop @ILM_UK accreditation #FaithInspiredAction @IRWorldwide//t.co/sDxBH9JKul,FALSE,TRUE,NA,volunteering
Naser Haghamed,1180101364854267907,2019-10-04T12:44:25Z,EMERGENCY UPDATE: Alhamdulillah thanks to your donations our teams have been able to reach families desperately in need in #Pakistan in the aftermath of the devastating earthquake. Our teams are on the ground. Donate Now: //t.co/Jtof999EFx//t.co/E0nM1MHrli,FALSE,TRUE,NA,NA
Naser Haghamed,1179655044255367168,2019-10-03T07:10:54Z,Why it is important that we understand the value of the Charity sector. A joint paper from @ChtyCommission @FrontierEcon. With a foreword from @tinastowell @Gus_ODonnell //t.co/KNGn34rB1a,FALSE,TRUE,NA,NA
Naser Haghamed,1179409431798390786,2019-10-02T14:54:55Z,"We work closely with many communities in the frontline of the #climate emergency. Over the past weeks our staff and volunteers worldwide have been taking part in the global #ClimateStrikes, find out why://t.co/aUZR5pZy78 Stokholm, #Sweden//t.co/Eri1IF8x4u",FALSE,TRUE,NA,climate
Naser Haghamed,1176904301941317633,2019-09-25T17:00:26Z,"In partnership with PaRD, Islamic Relief hosted a discussion at the #UNGA yesterday highlighting the critical role of faith in tackling global #poverty. Thank you to all those who took part in the discussion://t.co/TvyGPt8Au1 #2030Agenda #SDGActionZone #Act4SDGs//t.co/Z303U9KhBp",FALSE,TRUE,NA,UNGA
Naser Haghamed,1176844759652081664,2019-09-25T13:03:50Z,"""Islamic social finance is an extensive and comprehensive solution to eradicating #poverty. In 2016, more than two sessions talked abut Islamic social finance and as a result, secular organisations are now using faith teachings to raise money"" - @NaserHaghamed #SDGActionZone//t.co/21juNLWXrL",FALSE,TRUE,NA,poverty
Naser Haghamed,1176840027067883520,2019-09-25T12:45:01Z,"Today we celebrate the 30th anniversary of the Convention on the Rights of the Child. Three decades ago, world leaders gathered to make a promise #ForEveryChild. A promise to protect their rights. #UNGA #ChildRights//t.co/Vj2XTkpLfJ",FALSE,TRUE,NA,NA
