name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Pat Gelsinger,1179062924469571585,2019-10-01T15:58:01Z,"I was honored to speak on a panel at the #Bloomberg Global Business Forum last week about #mentorship, #education, and empowering our youth as a driving force for the future. Check out my key takeaways from the session. @business//t.co/BKTn1jdJyQ",FALSE,FALSE,NA,Bloomberg
Pat Gelsinger,1179062924469571585,2019-10-01T15:58:01Z,"I was honored to speak on a panel at the #Bloomberg Global Business Forum last week about #mentorship, #education, and empowering our youth as a driving force for the future. Check out my key takeaways from the session. @business//t.co/BKTn1jdJyQ",FALSE,FALSE,NA,mentorship
Pat Gelsinger,1179062924469571585,2019-10-01T15:58:01Z,"I was honored to speak on a panel at the #Bloomberg Global Business Forum last week about #mentorship, #education, and empowering our youth as a driving force for the future. Check out my key takeaways from the session. @business//t.co/BKTn1jdJyQ",FALSE,FALSE,NA,education
Pat Gelsinger,1178761468055044096,2019-09-30T20:00:08Z,"With the rate of tech innovation, I can see a world where every experience has a digital component. This is a great new podcast from our team that takes a look at some of those experiences and the tech that makes them possible.//t.co/5TEq9f9O4a",FALSE,FALSE,NA,NA
Pat Gelsinger,1178368890696585216,2019-09-29T18:00:11Z,I think the message of Maranatha has echoed in the lives of everyone within our #faith community. Such a beautiful piece about a challenge we've all faced in our journey. Come Lord Come!//t.co/PICmQ5CvJv,FALSE,FALSE,NA,faith
Pat Gelsinger,1178051780766294023,2019-09-28T21:00:06Z,"This message definitely rings true for me. When working to prepare for the future, we must consider the several factors that distract us and tamper with our ability to focus and practice optimism.//t.co/EC7OO2ifrq",FALSE,FALSE,NA,NA
Pat Gelsinger,1177976302147706880,2019-09-28T16:00:10Z,Love the idea of encouraging #AI education at an early age. Such a great opportunity to teach children how this #technology works so that they can help shape its future.//t.co/VBxr1Laeo6,FALSE,FALSE,NA,AI
Pat Gelsinger,1177976302147706880,2019-09-28T16:00:10Z,Love the idea of encouraging #AI education at an early age. Such a great opportunity to teach children how this #technology works so that they can help shape its future.//t.co/VBxr1Laeo6,FALSE,FALSE,NA,technology
Pat Gelsinger,1177696946330460166,2019-09-27T21:30:07Z,"Fascinating research from @gatesfoundation. As we see new education and health advancements around the world, geography and gender still continue to play large roles in global inequality.//t.co/xFI9XUlIv1",FALSE,FALSE,NA,NA
Pat Gelsinger,1177621467112132609,2019-09-27T16:30:11Z,This is why #VMware and our partners in the #Cybersecurity #Techaccord are working together to shore up security tools and protect our customers. Our industry must do a MUCH better job to practice trust and accountability to defend customer data. //t.co/TgJA0jjkcP,FALSE,FALSE,NA,VMware
Pat Gelsinger,1177621467112132609,2019-09-27T16:30:11Z,This is why #VMware and our partners in the #Cybersecurity #Techaccord are working together to shore up security tools and protect our customers. Our industry must do a MUCH better job to practice trust and accountability to defend customer data. //t.co/TgJA0jjkcP,FALSE,FALSE,NA,Cybersecurity
Pat Gelsinger,1177621467112132609,2019-09-27T16:30:11Z,This is why #VMware and our partners in the #Cybersecurity #Techaccord are working together to shore up security tools and protect our customers. Our industry must do a MUCH better job to practice trust and accountability to defend customer data. //t.co/TgJA0jjkcP,FALSE,FALSE,NA,Techaccord
Pat Gelsinger,1177311929897050116,2019-09-26T20:00:12Z,This illustrates the real world impact of incremental changes we can all make to protect our planet. #ClimateChange//t.co/RlLztcbDY5,FALSE,FALSE,NA,ClimateChange
Pat Gelsinger,1177243965617319937,2019-09-26T15:30:08Z,Great new feature about the International Committee of the Red Cross' director and how she's implementing #digitaltransformation to reshape humanitarian relief. #techforgood//t.co/52MnuVufXK,FALSE,FALSE,NA,digitaltransformation
