name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
R Meléndez-Ortiz,1181588678432448512,2019-10-08T15:14:28Z,David Attenborough says we can save the oceans from over-fishing if we do this one thing. Read more://t.co/ZWYs9cxTsY #SustainableWorld #ShareOurPlanet @wwf @friendsofocean @ourplanet//t.co/rKbF1rXxrQ,FALSE,TRUE,NA,NA
R Meléndez-Ortiz,1181220995761393664,2019-10-07T14:53:26Z,"Plastic pollution is not just an oceans issue. It's a climate issue and it's a human health issue, Today, about 4-8% of annual global oil consumption is associated with plastics By 2050 plastics will account for 20% of oil consumption if we don't act//t.co/9qKKLc7kDJ",FALSE,TRUE,NA,NA
R Meléndez-Ortiz,1181209547366682625,2019-10-07T14:07:56Z,The silver bullet to greening the global economy is carbon pricing. But the trick is getting the politics right. Ex-head of the @wto Pascal Lamy at the International Trade Centre's #T4SDForum 2019 Facebook//t.co/jEXYdy7oDj #NoPlanetB//t.co/fplj9pEixq,FALSE,TRUE,NA,NA
R Meléndez-Ortiz,1181176446045315072,2019-10-07T11:56:24Z,Ending harmful fisheries subsidies is one of the single greatest actions governments can take to restore the health of the ocean. #SDG14 @WTO//t.co/ifeeyh7HVO,FALSE,TRUE,NA,NA
R Meléndez-Ortiz,1179791942223372288,2019-10-03T16:14:53Z,"Sure, transatlantic trade relations aren't all rainbows & kittens, but let's dial back the AIRBUS-BOEING TRADE WAR thing. The US & the EU, esp the EU, are actually pulling their punches quite a bit. Me (& @JamesPoliti) in today's Free Trade newsletter.//t.co/SOFnn4Liia",FALSE,TRUE,NA,NA
R Meléndez-Ortiz,1179310532609921024,2019-10-02T08:21:56Z,@wto @Airbus @business The U.S. tariffs could go into effect as soon as mid-October. While it's possible the U.S. and the EU could come to an agreement before then @MalmstromEU says it's not likely. She says the U.S. is not engaging and wants to impose tariffs first. //t.co/u2n1hGvtpo,FALSE,TRUE,NA,NA
R Meléndez-Ortiz,1179082766245416966,2019-10-01T17:16:52Z,"In many countries, a growing amount of electricity comes from wind & solar. Increasing that share is key for energy transitions so is enabling power grids & markets to adapt. This is the focus of @IEA & @BMWi_Bund's global ministerial meeting Tuesday//t.co/IE4ZaXDgzQ//t.co/U1FEPtMtSD",FALSE,TRUE,NA,NA
R Meléndez-Ortiz,1179024708546813952,2019-10-01T13:26:10Z,My message at the #Trade4Her Confernce organized by @Trade_EU today at the end of the day it is not just abt trade measures but rather measures that the trade community can take 2 better mainstream women n international trade @ITCnews @TradeExperettes//t.co/fG6GmflvHe//t.co/oPhpy1OBM6,FALSE,TRUE,NA,Trade4Her
R Meléndez-Ortiz,1179023762525696001,2019-10-01T13:22:24Z,"The EU and its Member States are defending rules-based #trade and negotiating new agreements to further facilitate trade. And we will reap the fruits of this cooperation in the coming years, writes Pasi-Heikki Vaaranmaa @vaaranpa @Ulkoministerio #EU2019FI//t.co/FRNY7oomnm",FALSE,TRUE,NA,trade
R Meléndez-Ortiz,1179022961031995397,2019-10-01T13:19:13Z,"It's 3rd year in a row that #WTO lowers expectations for global #trade growth, broadly reflecting bleak views from the WB, the IMF & OECD. WTO: further rounds of tariffs and retaliation could produce a destructive cycle of recrimination. @bbaschuk//t.co/8gC8EFYrfj//t.co/ojsNqsDcRa",TRUE,FALSE,NA,WTO
R Meléndez-Ortiz,1179022961031995397,2019-10-01T13:19:13Z,"It's 3rd year in a row that #WTO lowers expectations for global #trade growth, broadly reflecting bleak views from the WB, the IMF & OECD. WTO: further rounds of tariffs and retaliation could produce a destructive cycle of recrimination. @bbaschuk//t.co/8gC8EFYrfj//t.co/ojsNqsDcRa",TRUE,FALSE,NA,trade
R Meléndez-Ortiz,1177783893740675072,2019-09-28T03:15:37Z,China's top diplomat warns the trade war could plunge the world into a recession//t.co/hvGhR2ZLXP,FALSE,TRUE,NA,NA
