name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Richard Lumb,1091350387708317696,2019-02-01T14:59:43Z,Your friends and family @Accenture will miss you very much @PierreNanterme. We says cheers and thank you for the superb leadership and guidance you provided to all of us. Working with you was truly epic!//t.co/TUkVkT5QOM,FALSE,FALSE,NA,NA
Richard Lumb,1088804800282677249,2019-01-25T14:24:28Z,"When it comes to #digitaltransformation, ''We've been on a path to make things simpler, better & faster,'' says @HSBC's Andy Maguire. Watch him talk with our @RichardLumb1 at #WEF19.//t.co/yh3yZf8O0i",FALSE,FALSE,NA,digitaltransformation
Richard Lumb,1088804800282677249,2019-01-25T14:24:28Z,"When it comes to #digitaltransformation, ''We've been on a path to make things simpler, better & faster,'' says @HSBC's Andy Maguire. Watch him talk with our @RichardLumb1 at #WEF19.//t.co/yh3yZf8O0i",FALSE,FALSE,NA,WEF19
Richard Lumb,1088473088755490816,2019-01-24T16:26:21Z,"Scarce resources are always the most highly prized, and right now there is a serious worldwide shortage of trust. It's time for a trust turnaround.//t.co/5qxDqyFA2q #WEF19 #InternetOfTrust",FALSE,FALSE,NA,WEF19
Richard Lumb,1088473088755490816,2019-01-24T16:26:21Z,"Scarce resources are always the most highly prized, and right now there is a serious worldwide shortage of trust. It's time for a trust turnaround.//t.co/5qxDqyFA2q #WEF19 #InternetOfTrust",FALSE,FALSE,NA,InternetOfTrust
Richard Lumb,1088472916285710337,2019-01-24T16:25:40Z,Enjoyed a candid chat with @HSBC's Andy Maguire on #digitaltransformation in banking here at #WEF19. Key point: human empathy can be supported by #AI but tech cannot replace people - they are the best ''app'' for relationship management.//t.co/ulhxqn2Pjy,FALSE,FALSE,NA,digitaltransformation
Richard Lumb,1088472916285710337,2019-01-24T16:25:40Z,Enjoyed a candid chat with @HSBC's Andy Maguire on #digitaltransformation in banking here at #WEF19. Key point: human empathy can be supported by #AI but tech cannot replace people - they are the best ''app'' for relationship management.//t.co/ulhxqn2Pjy,FALSE,FALSE,NA,WEF19
Richard Lumb,1088472916285710337,2019-01-24T16:25:40Z,Enjoyed a candid chat with @HSBC's Andy Maguire on #digitaltransformation in banking here at #WEF19. Key point: human empathy can be supported by #AI but tech cannot replace people - they are the best ''app'' for relationship management.//t.co/ulhxqn2Pjy,FALSE,FALSE,NA,AI
Richard Lumb,969154272024657921,2018-03-01T10:15:59Z,"Fintech funding quadruples in UK, despite Brexit.//t.co/VGc1F0gx7P",FALSE,FALSE,NA,NA
Richard Lumb,955080202970910721,2018-01-21T14:10:39Z,"Looking forward to #WEF18 for @Accenture -- where I'm sure #FutureWorkforce, #AppliedIntelligence, will be big topics. Excited to be co-hosting with BankofAmerica a session on Responsible AI in banking",FALSE,FALSE,NA,WEF18
