name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Andrew Robertson,1180191335216746497,2019-10-04T18:41:55Z,"@LynneBiggar @Visa Hey, it's a living . Everywhereyouwanttobe",FALSE,FALSE,943903111118069760,NA
Andrew Robertson,1136234564106350592,2019-06-05T11:33:24Z,@LynneBiggar @Adweek Congrats !!!,FALSE,FALSE,943903111118069760,NA
Andrew Robertson,1120767976851030019,2019-04-23T19:14:43Z,Not bad for an agency thatdoes tv//t.co/fRiRB72QxP,TRUE,FALSE,NA,NA
Andrew Robertson,1112698392877109253,2019-04-01T12:49:04Z,Why I love college hoops//t.co/Sb4BUyP6Gd,TRUE,FALSE,NA,NA
Andrew Robertson,1110946689551077378,2019-03-27T16:48:25Z,Fun stuff: Brexit the EU. Brenter the AU. @BudgySmuggler @clemengerBBDO @AMV_BBDO //t.co/dVJLHYlsle #JointheAU #agency,FALSE,TRUE,NA,JointheAU
Andrew Robertson,1110946632336621569,2019-03-27T16:48:12Z,"Congratulations to #BBDOPakistan CD Hira Mohibullah Amin, who has been selected as one of this year's 15 @Cannes_Lions #SeeItBeIt creative women finalists; @SHOOTonline//t.co/n5jbGtCBLT #agency//t.co/WVPHHxaiIp",FALSE,TRUE,NA,BBDOPakistan
Andrew Robertson,1107640972396150786,2019-03-18T13:52:41Z,"World Advertising Research Center Best of the Best rankings have BBDO Worldwide as #1 network and BBDO New York as #1 agency. Proud of , and grateful to, people and clients//t.co/fxsb0gVrW4",FALSE,FALSE,NA,NA
Andrew Robertson,1106233158251499522,2019-03-14T16:38:32Z,ImpactBBDO wins Agency of the Year and BBDO wins Network of the Year at Lynx awards in Dubai. Congratulations and thanks to our people and clients//t.co/6ANjG0uZE9,FALSE,FALSE,NA,NA
Andrew Robertson,1085608253856337921,2019-01-16T18:42:32Z,@AaronMSanchez Sliderule,FALSE,FALSE,16547087,NA
Andrew Robertson,1048383361578934272,2018-10-06T01:24:06Z,@LynneBiggar @BBDOWorldwide Thank you !!!,FALSE,FALSE,943903111118069760,NA
Andrew Robertson,1042502573528371200,2018-09-19T19:55:56Z,"@rishad I think it is missing space , and ecosystem .",FALSE,FALSE,17663164,NA
Andrew Robertson,1042406973973704709,2018-09-19T13:36:04Z,@LynneBiggar Very nice!,FALSE,FALSE,943903111118069760,NA
Andrew Robertson,1038878359219052544,2018-09-09T19:54:36Z,congrats to @BBDONY + @ProcterGamble on their well deserved win for outstanding commercial. an important one to watch! #Emmys2018 #CreativeArtsEmmys//t.co/DwYgysBlOR,FALSE,TRUE,NA,NA
