name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Svein R Brandtzæg,1177583177193398277,2019-09-27T13:58:02Z,Tidligere Hydro-sjef skal lede distriktsnringsutvalg | DN//t.co/HOdEvRl55D Dette arbeidet ser jeg fram til ta fatt p. Takk for utfordringen @konservativ @Regjeringen,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1175404235049054209,2019-09-21T13:39:42Z,Jeg lytter selvsagt til norges dyktigste kommunikasjonssjef//t.co/1KR21ivTCI,TRUE,FALSE,NA,NA
Svein R Brandtzæg,1175323185799147520,2019-09-21T08:17:38Z,"@ingersethov @NorskHydroASA @Komforeningen Gratulerer, Inger! Takk til deg og hele kommunikasjons organisasjonen i @NorskHydroASA",FALSE,TRUE,NA,NA
Svein R Brandtzæg,1175310087986040832,2019-09-21T07:25:35Z,"@ingersethov @NorskHydroASA @Komforeningen Gratulerer, Inger! Takk til deg og hele kommunikasjons organisasjonen i @NorskHydroASA",FALSE,FALSE,66299380,NA
Svein R Brandtzæg,1175309822692069376,2019-09-21T07:24:32Z,Vinneren av penhetsprisen 2019 er Hydro - for deres hndtering av dataangrepet de ble utsatt for og deres penhet rundt dette De som tar i mot prisen er Inger Sethov - konserndirektr for kommunikasjon og Halvor Molland - informasjonsdirektr. Gratulerer!//t.co/F51GIACAc0,FALSE,TRUE,NA,NA
Svein R Brandtzæg,1172941715008892928,2019-09-14T18:34:31Z,Forskings-Noreg viser fram kule ting//t.co/RJFsQhCeIu Takk for kreativt initiativ fra @UiBrector_Olsen @UiB,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1172526367226789888,2019-09-13T15:04:05Z,"Jeg burde feire, men har i stedet en ekkel flelse//t.co/HkOtHuPI5T En pen og rlig skrevet artikkel. Du representerer flere enn deg selv i denne artikkelen s jeg vil nske deg deg og dine kolleger som sliter seg gjennom et viktig bidrag til forskningen LYKKE TIL videre.",FALSE,FALSE,NA,NA
Svein R Brandtzæg,1171515530592673793,2019-09-10T20:07:22Z,Carlos Moedas etterlyser interesse for forskning//t.co/HEQnIgF1rk Grunn til bekymring dersom de store EU landene ikke viser tilstrekkelig interesse for forskning. Vi er avhengig av fremragende forskning for langsiktig og brekraftig verdiskaping @NTNU @IselinNybo,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1171038906353168385,2019-09-09T12:33:26Z,"Transparency wins. Thank you for your support and leadership in the recent Cyber-Attack on Hydro, @SRBrandtzag//t.co/cSyGKsbZq3",FALSE,TRUE,NA,NA
Svein R Brandtzæg,1171034182711222272,2019-09-09T12:14:40Z,Stoppet hackerangrep mot flere norske selskaper. Hackerne som lammet Hydro var i gang med forberedelser til angrep mot flere norske og utenlandske selskaper. Hydros egne bevis frte til at politi og sikkerhetsmyndigheter avverget angrepene. Viktig med penhet omkring realitetene.,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1169240849403777025,2019-09-04T13:28:36Z,Meget bra at regjeringen srger for at Elgsetergt 10 n blir realisert @IselinNybo @Regjeringen @ntnu//t.co/DCnR68CtXe,TRUE,FALSE,NA,NA
Svein R Brandtzæg,1168916677939081216,2019-09-03T16:00:28Z,NTNU-forsker tildelt millionstipend fra EU//t.co/xgszqPrO1e Gratulerer Verones! Industriell kologi er viktig innenfor flere omrder i tillegg til menneskets innvirkning p havet.,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1167460080935145477,2019-08-30T15:32:28Z,Viktig at @Regjeringen satser p videre utvikling av kompetanse og teknologi @NTNU - Kunnskap for en bedre verden!//t.co/JLat6Hq36V,TRUE,FALSE,NA,NA
Svein R Brandtzæg,1165307820759224320,2019-08-24T17:00:09Z,P veg til Bjellandsbu ved krafjorden ca 1000 moh.//t.co/10xsK422ga,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1164592417485574144,2019-08-22T17:37:24Z,Jeg ser fram til godt samarbeid med viktige aktrer som vil bidra til innholdet i Energisk verdiskapning @polyteknisk @MetteTweets @SilvijaSeres @lonorge @NHO_no @Statkraft @NorskHydroASA @yara @Statnett @EquinorASA @GroupeEramet @NTNU @energiteknikk @forskningsradet @WWFNorge//t.co/vsF7JNppYz,TRUE,FALSE,NA,NA
Svein R Brandtzæg,1162719331475689473,2019-08-17T13:34:25Z,"Fullfrt Skla opp p 2 timer 25 min. Ikke akkurat eliteklassen, men flott naturopplevelse i regn og kuling p toppen 1848 m.o.h.//t.co/Ih21zVYvZ1",FALSE,FALSE,NA,NA
Svein R Brandtzæg,1162362800221630465,2019-08-16T13:57:41Z,Som styreleder ved @NTNU fikk jeg idag melding fra @GunnarBovim om han nsker trekke seg som rektor. Stor takk til Gunnar for solid ledelse i hans 6 aktive r p toppen av vrt universitet. Lykke til Anne Borg som konstituert rektor og overtar stillingen onsdag neste uke.,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1162063195038781440,2019-08-15T18:07:10Z,German downturn piles on pressure to relax fiscal rules//t.co/8ZeVblLoLu via @financialtimes,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1159008007436623872,2019-08-07T07:46:56Z,Derfor er det ikke smart vente med ny campus//t.co/1PAll27rpM,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1158753509963182080,2019-08-06T14:55:40Z,UiO best av de norske p ny rangering//t.co/4VX5HJZyPi Gratulerer @UniOslo for flott plassering og @NTNU for sterk forbedring siden sist. Viktig for Norge at vi har internasjonalt ledende fagmiljer her til lands. St p videre!,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1155421992100569089,2019-07-28T10:17:24Z,Enda en flott dag i Stlsheimen - her ser vi ned mot Solrenningsvatnet etter en 17 km tur fra Ortnevik og &gt;1500 hydemeter. Stlsdriften her ble avsluttet i 1936 og var en av norges strste. Dessuten nord europas dypeste myr !//t.co/C1JPAkTJ4c,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1155418593217175552,2019-07-28T10:03:53Z,"@DN_no : Jeg tror mange henger fast i oppfatningen fra 90-tallet om at dette er en industri i solnedgang' God artikkel av Kre Bjarte Bjelland, @GroupeEramet vedr kraftforedlende industri, arbeidsplasser og verdiskapning i Norge @NorskIndustri @lonorge",FALSE,FALSE,14224622,NA
Svein R Brandtzæg,1154503308964319232,2019-07-25T21:26:53Z,#sustainable aluminium for @AudiOfficial e-tron! We are very proud to deliver ASI-certified aluminium to one of Audi's flagships. Read the story here://t.co/C7f6Xq2ncl @Aluminium_S_I #aluminiumbyhydro Photo: Audi//t.co/apXaHm7npl,FALSE,TRUE,NA,sustainable
Svein R Brandtzæg,1154430812017909760,2019-07-25T16:38:48Z,NTNU-konsortier fr sttte fra EU//t.co/RLgzERnAIm Gratulerer @NTNU,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1152140732351864833,2019-07-19T08:58:50Z,"-To sit down and talk is by far the simplest, most important and most efficient way to create peace. @LivToerres. Today, we are unveiling #TheBestWeapon @ @UN. Collaboration between the @NobelPeaceOslo, @snohetta, @NorskHydroASA. & @vestrefurniture. : K.S. Andersen & B. vreb//t.co/NahGXiG85W",FALSE,TRUE,NA,NA
Svein R Brandtzæg,1151471445660372993,2019-07-17T12:39:20Z,Fjelltur i Stlsheimen med Sognefjorden i bakgrunnen. God trening fr topptur arrangementet Skla opp (1800 m.o.h.) den 17. august.//t.co/6ClD8ZLI2j,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1151184415621599232,2019-07-16T17:38:47Z,Ursula von der Leyen blir ny EU-kommisjonssjef//t.co/kqCLdyUMwB,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1147907669254127617,2019-07-07T16:38:10Z,The annual costs of international corruption amount to a staggering $3.6 trillion in the form of bribes and stolen money. Corruption is one of the biggest impediments to achieving the 2030 Sustainable Development Goals.//t.co/22qlylBwW2,FALSE,TRUE,NA,NA
Svein R Brandtzæg,1147765108233383936,2019-07-07T07:11:40Z,Bredde som fortrinn//t.co/aHK1RnMEBn Viktigheten av mangfold i kunnskap og forskning p Universitetene br ikke undervurderes. Denne artikkelen belyser styrken i breddeuniversiteter som @UniOslo @NTNU @UiB. Hva med insentiver for satsing p tvers av fag ?,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1147194658335928320,2019-07-05T17:24:55Z,@UiBrector_Olsen @UiB @ThomsonFiji @HaraldTom @IselinNybo @IAU_AIU @NFdep Congratulations !,FALSE,FALSE,192889718,NA
Svein R Brandtzæg,1147108985583128576,2019-07-05T11:44:29Z,Norske universiteter klatrer p verdenskring//t.co/uoegDcUeKG Gratulerer @UniOslo for en flott plassering. Bra at @UiB og @NTNU ogs forbedrer posisjonen. Selv om denne kringen ikke gir fasitsvaret er det viktig at norske univeriteter hevder seg i verdenstoppen.,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1146886352056852480,2019-07-04T20:59:49Z,Kunsten koble kunnskap og kommers | DN//t.co/u7t3KKy9wr Magnus Langseth sitt forskningsmilj ved @NTNU er blant verdens ledende. Viktig problemstilling tas opp her i denne artikkelen. Langsiktig satsing p forskning gir resultater i verdensklasse.,FALSE,FALSE,NA,NA
Svein R Brandtzæg,1143616357046652928,2019-06-25T20:26:01Z,"The company's response is being described as ""the gold standard"" by law enforcement organisations. Well done to @ICMM_com member @NorskHydroASA for their response to a malicious ransomware attack//t.co/6g0Spc3raI #mining",FALSE,TRUE,NA,NA
Svein R Brandtzæg,1141429700490878978,2019-06-19T19:37:01Z,Sting in Trondheim. An excellent evening concert after #bigchallenge @NTNU with 2500 NTNU employees.//t.co/aSoVRuAJTp,FALSE,FALSE,NA,bigchallenge
Svein R Brandtzæg,1141393909781815296,2019-06-19T17:14:48Z,#bigchallenge @NTNU Science Festival. Will it be possible to replicate Photosynthesis? May be the most productive process on earth. Look to @NTNU Knowledge for a better World.//t.co/pv9Z2q2I72,FALSE,FALSE,NA,bigchallenge
Svein R Brandtzæg,1140646169988739073,2019-06-17T15:43:33Z,"And whether we shall meet again I know not. Therefore our everlasting farewell take: For ever, and for ever, farewell, If we do meet again, why, we shall smile; If not, why then, this parting was well made. Photo: Kai T. Dragland/ #NTNU, #BigChallenge @stephenfry @ThomasSeltzer//t.co/2r4fxz9kPp",FALSE,TRUE,NA,NA
Svein R Brandtzæg,1140560954289283074,2019-06-17T10:04:56Z,European Commission must prioritise delivery of #5G and digitalisation according to Europe's leading industrialists. Read about @ert_eu 's latest Economic #Confidence Survey here://t.co/gIKgIHykv2 #Innovation #FutureOfEurope @Digital_eu #EUBEF19//t.co/waRSgk0Odg,FALSE,TRUE,NA,5G
Svein R Brandtzæg,1140357615576371200,2019-06-16T20:36:57Z,The power of fertility can potentially shift the global geopolitical situation says Christopher J.L. Murray #bigchallenge looking into the future with the worlds biggest health examinination (GBD)//t.co/vtTryn8CGc,FALSE,TRUE,NA,bigchallenge
Svein R Brandtzæg,1140352863593480193,2019-06-16T20:18:04Z,Edward Snowden advarer mot Facebook og Google | DN//t.co/nr51pfqQzh #BigChallenge,FALSE,FALSE,NA,BigChallenge
Svein R Brandtzæg,1140312714989977606,2019-06-16T17:38:31Z,"@GunnarBovim @adressa @NTNU Meget bra, Gunnar! Lykke til videre med #BigChallenge",FALSE,FALSE,248772914,BigChallenge
Svein R Brandtzæg,1139552565857796096,2019-06-14T15:17:58Z,We all know that the mission for net zero emissions is challenging. #Builders and #Architects check out this article on Circal 75R supporting the highest #Sustainability targets. Read more://t.co/NVURme3Q5F//t.co/TAuSAE8weq,FALSE,TRUE,NA,Builders
Svein R Brandtzæg,1139552565857796096,2019-06-14T15:17:58Z,We all know that the mission for net zero emissions is challenging. #Builders and #Architects check out this article on Circal 75R supporting the highest #Sustainability targets. Read more://t.co/NVURme3Q5F//t.co/TAuSAE8weq,FALSE,TRUE,NA,Architects
Svein R Brandtzæg,1130941096006213632,2019-05-21T20:59:03Z,"Congratulations, Karen Keskulla Uhlenbeck! Today, she was awarded the #AbelPrize as the first female laureate from HM The King of Norway.//t.co/hA0qaZ6Kfj",FALSE,TRUE,NA,AbelPrize
Svein R Brandtzæg,1130941083964383232,2019-05-21T20:59:00Z,"Menn dominerer fortsatt i toppen av brsnoterte selskaper, men andelen av verdiene p Oslo Brs som n styres av kvinnelige sjefer har skutt i vret og flere kvinner sitter som toppsjefer og mange kvinner leverer resultater i milliardklassen. //t.co/aow5Bmz9ar",FALSE,TRUE,NA,NA
Svein R Brandtzæg,1130940544123899905,2019-05-21T20:56:52Z,A great relief for all hardworking Hydro employees that have navigate the storm after the rainstorm in Brasil last year!//t.co/KAr2EEtGC7,FALSE,TRUE,NA,NA
