name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Sander van 't Noordende,1167671506886909953,2019-08-31T05:32:36Z,Could not agree more with my friend @RichardLumb1....Accenture is all about our clients and our people. Thanks Richard for all your contributions to Accenture!!//t.co/eOJcpenMXI,FALSE,FALSE,NA,NA
Sander van 't Noordende,1145727168762265601,2019-07-01T16:13:38Z,"Building a sense of belonging in not only an ethical imperative for CEOs, it must be a critical business priority. Read my latest blog to find out why.//t.co/124EXgdxec",FALSE,FALSE,NA,NA
Sander van 't Noordende,1144617192790511617,2019-06-28T14:42:59Z,Sometimes taking a risk works out very well Glad I was at the right company and I still am. We want to be an Accenture that belongs to our people and where our people belong.......//t.co/UwdhyysVMv,FALSE,FALSE,NA,NA
Sander van 't Noordende,1142395512139784193,2019-06-22T11:34:49Z,"In honor of #Stonewall50, we hosted the Equality for All: Pride Celebration with our people, clients and #LGBT partners to celebrate our history and accelerate getting to equal. #PrideAtAccenture @MonicaLBoll @robsmithnyc @nataliejegan @HoudartUN @NellieBor @goingglobal101//t.co/VVWRaPHbrT",FALSE,TRUE,NA,Stonewall50
Sander van 't Noordende,1142395512139784193,2019-06-22T11:34:49Z,"In honor of #Stonewall50, we hosted the Equality for All: Pride Celebration with our people, clients and #LGBT partners to celebrate our history and accelerate getting to equal. #PrideAtAccenture @MonicaLBoll @robsmithnyc @nataliejegan @HoudartUN @NellieBor @goingglobal101//t.co/VVWRaPHbrT",FALSE,TRUE,NA,LGBT
Sander van 't Noordende,1142129240386809856,2019-06-21T17:56:45Z,Being out in the workplace matters! Some incredible stories here...but you don't have to be an exec to be a role model because we all are! Many thanks Bloomberg for featuring this article.//t.co/udyXIv072z,FALSE,FALSE,NA,NA
Sander van 't Noordende,1137535765624365056,2019-06-09T01:43:55Z,"This #Pride2019, our @andrewxwilson reflects on the many efforts Accenture takes to foster a culture of equality and offers a roadmap to a more inclusive workplace. #PrideAtAccenture//t.co/pH803pXR1g//t.co/YHPlqW8TRr",FALSE,TRUE,NA,Pride2019
Sander van 't Noordende,1130424849418149889,2019-05-20T10:47:41Z,The next phase in our market leading Life Sciences practice!! Very exciting!//t.co/Z1Kjz86r8C,FALSE,FALSE,NA,NA
Sander van 't Noordende,1120746299920396289,2019-04-23T17:48:35Z,Taking risks can turn into great results! A pleasure to join @StaceyJonesACN and @Accenture colleagues and clients at our NYC #IWD2019 celebration.//t.co/ZZq5LdYoLi,TRUE,FALSE,NA,IWD2019
Sander van 't Noordende,1111761425016459266,2019-03-29T22:45:53Z,"When you're visible, everyone sees more. In honor of Transgender Day of Visibility, we celebrate the LGBT community and reaffirm our commitment to foster equality and belonging in the workplace. #TDOV #PrideAtAccenture//t.co/iob0SxzTF6//t.co/ujtt11HQN5",FALSE,TRUE,NA,NA
Sander van 't Noordende,1103033727289036801,2019-03-05T20:45:08Z,Welcome to the team ESP folks!//t.co/ZG9ywf1YiK,FALSE,FALSE,NA,NA
Sander van 't Noordende,1098906610309783552,2019-02-22T11:25:27Z,Honored to be in the colorful top 10 in The Netherlands! Great group to be part of. #DeKleurrijkeTop100 Many thanks Khalid Ouaziz for pulling this list together. #lgbtinbusiness #lgbti//t.co/lyrgqHCY6X,FALSE,FALSE,NA,DeKleurrijkeTop100
Sander van 't Noordende,1098906610309783552,2019-02-22T11:25:27Z,Honored to be in the colorful top 10 in The Netherlands! Great group to be part of. #DeKleurrijkeTop100 Many thanks Khalid Ouaziz for pulling this list together. #lgbtinbusiness #lgbti//t.co/lyrgqHCY6X,FALSE,FALSE,NA,lgbtinbusiness
