name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Scott Minerd,1179113346207027205,2019-10-01T19:18:23Z,Today's ISM Manufacturing PMI probably seals the deal for an October rate cut by the #Fed.,FALSE,FALSE,NA,Fed
Scott Minerd,1176591436751486982,2019-09-24T20:17:13Z,"@USTreasury @CFTC I'm reminded of what I was told early in my career: the only difference between a treasury note and a treasury trader is that the treasury note matures. -Scott Minerd, Guggenheim Partners #TreasuryMarket",FALSE,TRUE,NA,NA
Scott Minerd,1176591393785098240,2019-09-24T20:17:02Z,"@USTreasury @CFTC One of my biggest concerns is as this all becomes much more efficient You concentrate the players, the system itself becomes more vulnerable to this kind of shock. -Scott Minerd, Guggenheim Partners #TreasuryMarket",FALSE,TRUE,NA,NA
Scott Minerd,1174363423448150018,2019-09-18T16:43:53Z,"The divergent issues of stronger economic data, increasing trade tensions, and rising oil prices will only complicate the communication challenges for #Fed Chairman Powell.",FALSE,FALSE,NA,Fed
Scott Minerd,1174362497127780355,2019-09-18T16:40:12Z,Failure of the #IOER rate is causing the #Fed to lose control of its balance sheet by forcing it to carry out emergency repo operations.,FALSE,FALSE,NA,IOER
Scott Minerd,1174362497127780355,2019-09-18T16:40:12Z,Failure of the #IOER rate is causing the #Fed to lose control of its balance sheet by forcing it to carry out emergency repo operations.,FALSE,FALSE,NA,Fed
Scott Minerd,1174361787657064448,2019-09-18T16:37:23Z,Any attempt by the #Fed doves to lower rates beyond a quarter point would likely increase the number of #FOMC members who dissent.//t.co/NmYYGQEJve,FALSE,FALSE,NA,Fed
Scott Minerd,1174361787657064448,2019-09-18T16:37:23Z,Any attempt by the #Fed doves to lower rates beyond a quarter point would likely increase the number of #FOMC members who dissent.//t.co/NmYYGQEJve,FALSE,FALSE,NA,FOMC
Scott Minerd,1174360354563993600,2019-09-18T16:31:41Z,"While a quarter point cut is baked in today, a divided #Fed should just rip off the Band-Aid and cut rates by half a point, letting the market move on.",FALSE,FALSE,NA,Fed
Scott Minerd,1174302302569684994,2019-09-18T12:41:01Z,The response of the stock market and the #yieldcurve will be key indicators of the success of the Fed's move to cut rates in the hope of avoiding a #recession.//t.co/ZAMWqoofSf//t.co/aOopYAqVpR,FALSE,FALSE,NA,yieldcurve
Scott Minerd,1174302302569684994,2019-09-18T12:41:01Z,The response of the stock market and the #yieldcurve will be key indicators of the success of the Fed's move to cut rates in the hope of avoiding a #recession.//t.co/ZAMWqoofSf//t.co/aOopYAqVpR,FALSE,FALSE,NA,recession
Scott Minerd,1174299735341051907,2019-09-18T12:30:48Z,"Historical evidence on the #Fed's skill in using rate cuts to avoid #recession is mixed. History shows that once our Recession Probability Model reaches current levels, only aggressive policy can delay recession, but not avoid it.//t.co/ZAMWqoofSf//t.co/8hI6mHppCs",FALSE,FALSE,NA,Fed
Scott Minerd,1174299735341051907,2019-09-18T12:30:48Z,"Historical evidence on the #Fed's skill in using rate cuts to avoid #recession is mixed. History shows that once our Recession Probability Model reaches current levels, only aggressive policy can delay recession, but not avoid it.//t.co/ZAMWqoofSf//t.co/8hI6mHppCs",FALSE,FALSE,NA,recession
Scott Minerd,1164655044110802944,2019-08-22T21:46:15Z,"As the #Fed begins its easing campaign to try to extend an already long-in-the-tooth expansion, credit spreads could get tighter in this liquidity-driven rally, but history has shown that the potential for widening from here is much greater.//t.co/Gwj0pMIeeu",FALSE,FALSE,NA,Fed
Scott Minerd,1155962256410103809,2019-07-29T22:04:13Z,The simplest way to avoid #recession and the associated negative rates would be a rational #immigration initiative to provide more workers to plug the yawning gap between open jobs and available workers.//t.co/376gHtKKQr,FALSE,FALSE,NA,recession
Scott Minerd,1155962256410103809,2019-07-29T22:04:13Z,The simplest way to avoid #recession and the associated negative rates would be a rational #immigration initiative to provide more workers to plug the yawning gap between open jobs and available workers.//t.co/376gHtKKQr,FALSE,FALSE,NA,immigration
Scott Minerd,1155961347776995329,2019-07-29T22:00:36Z,"Without growth in supply side inputs and increased demand associated with a faster growing, younger demographic, the real neutral rate is likely to remain low and may even fall into negative territory.//t.co/376gHtKKQr",FALSE,FALSE,NA,NA
Scott Minerd,1155960808494395397,2019-07-29T21:58:28Z,The #Fed's current policy of anticipatory and preemptive rate cuts will lead to unsustainably high asset prices and increased financial instability. This can only make the next downturn worse.//t.co/376gHtKKQr,FALSE,FALSE,NA,Fed
Scott Minerd,1152193413841924096,2019-07-19T12:28:11Z,"Upcoming #FOMC meeting is likely to be the battle of the doves. Williams stoked rate cut expectations while Clarida hinted there is no need to wait for ""dramatic rate cuts."" Debate will focus on choice between 25 and 50 bp cut.",FALSE,FALSE,NA,FOMC
Scott Minerd,1151551639649685510,2019-07-17T17:58:00Z,It would be ill-advised to go down in credit quality in anticipation of a Fed-induced rally in leveraged credit. High-yield spreads and bank loan discount margins typically widen when the #Fed eases.//t.co/mYALztIadq #fixedincome//t.co/ptCRltuYwM,FALSE,FALSE,NA,Fed
Scott Minerd,1151551639649685510,2019-07-17T17:58:00Z,It would be ill-advised to go down in credit quality in anticipation of a Fed-induced rally in leveraged credit. High-yield spreads and bank loan discount margins typically widen when the #Fed eases.//t.co/mYALztIadq #fixedincome//t.co/ptCRltuYwM,FALSE,FALSE,NA,fixedincome
Scott Minerd,1150820599310299137,2019-07-15T17:33:06Z,The risk to my outlook is that the #Fed suddenly sees the #economy is not as weak as it thinks and doesn't deliver on the market expectation for a rate cut.,FALSE,FALSE,NA,Fed
Scott Minerd,1150820599310299137,2019-07-15T17:33:06Z,The risk to my outlook is that the #Fed suddenly sees the #economy is not as weak as it thinks and doesn't deliver on the market expectation for a rate cut.,FALSE,FALSE,NA,economy
Scott Minerd,1150819902514696192,2019-07-15T17:30:20Z,"For the near term, rate cuts will inflate financial assets and steepen the #yieldcurve further. If the #Fed continues to cut rates, the S&P could hit 3500 before it's finished.",FALSE,FALSE,NA,yieldcurve
Scott Minerd,1150819902514696192,2019-07-15T17:30:20Z,"For the near term, rate cuts will inflate financial assets and steepen the #yieldcurve further. If the #Fed continues to cut rates, the S&P could hit 3500 before it's finished.",FALSE,FALSE,NA,Fed
Scott Minerd,1150818344297271297,2019-07-15T17:24:09Z,The #Fed has jumped into easing with both feet. Chairman Powell's testimony before Congress confirmed the Fed is determined to do everything it can to keep the expansion going.,FALSE,FALSE,NA,Fed
Scott Minerd,1141544073729314821,2019-06-20T03:11:30Z,"Honored to be with my friend #ArtLaffer today in the Oval Office where he received the Presidential Medal of Freedom, the highest civilian honor in our nation. Congratulations my friend.",FALSE,FALSE,NA,ArtLaffer
Scott Minerd,1141005289799520257,2019-06-18T15:30:34Z,"The #Fed pause has supported a rally in most credit sectors, but we are late in the expansion and spreads will widen once more as recessionary forces take hold. Investors should use market strength as an opportunity to reduce risk in their portfolios.//t.co/WUAYFZAXFN//t.co/59GWV6fyPX",FALSE,FALSE,NA,Fed
Scott Minerd,1139541698479099904,2019-06-14T14:34:47Z,Today's manufacturing data along with retail sales are likely to cause the #bond market to rethink current pricing of the #yieldcurve and timing of rate cuts: Look for a backup in rates.,FALSE,FALSE,NA,bond
Scott Minerd,1139541698479099904,2019-06-14T14:34:47Z,Today's manufacturing data along with retail sales are likely to cause the #bond market to rethink current pricing of the #yieldcurve and timing of rate cuts: Look for a backup in rates.,FALSE,FALSE,NA,yieldcurve
Scott Minerd,1139540016236060672,2019-06-14T14:28:06Z,Unexpected upward revisions and strong rise in current retail sales will take the wind out of the sails of those looking for a near-term rate cut from the #Fed.,FALSE,FALSE,NA,Fed
Scott Minerd,1137056379112501248,2019-06-07T17:59:00Z,"Given the Fed's preoccupation with #inflation expectations, it is possible that they will cut to put upward pressure on prices. I think that would be a mistake as asset prices would take off, which would increase downside risk in the next #recession.//t.co/idztCmnu9y",FALSE,FALSE,NA,inflation
Scott Minerd,1137056379112501248,2019-06-07T17:59:00Z,"Given the Fed's preoccupation with #inflation expectations, it is possible that they will cut to put upward pressure on prices. I think that would be a mistake as asset prices would take off, which would increase downside risk in the next #recession.//t.co/idztCmnu9y",FALSE,FALSE,NA,recession
