name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Shawn K. Osborne,1107802731866132480,2019-03-19T00:35:27Z,Young people are solving today's greatest challenges. Join teams of young innovators tackling the global issue of decent jobs and economic growth in @NFTE's World Series of Innovation @Citi Foundation Decent Work Challenge.//t.co/OruPGUK3Yr #pathways2progress #SDG 8,FALSE,TRUE,NA,NA
Shawn K. Osborne,1065973842118496256,2018-11-23T14:22:23Z,"On #Thanksgiving, @NFTE would like to thank our dedicated teachers, volunteers, donors and sponsors. Special thanks to @EY_Global @citi @SAP @Mastercard as well as Diana Davis Spencer Foundation and Seedlings Foundation. We are #gratefulfor you and all you do!#ThanksgivingDay2018",FALSE,TRUE,NA,Thanksgiving
Shawn K. Osborne,1064724230871367680,2018-11-20T03:36:52Z,New joint research brief on youth entrepreneurship education released by @EY_US and NFTE: Supporting the Next Generation: The Entrepreneurial Mindset and the Future of Work//t.co/nl0zcy2jzx//t.co/wFBioZbgbr,FALSE,TRUE,NA,NA
Shawn K. Osborne,1063425851700727816,2018-11-16T13:37:35Z,"Watch @AnthonySalcito, Vice President of @MicrosoftEDU's video and stay tuned of @ShawnKOsborne, President and CEO of @NFTE and brothers @craigkielburger and @marckielburger, co-founders of the @WEMovement's journeys. About #EducationStorytelling://t.co/mmZV0XTiI6//t.co/wgW3VTzWxK",FALSE,TRUE,NA,NA
Shawn K. Osborne,1045804751835795456,2018-09-28T22:37:37Z,"This week, at the Global @YouthEconOpps Summit, #NFTE and @EY_Parthenon co-presented, to a packed room, key findings from the new Entrepreneurial Mindset Index (EMI), an innovative assessment tool for measuring the growth of the #entrepreneurialmindset. #entrepreneurialgeneration//t.co/LhpXbwWtX8",FALSE,TRUE,NA,NFTE
Shawn K. Osborne,1044550826210066432,2018-09-25T11:34:58Z,#NFTE World Series of Innovation Challenge is back! We're asking young innovators to tackle @UN #SDGs with #innovation. Special thanks to our challenge sponsors @MoodysCorp @EYNews @SAP @GoDaddy. Rise to the challenge!//t.co/8THbgpglYw @BGCA_Clubs @boyscouts @girlscouts,FALSE,TRUE,NA,NFTE
Shawn K. Osborne,1044550826210066432,2018-09-25T11:34:58Z,#NFTE World Series of Innovation Challenge is back! We're asking young innovators to tackle @UN #SDGs with #innovation. Special thanks to our challenge sponsors @MoodysCorp @EYNews @SAP @GoDaddy. Rise to the challenge!//t.co/8THbgpglYw @BGCA_Clubs @boyscouts @girlscouts,FALSE,TRUE,NA,SDGs
Shawn K. Osborne,1044550826210066432,2018-09-25T11:34:58Z,#NFTE World Series of Innovation Challenge is back! We're asking young innovators to tackle @UN #SDGs with #innovation. Special thanks to our challenge sponsors @MoodysCorp @EYNews @SAP @GoDaddy. Rise to the challenge!//t.co/8THbgpglYw @BGCA_Clubs @boyscouts @girlscouts,FALSE,TRUE,NA,innovation
Shawn K. Osborne,1012506078033178624,2018-06-29T01:20:35Z,#EOYNJ @NFTE honored to recognize Enysia Downey as our youth entrepreneur of the year!//t.co/po29wFhnIR,FALSE,TRUE,NA,EOYNJ
Shawn K. Osborne,1006168062024978432,2018-06-11T13:35:34Z,It's @Citi's Global Community Day and #CitiVolunteers are making a difference today with service projects from community cleanups to feeding the hungry to mentoring youth. Keep up the good work!//t.co/05TvfEf9V1,FALSE,TRUE,NA,CitiVolunteers
Shawn K. Osborne,1005272848435425280,2018-06-09T02:18:18Z,NFTE: Developing the entrepreneurial mindset. @EYnews @EY_Growth//t.co/WDWum9RpoT,FALSE,TRUE,NA,NA
