name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Tim Mohin,1181263611089625088,2019-10-07T17:42:46Z,A primer for corporate leaders in the age of #reporting and #standards//t.co/DzYYsA2LKt #ESG,FALSE,FALSE,NA,reporting
Tim Mohin,1181263611089625088,2019-10-07T17:42:46Z,A primer for corporate leaders in the age of #reporting and #standards//t.co/DzYYsA2LKt #ESG,FALSE,FALSE,NA,standards
Tim Mohin,1181263611089625088,2019-10-07T17:42:46Z,A primer for corporate leaders in the age of #reporting and #standards//t.co/DzYYsA2LKt #ESG,FALSE,FALSE,NA,ESG
Tim Mohin,1180010449670148098,2019-10-04T06:43:09Z,Corporate #sustainability disclosures are increasingly common but not necessarily meaningful. Great read from @HSaltman of @CeresNews & @AlysonGenovese of @GRI_Secretariat on key issues when it comes to decision-useful sustainability reporting.//t.co/564cj4kHiN,FALSE,TRUE,NA,sustainability
Tim Mohin,1179685111555596288,2019-10-03T09:10:22Z,Why #sustainability reporting needs #governance perspective - //t.co/A8CDud9uja,FALSE,FALSE,NA,sustainability
Tim Mohin,1179685111555596288,2019-10-03T09:10:22Z,Why #sustainability reporting needs #governance perspective - //t.co/A8CDud9uja,FALSE,FALSE,NA,governance
Tim Mohin,1179683344130420736,2019-10-03T09:03:21Z,This is a welcome change! Will help the US keep pace with the world on #ESG disclosure. House Subcommittee Pushes Expanded Financial Reporting - Strategic Finance//t.co/w8q7MxhZqz via @IMA_News,FALSE,FALSE,NA,ESG
Tim Mohin,1178618462521962496,2019-09-30T10:31:53Z,"my latest on the need for more and better #ESG #reporting If capitalism wants to match the reboot' rhetoric, it must become transparent//t.co/0vDQB7mqNL via @scmpnews",FALSE,FALSE,NA,ESG
Tim Mohin,1178618462521962496,2019-09-30T10:31:53Z,"my latest on the need for more and better #ESG #reporting If capitalism wants to match the reboot' rhetoric, it must become transparent//t.co/0vDQB7mqNL via @scmpnews",FALSE,FALSE,NA,reporting
Tim Mohin,1177580435834097664,2019-09-27T13:47:08Z,"What 1,000 CEOs Really Think About Climate Change and Inequality//t.co/a9d6qPMpri",FALSE,FALSE,NA,NA
Tim Mohin,1177577703517671429,2019-09-27T13:36:17Z,#Sustainability #Reporting performance of the @DowJones 30//t.co/Ik50leFZoW,FALSE,FALSE,NA,Sustainability
Tim Mohin,1177577703517671429,2019-09-27T13:36:17Z,#Sustainability #Reporting performance of the @DowJones 30//t.co/Ik50leFZoW,FALSE,FALSE,NA,Reporting
Tim Mohin,1177276625148420098,2019-09-26T17:39:54Z,GRI's new Greater #China office now open. //t.co/QFjzG2J8iP,FALSE,FALSE,NA,China
Tim Mohin,1176948509028823040,2019-09-25T19:56:05Z,Explore the skills for this career track in my book: Changing Business from the Inside Out.//t.co/9LNfY8u6JV,TRUE,FALSE,NA,NA
Tim Mohin,1176947493428518912,2019-09-25T19:52:03Z,Great #sustainability panel @Columbia//t.co/oFRUuHXKI0,TRUE,FALSE,NA,sustainability
Tim Mohin,1176869171738624001,2019-09-25T14:40:50Z,I love living in the Netherlands//t.co/09ujDCYfEa,TRUE,FALSE,NA,NA
Tim Mohin,1176868767655219202,2019-09-25T14:39:14Z,"""Rising temperatures has massive implications for investors."" More than 500 investors are calling on governments to take action to combat climate change. Via @Bloomberg://t.co/UM4cKX57A8 #TheInvestorAgenda//t.co/NsjEiAOvSj",FALSE,TRUE,NA,NA
Tim Mohin,1176868726169382914,2019-09-25T14:39:04Z,Get help with your #sustainabilityreporting journey on #SDG indicators. Make use of the free resources we've created with @globalcompact & @PRI_News to get started with #SDGReporting. Learn more://t.co/zp68yLm0Dh @SustDev #GlobalGoals,FALSE,TRUE,NA,sustainabilityreporting
Tim Mohin,1176868726169382914,2019-09-25T14:39:04Z,Get help with your #sustainabilityreporting journey on #SDG indicators. Make use of the free resources we've created with @globalcompact & @PRI_News to get started with #SDGReporting. Learn more://t.co/zp68yLm0Dh @SustDev #GlobalGoals,FALSE,TRUE,NA,SDG
Tim Mohin,1176204812293222400,2019-09-23T18:40:54Z,Such a strong voice. The voice of the next generations//t.co/4sKVDrflyL,TRUE,FALSE,NA,NA
Tim Mohin,1176204685188960256,2019-09-23T18:40:24Z,"'This Is All Wrong,' Greta Thunberg Tells World Leaders At U.N. Climate Session//t.co/eJL3aAqjIe I would have like to be in the room for this powerful message.",FALSE,TRUE,NA,NA
Tim Mohin,1176136301931847680,2019-09-23T14:08:40Z,Governor Newsome kicking off @wef #sustainable #development summit. Great leader of a great state.//t.co/T60uKLU8JE,FALSE,FALSE,NA,sustainable
Tim Mohin,1176136301931847680,2019-09-23T14:08:40Z,Governor Newsome kicking off @wef #sustainable #development summit. Great leader of a great state.//t.co/T60uKLU8JE,FALSE,FALSE,NA,development
Tim Mohin,1175110813042073600,2019-09-20T18:13:44Z,Warren Buffett and Jamie Dimon want companies and investors to embrace a new idea of value. Here's where to begin//t.co/gJBIE1f0yj,FALSE,FALSE,NA,NA
Tim Mohin,1175110335814164480,2019-09-20T18:11:51Z,Looking forward to this.//t.co/CMqd61RyZc,TRUE,FALSE,NA,NA
Tim Mohin,1175098537060814848,2019-09-20T17:24:58Z,Proud of our @GRI_Secretariat team turning out to the #ClimateStrike//t.co/LYcLvkT5aZ,TRUE,FALSE,NA,ClimateStrike
Tim Mohin,1174346118106353664,2019-09-18T15:35:07Z,"Arabic translations of our Water and Occupational Health & Safety Standards are now available. This is in addition to Spanish, Simplified & Traditional Chinese, French and others. Watch this space://t.co/fg4o6fyqWg//t.co/GnVIPPvy2j",FALSE,FALSE,NA,NA
Tim Mohin,1174342891419983873,2019-09-18T15:22:18Z,"Old one, but good one. We need more ""warrior accountants."" The new front for green revolution rests on warrior accountants//t.co/Y3RLCqxaff via @financialtimes #CSR #Sustainability #Reporting",FALSE,FALSE,NA,CSR
Tim Mohin,1174342891419983873,2019-09-18T15:22:18Z,"Old one, but good one. We need more ""warrior accountants."" The new front for green revolution rests on warrior accountants//t.co/Y3RLCqxaff via @financialtimes #CSR #Sustainability #Reporting",FALSE,FALSE,NA,Sustainability
Tim Mohin,1174342891419983873,2019-09-18T15:22:18Z,"Old one, but good one. We need more ""warrior accountants."" The new front for green revolution rests on warrior accountants//t.co/Y3RLCqxaff via @financialtimes #CSR #Sustainability #Reporting",FALSE,FALSE,NA,Reporting
Tim Mohin,1172812133249232896,2019-09-14T09:59:37Z,"Thank you @GretaThunberg #FridaysForFuture and everyone who engages, creates awareness and pushes the limits of what is perceived as possible to do to mitigate the #ClimateCrisis//t.co/9GbCNrbrHa",FALSE,TRUE,NA,FridaysForFuture
Tim Mohin,1172810297884708864,2019-09-14T09:52:19Z,Exorcising the Ghost of Milton Friedman by @RichardCRoberti//t.co/HrMDVAceCu,FALSE,FALSE,NA,NA
Tim Mohin,1172011252865994753,2019-09-12T04:57:12Z,"Investors & companies need clear standards for ESG reporting which @GRI_Secretariat provides & consistent, comparable, trusted data provided by @CDP disclosure platform. Also forward looking metrics such as @sciencetargets @TimJMohin @LilaKarbassi @globalcompact @PRI_News//t.co/HGI5WjoWut",FALSE,TRUE,NA,NA
Tim Mohin,1171902431623634945,2019-09-11T21:44:47Z,".@PdeCambourg, @LilaKarbassi, @TimJMohin & Egon Vavrek discuss #ESG #data challenges in front of a packed audience.//t.co/kPr2mP4u9t",FALSE,TRUE,NA,ESG
