name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Tony Abrahams,1171917148941377542,2019-09-11T22:43:16Z,Wonderful news!!! //t.co/9a7nL9r3Ry,FALSE,TRUE,NA,NA
Tony Abrahams,1161774656505991168,2019-08-14T23:00:37Z,Thanks to the government of Canada @TCS_SDC for supporting @theCGLCC @NGLCC in #tampa. @JaneCastor awesome mayor. I have to get a #cubansandwich//t.co/8pZPWRbXO0,FALSE,FALSE,NA,tampa
Tony Abrahams,1161774656505991168,2019-08-14T23:00:37Z,Thanks to the government of Canada @TCS_SDC for supporting @theCGLCC @NGLCC in #tampa. @JaneCastor awesome mayor. I have to get a #cubansandwich//t.co/8pZPWRbXO0,FALSE,FALSE,NA,cubansandwich
Tony Abrahams,1161641844201140230,2019-08-14T14:12:52Z,The great Connie Stacey in the @NGLCC biz pitch. Saving the climate with patented Lego batteries! @theCGLCC @TCS_SDC//t.co/imSn6KjGEX,FALSE,FALSE,NA,NA
Tony Abrahams,1161626489017778177,2019-08-14T13:11:51Z,Kicking off at the Canadian breakfast @NGLCC @TCS_SDC @ExportDevCanada//t.co/XiAxo4D3u2,FALSE,FALSE,NA,NA
Tony Abrahams,1144118987120230401,2019-06-27T05:43:17Z,Congrats @GenevieveClay on building an awesome brand of #inclusivefilmmaking - all the best for the next chapter and good luck to @traceycm74//t.co/Qcl0xWLWDx,TRUE,FALSE,NA,inclusivefilmmaking
Tony Abrahams,1142749342400438273,2019-06-23T11:00:49Z,Looking forward to welcoming @TonyAbrahams @nargesba @eric_braverman @Stephen Caddick @JeeshanMDPhD @matthewclifford @tcoppel @SanguDelle @EmmaJaneDicks @genemodeller @sgourley @Ridgepath to the #RVF19 over the weekend! Please share your thoughts on the hashtag!,FALSE,TRUE,NA,NA
Tony Abrahams,1134441365557993472,2019-05-31T12:47:53Z,The inspirational @R_Boissonnault at @theCGLCC: We're proud that trans people are now protected under law in #UnstoppableCGLCC//t.co/V1IliuMgbt,FALSE,FALSE,NA,UnstoppableCGLCC
Tony Abrahams,1134141539993739264,2019-05-30T16:56:29Z,Minister Mary Ng supporting @theCGLCC and helping small businesses export more//t.co/XNmVvm49M0 #unstoppablecglcc//t.co/rbQiXuVdbQ,FALSE,FALSE,NA,unstoppablecglcc
Tony Abrahams,1131893038542757888,2019-05-24T12:01:44Z,"I'm on a roll here folks. #50Ways #DisabilityConfidence - Chapter 3 in the bag (GIF: happy baby celebrating) - spread the word... I'm collecting #stories from #realfolk building #innerconfidence - how do you stay confident, be resilient, be you, be true?//t.co/MMibnRJxLz",FALSE,TRUE,NA,50Ways
Tony Abrahams,1131893038542757888,2019-05-24T12:01:44Z,"I'm on a roll here folks. #50Ways #DisabilityConfidence - Chapter 3 in the bag (GIF: happy baby celebrating) - spread the word... I'm collecting #stories from #realfolk building #innerconfidence - how do you stay confident, be resilient, be you, be true?//t.co/MMibnRJxLz",FALSE,TRUE,NA,DisabilityConfidence
Tony Abrahams,1130760380785995777,2019-05-21T09:00:57Z,"I had a positive meeting with our new Disability Discrimination Commissioner Ben Gauntlett today. He is smart, and committed to addressing problems where they exist. He will challenge both government and the sector on disability issues.",FALSE,TRUE,NA,NA
Tony Abrahams,1129641488327987200,2019-05-18T06:54:53Z,This is why I do what I do! Love seeing Inclusion occurring in the film industry with the pathways @BusStopFilms is providing to people with disability #inclusivefilmmaking #inclusion//t.co/EUHMXFCNgt,FALSE,TRUE,NA,NA
Tony Abrahams,1128973437077078022,2019-05-16T10:40:17Z,Congrats @GenevieveClay !//t.co/Py3H6imFKa,TRUE,FALSE,NA,NA
Tony Abrahams,1128111913907286016,2019-05-14T01:36:54Z,"Shout out to @KateNashOBE whose presentation at last year's AND conf has spurred impactful change at NSW Dept of Family Services: champions, leadership and stories engage and create change #ANDCONF19//t.co/ZlO4QqfJHx",FALSE,FALSE,NA,ANDCONF19
Tony Abrahams,1128087161956327424,2019-05-13T23:58:32Z,Don't call people w #disabilty heroes. We aren't heroes. We are people. Just people. @YvesVeulliet at #andconf19 Accessibility benefits us all//t.co/DVNdmduweY,FALSE,FALSE,NA,disabilty
Tony Abrahams,1128087161956327424,2019-05-13T23:58:32Z,Don't call people w #disabilty heroes. We aren't heroes. We are people. Just people. @YvesVeulliet at #andconf19 Accessibility benefits us all//t.co/DVNdmduweY,FALSE,FALSE,NA,andconf19
Tony Abrahams,1128083912935165953,2019-05-13T23:45:38Z,How many of you are going to use live captioning now at every single event you run? @TonyAbrahams @accessinclusion #andconf19,FALSE,TRUE,NA,NA
Tony Abrahams,1128083660832296961,2019-05-13T23:44:38Z,People w #disability do best in the US and Canada where the unemployment rate is only twice that of the general population. Much worse in Latam and China. MORE TO DO EVERYWHERE. Keynote by @YvesVeulliet at #ANDConf19//t.co/hxR0LqgnX0,FALSE,FALSE,NA,disability
Tony Abrahams,1128083660832296961,2019-05-13T23:44:38Z,People w #disability do best in the US and Canada where the unemployment rate is only twice that of the general population. Much worse in Latam and China. MORE TO DO EVERYWHERE. Keynote by @YvesVeulliet at #ANDConf19//t.co/hxR0LqgnX0,FALSE,FALSE,NA,ANDConf19
Tony Abrahams,1128079544399745024,2019-05-13T23:28:16Z,We are off and running #andconf19 starting with the fabulous @TonyAbrahams and @accessinclusion #universaldesign//t.co/xhKo1uemJk,FALSE,TRUE,NA,andconf19
Tony Abrahams,1128079544399745024,2019-05-13T23:28:16Z,We are off and running #andconf19 starting with the fabulous @TonyAbrahams and @accessinclusion #universaldesign//t.co/xhKo1uemJk,FALSE,TRUE,NA,universaldesign
Tony Abrahams,1128079480226844672,2019-05-13T23:28:01Z,Delighted to be sponsoring our 10th annual conference for the Australian Network on Disability #ANDCONF19//t.co/2ThjhrYAEH,TRUE,FALSE,NA,ANDCONF19
Tony Abrahams,1123645476467642368,2019-05-01T17:48:52Z,"A great piece on why inclusive design (in this case, for captioning) makes life better for everyone. Cc @accessinclusion, @TonyAbrahams, @deanneweir. //t.co/oa2C3iCQWw",FALSE,TRUE,NA,NA
Tony Abrahams,1104443577072005120,2019-03-09T18:07:23Z,How the #SDGs can help the world cooperate more broadly - and deliver #inclusion for all//t.co/MTZ94vfpXe,FALSE,FALSE,NA,SDGs
Tony Abrahams,1104443577072005120,2019-03-09T18:07:23Z,How the #SDGs can help the world cooperate more broadly - and deliver #inclusion for all//t.co/MTZ94vfpXe,FALSE,FALSE,NA,inclusion
Tony Abrahams,1092351096633274368,2019-02-04T09:16:10Z,Did you catch a shirtless @NyleDiMarco on @FullFrontalSamB the other day? We certainly did! Make sure you're #DeafAware #Access #Inclusion #SignLanguage//t.co/mKCBfwEnyT,FALSE,TRUE,NA,NA
Tony Abrahams,1089219520558821376,2019-01-26T17:52:25Z,Congrats @JulieMcCrossin !//t.co/ZSKhYZnVqc,TRUE,FALSE,NA,NA
Tony Abrahams,1084857429324640256,2019-01-14T16:59:01Z,People with disabilities make up an emerging market the size of China. Which begs the question: why are there no accessibility-focused venture-capital funds? My weekend column ICYMI.//t.co/UUp9WPPqkJ,FALSE,TRUE,NA,NA
Tony Abrahams,1083546090324905984,2019-01-11T02:08:13Z,Great to see founders and entrepreneurs like @TonyAbrahams join @TCS at #CES2019//t.co/tDSZTnuPud,FALSE,TRUE,NA,CES2019
Tony Abrahams,1083479731897421824,2019-01-10T21:44:32Z,Feeling the music @CES @accessinclusion w engineering support from Youngstown Ohio #Deaf//t.co/EOYKj6Ir9M,FALSE,FALSE,NA,Deaf
Tony Abrahams,1083462276646981632,2019-01-10T20:35:11Z,Great to be with awesome #TeamCanada @CES @accessinclusion//t.co/lgwqzIufZo,FALSE,FALSE,NA,TeamCanada
Tony Abrahams,1072252302990303232,2018-12-10T22:10:45Z,"Three problems to fix in 2019. Critical words to heed from @mcarthur, via @wef, @YGLvoices: //t.co/m4i1kbjmxX",FALSE,TRUE,NA,NA
