name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Adena Friedman,1167553717660454912,2019-08-30T21:44:33Z,"We continue to see unprecedented technological progress in our market technology. From the cloud to AI, this story showcases the opportunities that Nasdaq is implementing and exploring to boost flexibility, scale efficiencies and reduce complexity.//t.co/lbPrgJMCO6",TRUE,FALSE,NA,NA
Adena Friedman,1166441982278930435,2019-08-27T20:06:54Z,Thanks so much to Dan Schulman and the @PayPal team for inviting me to join #NeverStandStill. I enjoyed discussing what qualities I believe make companies successful and why I think you should always run toward opportunities in life.//t.co/sZ71iep2Lp,FALSE,FALSE,NA,NeverStandStill
Adena Friedman,1163834242297675782,2019-08-20T15:24:41Z,.@Nasdaq strives to make the capital markets a fair and transparent experience whether that is by providing our technology to other markets around the world or advocating to make the public markets more enticing for companies and investors.//t.co/o3mU0C8mLk//t.co/GUNfKoMqoK,FALSE,FALSE,NA,NA
Adena Friedman,1163536773982629891,2019-08-19T19:42:39Z,".@Nasdaq is committed to building an economy and marketplace that works for everyone. By signing the @BizRoundtable pledge we are expressing our dedication to delivering value, investing in our employees and supporting our communities.//t.co/GyMMhnPdtZ//t.co/hUGf8WYvRE",FALSE,FALSE,NA,NA
Adena Friedman,1162060797624901632,2019-08-15T17:57:38Z,Our recent technology agreement with the @FootballIndex is helping to disrupt the industry of sports betting and is moving our new markets initiative forward.//t.co/Dy1SH4JM5p,FALSE,FALSE,NA,NA
Adena Friedman,1157303920038948866,2019-08-02T14:55:30Z,"Throughout the years, Tae Kwon Do has taught me about self-reliance, persistence and humility, which I've personally experienced as essential traits of a leader. Athletics can be helpful for anyone to step back from work and learn more about themselves//t.co/0bjSXv7edp",FALSE,FALSE,NA,NA
Adena Friedman,1152330098525331457,2019-07-19T21:31:19Z,"It was an honor to meet with Jeff DeWit, CFO, NASA and Astronaut Jeanette Epps to discuss the 50th anniversary of the Apollo 11 mission and the future of space exploration #Apollo50th//t.co/QgLBRMBkxH//t.co/kGrrGcuWxS",FALSE,FALSE,NA,Apollo50th
Adena Friedman,1144719930899730432,2019-06-28T21:31:14Z,"I am so proud of the @Nasdaq team on today's record-breaking @FTSERussell Reconstitution, highlighting the strength of our Closing Cross.//t.co/lxkmfE2W9e",TRUE,FALSE,NA,NA
Adena Friedman,1144616875340570624,2019-06-28T14:41:43Z,"Although Pride month may be coming to a close, we remain focused on embracing diversity all year at @Nasdaq and I'm happy to share a few ways our employees celebrated across the globe in June.//t.co/4Hy98tyVJS",FALSE,FALSE,NA,NA
Adena Friedman,1141392605722415105,2019-06-19T17:09:37Z,"Considering the reach and trust in our brand, @Nasdaq is uniquely positioned to help accelerate the understanding of #corpgov for our clients and beyond through data-rich insights, practical guidance and innovative technology.//t.co/l5bWwRNzNi",TRUE,FALSE,NA,corpgov
