name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Alan Murray,1180254927362383873,2019-10-04T22:54:37Z,Is it okay if my Sox continue to exist?//t.co/R4lMWWfsMd,TRUE,FALSE,NA,NA
Alan Murray,1179468037554089984,2019-10-02T18:47:48Z,"Schwarzman is rich because he's a smart businessman, but that's not why he's a billionaire. He's a billionaire because the gov't chose (a) to prioritize returns on leveraged debt buyouts over everything else and (b) to keep capital gains taxes low. Those policies shouldn't exist.//t.co/uRZByEeU2B",FALSE,TRUE,NA,NA
Alan Murray,1179467795236622336,2019-10-02T18:46:50Z,Schwarzman is worth $17 billion. He would pay over $1.1 billion more in taxes under Bernie's plan to tax the extreme wealth of the top 0.1%. Schwarzman also compared Obama to Hitler when he tried to close the carried interest loophole. Disgusting. //t.co/2NKYrJIMc8//t.co/YLAUKpzFW3,FALSE,TRUE,NA,NA
Alan Murray,1179467767344504832,2019-10-02T18:46:43Z,Maybe Steve Schwarzman should apologize for making such a disgusting comment//t.co/pf2LPrSr8D,FALSE,TRUE,NA,NA
Alan Murray,1179003501529059328,2019-10-01T12:01:54Z,Time for a reset! Talking #ESG @FT this morning//t.co/gfnRspuMqG,FALSE,TRUE,NA,ESG
Alan Murray,1174982368777555968,2019-09-20T09:43:21Z,None of the biggest banks on Wall Street have ever had a woman CEO. My Broadsheet co-author @clairezillman asks whyand who might have a shot at becoming the first://t.co/XPxjs0gdms,FALSE,TRUE,NA,NA
Alan Murray,1170998268932739074,2019-09-09T09:51:58Z,"Come work with me: Fortune is hiring digital producers to help build and polish stories and our flagship lists. Ideal for someone looking for a consistent editorial gig at least a few days per month, if not per week. Apply here://t.co/7W5rw8hDpf",FALSE,TRUE,NA,NA
Alan Murray,1170641308202881024,2019-09-08T10:13:31Z,"Great having you there, Christiana. It was an important conversation.//t.co/N9GSIuoJlf",TRUE,FALSE,NA,NA
Alan Murray,1170640655015481344,2019-09-08T10:10:56Z,"So good to have you there, Christiana. It was an important conversation.//t.co/N9GSIuoJlf",TRUE,FALSE,NA,NA
Alan Murray,1166843500350062592,2019-08-28T22:42:24Z,Its audience has grown since you took over. You are a phenom!//t.co/O29g3jyFYP,TRUE,FALSE,NA,NA
Alan Murray,1164515596551229440,2019-08-22T12:32:08Z,Trump the human sees no issue with holding both ideas at the same time.,FALSE,FALSE,13565472,NA
Alan Murray,1164515595259396096,2019-08-22T12:32:08Z,Trump the real estate guy realizes global warming makes Greenland an important piece of real estate...,FALSE,FALSE,13565472,NA
Alan Murray,1164515594047283200,2019-08-22T12:32:07Z,Trump the politician knows climate change denial is good for his brand....,FALSE,FALSE,13565472,NA
Alan Murray,1164515591920771079,2019-08-22T12:32:07Z,"I love this Greenland story, because it encapsulates our current president...",FALSE,FALSE,NA,NA
Alan Murray,1164121261674553345,2019-08-21T10:25:11Z,Oops: Walmart alleges in a lawsuit that at least seven fires have broken out in its stores as a result of Tesla's solar panels//t.co/vqyk5xD478,FALSE,FALSE,NA,NA
Alan Murray,1163780563293151233,2019-08-20T11:51:22Z,Hmm. Careful here. I don't write for the other F-mag.//t.co/rfWuVCi9XL,TRUE,FALSE,NA,NA
Alan Murray,1163756843358990337,2019-08-20T10:17:07Z,"This is a landmark announcement. Shareholder primacy has been the defining ethos of business for nearly 50 years. Proud to see @BizRoundtable commit to delivering value to ALL shareholders (workers, customers, communities). Now the real work begins!//t.co/8rNk8oxtHm",FALSE,TRUE,NA,NA
Alan Murray,1163756577481986048,2019-08-20T10:16:04Z,"Thanks, Jim....//t.co/f7MJS3pcDL",TRUE,FALSE,NA,NA
Alan Murray,1163756091941052417,2019-08-20T10:14:08Z,"I take a somewhat different view. I think in the long term, stakeholder value and shareholder value tend to converge. It's only in the short term that they conflict.//t.co/gWIqJCNpMQ",TRUE,FALSE,NA,NA
Alan Murray,1163584503950041088,2019-08-19T22:52:18Z,Great to have you on board!//t.co/4k58jy16eU,TRUE,FALSE,NA,NA
Alan Murray,1163584296646578176,2019-08-19T22:51:29Z,I do agree: I'm very much in favor of a functioning political system. Wish we had one.//t.co/gEaKmTs2uG,TRUE,FALSE,NA,NA
Alan Murray,1163533991867293697,2019-08-19T19:31:35Z,..or a necessary tweaking of a system that isn't working as well as it could.//t.co/OSaSq6Ipiy,TRUE,FALSE,NA,NA
Alan Murray,1163504769576648705,2019-08-19T17:35:28Z,More here://t.co/mE7WKy5o6F//t.co/Trzc5Lm94l,TRUE,FALSE,NA,NA
Alan Murray,1163504413379616768,2019-08-19T17:34:03Z,"A good conversation, Anand. My view: we shouldn't let excessive cynicism or political noise keep us from recognizing positive progress.//t.co/U6BwcJxsi6",TRUE,FALSE,NA,NA
Alan Murray,1163503836608290821,2019-08-19T17:31:46Z,"Thanks Andrei. Agree it is ultimately deeds, not words, that matter. But getting the words right is important...//t.co/wELPckU6xn",TRUE,FALSE,NA,NA
Alan Murray,1163497421122482176,2019-08-19T17:06:16Z,"Pleasure to talk with you, Dan. And thanks for your attention to this ... I think it's important.//t.co/n8fGZ2qiHb",TRUE,FALSE,NA,NA
Alan Murray,1163451616336498694,2019-08-19T14:04:15Z,Proud to be associated with Matt! And happy to share the name.//t.co/W7IWFtmJqR,TRUE,FALSE,NA,NA
Alan Murray,1163448163459588096,2019-08-19T13:50:32Z,"Thanks, Dov//t.co/lNbXesYMOk",TRUE,FALSE,NA,NA
Alan Murray,1163447907711934465,2019-08-19T13:49:31Z,I look forward to it.//t.co/rK2a1agbbh,TRUE,FALSE,NA,NA
Alan Murray,1163434252714819584,2019-08-19T12:55:16Z,A step in the right direction. Here's the story behind the story://t.co/mE7WKy5o6F//t.co/1fhDfF8OIb,TRUE,FALSE,NA,NA
Alan Murray,1163434058938036224,2019-08-19T12:54:29Z,Agree. Here's the story behind the story://t.co/mE7WKy5o6F//t.co/uWVMHkYmRP,TRUE,FALSE,NA,NA
Alan Murray,1163433581768843264,2019-08-19T12:52:36Z,Read my story on what's behind the BRT's about-face here://t.co/mE7WKy5o6F//t.co/ko8pIMsFkA,TRUE,FALSE,NA,NA
Alan Murray,1163421287592730624,2019-08-19T12:03:44Z,Of course Larry is wary! That's his job. Read what's behind the apostasy here: //t.co/mE7WKy5o6F//t.co/jZT5OTqgx4,TRUE,FALSE,NA,NA
Alan Murray,1163420885887410182,2019-08-19T12:02:09Z,"Agree, words need to be backed by action. Read here://t.co/mE7WKy5o6F//t.co/s0uqAw9iYb",TRUE,FALSE,NA,NA
Alan Murray,1163420737794990081,2019-08-19T12:01:33Z,Read what's behind the apostasy in my story on FORTUNE://t.co/mE7WKy5o6F//t.co/npyYkLlWxv,TRUE,FALSE,NA,NA
Alan Murray,1163420256792141824,2019-08-19T11:59:39Z,Thanks Joy. Story here://t.co/mE7WKy5o6F//t.co/8E1un6tGai,TRUE,FALSE,NA,NA
