name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Essa Al-Saleh,1178680992854396928,2019-09-30T14:40:22Z,Nothing is perfect. Find your opportunity to improve on these imperfections. Reward will follow.,FALSE,FALSE,NA,NA
Essa Al-Saleh,1178304517517070337,2019-09-29T13:44:23Z,"Journey of an idea - From Dumb, to Costly to Obvious",FALSE,FALSE,NA,NA
Essa Al-Saleh,1153549937017282560,2019-07-23T06:18:31Z,The night is one fire//t.co/iSkTEJMI2U,FALSE,FALSE,NA,NA
Essa Al-Saleh,1152343646810902531,2019-07-19T22:25:09Z,The road less travelled//t.co/tlGWlNGvsT,FALSE,FALSE,NA,NA
Essa Al-Saleh,1143846270169157632,2019-06-26T11:39:37Z,//t.co/F2s4tFGmto,FALSE,FALSE,NA,NA
Essa Al-Saleh,1138544084333842433,2019-06-11T20:30:37Z,@hans_hickler Thank you Hans!,FALSE,FALSE,317013358,NA
Essa Al-Saleh,1138543798554910720,2019-06-11T20:29:29Z,"Agility GIL CEO @alsalehe: @Agility is investing big in the #digital #supplychain. We're becoming an IT company that does #freight, bringing both a supply chain perspective and #digital perspective to our capabilities. Watch://t.co/Z4RV2pEy57",FALSE,TRUE,NA,digital
Essa Al-Saleh,1138543798554910720,2019-06-11T20:29:29Z,"Agility GIL CEO @alsalehe: @Agility is investing big in the #digital #supplychain. We're becoming an IT company that does #freight, bringing both a supply chain perspective and #digital perspective to our capabilities. Watch://t.co/Z4RV2pEy57",FALSE,TRUE,NA,supplychain
Essa Al-Saleh,1131823392519270400,2019-05-24T07:24:59Z,"Congratulations to @GwynethFries, Senior Manager, #Sustainability, for being recognized by @logisymevents for her contribution to #Environmental Sustainability in #Logistics, including working to make our operations greener. Learn more about our efforts://t.co/1Juie1EoDC//t.co/YBrcnR5bON",FALSE,TRUE,NA,Sustainability
Essa Al-Saleh,1124880138800369664,2019-05-05T03:34:59Z,"At Agility, we're all about acceleration -- and that was the theme of this year's GIL Performance Management Meeting. We're looking forward to the year ahead, and seeing what our teams can accomplish!//t.co/0RYwQ0CQy9",FALSE,TRUE,NA,NA
Essa Al-Saleh,1104840947085557761,2019-03-10T20:26:23Z,One of the main reasons people fall short of their potential is they care more about looking good than getting better. Excellence is the product of high aspirations and low ego. #SundayMotivation,FALSE,TRUE,NA,NA
Essa Al-Saleh,1088734334150955008,2019-01-25T09:44:27Z,Winning formula = What + Why + How,FALSE,FALSE,NA,NA
Essa Al-Saleh,1088462071480627201,2019-01-24T15:42:35Z,Winning Formula = Technical Skills + Social Skills + Values,FALSE,FALSE,NA,NA
Essa Al-Saleh,1087965582987792386,2019-01-23T06:49:43Z,Everyone talking about the need for Agility - I agree :) #Agility #wef19,FALSE,FALSE,NA,Agility
Essa Al-Saleh,1087965582987792386,2019-01-23T06:49:43Z,Everyone talking about the need for Agility - I agree :) #Agility #wef19,FALSE,FALSE,NA,wef19
Essa Al-Saleh,1087718017906237446,2019-01-22T14:25:58Z,"Agility CEO @tarek_sultan joins key leaders from #India at a discussion on how to develop an #export economy for #SMEs, chaired by @Dan_Schulman of @PayPal at #wef19.//t.co/nNAig1KtpE",FALSE,TRUE,NA,India
Essa Al-Saleh,1087718017906237446,2019-01-22T14:25:58Z,"Agility CEO @tarek_sultan joins key leaders from #India at a discussion on how to develop an #export economy for #SMEs, chaired by @Dan_Schulman of @PayPal at #wef19.//t.co/nNAig1KtpE",FALSE,TRUE,NA,export
Essa Al-Saleh,1087718017906237446,2019-01-22T14:25:58Z,"Agility CEO @tarek_sultan joins key leaders from #India at a discussion on how to develop an #export economy for #SMEs, chaired by @Dan_Schulman of @PayPal at #wef19.//t.co/nNAig1KtpE",FALSE,TRUE,NA,SMEs
Essa Al-Saleh,1087612837290299392,2019-01-22T07:28:01Z,How do you do Agility at scale #AgilityTandemTalks #wef19//t.co/Ov17IvgujK,FALSE,FALSE,NA,AgilityTandemTalks
Essa Al-Saleh,1087612837290299392,2019-01-22T07:28:01Z,How do you do Agility at scale #AgilityTandemTalks #wef19//t.co/Ov17IvgujK,FALSE,FALSE,NA,wef19
Essa Al-Saleh,1087610980899700736,2019-01-22T07:20:39Z,"#AgilityTandemTalks #wef19 Zhenhui Wang - CEO, JD Logistics Tarek Sultan - CEO & Vice Chair Agility//t.co/XikwMNodWH",FALSE,FALSE,NA,AgilityTandemTalks
