name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Amitabh Kant,1181419218610188288,2019-10-08T04:01:06Z,India has dramatically reduced the number of citizens living in extreme poverty over the last few years.//t.co/VxH382a0kP//t.co/Xy8AI7NtjN,FALSE,TRUE,NA,NA
Amitabh Kant,1181260591240925184,2019-10-07T17:30:46Z,", #AspirationalDistrict Goalpara ! Under the #SwachchtaHiSeva campaign, street plays were organised by the admin, students & citizens to draw attention towards plastic pollution. Plastic waste will be collected from across the district to build roads.//t.co/YnzhKMWgr8",FALSE,TRUE,NA,AspirationalDistrict
Amitabh Kant,1181260591240925184,2019-10-07T17:30:46Z,", #AspirationalDistrict Goalpara ! Under the #SwachchtaHiSeva campaign, street plays were organised by the admin, students & citizens to draw attention towards plastic pollution. Plastic waste will be collected from across the district to build roads.//t.co/YnzhKMWgr8",FALSE,TRUE,NA,SwachchtaHiSeva
Amitabh Kant,1181210085894213633,2019-10-07T14:10:04Z,The #CollectorsAtSchool prog - where kids learn & teach advanced segregation of waste into - PET bottles HDPE/LDPE bottles Milk packets Paper Careful segregn makes for better recycling. Bins designed & installed by Kerala Suchitwa Mission #SwachhBharat #HarithaKeralam//t.co/lKFiX0URgk,FALSE,TRUE,NA,CollectorsAtSchool
Amitabh Kant,1181054380386091009,2019-10-07T03:51:21Z,"I #AspirationalDistricts I These are the five most improved districts in the Health & Nutritionsector, as per the Delta Ranking for August 2019.//t.co/uLq5VoJ2cO",FALSE,TRUE,NA,AspirationalDistricts
Amitabh Kant,1180889688485187584,2019-10-06T16:56:56Z,Scientists in Japan found an enzyme that quickly eats plastic waste - it takes 400 years for a plastic bottle to decompose//t.co/3trnucJNgs//t.co/Hx3xSmzP8r,FALSE,TRUE,NA,NA
Amitabh Kant,1180886896387321857,2019-10-06T16:45:50Z,"Menstruation Hygiene matters. Period! To spread awareness about the importance of Menstrual Hygiene management, #AspirationalDistrict Dantewada initiated an #innovative programme, Mehrar Cho Maan. Eco-friendly & bio degradable sanitary pads were distributed, free of cost.//t.co/DYVdXQHUGl",FALSE,TRUE,NA,NA
Amitabh Kant,1180830441063907329,2019-10-06T13:01:30Z,Unbelievable !//t.co/rsdqBZ3iCU,FALSE,FALSE,NA,NA
Amitabh Kant,1180717410589917184,2019-10-06T05:32:22Z,"Few destinations have been able to capture the charm of Incredible India as much as Taj Rishikesh Spa & Resorts in Uttarakhand. It's magical for its creativity,spirituality,architecture & for being authentically Indian! Unique Himalayan location with majestic Ganges flowing by.//t.co/f4ssdZSzSw",FALSE,FALSE,NA,NA
Amitabh Kant,1180707029649768448,2019-10-06T04:51:07Z,"Swachh Bharat mission is a campaign that evolved into a mass movement: @amitabhk87, CEO, NITI Aayog tells Navika Kumar on Swachh Bharat Revolution Special Broadcast.//t.co/7kgGQh30Tz",FALSE,TRUE,NA,NA
