name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
aneel bhusri,1176181182947446786,2019-09-23T17:07:01Z,Inaugural #StephenCurryCharity Classic presented by Workday Tees Off at @TPCHardingPark @PGA @PGAREACH @LondonBreed @Workday @aneelb @suzywhaley//t.co/OpLDY7sc5W//t.co/MYVhrl7ESU,FALSE,TRUE,NA,StephenCurryCharity
aneel bhusri,1169793946337366016,2019-09-06T02:06:25Z,"Enjoyed spending the day with @comcast, @wmstrahan, and @aneelb, talking about #culture, #technology, and what makes #Comcast Great Place to Work Certified AND a #100Best company.//t.co/U30BUoRto4",FALSE,TRUE,NA,culture
aneel bhusri,1169793946337366016,2019-09-06T02:06:25Z,"Enjoyed spending the day with @comcast, @wmstrahan, and @aneelb, talking about #culture, #technology, and what makes #Comcast Great Place to Work Certified AND a #100Best company.//t.co/U30BUoRto4",FALSE,TRUE,NA,technology
aneel bhusri,1148348748193390592,2019-07-08T21:50:51Z,Proud of what the team has accomplished! Here is a sneak peak of what we're working on://t.co/otPpf2SUMN,FALSE,TRUE,NA,NA
aneel bhusri,1121100640309137409,2019-04-24T17:16:36Z,@diginomica That was said a bit tongue in cheek :-),FALSE,FALSE,1116482269,NA
aneel bhusri,1104099651987230720,2019-03-08T19:20:44Z,"On International Women's Day, we want to acknowledge all the women making a difference in the worldyou inspire us! #wdaywonderwomen #IWD2019 #BalanceForBetter//t.co/lTKCn9zDce",FALSE,TRUE,NA,NA
aneel bhusri,1104099637130977280,2019-03-08T19:20:41Z,"What can companies do to recruit and retain more #womenintech? In celebration of #IWD2019, discover what these amazing women are doing to help develop careers in #technology://t.co/ow2GcrBcJF #BalanceForBetter//t.co/bVBppYjyNZ",FALSE,TRUE,NA,womenintech
aneel bhusri,1104099637130977280,2019-03-08T19:20:41Z,"What can companies do to recruit and retain more #womenintech? In celebration of #IWD2019, discover what these amazing women are doing to help develop careers in #technology://t.co/ow2GcrBcJF #BalanceForBetter//t.co/bVBppYjyNZ",FALSE,TRUE,NA,IWD2019
aneel bhusri,1103495193309802497,2019-03-07T03:18:50Z,@Benioff @parkerharris Congratulations @Benioff and @parkerharris. You guys rock!,FALSE,FALSE,22330739,NA
aneel bhusri,1103494791382224897,2019-03-07T03:17:14Z,"March 8th 1999 Parker Harris, Dave Moellenhoff, Frank Dominguez, & I showed up at 1449 Montgomery Street & we started a company called//t.co/GcJjXaxGXz & introduced the end of software (now called the the cloud). Congratulations @parkerharris on 20 amazing years!//t.co/qIbpbBl2C6",FALSE,TRUE,NA,NA
aneel bhusri,1095726154391015424,2019-02-13T16:47:27Z,Congratulations to @Workday ambassador @PhilMickelson for his great win @attproam. Way to go #Lefty! Win#44,FALSE,FALSE,NA,Lefty
aneel bhusri,1090310229546287105,2019-01-29T18:06:30Z,"Listened to anything good lately? Check out ""The Importance of the Employee Experience at GE"" where our own Greg Pryor interviews @GeneralElectric #EmployeeExperience Leader, Paul Davies://t.co/Lb8i5M2DLU #wdaypodcast//t.co/uYToE8YMfM",FALSE,TRUE,NA,NA
aneel bhusri,1083235745005858816,2019-01-10T05:35:01Z,An honor for @Workday to be associated with @Love3d. A true class act @GolfDigest //t.co/MTPBd8rfu5,FALSE,FALSE,NA,NA
aneel bhusri,1066163235064229894,2018-11-24T02:54:58Z,Congratulations @PhilMickelson! Nice birdie for the win. #TheMatch #wdayambassador//t.co/VcMKawmbqm,FALSE,TRUE,NA,TheMatch
aneel bhusri,1066163235064229894,2018-11-24T02:54:58Z,Congratulations @PhilMickelson! Nice birdie for the win. #TheMatch #wdayambassador//t.co/VcMKawmbqm,FALSE,TRUE,NA,wdayambassador
aneel bhusri,1062657394944172033,2018-11-14T10:44:00Z,Power of She! #wdayrising//t.co/UzQeGgNjtW,FALSE,TRUE,NA,wdayrising
aneel bhusri,1062323385361940487,2018-11-13T12:36:46Z,Here's something I've been working on with @Workday and @JustAndyBuckley recently. Had a blast. Great working with you! #partnerlikenoother//t.co/m9hbVU9nDw,FALSE,TRUE,NA,NA
aneel bhusri,1057383248374820864,2018-10-30T21:26:26Z,"Congratulations to our Vice President of Investments, Brittany Skoda (@golfandgum), who's been ranked number 13 on the 2018 Top Women Leaders in SaaS list! Thanks for inspiring today's younger generation of women to aim high and achieve://t.co/Ply4NRnhae #wdaywonderwomen//t.co/x0kOoHfnWJ",FALSE,TRUE,NA,NA
aneel bhusri,1057382227384819712,2018-10-30T21:22:22Z,Thank you @FortuneMagazine and @GPTW_US for ranking @Workday number 3 on the 100 Best Workplaces for Women list. More than 41% of our company is made up of women and I'm very proud of their leadership://t.co/6Vj4UqWa1N #builtforthefuture #womenintech,FALSE,FALSE,NA,builtforthefuture
aneel bhusri,1057382227384819712,2018-10-30T21:22:22Z,Thank you @FortuneMagazine and @GPTW_US for ranking @Workday number 3 on the 100 Best Workplaces for Women list. More than 41% of our company is made up of women and I'm very proud of their leadership://t.co/6Vj4UqWa1N #builtforthefuture #womenintech,FALSE,FALSE,NA,womenintech
